	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance
AATF	1.84726732754055e-07	7.23768942135502e-07	10	30.3	16.0	1.84726748109841e-08	1	0.793491634515248	-0.757469053461733	-1	40.0131294053005
HNRNPK	6.377645576043449e-11	4.18798726160186e-09	5	35.6	19.0	6.37764557622648e-12	3	0.751989180467165	-0.759525992483239	-1	65.7776509470443
PTBP1	2.76450696498116e-07	7.23768942135502e-07	50	39.5	38.0	2.76450730889365e-08	2	0.710611325241911	0.682249747775928	1	30.8297793998645
ESF1	1.61450368212925e-10	7.95143063448657e-09	5	40.0	23.0	1.61450368224655e-11	3	0.802898860279257	-0.746987621948583	-1	69.4400670731134
EIF3G	2.0225530800002e-07	7.23768942135502e-07	10	43.3	51.5	2.02255326408266e-08	2	0.712632281550375	0.779809078119007	1	31.0537065218678
GRSF1	3.88597300827477e-07	7.23768942135502e-07	20	46.1	32.5	3.88597368781032e-08	2	0.731611471119305	0.784679850011465	1	33.1566492130707
NAA15	2.4949812603171197e-11	2.45755654141237e-09	5	47.4	6.5	2.4949812603451297e-12	2	0.952050821411649	-0.994878015993814	-1	100.0
SND1	3.13612642492742e-07	7.23768942135502e-07	10	51.5	33.5	3.13612686751551e-08	7	0.805847105332617	-0.77569121602181	-1	41.3821471369266
RPS10	3.91640718675293e-07	7.23768942135502e-07	100	51.7	40.5	3.91640787697413e-08	4	0.732705753092423	0.792670411471002	1	33.2778984513022
NCBP2	1.70400125858422e-06	1.77612829598461e-06	10	52.2	39.5	1.70400256521476e-07	9	0.784348602577901	-0.793317106083223	-1	33.4819914504314
DAZAP1	6.04013691045717e-07	8.01298295875294e-07	40	52.9	42.5	6.04013855220421e-08	6	0.887958105255625	-0.799346925282323	-1	49.7721279617045
FKBP4	1.25777042246974e-06	1.34663463710075e-06	40	56.0	37.0	1.2577711343642e-07	1	0.917257454816895	-0.907033790482904	-1	49.2635172709913
ILF2	1.01701641053609e-06	1.11306796042005e-06	30	56.9	36.5	1.01701687598146e-07	17	0.836938733458664	-0.784343923569875	-1	42.0042068606963
AKAP1	2.32679903527657e-07	7.23768942135502e-07	15	58.4	57.5	2.32679927890633e-08	11	0.727881594931814	0.77327202484209	1	32.7433694026189
FIP1L1	3.39898676872702e-07	7.23768942135502e-07	20	60.3	44.0	3.39898728861712e-08	12	0.652643197051932	0.672452842424993	1	24.406762702703
LIN28B	1.20445215116161e-06	1.29659603157835e-06	20	60.4	25.0	1.20445280397935e-07	17	0.73978794770945	0.754924000134753	1	30.682503086516
PPIG	5.15342329513136e-07	7.65908114491704e-07	10	61.2	34.0	5.15342449023146e-08	6	0.633700229473323	0.625744549344214	1	22.0267981002098
SAFB2	2.71450805255243e-07	7.23768942135502e-07	75	61.2	62.0	2.71450838413742e-08	2	0.800844502508579	0.88030833828869	1	40.827845963655
RBM22	2.68061926945141e-07	7.23768942135502e-07	20	61.4	38.0	2.68061959280884e-08	8	0.652702735832677	0.665268334356738	1	24.4133597517158
SUGP2	1.04526354369632e-09	4.11833836216351e-08	5	61.5	18.0	1.04526354418798e-10	1	0.949649923128461	-0.888067424979712	-1	78.648447935633
