	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance
RPS19	4.74348934163685e-43	1.1087359200975299e-42	5	16.5	10.5	4.74348934163682e-44	1	0.942944692388752	-0.996554504405676	-1	85.6240602629396
EIF4G2	6.0291314052560295e-43	1.1087359200975299e-42	5	19.9	9.0	6.02913140525597e-44	3	0.905250048455408	-0.949363506401815	-1	78.8500761229017
MATR3	4.94448927344322e-43	1.1087359200975299e-42	5	20.5	11.5	4.94448927344318e-44	2	0.825068695836772	-0.801385848731946	-1	64.4409411825139
EIF4A3	5.2282306918934195e-43	1.1087359200975299e-42	10	22.8	12.0	5.22823069189343e-44	1	0.944199192698265	-1.02431118506361	-1	85.8495025091998
ABCF1	6.5310552465838395e-43	1.1087359200975299e-42	5	24.9	3.5	6.531055246583831e-44	1	0.768829980992814	-0.784621260666828	-1	54.3344612517646
RBM17	4.7908597421169695e-43	1.1087359200975299e-42	5	27.4	12.5	4.79085974211698e-44	4	1.01432795818631	-1.02983150529093	-1	98.4521191041866
EIF3G	1.0883795449055099e-42	1.3073827460145398e-42	5	29.3	6.0	1.0883795449054998e-43	1	0.752814297749684	-0.773474699379891	-1	51.2255391462245
EEF2	5.49306940300945e-43	1.1087359200975299e-42	15	31.4	21.0	5.493069403009411e-44	10	0.826650851627903	-0.857517166665397	-1	64.7252653495002
DDX47	6.646149373721859e-43	1.1087359200975299e-42	10	32.8	19.5	6.64614937372179e-44	6	0.781303794111118	-0.839186398641878	-1	56.57609039087
FXR1	6.52967513851846e-43	1.1087359200975299e-42	15	34.1	22.0	6.529675138518441e-44	5	0.800238217063558	-0.825204391526893	-1	59.9787351010151
EIF3D	5.12931267095951e-43	1.1087359200975299e-42	20	35.6	28.0	5.12931267095945e-44	6	0.766268774613938	-0.816531014836277	-1	53.874195028782
CSTF2T	5.09287910823748e-43	1.1087359200975299e-42	5	35.7	35.5	5.09287910823748e-44	2	0.762270947122849	-0.723869926813373	-1	53.1557582114152
XRCC6	5.50334888407248e-43	1.1087359200975299e-42	25	36.4	27.5	5.50334888407249e-44	15	0.803787706522145	-0.869681658406238	-1	60.616602521655
PNPT1	6.30040154558057e-43	1.1087359200975299e-42	10	36.6	14.5	6.300401545580561e-44	6	0.915164121259711	-0.901670743074026	-1	80.6317025008636
AKAP1	6.43381075648171e-43	1.1087359200975299e-42	25	37.3	25.5	6.43381075648169e-44	3	0.751512467818199	-0.842472381312135	-1	51.2223862366198
CELF1	5.3158459515382595e-43	1.1087359200975299e-42	50	37.4	39.0	5.31584595153825e-44	8	0.857785270704158	-0.865258433366997	-1	70.3203324206944
UTP3	5.4250925058640795e-43	1.1087359200975299e-42	20	40.2	31.5	5.42509250586408e-44	17	0.784875051568009	-0.774384831530669	-1	57.2178696690017
DDX27	4.11077134049471e-43	1.1087359200975299e-42	70	45.3	54.0	4.1107713404946805e-44	4	0.894811185462587	-0.995715277159253	-1	76.9741413752902
DKC1	4.49766976485645e-43	1.1087359200975299e-42	60	46.7	48.5	4.49766976485644e-44	16	0.869106289360692	-1.06152835695551	-1	72.3547965467924
HNRNPL	5.3782644427137994e-43	1.1087359200975299e-42	35	47.0	36.0	5.37826444271378e-44	5	0.699778150808752	-0.707788396879447	-1	41.9253772626821
PRPF8	8.917693073423e-43	1.1603998226888599e-42	40	47.5	32.5	8.917693073422981e-44	7	0.8483015956032	-0.93163128761559	-1	68.5441818101005
HSPD1	5.32224257610735e-43	1.1087359200975299e-42	20	47.5	41.5	5.32224257610735e-44	13	0.835405230460568	-0.85236615808647	-1	66.2984868255597
NOL12	4.8791964523609396e-43	1.1087359200975299e-42	50	49.4	47.0	4.87919645236094e-44	5	0.854282911895787	-0.907490964073837	-1	69.6909346987638
HNRNPC	7.27260138795493e-43	1.11499143597607e-42	5	49.9	19.5	7.27260138795491e-44	2	0.689532607761847	-0.710009508150809	-1	40.0769668546401
XRN2	1.03162263493004e-42	1.25450406840257e-42	10	50.7	17.0	1.03162263493004e-43	5	0.692140606822637	-0.685412007780254	-1	40.3938230838728
APOBEC3C	4.16102342693519e-43	1.1087359200975299e-42	30	50.8	33.0	4.1610234269351503e-44	4	0.910770816685597	-0.946658578040178	-1	79.8421957592684
SUPT6H	5.3856005183184994e-43	1.1087359200975299e-42	55	51.9	53.5	5.38560051831845e-44	17	0.904511988185761	-0.962881095180311	-1	78.7174416677301
HNRNPM	5.22743952779525e-43	1.1087359200975299e-42	5	51.9	32.5	5.22743952779525e-44	1	0.991990646277839	-1.0698190883455	-1	94.4379520817667
SRSF1	4.23635867814082e-43	1.1087359200975299e-42	45	52.8	43.5	4.2363586781408304e-44	9	0.711323490946256	-0.781027220915817	-1	44.0001534860918
RBM22	5.4371269523794595e-43	1.1087359200975299e-42	55	52.9	53.0	5.437126952379411e-44	1	0.720564858123126	-0.709122380178885	-1	45.6608900830226
PABPC1	7.51137611146501e-43	1.1210159802716699e-42	20	55.0	39.5	7.51137611146501e-44	14	0.802825181871053	-0.763246284812013	-1	60.4271804117178
HNRNPA1	6.65421690973282e-43	1.1087359200975299e-42	10	55.2	26.0	6.65421690973275e-44	3	1.01861829140624	-1.10565046379107	-1	99.2231211924057
CKAP4	6.09939399734292e-43	1.1087359200975299e-42	25	56.3	32.5	6.099393997342881e-44	17	0.737051135280665	-0.702137025123893	-1	48.6235863268423
PTBP1	4.1157707463694095e-43	1.1087359200975299e-42	15	56.5	36.5	4.11577074636942e-44	5	0.604602047087742	-0.626586517987945	-1	24.8215834649003
NELFE	5.9928448673593494e-43	1.1087359200975299e-42	30	57.7	41.5	5.992844867359371e-44	10	0.665755498366461	-0.68276448090982	-1	35.8112749925123
HNRNPAB	4.1029764819959196e-43	1.1087359200975299e-42	50	58.9	49.5	4.10297648199591e-44	2	0.9184976222472	-0.94752999737173	-1	81.2307553227972
ATP5C1	5.56063471682538e-43	1.1087359200975299e-42	25	59.5	47.0	5.56063471682537e-44	20	0.709999055872714	-0.743218804732777	-1	43.7621434866195
U2AF2	5.23920793700454e-43	1.1087359200975299e-42	35	61.9	38.0	5.23920793700454e-44	16	0.592218754123615	-0.619320686114474	-1	22.596221413762
PUF60	4.85332132113797e-43	1.1087359200975299e-42	65	63.0	56.5	4.85332132113798e-44	23	0.854098868132372	-0.909028125929088	-1	69.6578607815078
YBX3	5.6190106019979795e-43	1.1087359200975299e-42	90	63.6	70.0	5.619010601997981e-44	9	0.903639792672731	-0.978222463413589	-1	78.5607021961298
RAVER1	1.3151917089276199e-42	1.4889815113733898e-42	120	66.2	39.5	1.31519170892762e-43	10	0.69875190269566	-0.745196916825327	-1	41.357670493309
DAZAP1	4.26640738528335e-43	1.1087359200975299e-42	50	66.8	47.5	4.2664073852833e-44	3	0.968032258279964	-1.1819813672211	-1	90.1324666497921
BOP1	4.80671551248059e-43	1.1087359200975299e-42	65	67.5	63.0	4.806715512480581e-44	22	0.826488086718341	-0.951376495728249	-1	64.696015387148
GRSF1	7.46654561337293e-43	1.1210159802716699e-42	45	68.4	51.5	7.466545613372881e-44	27	0.801803869908994	-0.887324565280965	-1	60.2436646257101
RPS3A	7.33829907934117e-43	1.11499143597607e-42	20	68.7	55.5	7.338299079341121e-44	12	0.966460811019684	-1.03450194382596	-1	89.8399520083945
PRPF6	1.1456197335001799e-42	1.3354265532516798e-42	15	69.8	63.5	1.14561973350017e-43	13	0.697917880870808	-0.741728951675526	-1	41.3495551930777
XRCC5	8.09250551352537e-43	1.1603998226888599e-42	20	70.4	50.0	8.09250551352533e-44	11	0.871400232157586	-0.925745958187406	-1	72.6932070966432
SF3B4	5.8442654904847794e-43	1.1087359200975299e-42	35	70.6	69.0	5.844265490484751e-44	21	0.654992284234246	-0.666560315875231	-1	33.8770521369686
