	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance
ADAR	1.00455730298657e-13	1.9789778868835297e-11	5	17.6	1.0	1.0045573029866101e-14	1	1.12849774344172	-1.1709535014642	-1	100.0
RBM17	2.40170594231011e-05	0.0001085552611739	10	18.0	9.0	2.40173189956639e-06	2	1.01603193621256	-0.99671371727286	-1	24.4951134574989
CELF1	2.44537447550468e-05	0.0001085552611739	15	20.4	16.5	2.4454013852749e-06	12	0.994065471453626	-1.00852644106314	-1	23.6784270967473
HNRNPA1	2.62469147416502e-05	0.0001085552611739	25	25.1	19.5	2.62472247520436e-06	3	1.12541931473847	-1.12367694494345	-1	28.5620027389952
AKAP1	4.17250822295268e-05	0.0001085552611739	10	27.9	16.0	4.17258656923497e-06	3	0.872420799321467	-0.86410796733651	-1	19.1558265928124
RBM22	8.30333075735803e-05	0.0001357558173321	5	34.7	10.0	8.30364102753206e-06	1	0.752076528872798	-0.742728444089663	-1	13.9966557640091
EEF2	2.8640995326871e-05	0.0001085552611739	5	39.8	33.5	2.8641364471543e-06	2	0.970091190441893	-1.12018758200116	-1	22.7870925772433
MATR3	6.5332030905468e-05	0.0001223548908078	10	41.1	20.0	6.53339517083634e-06	4	0.777625974128978	-0.770269270123805	-1	15.252460756611
EIF4G2	1.78051966542971e-05	0.0001085552611739	40	43.0	39.5	1.78053393171684e-06	8	1.08540820992851	-1.01794425996045	-1	27.074438675524
HNRNPC	2.99600551887466e-05	0.0001085552611739	10	43.8	21.0	2.99604591186192e-06	4	0.728152492322804	-0.734015747786345	-1	13.792106945271
RAVER1	2.30367633962043e-05	0.0001085552611739	10	45.8	36.5	2.30370022112991e-06	2	0.911824381463487	-0.982897846508362	-1	20.6208037046643
DDX28	3.39372427623943e-05	0.0001085552611739	55	46.5	42.0	3.39377610549352e-06	13	0.797084588209327	-0.815643525150289	-1	16.354918173493
PNPT1	4.49278619169248e-06	0.0001085552611739	20	48.0	45.0	4.49279527502581e-07	5	1.10094085082772	-1.1980816432394	-1	27.6519233144065
EIF4A3	4.12963523382728e-05	0.0001085552611739	75	48.4	50.0	4.12971197832672e-06	4	0.918511286150585	-0.988468367727053	-1	20.8694146629377
NSUN2	6.76050839991265e-05	0.0001233166809984	15	49.9	34.5	6.76071407885138e-06	10	0.878614180824314	-0.982406325581631	-1	18.9298383800843
UCHL5	2.37192474061026e-05	0.0001085552611739	35	50.8	32.0	2.37195005811197e-06	4	0.689404134702443	-0.691726677509325	-1	12.3514902817635
EIF3D	7.55558160160836e-05	0.0001317212013731	45	54.8	58.0	7.5558385045618e-06	3	0.886482360496686	-0.832898326757829	-1	18.9802291465087
DDX27	2.31802328054976e-05	0.0001085552611739	20	55.6	48.5	2.31804746044843e-06	8	1.22319793028971	-1.28556866509911	-1	32.1972923757304
IGF2BP3	3.28664479143292e-05	0.0001085552611739	70	56.0	59.0	3.28669340159769e-06	18	0.866619084859092	-0.934254113846927	-1	18.9401259271662
DDX47	5.38386849601447e-05	0.0001156053925946	85	56.4	47.5	5.38399893764218e-06	3	0.916941046290965	0.897132156819132	1	20.5760392879861
EFTUD2	5.21640667288873e-05	0.0001141813460621	40	56.6	33.0	5.21652912597785e-06	13	0.777318484694096	-0.761294803331177	-1	15.4600666932878
