	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance
EIF3G	3.457188215853e-09	6.8106607852304e-08	15	21.3	11.5	3.45718822123146e-10	1	1.01910666392749	0.939713088194561	1	28.8939870695203
XRCC6	1.41510066000624e-06	4.42755800056389e-06	25	29.6	26.0	1.4151015611365e-07	7	1.06887853555097	1.14135435592475	1	18.3716690328804
ESF1	7.32586784543705e-07	4.42755800056389e-06	10	29.7	12.0	7.32587026051345e-08	6	1.07498521837423	-1.14191920769877	-1	18.5892446740726
EIF4G2	1.21690471605457e-06	4.42755800056389e-06	65	30.6	21.5	1.21690538244078e-07	2	0.964271954525192	1.00270240978051	1	14.6446302135528
GRSF1	2.02930101018049e-06	4.42755800056389e-06	25	33.5	24.0	2.02930286331104e-07	11	1.04966653984173	1.0880201691545	1	17.6871628277931
KRR1	4.3498785926743906e-15	4.28463041378428e-13	5	37.6	35.5	4.34987859267443e-16	2	1.0956416209093	-1.12176683336479	-1	70.468624072064
RPS10	1.39402727996011e-06	4.42755800056389e-06	55	38.6	36.5	1.39402815445131e-07	8	0.945807825936421	1.00838039311924	1	13.9867698443429
FASTKD2	5.01252528143615e-06	6.45403581988838e-06	25	40.1	23.0	5.0125365879064e-07	6	0.989227820066148	-0.812463413783003	-1	14.4563341626702
BUD13	1.19146694302728e-06	4.42755800056389e-06	10	40.3	26.0	1.19146758184482e-07	5	0.884452553531038	-0.878501852337717	-1	11.8007364248115
LARP4	3.14626498921188e-06	4.95851362299793e-06	35	40.9	30.5	3.14626944376329e-07	4	1.17315778605228	-1.22359146401368	-1	21.7030297740282
STAU1	1.70451883885494e-06	4.42755800056389e-06	30	44.0	32.5	1.70452014627937e-07	5	0.890368926717079	-0.784677941979704	-1	12.011531504029
KIF1C	2.38457829114204e-06	4.42755800056389e-06	35	46.4	40.0	2.38458084994204e-07	11	0.857168814813345	-0.804736083452738	-1	10.828641243609
XPO5	2.4939169982598497e-11	9.82603297314382e-10	5	48.2	43.0	2.4939169982878398e-12	1	0.971621820636825	-0.860549183877887	-1	38.5319574358095
APOBEC3C	2.35506663959771e-07	3.31391520000534e-06	10	49.3	40.0	2.35506688918299e-08	1	1.13339872895897	1.16269824167631	1	21.6195006190307
NOL12	2.17620670672289e-06	4.42755800056389e-06	45	50.8	44.0	2.17620883786986e-07	21	1.09616475392409	1.21658565151656	1	19.3438525619855
AKAP1	2.0783366302874e-06	4.42755800056389e-06	50	50.8	47.5	2.07833857405738e-07	12	0.896454269901741	0.853890653817248	1	12.2283468330051
SNRNP200	1.49217676443357e-06	4.42755800056389e-06	35	53.0	39.0	1.49217776640069e-07	14	0.944048598038747	-0.928784362027739	-1	13.924090129526
DDX24	1.51438466155083e-06	4.42755800056389e-06	15	55.3	53.5	1.51438569356422e-07	10	1.10142404557262	-1.13209919652831	-1	19.531236414359
KHDRBS1	3.62865685078704e-06	5.29515110818553e-06	20	58.2	33.5	3.6286627760184e-07	12	0.864141354462948	-0.856630698492751	-1	10.6301520615592
DDX3X	4.64043687798074e-19	9.141660649622051e-17	5	58.7	23.5	4.6404368779807604e-20	1	1.12155211189009	-1.05502514982209	-1	100.0
RPS19	1.46269029737583e-09	3.6674597142954e-08	50	59.0	49.5	1.4626902983385901e-10	5	1.19202851487697	-1.12367517584444	-1	39.2738870958057
U2AF2	1.30712360120555e-06	4.42755800056389e-06	70	59.0	43.5	1.30712437006364e-07	10	0.901138654984317	-0.897174762144654	-1	12.3952472791934
EEF2	2.03686509317557e-06	4.42755800056389e-06	25	59.7	37.0	2.0368669601467e-07	15	0.878052721338751	0.873202287081214	1	11.5727161340809
AGO1	1.48713046742802e-06	4.42755800056389e-06	15	59.8	35.0	1.48713146262962e-07	5	0.981159949067751	-0.991440095727494	-1	15.2463343379348
PRPF8	2.0817889019609e-06	4.42755800056389e-06	60	60.5	55.0	2.08179085219374e-07	25	1.10117811867529	1.21258075457096	1	19.522474259205
HNRNPA1	1.50446942152967e-06	4.42755800056389e-06	60	60.9	58.0	1.50447044007335e-07	14	1.01890391505973	0.968071763934938	1	16.5911180510439
HNRNPK	1.72110512440639e-05	1.8527743688965e-05	15	60.9	38.5	1.72111845446451e-06	14	0.98263919220115	-0.910980287389385	-1	11.2338033472608
PCBP2	2.80207929820308e-06	4.52466903070498e-06	50	61.2	48.5	2.80208283145113e-07	7	0.841119131711141	-0.845419479070304	-1	10.2040622394969
SLBP	1.72019074406803e-06	4.42755800056389e-06	55	62.6	57.0	1.72019207564477e-07	13	0.906552115390975	-0.789894078833139	-1	12.5881240263795
DDX27	1.44896283799189e-06	4.42755800056389e-06	40	62.6	39.5	1.44896378276474e-07	8	1.12222558113392	1.19781511409748	1	20.2723765011332
ATP5C1	1.35038770569948e-06	4.42755800056389e-06	45	63.0	44.0	1.35038852629631e-07	18	0.810181879969824	-0.742698511414406	-1	9.1545388262873
EIF3D	1.11322510021448e-13	7.31017815807512e-12	5	63.0	17.5	1.1132251002145401e-14	3	1.18852644190478	-1.12221941206201	-1	68.3691814842642
RBM17	2.58236314262209e-06	4.42755800056389e-06	65	63.5	54.5	2.58236614349673e-07	19	0.961945957434994	1.04638604528956	1	14.5617570198799
SND1	3.26305120028137e-05	3.3832688760812e-05	20	64.4	48.5	3.26309911503568e-06	19	1.18394652925469	-1.13026057328921	-1	15.5129107424356
SAFB2	3.45795857564007e-06	5.16074120758404e-06	10	65.6	83.5	3.45796395651673e-07	3	0.927705100958431	0.954088579599877	1	12.9309356152505
DDX47	2.0509910692562398e-11	9.82603297314382e-10	5	66.8	38.5	2.05099106927516e-12	2	1.08096634689069	-1.01582156837096	-1	45.0865704445763
UCHL5	1.78968626942827e-06	4.42755800056389e-06	30	67.3	42.0	1.78968771076953e-07	1	0.717811059138253	-0.691574284924298	-1	5.86344918702677
ZC3H8	1.78343468756756e-06	4.42755800056389e-06	55	68.1	53.5	1.78343611885685e-07	21	0.817376744688315	-0.792339756103816	-1	9.4108854140705
AKAP8L	1.31693657046774e-06	4.42755800056389e-06	65	68.3	63.0	1.31693735091326e-07	13	0.904265719753339	-0.831281223989962	-1	12.506661797003
RBM22	2.70389099979697e-06	4.48282173436638e-06	60	68.6	54.5	2.70389428976455e-07	6	0.822679095922406	0.835372827620429	1	9.57030940432686
METAP2	2.78543452473453e-08	4.22100462594387e-07	10	68.8	44.5	2.78543455964843e-09	6	0.885699881518576	0.859568002745275	1	17.8616949540443
NAA15	1.97146705987812e-08	3.53071827996354e-07	5	70.6	23.0	1.9714670773681903e-09	4	1.00965699586723	-1.12293731053209	-1	23.641298663722
PTBP1	2.31872996594687e-06	4.42755800056389e-06	75	71.0	73.0	2.31873238537931e-07	14	0.912078125993897	0.899823184432021	1	12.7850108362833
FKBP4	1.71230454965698e-05	1.8527743688965e-05	50	71.5	61.5	1.71231774374098e-06	9	1.09130720822675	-0.987771204683041	-1	14.6559815997381
AUH	2.34871341426931e-06	4.42755800056389e-06	85	72.0	82.0	2.34871589667762e-07	11	1.07002628320598	1.1331813480388	1	18.4125622541581
CSTF2T	5.88129969681798e-06	7.07323708586991e-06	105	73.2	74.5	5.88131526223471e-07	25	1.04924091953909	0.994305313772122	1	16.25136756326
FIP1L1	5.6325764523394e-06	6.84949111796828e-06	55	74.0	65.0	5.63259072905319e-07	26	0.907712599379248	1.00942901076827	1	11.4847918031924
XRCC5	2.46223394798917e-06	4.42755800056389e-06	65	74.4	65.5	2.46223667616163e-07	35	1.02313925263467	0.955415930258929	1	16.742019336603
DDX19B	2.24249233518235e-06	4.42755800056389e-06	30	75.1	66.0	2.24249459813291e-07	15	0.772026123631387	-0.76465331949913	-1	7.79508339184278
SMNDC1	2.02602925928529e-06	4.42755800056389e-06	75	75.6	68.5	2.02603110644522e-07	5	0.81843353722838	-0.808916640406775	-1	9.44853798604233
HNRNPL	3.87944043854405e-06	5.45892690280841e-06	25	75.6	78.5	3.87944721108684e-07	21	0.877928621618584	0.904771062806797	1	11.0369595473244
PRPF6	2.55487662914838e-06	4.42755800056389e-06	90	75.6	88.0	2.5548795664807e-07	17	0.912137465996167	0.902295194803676	1	12.7871250674323
CIRBP	2.41092995133597e-06	4.42755800056389e-06	60	75.9	81.5	2.41093256700242e-07	21	1.0631481320917	-1.0122843078013	-1	18.167499888514
ILF2	4.74271246977934e-05	4.8410070287385e-05	35	76.6	56.0	4.74281369276687e-06	28	0.975119768537883	-0.993291525761168	-1	8.29022890939046
FAM120A	1.4893237418458501e-09	3.6674597142954e-08	5	76.8	64.0	1.48932374284399e-10	3	1.15350578104726	-1.21292562489489	-1	37.367658377114
NELFE	2.16941801342489e-06	4.42755800056389e-06	20	77.0	78.0	2.16942013129633e-07	4	1.04637767041673	1.14601623492999	1	17.5699833549678
FUS	1.48077420657461e-06	4.42755800056389e-06	105	77.2	86.0	1.48077519328705e-07	10	0.906892918624842	-0.887294165379559	-1	12.6002665404539
SRSF5	1.5591569379258e-06	4.42755800056389e-06	145	77.7	67.5	1.55915803186354e-07	9	1.00471894808259	-0.96970359109986	-1	16.0857203785813
PPIG	3.78421813864073e-06	5.38783172417606e-06	85	78.5	85.0	3.78422458279428e-07	2	1.08226195542808	-1.03181322267211	-1	18.2345124391709
LARP7	2.1682751338588402e-10	7.119170022836511e-09	5	78.5	66.5	2.1682751340704002e-11	2	1.01444159519485	-1.04429815721836	-1	35.2925820113196
RBM25	1.22888854593687e-06	4.42755800056389e-06	75	78.8	72.5	1.22888922551257e-07	4	0.988042540227967	1.01566090480447	1	15.4915548984401
SUGP2	2.5149298726612e-05	2.62138193076326e-05	40	79.1	39.5	2.51495833503973e-06	1	1.27053304585062	-1.18849453561787	-1	19.0259000507946
ZRANB2	1.90826660934613e-06	4.42755800056389e-06	40	80.8	81.5	1.90826824801477e-07	18	0.88948260025123	-0.874383234883295	-1	11.9799524856497
NCBP2	1.80524928773587e-05	1.92234653883225e-05	15	81.9	68.5	1.805263953066e-06	11	1.13399061218462	-0.920872768146437	-1	15.8793552942734
TFIP11	1.71520701703567e-06	4.42755800056389e-06	55	82.2	62.0	1.71520834090791e-07	17	0.920871176811999	0.969713658216997	1	13.098299363812
ABCF1	2.52836192542657e-06	4.42755800056389e-06	140	84.1	87.5	2.52836480210749e-07	4	0.984137443098096	1.07687405813546	1	15.352419784248
UBE2L3	1.57462444787467e-06	4.42755800056389e-06	15	84.3	38.5	1.57462556362475e-07	8	0.962765886581294	-0.982287452030986	-1	14.5909703612146
UTP3	3.79162772150056e-06	5.38783172417606e-06	120	84.8	86.5	3.79163419091445e-07	27	1.09923308380644	1.30068122796722	1	18.8295503772391
MAGOH	1.80127075535007e-06	4.42755800056389e-06	60	84.9	84.0	1.80127221541109e-07	23	1.11266353526276	-1.17133052304366	-1	19.9316893684065
TIAL1	1.27957538194519e-06	4.42755800056389e-06	130	85.3	81.5	1.27957611873671e-07	7	1.08491316941136	1.14764605114382	1	18.9429686802384
FXR1	4.2764567395507e-06	5.85043040063533e-06	75	85.7	78.0	4.27646496920999e-07	42	0.924838691614284	0.976696627053698	1	12.4947964418824
RPS3A	1.21542969992264e-06	4.42755800056389e-06	10	85.8	103.5	1.21543036469436e-07	8	1.28758977757854	-1.22502239508801	-1	26.1641547566917
NONO	2.53447261686044e-06	4.42755800056389e-06	80	87.2	87.0	2.53447550746323e-07	34	0.919149218236268	-1.01303744112883	-1	13.0369475215657
EFTUD2	1.404821521426e-06	4.42755800056389e-06	75	88.2	73.5	1.40482240951237e-07	24	0.888076294600546	-0.889394033997146	-1	11.9298470744935
HNRNPAB	2.37540467476391e-06	4.42755800056389e-06	90	88.4	84.0	2.37540721391405e-07	7	1.07871408498536	1.20542905667894	1	18.7221008526754
ILF3	2.22592875643602e-05	2.34496237977484e-05	50	89.4	75.0	2.22595105316507e-06	36	0.865098191120819	-0.821640328191636	-1	6.9431664418209
HSPD1	2.66128082677313e-06	4.48096002456673e-06	100	90.0	99.0	2.66128401386554e-07	24	1.05054676358287	1.01029092610054	1	17.6821222629261
SUPV3L1	1.31184503888965e-06	4.42755800056389e-06	110	90.6	103.5	1.31184581331213e-07	11	0.754245069710251	-0.723350294658583	-1	7.16156036142946
SUPT6H	6.17930325792239e-06	7.37771358673158e-06	95	90.8	92.5	6.17932044069458e-07	25	0.950255072961294	-0.770232226269672	-1	12.7428647393836
PUF60	2.68270593594006e-08	4.22100462594387e-07	10	90.8	80.0	2.68270596832616e-09	7	1.27145880657956	-0.913029361751296	-1	34.226382162245
RRP9	2.12898322380913e-06	4.42755800056389e-06	70	91.4	84.0	2.12898526346819e-07	68	0.914189309980439	1.09505882882043	1	12.8602304314122
SFPQ	3.80156654649986e-06	5.38783172417606e-06	35	92.0	116.0	3.80157304987421e-07	31	0.865705052599015	0.831352330260332	1	10.6416423564672
SRSF1	1.21059728235331e-06	4.42755800056389e-06	150	92.1	104.5	1.21059794184942e-07	1	0.941185074579944	1.04952964541033	1	13.8220653526299
