p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	safe	gage	padog	plage	zscore	gsva	ssgsea	globaltest	ora
DDX47	9.39989359705478e-11	1.30756425717646e-08	5	17	4.5	9.39989359745237e-12	1	1.37622012566083	-1.33147499433099	-1	61.2704055845879	3	1	25	2	93	2	6	16	21	1
AKAP1	6.67702267424169e-09	1.30756425717646e-08	5	18.2	8	6.67702269430387e-10	1	1.43484030245803	-1.2022916519859	-1	66.1174899979257	9	2	20	1	100	7	16	5	19	3
XRCC6	4.17117475136946e-09	1.30756425717646e-08	20	23.2	20.5	4.17117475919886e-10	4	1.5245610823544	-1.33517938723418	-1	73.5361676196723	16	19	14	26	46	16	28	41	22	4
FXR1	4.14161092554516e-09	1.30756425717646e-08	5	26.3	13	4.14161093326398e-10	4	1.30496122235775	-1.11669175835346	-1	55.3782718793818	5	6	72	4	43	4	5	75	20	29
EIF3G	5.17123906959428e-09	1.30756425717646e-08	15	31.8	29.5	5.17123908162805e-10	3	1.33215672828439	-1.25061813893887	-1	57.6269671254898	15	3	44	32	69	27	39	55	23	11
RPS19	2.05511010276578e-09	1.30756425717646e-08	5	32.3	9	2.05511010466634e-10	2	1.52912385959791	-1.40328619316592	-1	73.9134467011571	4	33	10	108	76	6	8	3	73	2
AKAP8	3.10139132976792e-09	1.30756425717646e-08	15	35.4	27	3.1013913340963e-10	8	1.35448139707156	1.36107090530325	1	59.4729109629771	25	29	35	48	14	14	12	8	96	73
HSPD1	4.02192121303234e-09	1.30756425717646e-08	25	40	32.5	4.02192122031147e-10	17	1.40298563002324	-1.51107166476872	-1	63.4835456005076	24	28	37	40	38	25	46	17	120	25
RBM17	8.18376198149317e-09	1.42672664633111e-08	15	40.1	22	8.18376201163144e-10	6	1.61184322837075	1.91514270374072	1	80.1128511637285	62	95	12	6	113	21	14	11	44	23
AARS	6.67381043250405e-09	1.30756425717646e-08	30	42.6	32	6.67381045254693e-10	13	1.48671296849595	-1.37026932672916	-1	70.4066478402933	13	36	30	101	99	24	37	26	34	26
HNRNPL	3.27781863210397e-09	1.30756425717646e-08	30	43.9	41.5	3.2778186369388e-10	18	1.26178920583356	-1.27625754162173	-1	51.8085383879473	29	52	92	30	18	49	50	59	26	34
PCBP2	3.00889867563154e-09	1.30756425717646e-08	10	45.4	36.5	3.0088986797056e-10	8	1.02325797473884	-1.06972616077329	-1	32.085277976547	33	10	164	8	11	40	53	48	18	69
PRPF8	5.67633335694865e-09	1.30756425717646e-08	10	48.5	21.5	5.676333371448e-10	8	1.2110138533651	-1.23213697518875	-1	47.6101133237746	8	17	59	104	78	8	23	10	158	20
PTBP1	4.6915841480937e-09	1.30756425717646e-08	10	49.6	40.5	4.69158415799864e-10	6	1.13614959485945	-1.13652959203678	-1	41.4198662050359	6	11	108	34	57	9	18	47	147	59
HNRNPA1	5.69440848807066e-09	1.30756425717646e-08	25	49.9	26.5	5.69440850266248e-10	5	1.70207142123611	2.02133060517593	1	88.213837388163	70	138	5	11	79	29	24	20	102	21
EEF2	4.85762763217139e-09	1.30756425717646e-08	60	51.2	45.5	4.85762764278983e-10	14	1.49601374827373	-1.2701157983169	-1	71.1756947309008	51	14	27	25	60	57	58	152	40	28
ADAR	1.00867515968778e-08	1.56219013506209e-08	25	53.2	31	1.00867516426619e-09	9	1.67201368748205	1.89163198053532	1	84.3733860041915	34	175	18	9	127	28	21	24	53	43
HNRNPA2B1	5.41154412556536e-09	1.30756425717646e-08	90	54.3	52.5	5.41154413874352e-10	17	1.20594932325062	1.23587392116102	1	47.191346163387	86	50	101	17	73	55	32	27	37	65
FUS	4.56232686849339e-09	1.30756425717646e-08	90	55.6	49	4.56232687786005e-10	10	1.13806928010367	1.19196990497873	1	41.5785978386496	90	22	104	10	53	45	27	74	31	100
NOL12	2.97910132304348e-09	1.30756425717646e-08	10	55.7	11.5	2.97910132703724e-10	4	1.61132191416056	-1.37615957416641	-1	80.710098141764	113	4	8	7	8	120	139	137	15	6
SLBP	6.12755949287003e-09	1.30756425717646e-08	20	58.9	46	6.12755950976617e-10	15	1.18193154103434	1.34230940714506	1	45.2054050730655	43	49	106	20	89	19	15	18	111	119
DDX27	4.55185589678432e-09	1.30756425717646e-08	10	59.3	44	4.55185590610803e-10	3	1.55987450691793	-1.42879590590217	-1	76.4561033676593	88	21	9	3	52	105	162	110	36	7
NSUN2	4.63233689573724e-09	1.30756425717646e-08	50	59.3	49	4.63233690539358e-10	20	1.14239396130478	1.21293472328605	1	41.9361896438582	50	20	126	59	56	48	41	37	47	109
