	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance
EIF3G	1.7479258592671301e-09	3.1021747232038304e-09	10	21.6	9.5	1.74792586064199e-10	2	0.761626983210742	-0.673654554122806	-1	54.6002717660349
AKAP8L	2.63132716393731e-16	5.18371451295651e-14	5	26.2	1.0	2.6313271639373302e-17	1	0.684089452615348	-0.679245091499837	-1	100.0
U2AF2	7.87470931748937e-10	2.6556333518435603e-09	5	29.0	14.0	7.87470932027985e-11	2	0.579881183357852	-0.59101980974362	-1	28.3648868342406
RPS19	8.020180167172201e-10	2.6556333518435603e-09	35	34.8	35.0	8.020180170066749e-11	4	0.790600773230125	-0.665310831760544	-1	59.8201971986173
CSTF2T	1.9689599687514903e-09	3.3152573832824304e-09	5	39.4	29.5	1.96895997049605e-10	2	0.754349319409468	-0.678446894448566	-1	53.1436126132161
EIF3D	9.95581535851642e-10	2.6556333518435603e-09	60	40.7	47.0	9.955815362976719e-11	6	0.763820700415511	-0.708575656611342	-1	55.8225835810372
UTP3	2.7759774312953703e-09	4.05359965373263e-09	15	42.4	39.0	2.77597743476309e-10	5	0.673250470917325	-0.608202590611962	-1	40.1501953954606
EFTUD2	7.78843921988497e-10	2.6556333518435603e-09	15	43.8	14.5	7.78843922261465e-11	3	0.568399315332482	-0.568995309659087	-1	26.650923160907
DDX47	8.054095215945391e-09	9.171426344169021e-09	30	46.3	29.5	8.05409524513617e-10	5	0.78014018078343	-0.666232967113119	-1	50.9492362755015
SRSF1	9.174719168669111e-10	2.6556333518435603e-09	40	46.9	37.5	9.174719172457009e-11	18	0.667123844990537	-0.557371766477375	-1	41.3880945973812
MATR3	6.45143095707755e-10	2.6556333518435603e-09	55	47.0	46.0	6.4514309589505e-11	7	0.650007087195502	-0.643827572945219	-1	38.8329789140172
SUPV3L1	1.24064799454381e-09	2.6857984057706604e-09	20	54.4	46.5	1.24064799523645e-10	17	0.642229504428889	-0.528281640191064	-1	37.6171386141083
EIF4A3	6.35565312793729e-10	2.6556333518435603e-09	35	55.2	31.5	6.35565312975503e-11	5	0.790904805386513	-0.69942171686869	-1	59.8655818059324
RBM22	7.94654454344841e-10	2.6556333518435603e-09	35	55.3	35.0	7.946544546290049e-11	12	0.669871711494236	-0.557924260962831	-1	41.7982842421415
DDX3X	2.5103582284861302e-09	3.89402024418714e-09	5	55.4	57.5	2.51035823132197e-10	3	0.637630675406161	-0.543782845120939	-1	35.1405016752761
HNRNPA2B1	9.074013274287e-10	2.6556333518435603e-09	70	55.7	52.5	9.07401327799219e-11	7	0.542451242542791	-0.500275514993521	-1	22.7775069139795
ABCF1	1.34254809502929e-09	2.7101599373364203e-09	30	56.1	43.0	1.34254809584038e-10	16	0.701920788434836	-0.656802265557416	-1	46.4745859198395
SF3B4	1.96492979592263e-09	3.3152573832824304e-09	10	57.5	22.5	1.96492979766005e-10	6	0.569170558732537	-0.547900845794945	-1	25.8114914259139
SNRNP200	8.40082427817962e-10	2.6556333518435603e-09	15	61.6	55.0	8.40082428135544e-11	3	0.659275621047908	-0.608686106563001	-1	40.216545620496
BCLAF1	3.6337712280476803e-09	4.769334349732501e-09	15	61.8	40.0	3.63377123398961e-10	11	0.595287946544994	-0.514778619564389	-1	28.0298149229248
TARDBP	2.6008618376671703e-09	3.91121971007964e-09	20	63.8	36.0	2.60086184071119e-10	3	0.609064889795016	-0.534106601601007	-1	30.9386876887218
HNRNPC	1.5912888392227602e-09	2.9297560871671303e-09	5	64.5	21.5	1.59128884036225e-10	2	0.528267437899915	-0.536733787306998	-1	20.2679068288358
PUF60	8.98860131544197e-10	2.6556333518435603e-09	50	64.6	54.5	8.98860131907773e-11	19	0.687233640961774	-0.625204660025247	-1	44.3899980939805
PTBP1	1.19027906552692e-09	2.6857984057706604e-09	20	65.3	47.5	1.19027906616446e-10	11	0.583622491716948	-0.558799040224754	-1	28.8735409764151
PRPF6	7.87149118468282e-10	2.6556333518435603e-09	85	65.4	73.5	7.87149118747102e-11	9	0.736121791697637	-0.610067143928995	-1	51.687810107895
MSI2	8.46650741072874e-10	2.6556333518435603e-09	10	65.7	44.5	8.4665074139544e-11	6	0.590344060457905	-0.552894346764941	-1	29.926739942848
NSUN2	2.5668229177681404e-09	3.90189852781677e-09	40	66.0	46.0	2.56682292073299e-10	21	0.597602021387451	-0.501937112475738	-1	29.271889012928
TFIP11	9.1410833403536e-10	2.6556333518435603e-09	55	66.8	57.0	9.141083344113779e-11	29	0.701964078691137	-0.570833989221597	-1	46.5888942234818
EIF2S2	1.23865824224732e-08	1.3556426317929e-08	20	67.4	53.0	1.23865824915155e-09	8	0.709610692983572	-0.521081348356642	-1	38.9855017531853
CNOT7	5.79761440134635e-09	6.8803014281038e-09	15	67.7	45.5	5.797614416471901e-10	13	0.611552729134884	-0.555156562067083	-1	28.6916059174196
FXR1	2.2748317448032802e-09	3.5851348298099704e-09	50	68.4	52.5	2.27483174713197e-10	13	0.666966612125209	-0.546926052245377	-1	39.8514599708132
DDX6	3.65568267416044e-09	4.769334349732501e-09	40	69.2	53.5	3.65568268017424e-10	6	0.641937620390975	-0.530137856012549	-1	34.7869910131657
STAU1	1.15884085714059e-09	2.6857841041964203e-09	55	72.9	59.0	1.1588408577449001e-10	7	0.586742629653483	-0.574690474759759	-1	29.3390589008288
PUS1	1.04575660107649e-09	2.6556333518435603e-09	60	73.3	67.5	1.04575660156861e-10	25	0.558493372024137	-0.518153130066799	-1	25.1722067235563
TROVE2	3.51084202897093e-08	3.6211302602475e-08	10	73.6	47.0	3.5108420844379803e-09	5	0.600040789031032	-0.566228532115099	-1	19.5229402562859
RBM25	1.3544941334396301e-09	2.7101599373364203e-09	40	73.9	57.0	1.35449413426523e-10	34	0.557546406557088	-0.509525349074223	-1	24.9451839864468
PUM2	2.14127514181026e-09	3.4576328109559e-09	85	74.6	72.5	2.14127514387353e-10	21	0.604159284119738	-0.545017809030775	-1	30.7837321892003
ATP5C1	2.8611627670227303e-09	4.11422675258013e-09	25	74.9	60.5	2.86116277070654e-10	15	0.519349911342678	-0.43419667036773	-1	17.6103366166381
HNRNPAB	6.27675395542603e-10	2.6556333518435603e-09	120	75.7	94.5	6.27675395719891e-11	2	0.938602279905008	-0.752852822903036	-1	81.9132229570467
HNRNPL	6.42747772923806e-10	2.6556333518435603e-09	110	75.9	97.0	6.427477731097109e-11	5	0.722328808465569	-0.599495939158912	-1	49.6288531372673
XRCC5	1.6434634643735102e-09	2.99779909705167e-09	85	76.0	81.0	1.64346346558894e-10	28	0.806503761564227	-0.694642623756262	-1	61.4552210128454
AUH	9.17406357722687e-10	2.6556333518435603e-09	65	76.8	63.0	9.174063581014201e-11	22	0.667711144257293	-0.582851532919972	-1	41.4757640956172
DAZAP1	7.70073912154864e-10	2.6556333518435603e-09	150	77.2	76.5	7.7007391242172e-11	21	0.763961407033278	0.890754209736477	1	55.8435876572831
BUD13	1.3757157042316901e-09	2.7101599373364203e-09	55	77.5	56.5	1.37571570508335e-10	20	0.584068021356542	-0.53865500582352	-1	28.9001412130243
EIF4B	1.5347923080560602e-09	2.8795627113051903e-09	105	77.6	87.5	1.53479230911607e-10	9	0.614150504536733	-0.545969846364319	-1	33.1046109448536
XRCC6	6.95004773363603e-10	2.6556333518435603e-09	30	77.9	73.0	6.95004773580966e-11	14	0.697033346449431	-0.578896167822271	-1	45.8528558082566
QKI	1.01299685507829e-09	2.6556333518435603e-09	75	78.7	70.5	1.01299685554006e-10	27	0.620826466055914	-0.534177995179961	-1	34.4770218094717
PABPC1	1.08285460159307e-09	2.6556333518435603e-09	35	79.8	89.0	1.08285460212073e-10	34	0.767513011952691	-0.629149973997632	-1	56.3737559017234
MAGOH	6.34201306323987e-10	2.6556333518435603e-09	150	79.9	65.0	6.3420130650498e-11	4	0.753694000180506	-0.627679102800652	-1	54.3109135030337
DNAJC21	2.8565216965455102e-09	4.11422675258013e-09	50	80.0	71.0	2.85652170021738e-10	35	0.631980160386587	-0.573479120774756	-1	34.0505624557984
KRR1	4.10070510856266e-09	5.083831784875641e-09	25	81.0	74.5	4.1007051161297703e-10	22	0.719784801507925	-0.627478261270093	-1	45.715635470039
RBM15	7.158100536398371e-09	8.34405802171881e-09	15	81.3	77.0	7.15810055945563e-10	12	0.521152481050794	-0.476768102616288	-1	15.087702004526
RAVER1	1.0708206852732702e-09	2.6556333518435603e-09	80	81.7	87.5	1.07082068578927e-10	11	0.623608237413397	-0.57129588321068	-1	34.8922726243836
NONO	1.2333354813801202e-09	2.6857984057706604e-09	60	82.2	84.0	1.2333354820646201e-10	39	0.720469467175491	-0.599651262580491	-1	49.2897819001059
PRPF8	3.14983751792881e-09	4.36984500726743e-09	70	82.6	83.0	3.14983752239347e-10	24	0.636239772763083	-0.555322162475839	-1	34.3824100204357
DKC1	9.11224144370591e-10	2.6556333518435603e-09	115	82.8	70.0	9.112241447442359e-11	42	0.649129898264338	-0.514877199084713	-1	38.7020359385934
SERBP1	1.2271289556932101e-09	2.6857984057706604e-09	90	83.1	88.5	1.22712895637084e-10	36	0.640635642662968	-0.569255577534837	-1	37.3793499037401
FMR1	6.98261085013093e-10	2.6556333518435603e-09	25	83.6	64.5	6.98261085232497e-11	12	0.494982287776799	-0.497005814393528	-1	15.6915463455202
BOP1	7.29896197182565e-10	2.6556333518435603e-09	140	83.9	55.5	7.29896197422301e-11	17	0.667443450970319	-0.491387672878825	-1	41.4358039977956
HSPD1	7.88139732144256e-10	2.6556333518435603e-09	105	84.0	88.0	7.881397324237789e-11	33	0.692049154926296	-0.556751372227295	-1	45.1088372223684
FIP1L1	1.0591857082785501e-09	2.6556333518435603e-09	35	84.5	82.5	1.0591857087834001e-10	29	0.58389369239162	-0.540460702532045	-1	28.9638568544154
GRSF1	9.48697065634885e-10	2.6556333518435603e-09	85	84.8	86.0	9.48697066039897e-11	15	0.600684007131914	-0.534769360495197	-1	31.4702425283419
NELFE	1.7264052328499702e-09	3.0918348261040404e-09	75	86.6	72.5	1.72640523419118e-10	27	0.598023238162649	-0.527996341599291	-1	30.3855244231868
U2AF1	8.10400633749314e-10	2.6556333518435603e-09	90	86.8	84.5	8.104006340448509e-11	36	0.630322804111014	-0.529291321345914	-1	35.8945941435356
HNRNPA1	9.21069676527446e-10	2.6556333518435603e-09	5	87.2	72.0	9.210696769092119e-11	1	0.930375770072451	-0.714918999194148	-1	80.6852050961753
SRSF5	4.87493821379611e-08	4.95032385627749e-08	10	87.4	91.0	4.8749383207387e-09	6	0.61111890481898	-0.512255948210394	-1	19.5133749618896
AARS	7.748270984724571e-09	8.874473162736871e-09	80	87.6	78.0	7.74827101174062e-10	28	0.626144568021687	-0.600159381209613	-1	29.5600772964666
AKAP8	1.00160389256953e-08	1.12751981049256e-08	35	87.7	73.0	1.00160389708398e-09	31	0.558444385693411	-0.49195022691941	-1	19.0607892879061
RTF1	1.2736091814081701e-09	2.68961306868508e-09	35	88.3	96.0	1.27360918213811e-10	31	0.823418375204167	-0.699775608009839	-1	64.6399253655505
