	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance
XRCC6	0.0007191547861446	0.0061597170813257	15	22.9	16.0	7.19387624824313e-05	1	0.452959232208767	-0.4400602065975	-1	32.2141437646642
EIF3G	1.28850723354253e-06	4.23059875013132e-05	10	27.0	17.5	1.28850798065604e-07	2	0.464252297972958	-0.463232372075436	-1	65.4129801442238
PTBP1	5.98432700878195e-08	3.92970806910015e-06	5	28.5	4.0	5.9843271699367204e-09	1	0.410920439842562	-0.452216069726565	-1	71.5686427264178
DDX47	0.0019484852314655	0.0137089853785255	5	28.7	26.0	0.000195019581038	3	0.428246041284172	-0.425264104359759	-1	25.6525684402334
NELFE	3.43591086485249e-05	0.000520672646443	10	34.3	16.0	3.43596399068417e-06	4	0.360643428466801	-0.383319035867176	-1	38.1141940573812
DDX3X	0.0013834744411952	0.0104824794198259	30	37.3	33.0	0.0001384336497313	1	0.416658296744398	-0.41496809641618	-1	26.5225257022202
PRPF8	0.0052507099999334	0.0198921128843632	35	37.5	30.5	0.0005263157894736	2	0.411424168743531	-0.43073130290599	-1	22.4960673030936
RPS19	0.0078190601008861	0.0280064516340829	20	38.8	35.5	0.0007846709084557	9	0.435674428112425	-0.439069000275189	-1	21.7388834143407
HSPD1	0.0022900154816684	0.015037768329623	25	41.5	33.5	0.00022923787869	12	0.43377356686787	-0.449072988152774	-1	25.422565571075
APOBEC3C	3.78616893254202e-06	0.0001065536113872	5	44.8	20.0	3.78617538334132e-07	1	0.543574388957644	-0.53743871003784	-1	69.5695258997973
PCBP2	0.0052507099999334	0.0198921128843632	10	52.0	18.5	0.0005263157894736	6	0.338776635362305	0.36058247904109	1	18.5092735864559
NPM1	0.0099842809924633	0.0333373450087334	15	52.2	33.0	0.0010029425360131	10	0.435326519505524	-0.449658482912484	-1	20.6588508863869
RPS10	0.0190903504437238	0.0578584467294397	40	53.4	46.0	0.0019256359803246	3	0.429643700064253	-0.377663577323825	-1	17.0698007465056
SRSF1	0.0102964260048682	0.033806598715984	25	54.3	39.5	0.0010344446823968	14	0.343419005778286	-0.336528893039372	-1	16.2126661013757
RBM34	4.46958088002096e-05	0.000616769580995	5	54.9	29.0	4.46967077975539e-06	1	0.325746669984085	-0.309115032509432	-1	33.6452966093954
GRSF1	0.0003472368316701	0.0032574121828103	40	56.2	36.5	3.47291101643164e-05	4	0.466771641348784	-0.416962643445264	-1	37.3649126550688
XRCC5	2.27961123877513e-05	0.000408257649126	15	56.9	53.0	2.27963462393606e-06	5	0.466711434203608	-0.468704385897552	-1	50.9382896180704
PRPF6	0.0001664432665478	0.0019287837358783	100	57.6	45.5	1.66455734374625e-05	5	0.390733344129795	-0.423892817136891	-1	34.1331270443238
ZRANB2	0.0039050098121478	0.0198921128843632	5	60.3	45.5	0.0003911888927226	4	0.393371435445629	0.448679985763199	1	21.5053588739095
AUH	1.4162929291061202e-09	2.79009707033905e-07	5	60.8	61.5	1.41629293000877e-10	1	0.47337850398189	-0.481066331453684	-1	100.0
NUFIP2	0.0042004783368797	0.0198921128843632	10	61.7	32.0	0.0004208439331927	7	0.477627320769938	-0.429328785004468	-1	26.1292025003404
SF3B1	0.0834874398718286	0.129504139013781	85	62.4	46.5	0.0086800595931336	10	0.476850585122422	0.508652079145204	1	13.5721243395064
TBRG4	0.064514544012218	0.117679307133398	55	63.1	54.0	0.0066467798011956	18	0.395067536319577	-0.381021675478799	-1	11.7602178841095
SNRNP200	0.0052507099999334	0.0198921128843632	45	63.5	51.0	0.0005263157894736	15	0.443646182419897	0.44668669121818	1	24.2643657666936
TAF15	0.0492972464037931	0.112806401677891	65	64.9	59.5	0.0050426257822073	6	0.391858167815394	-0.409885838624458	-1	11.8961641862724
HNRNPL	0.00254370599135	0.01616484129987	35	65.6	45.0	0.000254662238888	21	0.369787152718038	-0.374492940854435	-1	21.2859158380134
MAGOH	0.0572321635114844	0.112806401677891	120	66.0	62.5	0.0058761896027144	7	0.459546811919364	-0.447113273182177	-1	13.9652969068174
EIF4A3	0.0052507099999334	0.0198921128843632	110	66.5	45.0	0.0005263157894736	4	0.459573873316007	-0.486633276080352	-1	25.1384548792851
SART3	0.0509718871468532	0.112806401677891	30	67.6	53.5	0.0052180242818989	13	0.504900778115586	0.547533895262654	1	15.3516945323771
DDX28	0.0002155488402252	0.0023590623069099	20	68.8	52.5	2.1556975066604e-05	8	0.388503954218568	-0.407281498365601	-1	32.841928258212
AKAP1	0.0589642835890228	0.112806401677891	110	69.1	58.0	0.0060589882787909	9	0.389959577263246	-0.282340588223607	-1	11.8381273340593
FXR1	9.79748392225595e-05	0.0012063152079277	65	69.1	64.5	9.79791590717158e-06	6	0.36368283443166	-0.388116720604162	-1	34.1554603078579
EIF3D	0.0581787934078976	0.112806401677891	90	69.3	81.5	0.0059760543593287	14	0.425297937051142	-0.443572122419874	-1	12.918364019185
NONO	8.53934688746003e-06	0.0001869168152032	90	69.4	70.5	8.53937970183787e-07	9	0.369295751305731	-0.392941749602447	-1	44.3305060694335
DDX1	0.0052507099999334	0.0198921128843632	70	70.4	56.5	0.0005263157894736	11	0.443686361390198	-0.461410127824831	-1	24.2665707316647
DDX6	0.0195710475301738	0.058416611567337	85	70.6	72.0	0.0019745576391967	18	0.394445646012473	-0.376085770366276	-1	15.6115829008284
CSTF2T	4.15482832238223e-08	3.92970806910015e-06	5	72.4	73.5	4.15482840006391e-09	2	0.40016099783733	-0.402580237983442	-1	69.6925514523568
EFTUD2	0.0493835824718804	0.112806401677891	25	73.1	47.5	0.0050516616472958	13	0.292450193248885	0.344028079739411	1	8.85742267236732
HNRNPA1	0.0052507099999334	0.0198921128843632	15	73.4	46.5	0.0005263157894736	6	0.559642285403108	0.681567104475726	1	30.6300675738171
EIF4G2	0.0052507099999334	0.0198921128843632	30	73.8	72.5	0.0005263157894736	6	0.429211674024708	-0.393561913025979	-1	23.4722203944522
HNRNPUL1	0.0576666787987363	0.112806401677891	70	74.3	76.0	0.0059220175989858	5	0.472812025319034	-0.463032909051934	-1	14.3707930938605
TROVE2	0.0057875657291823	0.0215122726160175	35	77.1	79.5	0.0005802694374792	13	0.335256150218159	-0.327875128647577	-1	17.9483338376875
ATP5C1	0.0052507099999334	0.0198921128843632	60	77.9	64.5	0.0005263157894736	22	0.323536292985371	-0.290405992888639	-1	17.672905186872
DNAJC21	0.0052507099999334	0.0198921128843632	140	78.9	53.5	0.0005263157894736	3	0.471323546811014	-0.462215060840131	-1	25.7832603156463
CCAR2	0.0527210499922947	0.112806401677891	75	79.3	67.0	0.0054015257523993	4	0.542399486523897	-0.566731070978628	-1	16.4979695918485
PNPT1	0.0489396527873378	0.112806401677891	130	79.5	68.0	0.005005208177479	8	0.458783973395883	-0.438079707392828	-1	13.9419781630264
ABCF1	0.0052507099999334	0.0198921128843632	10	79.6	80.5	0.0005263157894736	9	0.385270798488249	-0.339618787575959	-1	21.0608073933661
LARP4	0.047691143902107	0.112806401677891	65	79.9	78.0	0.004874666871717	2	0.375577388145163	-0.392676837972714	-1	11.398487000127
MATR3	3.10791886698659e-05	0.0005102166806636	10	80.8	86.5	3.10796233406076e-06	6	0.323519914043582	-0.306831845017168	-1	34.2743036738932
RECQL	1.20256397790554e-06	4.23059875013132e-05	145	81.1	60.5	1.20256462867809e-07	5	0.355512720384191	-0.369662717357651	-1	50.0723344999484
DDX24	0.114803894216067	0.155974945934932	95	81.8	78.5	0.0121205541074487	15	0.343886787285146	-0.299974036181431	-1	8.86879625432599
PA2G4	0.0098846644455473	0.0333373450087334	40	81.8	66.0	0.0009928909651589	9	0.403030060590767	-0.393765621241232	-1	19.120084090677
XRN2	0.0003246414275133	0.0031977180610065	140	82.3	62.0	3.24688863692226e-05	20	0.290143492433608	-0.300312843997811	-1	23.2699197747069
SRP68	0.0094295126289625	0.032604083433033	40	82.6	74.0	0.0009469765296499	30	0.320661227820022	-0.321210127535091	-1	15.2955230255976
PUM1	0.0437449817990459	0.112806401677891	145	82.7	80.5	0.0044630753525878	7	0.536532604531459	0.647105575640168	1	16.3186284681072
RRP9	0.0538284811567525	0.112806401677891	50	83.4	86.0	0.0055178620465601	23	0.448512273067438	-0.331697283539213	-1	13.6279888443369
FUS	0.0558130657790009	0.112806401677891	35	83.9	83.5	0.0057266507546727	23	0.385237433340766	0.439239068830676	1	11.6937790075347
RAVER1	0.0479982114863162	0.112806401677891	40	84.2	57.0	0.0049067588844679	36	0.340638369278684	-0.356997416328039	-1	10.3304575231392
PES1	0.0009321366024856	0.0076512879454033	25	84.8	90.5	9.32527828857723e-05	22	0.373770034692474	-0.356797847235733	-1	25.4324666784308
RTF1	0.0485249623332418	0.112806401677891	110	85.0	91.0	0.0049618319705877	7	0.38721715457016	-0.402869186711105	-1	11.7542958937498
SAFB2	0.0499979351151938	0.112806401677891	15	85.7	106.5	0.0051159806477774	13	0.493702777092557	-0.425031668613672	-1	15.0093896948647
SUGP2	4.69621508371873e-05	0.000616769580995	35	86.0	38.5	4.69631433163316e-06	7	0.582239387660131	0.593577314412842	1	60.2023908951161
DDX55	0.130699971146712	0.171196264547587	120	86.6	88.0	0.0139090582007324	16	0.505471781362271	0.529248464148375	1	12.4153726501656
PABPC1	0.0568780039926934	0.112806401677891	55	86.8	66.0	0.0058388507274207	36	0.435362887099579	-0.36533482424913	-1	13.2260333151438
PABPC4	0.020745028360625	0.0609965759260168	105	87.0	93.5	0.0020941271958777	8	0.388348345005012	-0.380704913346845	-1	15.1338724753788
DDX27	0.0559831850172643	0.112806401677891	35	88.6	83.5	0.0057445665650201	18	0.47657114681616	0.515650790143221	1	14.4857033774563
PHF6	0.0245818974521129	0.0712152029127387	165	88.8	68.0	0.0024858129150058	43	0.428409812467882	-0.408863268919564	-1	15.7739861427116
FTO	0.0589799968163593	0.112806401677891	85	88.9	82.0	0.0060606479542059	42	0.354668229214962	-0.332750819585321	-1	10.7593277220197
SERBP1	0.0973478449508049	0.13998193762999	115	90.1	102.5	0.010189532363198	11	0.400508499133277	0.456441361193685	1	10.9495864798046
EEF2	0.0694472338711227	0.121329660145921	95	90.3	80.5	0.0071718086769141	19	0.415762391836894	-0.3664185896251	-1	12.202643331491
CELF1	0.0052507099999334	0.0198921128843632	20	90.4	85.0	0.0005263157894736	16	0.416623513254129	0.525671030771021	1	22.7813999642414
PUM2	0.0720587321678821	0.121329660145921	90	90.7	83.0	0.0074507879467394	27	0.396613655715425	-0.379023399645163	-1	11.6368362732071
ESF1	0.200041066533631	0.231812294747796	155	91.3	70.0	0.0220722516116538	17	0.43860571421313	0.425110372371226	1	8.89966560000739
ASCC1	0.0052507099999334	0.0198921128843632	10	93.9	123.5	0.0005263157894736	7	0.360319559726108	-0.314281067769845	-1	19.6915187569961
SUB1	0.0020888742776567	0.0141899390585647	190	94.2	80.0	0.000209084040734	7	0.322131578623421	-0.357410253901355	-1	19.1201558420039
TUFM	0.0997805383481324	0.142440333728856	60	94.3	89.5	0.0104566153820827	18	0.454350279751422	-0.398591629295061	-1	12.3218314591915
PKM	0.0829580303764514	0.129504139013781	80	94.5	76.5	0.008622812388435	37	0.431950346351181	-0.417249171203864	-1	12.2864233208927
BCLAF1	0.0438007936645575	0.112806401677891	60	94.7	88.0	0.0044688859607689	56	0.308548389869866	-0.273748055361521	-1	9.34951858906315
SUCLG1	0.0898806283195721	0.133131456984629	115	94.8	103.0	0.0093737410375202	23	0.361893229232179	-0.324386994832144	-1	10.1403185263864
KHDRBS1	0.12907303040259	0.171196264547587	65	95.0	106.5	0.0137246613379994	4	0.347270468089077	0.346274048728976	1	8.50387926460473
PUF60	0.0052507099999334	0.0198921128843632	180	95.2	93.5	0.0005263157894736	17	0.421543004033507	0.423517334731733	1	23.0513746490715
TARDBP	0.0173321473316952	0.0541973495927611	140	95.3	92.0	0.0017468831623607	30	0.297760295206399	-0.279402226492577	-1	12.0774556001814
SUPV3L1	0.0644064845844019	0.117679307133398	55	95.6	109.0	0.0066353060149709	11	0.346490057583316	-0.333748938963871	-1	10.3040616374018
CPSF7	0.111367048185214	0.152356308975605	135	96.4	113.0	0.0117376703452085	1	0.536859212102611	0.587163623999633	1	14.0682561797779
UBE2L3	0.195191347873946	0.228014384140161	45	96.4	75.5	0.021480998087275	39	0.406855903484764	-0.42879894546052	-1	8.34363070111037
AKAP8	0.0052507099999334	0.0198921128843632	110	96.6	107.5	0.0005263157894736	2	0.402077751423633	-0.37127581204458	-1	21.9831491610762
DKC1	0.0707643646418894	0.121329660145921	65	96.8	80.5	0.0073124259826862	30	0.440848132812568	-0.36468705720276	-1	12.9438770722602
LARP7	0.0015206524855396	0.0110951310981969	30	97.7	90.0	0.0001521694061592	27	0.485385645916624	0.494390832958805	1	30.5247357232959
MSI2	0.0815564917218314	0.129504139013781	160	97.8	91.5	0.0084714017847834	38	0.352621397133817	-0.326392634753138	-1	10.0148694582516
IGF2BP3	0.0898219245660668	0.133131456984629	90	97.9	89.0	0.0093673515688784	49	0.339242162784101	-0.30758115141708	-1	9.50047953684077
ILF2	0.229646578419146	0.263025441561464	75	98.2	76.0	0.0257531694968869	29	0.463615840466719	0.534799930012997	1	8.59140493099091
AARS	0.0621431137646349	0.117679307133398	95	98.3	92.5	0.0063952542467545	50	0.360417369383922	-0.37013728135641	-1	10.721546089166
SFPQ	0.0278380245787986	0.079479577420628	115	98.7	99.0	0.0028193029823017	51	0.381268708840825	-0.364994985022692	-1	13.442778562951
HNRNPAB	0.0967390332646315	0.13998193762999	60	98.7	91.5	0.0101227928826533	50	0.441869218032498	-0.400948949703545	-1	12.0888559268668
RCC2	0.0002326069803068	0.002411767111603	55	98.8	117.5	2.32631331597624e-05	19	0.3379330709892	-0.367662245788393	-1	28.4516366580928
FIP1L1	0.007602500924041	0.0277350496673348	120	99.1	106.5	0.0007628635959256	36	0.375579774906937	-0.33989813173812	-1	18.7802178518197
HNRNPA0	0.0743780087066038	0.121948688557052	125	99.1	103.0	0.0076991430300473	19	0.483697406201923	-0.499140747055155	-1	14.1755042062417
RBM39	0.0514015977832711	0.112806401677891	135	99.6	104.5	0.0052630762159939	18	0.351706136737745	0.368621986091458	1	10.6687813305677
GTF2F1	0.0550681410671621	0.112806401677891	180	99.8	98.0	0.0056482345072703	9	0.533251371563835	-0.486247809523801	-1	16.2183264663916
FUBP3	0.350957814936154	0.375753747513165	25	100.0	90.5	0.0423048401792866	23	0.42023849249802	0.479997135564663	1	5.68005538961387
PPIG	4.67530234413851e-06	0.0001151293202244	10	100.0	107.0	4.67531218047104e-07	8	0.363931766322035	-0.398498992563664	-1	46.1560667635378
DNAJC2	0.009433668810573	0.032604083433033	40	100.2	86.0	0.0009473957076586	3	0.536521086125506	0.596414633383433	1	25.6474339821705
STIP1	0.0748144347699241	0.121948688557052	75	100.6	89.5	0.0077459394407783	12	0.51489690524409	-0.487589276293322	-1	15.0951630673306
AGO1	0.0481249729504767	0.112806401677891	65	100.8	106.0	0.0049200095985407	6	0.427783398271627	-0.410407940133304	-1	12.9943405615583
NOL12	0.0554024680715113	0.112806401677891	180	101.3	100.5	0.005683421339517	5	0.493641672023451	-0.489713033961334	-1	15.0075218114176
HNRNPK	0.0011542036604546	0.0090951248443827	150	101.4	119.0	0.0001154803582782	18	0.372199486178234	0.420765625797299	1	24.4239273067313
DHX30	0.0052507099999334	0.0198921128843632	20	101.5	106.5	0.0005263157894736	9	0.355463018832632	-0.35102579247038	-1	19.424998672727
TRIM56	0.122219655639399	0.163790967081372	120	101.9	108.5	0.0129512901927228	43	0.367643712382743	-0.36129822668274	-1	9.23534557717117
SUPT6H	0.273664976690898	0.301860078004954	155	102.3	99.0	0.0314686147294167	34	0.42302037290322	0.495617472111107	1	7.01582272134167
ADAR	0.0629390000942052	0.117679307133398	165	103.1	105.0	0.0064796059850157	8	0.538054376556477	0.605865122215619	1	16.0463847668822
HNRNPM	0.0749024939868188	0.121948688557052	75	103.1	111.5	0.0077553841253362	27	0.483550500948863	-0.46671863162813	-1	14.1711739214018
YBX3	0.0720061438864488	0.121329660145921	180	103.4	73.5	0.0074451631159422	28	0.495143556252863	0.526805658119753	1	14.5481988207117
RBM22	0.0680381629638826	0.121329660145921	140	103.7	128.5	0.0070215739965722	5	0.313050680026273	-0.25016399310465	-1	9.16771658007406
SMN1	0.262491628196752	0.294213480657763	100	104.4	103.5	0.0299889190823328	22	0.421584565546863	-0.481664695387323	-1	7.14326376844253
CKAP4	0.143165879905367	0.17850429329973	65	104.6	101.0	0.015332338065846	63	0.396747865273265	-0.426816433350298	-1	9.49486303010822
MTPAP	0.3158674043078	0.341900432135366	85	105.1	91.0	0.0372488893636773	67	0.371632765825937	-0.313708495912105	-1	5.50510181661458
U2AF2	0.0052507099999334	0.0198921128843632	15	105.2	138.5	0.0005263157894736	12	0.341272581047986	-0.350163414736245	-1	18.6462475498322
SF1	0.0480490629097189	0.112806401677891	185	105.5	110.5	0.0049120743286921	2	0.580204148318914	-0.499743864907771	-1	17.6535971530841
QKI	1.29059910186495e-05	0.0002542480230673	145	105.7	117.5	1.29060659733341e-06	10	0.303854147634201	-0.293843591138762	-1	35.1507273951586
RBM17	0.0589550615372201	0.112806401677891	45	106.7	113.0	0.0060580142312689	29	0.479014964198249	0.540326158380987	1	14.5604069348293
UPF1	0.0289300953485808	0.0814175540524347	55	106.8	80.5	0.0029313771840048	52	0.297995436500913	-0.27944507568665	-1	10.3881825298339
ZC3H8	0.138069115095879	0.177775265842407	95	106.9	93.0	0.0147481834326425	28	0.286657967157139	-0.234433582678008	-1	6.85381651113223
TIAL1	0.20981355024752	0.241715025723751	145	107.0	103.5	0.0232735294827639	33	0.431514037091257	-0.386849296254849	-1	8.50156756105486
NAA15	0.0421147746406836	0.112806401677891	35	107.0	101.5	0.0042934879834068	31	0.498508506267078	0.537158787661679	1	15.1562930877855
FASTKD2	0.0708255369458614	0.121329660145921	70	107.7	110.0	0.0073189611157245	66	0.373501185747147	0.352468984449832	1	10.9539087651214
TIA1	0.0004334550749403	0.0038813931710565	25	107.9	97.5	4.33539645643623e-05	22	0.263932801881183	-0.268324804763505	-1	20.4439563888217
SRFBP1	0.0032930885039942	0.0198921128843632	35	108.7	114.0	0.0003297978700536	21	0.343281860960647	-0.356884610575192	-1	18.7565139850149
BUD13	0.116278615686492	0.156896488289308	140	108.9	111.5	0.0122852566361017	59	0.316817073492065	0.30400894250111	1	8.13804762572711
HNRNPA2B1	0.0525532257386937	0.112806401677891	50	109.0	137.5	0.0053839063974346	21	0.331353734322813	-0.31515818749962	-1	10.0466412015122
EIF2S1	0.141167952473445	0.17850429329973	150	109.1	110.0	0.0151029782319941	16	0.296586255566933	-0.27979900571306	-1	7.07704311318945
HNRNPC	0.0772709616486509	0.124773602006428	135	109.8	129.5	0.0080097152884954	12	0.300076783423288	-0.312424237259747	-1	8.66670326612045
PPIL4	0.0959026583298697	0.13994684215544	130	110.8	106.5	0.0100311733235061	77	0.383433948068051	0.43085370154024	1	10.4806196104796
DAZAP1	0.314123528526942	0.341891354253081	105	112.0	111.5	0.0370037620840634	29	0.467918372239116	0.540448973886182	1	6.95290700439776
U2AF1	0.0542883270977665	0.112806401677891	145	112.6	128.0	0.0055662051440908	24	0.348236035175978	-0.334884679063423	-1	10.5627059204289
