	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance
DDX3X	8.8027510860967e-23	1.87851852186319e-22	5	12.2	3.0	8.802751086096711e-24	1	1.17728204287427	-1.21931084478586	-1	71.2596450412441
ASCC1	4.8478106113994104e-23	1.87851852186319e-22	5	12.3	4.0	4.84781061139941e-24	1	1.04020413172918	-0.919089406548665	-1	55.247941830906
DDX47	6.14310680555783e-23	1.87851852186319e-22	10	15.9	8.0	6.1431068055578405e-24	1	1.08199562252726	-1.12958620127487	-1	60.1294938022385
U2AF2	8.86714429311646e-23	1.87851852186319e-22	15	25.5	12.5	8.86714429311648e-24	5	0.935034845103277	-0.990055969256991	-1	42.96339948393
AKAP8L	4.6345697554138996e-23	1.87851852186319e-22	15	29.4	16.0	4.63456975541392e-24	1	0.808310226710366	-0.86225659063412	-1	28.1610366364034
EIF3G	5.0459541777061704e-23	1.87851852186319e-22	15	30.4	15.0	5.04595417770619e-24	4	1.09372255136308	-1.2037275745239	-1	61.4992849124137
TARDBP	6.80688109252314e-23	1.87851852186319e-22	10	37.3	22.0	6.80688109252315e-24	6	0.774523005858008	-0.778343855594463	-1	24.2144419730408
CIRBP	5.53535784052357e-23	1.87851852186319e-22	55	37.5	36.5	5.53535784052359e-24	10	0.939857717216588	-0.915065235813408	-1	43.5267462423878
CSTF2T	7.411249254159681e-23	1.87851852186319e-22	15	37.7	37.0	7.41124925415972e-24	7	0.957621875103993	-1.02117734067044	-1	45.6017298885396
HNRNPC	2.96640186160346e-22	3.52684012081605e-22	5	42.3	14.5	2.9664018616034703e-23	2	0.821899332778636	-0.818598086466164	-1	28.5394888441627
RPS19	5.04315050958412e-23	1.87851852186319e-22	70	43.1	50.5	5.04315050958413e-24	6	1.08649267134311	-1.08762455715807	-1	60.6547820150536
EFTUD2	6.10838707255762e-23	1.87851852186319e-22	5	46.7	43.0	6.1083870725576304e-24	1	0.796522198875507	-0.795677468138335	-1	26.7841087159948
NONO	8.18603163823048e-23	1.87851852186319e-22	45	47.9	42.0	8.18603163823051e-24	14	0.977305548162995	-1.04579761609744	-1	47.9009269544803
RAVER1	5.71103111715232e-23	1.87851852186319e-22	60	48.5	51.5	5.71103111715235e-24	12	0.784733864504419	-0.813321975604604	-1	25.4071449899113
SF3B4	1.1768885739955198e-22	1.93127969761003e-22	85	49.6	32.0	1.17688857399553e-23	11	0.911355575836089	-1.00799037181535	-1	40.1385449775495
PPIG	2.53492228410077e-22	3.10173720476927e-22	25	49.7	36.0	2.5349222841007802e-23	7	0.938529651796526	-0.946993799068903	-1	42.2726846047718
PUS1	1.0999614163406e-22	1.93127969761003e-22	25	50.6	38.0	1.0999614163406e-23	13	0.847993626890359	-0.765554268784924	-1	32.7415036122621
RTF1	5.45618634839233e-23	1.87851852186319e-22	25	52.1	61.0	5.45618634839235e-24	7	1.07673983274453	-0.976831682680813	-1	59.5155790917358
HSPD1	5.46441978817454e-23	1.87851852186319e-22	65	52.3	56.0	5.46441978817456e-24	28	1.08972885321855	-1.09119948794007	-1	61.0327917417219
RCC2	1.5964616551534499e-22	2.23051734798035e-22	30	55.9	33.5	1.59646165515345e-23	16	0.889128585701957	-0.916194997108407	-1	37.2446525327022
ATP5C1	6.607034065989221e-23	1.87851852186319e-22	10	56.0	39.0	6.60703406598925e-24	7	0.798075132998971	-0.761535547126064	-1	26.9655027865814
KRR1	4.7331025391056204e-23	1.87851852186319e-22	5	56.4	65.0	4.73310253910563e-24	3	1.23712327014864	-1.30528454722191	-1	78.2495383278842
