GENE.SET	ORA.RANK	SAFE.RANK	GSEA.RANK	GSA.RANK	GLOBALTEST.RANK	ROAST.RANK	CAMERA.RANK	GSVA.RANK	SAMGS.RANK	EBM.RANK	MGSA.RANK	MEAN.RANK	ORA.PVAL	SAFE.PVAL	GSEA.PVAL	GSA.PVAL	GLOBALTEST.PVAL	ROAST.PVAL	CAMERA.PVAL	GSVA.PVAL	SAMGS.PVAL	EBM.PVAL	MGSA.PVAL
1	EIF4A3	100	47.2	17.8	22.8	96.4	1.5	7.6	3.6	95.4	100	55.8	49.8	0.167	0.167	0.366	0	0.333	0.015	0.0036	0.013	0.324	0.996	0.0016
2	XRCC6	100	47.2	3	22.8	96.4	3.6	11.7	14.2	95.4	100	57.4	50.2	0.167	0.167	0.351	0	0.333	0.031	0.00927	0.0455	0.324	0.996	0.0024
3	AARS	100	47.2	3	22.8	96.4	28.9	1	28.4	95.4	100	49.2	52.1	0.167	0.167	0.351	0	0.333	0.228	9.69e-05	0.13	0.324	0.996	0
4	FXR1	100	47.2	3	22.8	96.4	5.1	9.1	44.7	95.4	100	49.2	52.1	0.167	0.167	0.351	0	0.333	0.041	0.005	0.279	0.324	0.996	0
5	SNRNP200	100	47.2	17.8	22.8	96.4	4.6	3.6	15.2	95.4	100	71.1	52.2	0.167	0.167	0.366	0	0.333	0.039	0.0014	0.0505	0.324	0.996	0.0282
6	PABPC1	100	47.2	28.9	22.8	96.4	1	16.8	16.2	95.4	100	49.2	52.2	0.167	0.167	0.379	0	0.333	0.013	0.0257	0.0529	0.324	0.996	0
7	EIF3D	100	47.2	28.9	22.8	96.4	8.1	4.6	10.2	95.4	100	67	52.8	0.167	0.167	0.379	0	0.333	0.0509	0.00161	0.0268	0.324	0.996	0.0158
8	MAGOH	100	47.2	28.9	22.8	96.4	11.7	35	6.1	95.4	100	49.2	53.9	0.167	0.167	0.379	0	0.333	0.0779	0.151	0.0191	0.324	0.996	0
9	RAVER1	100	47.2	11.2	22.8	96.4	10.2	6.1	57.4	95.4	100	49.2	54.2	0.167	0.167	0.363	0	0.333	0.0549	0.00284	0.443	0.324	0.996	0
10	DDX3X	100	47.2	28.9	22.8	96.4	12.2	2	46.2	95.4	100	49.2	54.6	0.167	0.167	0.379	0	0.333	0.0829	0.00019	0.307	0.324	0.996	0
11	PUF60	100	47.2	3	31.5	96.4	17.8	24.4	2.5	95.4	100	83.2	54.7	0.167	0.167	0.351	0.282	0.333	0.147	0.0519	0.0113	0.324	0.996	0.254
12	RPS19	100	47.2	17.8	22.8	96.4	7.1	20.8	19.8	95.4	100	74.1	54.7	0.167	0.167	0.366	0	0.333	0.049	0.0367	0.0694	0.324	0.996	0.0348
13	SRSF1	100	47.2	17.8	22.8	96.4	6.6	15.2	54.8	95.4	100	49.2	55.1	0.167	0.167	0.366	0	0.333	0.048	0.0231	0.425	0.324	0.996	0
14	DDX47	100	47.2	17.8	22.8	96.4	16.2	6.6	37.1	95.4	100	79.7	56.3	0.167	0.167	0.366	0	0.333	0.13	0.00289	0.195	0.324	0.996	0.207
15	UPF2	100	47.2	28.9	22.8	96.4	17.3	43.7	20.8	95.4	100	49.2	56.5	0.167	0.167	0.379	0	0.333	0.142	0.239	0.0834	0.324	0.996	0
16	MSI2	100	47.2	17.8	22.8	96.4	8.1	13.2	42.6	95.4	100	84.3	57.1	0.167	0.167	0.366	0	0.333	0.0509	0.0116	0.261	0.324	0.996	0.301
17	CELF1	100	47.2	17.8	31.5	96.4	24.4	19.3	16.8	95.4	100	80.2	57.2	0.167	0.167	0.366	0.282	0.333	0.192	0.0313	0.0534	0.324	0.996	0.212
18	HNRNPA0	100	47.2	11.2	61.9	96.4	9.6	33	24.9	95.4	100	49.2	57.2	0.167	0.167	0.363	0.354	0.333	0.0539	0.123	0.11	0.324	0.996	0
19	U2AF2	100	47.2	11.2	22.8	96.4	6.1	4.1	95.4	95.4	100	53.3	57.5	0.167	0.167	0.363	0	0.333	0.047	0.00148	0.908	0.324	0.996	8e-04
20	PNPT1	100	47.2	11.2	61.9	96.4	10.7	10.7	21.3	95.4	100	89.8	58.6	0.167	0.167	0.363	0.354	0.333	0.0559	0.00797	0.0878	0.324	0.996	0.647
21	HNRNPL	100	47.2	28.9	22.8	96.4	18.8	22.3	54.8	95.4	100	61.4	58.9	0.167	0.167	0.379	0	0.333	0.154	0.0429	0.425	0.324	0.996	0.0056
22	HNRNPA2B1	100	47.2	3	22.8	96.4	3	15.7	73.1	95.4	100	94.9	59.3	0.167	0.167	0.351	0	0.333	0.029	0.0251	0.618	0.324	0.996	0.736
23	DDX52	100	100	11.2	22.8	96.4	2.5	3	76.1	95.4	100	49.2	59.7	0.167	0.833	0.363	0	0.333	0.022	0.00118	0.65	0.324	0.996	0
24	EFTUD2	100	47.2	28.9	22.8	96.4	13.7	9.6	78.7	95.4	100	66.5	59.9	0.167	0.167	0.379	0	0.333	0.0979	0.00547	0.684	0.324	0.996	0.0128
25	EIF3G	100	47.2	28.9	22.8	96.4	30.5	23.9	42.1	95.4	100	72.1	59.9	0.167	0.167	0.379	0	0.333	0.239	0.0506	0.255	0.324	0.996	0.0296
26	PRPF8	100	47.2	3	61.9	96.4	16.2	8.1	48.7	95.4	100	82.2	59.9	0.167	0.167	0.351	0.354	0.333	0.13	0.00389	0.353	0.324	0.996	0.228
27	ATP5C1	100	47.2	11.2	22.8	96.4	8.6	1.5	92.4	95.4	100	86.8	60.2	0.167	0.167	0.363	0	0.333	0.0519	0.000102	0.854	0.324	0.996	0.412
28	TFIP11	100	47.2	11.2	57.9	96.4	29.9	27.4	53.3	95.4	100	49.2	60.7	0.167	0.167	0.363	0.352	0.333	0.231	0.0664	0.41	0.324	0.996	0
29	DDX1	100	74.1	11.2	57.9	96.4	25.9	53.8	7.1	95.4	100	49.2	61	0.167	0.5	0.363	0.352	0.333	0.208	0.391	0.021	0.324	0.996	0
30	PTBP1	100	47.2	28.9	22.8	96.4	12.7	28.9	89.3	95.4	100	49.2	61	0.167	0.167	0.379	0	0.333	0.0889	0.0827	0.803	0.324	0.996	0
31	UPF1	100	47.2	11.2	57.9	96.4	21.3	5.1	73.6	95.4	100	64.5	61.1	0.167	0.167	0.363	0.352	0.333	0.171	0.00204	0.619	0.324	0.996	0.0112
32	EIF4B	100	47.2	11.2	57.9	96.4	34	30.5	51.8	95.4	100	49.2	61.2	0.167	0.167	0.363	0.352	0.333	0.285	0.101	0.394	0.324	0.996	0
33	DDX27	100	47.2	59.9	22.8	96.4	19.8	38.6	17.8	95.4	100	76.6	61.3	0.167	0.167	0.709	0	0.333	0.156	0.191	0.0549	0.324	0.996	0.0684
34	HNRNPC	100	47.2	28.9	22.8	96.4	4.6	0.5	88.3	95.4	100	92.9	61.6	0.167	0.167	0.379	0	0.333	0.039	1.41e-05	0.795	0.324	0.996	0.723
35	SUPV3L1	100	47.2	28.9	22.8	96.4	16.8	13.2	70.6	95.4	100	87.8	61.7	0.167	0.167	0.379	0	0.333	0.136	0.0116	0.593	0.324	0.996	0.454
36	U2AF1	100	47.2	46.2	22.8	96.4	31.5	31.5	50.8	95.4	100	57.9	61.8	0.167	0.167	0.68	0	0.333	0.255	0.104	0.379	0.324	0.996	0.0026
37	DNAJC21	100	74.1	17.8	77.2	96.4	40.1	29.4	4.1	95.4	100	49.2	62.2	0.167	0.5	0.366	0.634	0.333	0.39	0.0887	0.0131	0.324	0.996	0
38	RTF1	100	74.1	59.9	31.5	96.4	41.6	25.4	11.2	95.4	100	49.2	62.3	0.167	0.5	0.709	0.282	0.333	0.412	0.0574	0.0308	0.324	0.996	0
39	PARN	100	47.2	51.8	61.9	96.4	23.9	52.3	9.1	95.4	100	49.2	62.5	0.167	0.167	0.694	0.354	0.333	0.188	0.341	0.0245	0.324	0.996	0
40	SART3	100	74.1	51.8	22.8	96.4	29.4	56.3	13.2	95.4	100	49.2	62.6	0.167	0.5	0.694	0	0.333	0.229	0.41	0.0384	0.324	0.996	0
41	STIP1	100	74.1	28.9	77.2	96.4	26.4	42.1	0.5	95.4	100	49.2	62.8	0.167	0.5	0.379	0.634	0.333	0.216	0.221	0.000656	0.324	0.996	0
42	ZC3H8	100	47.2	11.2	61.9	96.4	21.3	16.2	55.8	95.4	100	85.3	62.8	0.167	0.167	0.363	0.354	0.333	0.171	0.0254	0.435	0.324	0.996	0.367
43	UCHL5	100	47.2	28.9	22.8	96.4	28.4	11.2	83.8	95.4	100	78.7	63	0.167	0.167	0.379	0	0.333	0.223	0.00806	0.739	0.324	0.996	0.098
44	HSPD1	100	74.1	11.2	61.9	96.4	6.1	2.5	61.9	95.4	100	83.8	63	0.167	0.5	0.363	0.354	0.333	0.047	0.00081	0.517	0.324	0.996	0.267
45	ABCF1	100	74.1	32	57.9	96.4	22.3	13.7	46.7	95.4	100	56.3	63.2	0.167	0.5	0.657	0.352	0.333	0.177	0.0122	0.314	0.324	0.996	0.0018
46	AGO1	100	74.1	51.8	57.9	96.4	9.1	54.3	11.7	95.4	100	49.2	63.6	0.167	0.5	0.694	0.352	0.333	0.0529	0.395	0.0341	0.324	0.996	0
47	GRSF1	100	47.2	28.9	22.8	96.4	38.6	41.6	39.1	95.4	100	91.4	63.8	0.167	0.167	0.379	0	0.333	0.378	0.216	0.209	0.324	0.996	0.711
48	GTF2F1	100	74.1	17.8	86.8	96.4	22.8	55.3	4.6	95.4	100	49.2	63.9	0.167	0.5	0.366	0.704	0.333	0.178	0.402	0.0175	0.324	0.996	0
49	SF3A3	100	74.1	28.9	31.5	96.4	35.5	40.6	57.9	95.4	100	49.2	64.5	0.167	0.5	0.379	0.282	0.333	0.331	0.207	0.446	0.324	0.996	0
50	CCAR2	100	74.1	51.8	57.9	96.4	0.5	62.4	21.8	95.4	100	49.2	64.5	0.167	0.5	0.694	0.352	0.333	0.00799	0.488	0.0911	0.324	0.996	0
51	PUS1	100	47.2	51.8	22.8	96.4	2	37.1	81.2	95.4	100	81.2	65	0.167	0.167	0.694	0	0.333	0.018	0.172	0.714	0.324	0.996	0.221
52	HNRNPM	100	47.2	41.1	80.2	96.4	39.1	42.6	12.2	95.4	100	61.9	65.1	0.167	0.167	0.672	0.636	0.333	0.379	0.224	0.0345	0.324	0.996	0.0062
53	RBM22	100	47.2	28.9	80.2	96.4	18.3	31	70.1	95.4	100	49.2	65.2	0.167	0.167	0.379	0.636	0.333	0.153	0.103	0.592	0.324	0.996	0
54	UTP3	100	100	28.9	57.9	96.4	11.2	7.1	24.9	95.4	100	95.9	65.3	0.167	0.833	0.379	0.352	0.333	0.0569	0.00324	0.11	0.324	0.996	0.753
55	PUM2	100	47.2	28.9	57.9	96.4	35	22.8	43.1	95.4	100	90.9	65.3	0.167	0.167	0.379	0.352	0.333	0.295	0.0437	0.268	0.324	0.996	0.665
56	LARP4	100	74.1	17.8	57.9	96.4	28.4	12.2	86.8	95.4	100	49.2	65.3	0.167	0.5	0.366	0.352	0.333	0.223	0.0109	0.779	0.324	0.996	0
57	RCC2	100	47.2	40.6	57.9	96.4	35	14.2	84.3	95.4	100	50.3	65.6	0.167	0.167	0.669	0.352	0.333	0.295	0.0123	0.75	0.324	0.996	2e-04
58	AKAP8L	100	47.2	11.2	57.9	96.4	24.9	14.7	82.2	95.4	100	91.9	65.6	0.167	0.167	0.363	0.352	0.333	0.204	0.0135	0.725	0.324	0.996	0.715
59	BOP1	100	100	17.8	57.9	96.4	23.4	45.7	25.4	95.4	100	61.4	65.8	0.167	0.833	0.366	0.352	0.333	0.18	0.26	0.117	0.324	0.996	0.0056
60	NOL12	100	47.2	32	77.2	96.4	38.1	48.7	15.7	95.4	100	73.6	65.9	0.167	0.167	0.657	0.634	0.333	0.37	0.303	0.0521	0.324	0.996	0.0308
61	FUS	100	47.2	28.9	86.8	96.4	15.2	36.5	72.1	95.4	100	49.2	66.2	0.167	0.167	0.379	0.704	0.333	0.122	0.162	0.61	0.324	0.996	0
62	RBM39	100	47.2	46.2	86.8	96.4	14.7	17.3	71.1	95.4	100	53.8	66.3	0.167	0.167	0.68	0.704	0.333	0.117	0.027	0.597	0.324	0.996	0.001
63	AKAP8	100	47.2	28.9	57.9	96.4	33.5	17.8	55.3	95.4	100	97	66.3	0.167	0.167	0.379	0.352	0.333	0.276	0.0274	0.433	0.324	0.996	0.757
64	TARDBP	100	47.2	40.6	57.9	96.4	45.7	32.5	66	95.4	100	49.2	66.5	0.167	0.167	0.669	0.352	0.333	0.48	0.117	0.552	0.324	0.996	0
65	RECQL	100	74.1	100	31.5	96.4	55.8	28.4	2	95.4	100	49.2	66.6	0.167	0.5	1	0.282	0.333	0.588	0.0746	0.0103	0.324	0.996	0
66	EIF2S2	100	74.1	11.2	57.9	96.4	20.3	5.6	76.6	95.4	100	98.5	66.9	0.167	0.5	0.363	0.352	0.333	0.159	0.0025	0.654	0.324	0.996	0.872
67	EIF2S1	100	100	40.6	31.5	96.4	50.8	34	33.5	95.4	100	54.3	67	0.167	0.833	0.669	0.282	0.333	0.537	0.128	0.171	0.324	0.996	0.0012
68	SF3B4	100	47.2	40.6	100	96.4	38.1	21.8	49.7	95.4	100	49.2	67.1	0.167	0.167	0.669	0.706	0.333	0.37	0.0383	0.354	0.324	0.996	0
69	EIF4G2	100	47.2	46.2	57.9	96.4	32	26.9	38.1	95.4	100	99.5	67.2	0.167	0.167	0.68	0.352	0.333	0.268	0.0612	0.197	0.324	0.996	0.891
70	PCBP2	100	47.2	32	77.2	96.4	40.6	25.9	84.8	95.4	100	49.2	68.1	0.167	0.167	0.657	0.634	0.333	0.406	0.059	0.762	0.324	0.996	0
71	DDX24	100	74.1	28.9	31.5	96.4	36	43.1	74.1	95.4	100	69.5	68.1	0.167	0.5	0.379	0.282	0.333	0.347	0.234	0.62	0.324	0.996	0.0274
72	RBM15	100	47.2	11.2	57.9	96.4	26.9	19.8	97	95.4	100	99	68.3	0.167	0.167	0.363	0.352	0.333	0.219	0.0314	0.938	0.324	0.996	0.885
