GENE.SET	ORA.RANK	SAFE.RANK	GSEA.RANK	GSA.RANK	GLOBALTEST.RANK	ROAST.RANK	CAMERA.RANK	GSVA.RANK	SAMGS.RANK	EBM.RANK	MGSA.RANK	MEAN.RANK	ORA.PVAL	SAFE.PVAL	GSEA.PVAL	GSA.PVAL	GLOBALTEST.PVAL	ROAST.PVAL	CAMERA.PVAL	GSVA.PVAL	SAMGS.PVAL	EBM.PVAL	MGSA.PVAL
1	AATF	100	58.4	6.6	27.4	100	2	4.1	4.1	100	97.5	51.3	50.1	0.167	0.167	0.363	0	0.333	0.005	1.07e-06	0.00155	0.324	0.0218	2e-04
2	ESF1	100	58.4	18.8	27.4	100	14.2	2	2.5	100	97.5	73.6	54	0.167	0.167	0.366	0	0.333	0.035	7.73e-11	0.000341	0.324	0.0218	0.036
3	RPS10	100	58.4	18.8	27.4	100	14.7	6.6	12.2	100	97.5	62.4	54.4	0.167	0.167	0.366	0	0.333	0.038	6.01e-05	0.0258	0.324	0.0218	0.0078
4	AUH	100	58.4	18.8	27.4	100	18.8	13.7	17.8	100	97.5	49.2	54.7	0.167	0.167	0.366	0	0.333	0.0549	0.00178	0.0409	0.324	0.0218	0
5	LARP4	100	58.4	28.4	27.4	100	12.2	10.2	26.4	100	97.5	49.2	55.4	0.167	0.167	0.379	0	0.333	0.028	0.000577	0.0888	0.324	0.0218	0
6	NAA15	100	58.4	18.8	61.9	100	24.9	0.5	2	100	97.5	49.2	55.7	0.167	0.167	0.366	0.352	0.333	0.0839	1.87e-13	5.58e-05	0.324	0.0218	0
7	KHDRBS1	100	58.4	28.4	27.4	100	12.7	18.8	25.4	100	97.5	49.2	56.2	0.167	0.167	0.379	0	0.333	0.03	0.00578	0.0747	0.324	0.0218	0
8	FIP1L1	100	58.4	18.8	27.4	100	20.3	9.6	10.2	100	97.5	82.2	56.8	0.167	0.167	0.366	0	0.333	0.0639	0.000461	0.0193	0.324	0.0218	0.242
9	LARP7	100	73.6	18.8	61.9	100	29.9	2.5	1.5	100	97.5	49.2	57.7	0.167	0.5	0.366	0.352	0.333	0.106	5.45e-10	3.84e-05	0.324	0.0218	0
10	GRSF1	100	58.4	18.8	27.4	100	21.8	8.6	13.2	100	97.5	92.4	58	0.167	0.167	0.366	0	0.333	0.0709	0.000254	0.0311	0.324	0.0218	0.722
11	PTBP1	100	58.4	28.4	27.4	100	11.2	26.9	39.6	100	97.5	49.2	58.1	0.167	0.167	0.379	0	0.333	0.024	0.0214	0.159	0.324	0.0218	0
12	SF3B1	100	73.6	18.8	27.4	100	7.1	29.4	19.3	100	97.5	69.5	58.4	0.167	0.5	0.366	0	0.333	0.016	0.0306	0.0476	0.324	0.0218	0.0282
13	FASTKD2	100	58.4	28.4	27.4	100	17.3	33	32.5	100	97.5	49.2	58.5	0.167	0.167	0.379	0	0.333	0.048	0.0542	0.117	0.324	0.0218	0
14	BUD13	100	58.4	28.4	27.4	100	2	14.7	23.9	100	97.5	94.4	58.8	0.167	0.167	0.379	0	0.333	0.005	0.00264	0.0633	0.324	0.0218	0.742
15	FMR1	100	58.4	18.8	27.4	100	13.2	17.8	25.9	100	97.5	89.3	58.9	0.167	0.167	0.366	0	0.333	0.032	0.00528	0.0812	0.324	0.0218	0.498
16	DDX19B	100	73.6	28.4	27.4	100	2	22.3	48.7	100	97.5	49.2	59	0.167	0.5	0.379	0	0.333	0.005	0.0109	0.238	0.324	0.0218	0
17	HNRNPK	100	58.4	56.3	61.9	100	22.3	1	3	100	97.5	49.2	59.1	0.167	0.167	0.657	0.352	0.333	0.0729	1.33e-12	0.000429	0.324	0.0218	0
