GENE.SET	ORA.RANK	SAFE.RANK	GSEA.RANK	GSA.RANK	GLOBALTEST.RANK	ROAST.RANK	CAMERA.RANK	GSVA.RANK	SAMGS.RANK	EBM.RANK	MGSA.RANK	MEAN.RANK	ORA.PVAL	SAFE.PVAL	GSEA.PVAL	GSA.PVAL	GLOBALTEST.PVAL	ROAST.PVAL	CAMERA.PVAL	GSVA.PVAL	SAMGS.PVAL	EBM.PVAL	MGSA.PVAL
1	ABCF1	100	65	31.5	28.9	100	3	1	0.5	100	8.1	53.3	44.7	0.167	0.167	0.363	0	0.333	0.000999	1.52e-10	1.66e-06	0.324	6.47e-05	8e-04
2	EEF2	100	65	8.1	28.9	100	10.2	10.2	20.3	100	44.7	49.2	48.8	0.167	0.167	0.351	0	0.333	0.004	0.00019	0.00238	0.324	6.48e-05	0
3	AKAP1	100	65	31.5	28.9	100	3	9.6	11.2	100	44.7	49.2	49.4	0.167	0.167	0.363	0	0.333	0.000999	0.000129	0.000823	0.324	6.48e-05	0
4	HNRNPC	100	65	31.5	28.9	100	3	6.1	9.1	100	8.1	93.9	49.6	0.167	0.167	0.363	0	0.333	0.000999	1.35e-05	0.000599	0.324	6.47e-05	0.747
5	XRCC6	100	65	8.1	28.9	100	10.2	11.2	4.6	100	69	56.3	50.3	0.167	0.167	0.351	0	0.333	0.004	0.000355	3.65e-05	0.324	6.49e-05	0.0026
6	EIF3G	100	65	31.5	28.9	100	12.7	0.5	1.5	100	44.7	73.6	50.8	0.167	0.167	0.363	0	0.333	0.005	8.51e-11	3.26e-06	0.324	6.48e-05	0.0404
7	EIF4A3	100	65	8.1	28.9	100	7.1	7.6	1	100	86.8	54.8	50.9	0.167	0.167	0.351	0	0.333	0.003	2.13e-05	1.74e-06	0.324	6.5e-05	0.0012
8	PTBP1	100	65	31.5	28.9	100	3	18.3	25.4	100	44.7	49.2	51.5	0.167	0.167	0.363	0	0.333	0.000999	0.00338	0.0109	0.324	6.48e-05	0
9	NELFE	100	65	31.5	28.9	100	14.7	16.8	18.3	100	44.7	49.2	51.7	0.167	0.167	0.363	0	0.333	0.00599	0.00257	0.00163	0.324	6.48e-05	0
10	CSTF2T	100	65	31.5	28.9	100	26.9	4.1	21.3	100	44.7	49.2	52	0.167	0.167	0.363	0	0.333	0.018	5.02e-06	0.00299	0.324	6.48e-05	0
11	ATP5C1	100	65	31.5	28.9	100	12.7	14.7	28.9	100	8.1	86.3	52.4	0.167	0.167	0.363	0	0.333	0.005	0.0016	0.0163	0.324	6.47e-05	0.44
12	RBM22	100	65	31.5	28.9	100	5.6	24.9	37.1	100	44.7	49.2	53.3	0.167	0.167	0.363	0	0.333	0.002	0.0147	0.0572	0.324	6.48e-05	0
13	MATR3	100	65	45.2	28.9	100	10.2	3.6	17.8	100	69	49.2	53.5	0.167	0.167	0.379	0	0.333	0.004	3.21e-06	0.00154	0.324	6.49e-05	0
14	PRPF6	100	65	31.5	28.9	100	5.6	20.3	21.8	100	69	49.2	53.8	0.167	0.167	0.363	0	0.333	0.002	0.00533	0.00307	0.324	6.49e-05	0
15	FXR1	100	65	41.6	31.5	100	28.4	3	6.1	100	69	49.2	54	0.167	0.167	0.366	0.282	0.333	0.02	1.47e-06	7.27e-05	0.324	6.49e-05	0
16	SRSF1	100	65	31.5	28.9	100	5.6	37.1	33	100	44.7	49.2	54.1	0.167	0.167	0.363	0	0.333	0.002	0.0752	0.0309	0.324	6.48e-05	0
17	HNRNPAB	100	65	8.1	28.9	100	5.6	25.9	13.2	100	86.8	61.4	54.1	0.167	0.167	0.351	0	0.333	0.002	0.0184	0.00103	0.324	6.5e-05	0.007
18	RAVER1	100	65	31.5	28.9	100	12.7	20.8	24.9	100	69	49.2	54.7	0.167	0.167	0.363	0	0.333	0.005	0.00644	0.00938	0.324	6.49e-05	0
19	XRCC5	100	65	45.2	28.9	100	21.3	5.1	16.8	100	69	52.3	54.9	0.167	0.167	0.379	0	0.333	0.013	7.49e-06	0.00147	0.324	6.49e-05	4e-04
