GENE.SET	ORA.RANK	SAFE.RANK	GSEA.RANK	GSA.RANK	GLOBALTEST.RANK	ROAST.RANK	CAMERA.RANK	GSVA.RANK	SAMGS.RANK	EBM.RANK	MGSA.RANK	MEAN.RANK	ORA.PVAL	SAFE.PVAL	GSEA.PVAL	GSA.PVAL	GLOBALTEST.PVAL	ROAST.PVAL	CAMERA.PVAL	GSVA.PVAL	SAMGS.PVAL	EBM.PVAL	MGSA.PVAL
1	CCAR2	100	59.9	11.7	26.9	100	8.1	13.2	9.6	100	100	48.2	52.5	0.167	0.167	0.363	0	0.333	0.00799	0.0125	0.0718	0.324	0.991	0
2	ADAR	100	59.9	32.5	26.9	100	1	0.5	10.7	100	100	48.2	52.7	0.167	0.167	0.379	0	0.333	0.000999	3.07e-12	0.0758	0.324	0.991	0
3	SF1	100	59.9	11.7	26.9	100	14.7	18.3	1.5	100	100	48.2	52.8	0.167	0.167	0.363	0	0.333	0.02	0.0278	0.0281	0.324	0.991	0
4	MATR3	100	59.9	32.5	26.9	100	13.7	4.6	8.1	100	100	48.2	54	0.167	0.167	0.379	0	0.333	0.019	0.000571	0.0615	0.324	0.991	0
5	XRCC6	100	59.9	11.7	26.9	100	8.6	18.8	13.7	100	100	57.4	54.3	0.167	0.167	0.363	0	0.333	0.00899	0.03	0.0854	0.324	0.991	0.003
6	DDX3X	100	59.9	6.6	26.9	100	20.8	11.7	41.6	100	100	48.2	56	0.167	0.167	0.351	0	0.333	0.041	0.011	0.306	0.324	0.991	0
7	NUFIP2	100	59.9	61.9	26.9	100	6.6	19.3	0.5	100	100	48.2	56.7	0.167	0.167	0.709	0	0.333	0.005	0.0302	0.00925	0.324	0.991	0
8	DDX47	100	59.9	32.5	26.9	100	18.3	3.6	2	100	100	80.7	56.7	0.167	0.167	0.379	0	0.333	0.034	0.00047	0.0324	0.324	0.991	0.224
9	HNRNPA1	100	59.9	6.6	26.9	100	3	5.1	39.1	100	100	89.3	57.3	0.167	0.167	0.351	0	0.333	0.002	0.00106	0.269	0.324	0.991	0.515
10	RBM22	100	59.9	32.5	26.9	100	6.6	25.9	32.5	100	100	48.2	57.5	0.167	0.167	0.379	0	0.333	0.005	0.0784	0.216	0.324	0.991	0
11	SRSF1	100	59.9	35.5	26.9	100	12.7	23.4	25.9	100	100	48.2	57.5	0.167	0.167	0.672	0	0.333	0.016	0.0613	0.185	0.324	0.991	0
12	ATP5C1	100	59.9	11.7	32	100	1	36	6.1	100	100	85.8	57.5	0.167	0.167	0.363	0.282	0.333	0.000999	0.168	0.0576	0.324	0.991	0.391
13	RBM39	100	59.9	11.7	32	100	11.7	46.2	21.8	100	100	53.8	57.9	0.167	0.167	0.363	0.282	0.333	0.014	0.241	0.152	0.324	0.991	8e-04
14	RBM17	100	59.9	11.7	26.9	100	8.1	5.6	27.4	100	100	97.5	57.9	0.167	0.167	0.363	0	0.333	0.00799	0.00118	0.194	0.324	0.991	0.874
15	RPS19	100	59.9	32.5	26.9	100	20.3	21.3	5.6	100	100	71.1	58	0.167	0.167	0.379	0	0.333	0.039	0.0423	0.0546	0.324	0.991	0.0286
16	PKM	100	59.9	33.5	26.9	100	4.1	42.6	23.9	100	100	48.2	58.1	0.167	0.167	0.657	0	0.333	0.003	0.204	0.168	0.324	0.991	0
17	MAGOH	100	59.9	15.7	26.9	100	6.6	32	54.3	100	100	48.2	58.5	0.167	0.167	0.366	0	0.333	0.005	0.139	0.382	0.324	0.991	0
18	AKAP1	100	59.9	6.6	26.9	100	21.8	28.4	54.8	100	100	48.2	58.8	0.167	0.167	0.351	0	0.333	0.044	0.0924	0.401	0.324	0.991	0
19	DDX28	100	59.9	32.5	26.9	100	27.9	10.7	41.1	100	100	48.2	58.8	0.167	0.167	0.379	0	0.333	0.0599	0.00847	0.292	0.324	0.991	0
20	KRR1	100	59.9	32.5	26.9	100	3	61.4	16.2	100	100	48.2	58.9	0.167	0.167	0.379	0	0.333	0.002	0.42	0.094	0.324	0.991	0
21	RTF1	100	59.9	60.9	45.7	100	31	2.5	3.6	100	100	48.2	59.3	0.167	0.167	0.699	0.352	0.333	0.0699	3.1e-05	0.0494	0.324	0.991	0
22	MTPAP	100	73.1	32.5	45.7	100	17.8	14.7	11.7	100	100	58.9	59.5	0.167	0.5	0.379	0.352	0.333	0.032	0.0152	0.0778	0.324	0.991	0.0042
23	NSUN2	100	59.9	32.5	26.9	100	19.8	12.2	16.8	100	100	86.8	59.5	0.167	0.167	0.379	0	0.333	0.035	0.0112	0.104	0.324	0.991	0.453
24	U2AF2	100	59.9	32.5	32	100	15.2	48.2	15.7	100	100	51.3	59.5	0.167	0.167	0.379	0.282	0.333	0.021	0.251	0.0901	0.324	0.991	2e-04
25	FXR1	100	59.9	15.7	26.9	100	27.4	29.4	50.3	100	100	48.2	59.8	0.167	0.167	0.366	0	0.333	0.0589	0.129	0.37	0.324	0.991	0
26	AARS	100	59.9	60.9	26.9	100	45.2	4.1	14.2	100	100	48.2	59.9	0.167	0.167	0.699	0	0.333	0.146	0.000563	0.0869	0.324	0.991	0
27	XRCC5	100	59.9	32.5	45.7	100	25.4	7.1	35.5	100	100	55.8	60.2	0.167	0.167	0.379	0.352	0.333	0.0529	0.00265	0.241	0.324	0.991	0.0016
28	FTO	100	59.9	32.5	26.9	100	7.1	59.4	23.4	100	100	53.8	60.3	0.167	0.167	0.379	0	0.333	0.00599	0.353	0.164	0.324	0.991	8e-04
29	TBRG4	100	100	11.7	45.7	100	14.7	15.2	28.9	100	100	48.2	60.4	0.167	0.833	0.363	0.352	0.333	0.02	0.0188	0.205	0.324	0.991	0
30	EFTUD2	100	59.9	32.5	26.9	100	23.4	32	24.4	100	100	66.5	60.5	0.167	0.167	0.379	0	0.333	0.05	0.139	0.175	0.324	0.991	0.0172
31	NELFE	100	59.9	60.9	26.9	100	38.6	24.4	13.2	100	100	48.2	61.1	0.167	0.167	0.699	0	0.333	0.119	0.0665	0.0831	0.324	0.991	0
32	PRPF6	100	59.9	60.9	26.9	100	42.1	16.2	18.3	100	100	48.2	61.1	0.167	0.167	0.699	0	0.333	0.141	0.0256	0.12	0.324	0.991	0
33	EIF4A3	100	59.9	11.7	26.9	100	4.6	33.5	79.2	100	100	56.9	61.1	0.167	0.167	0.363	0	0.333	0.004	0.151	0.585	0.324	0.991	0.0028
34	CELF1	100	59.9	6.6	26.9	100	31.5	15.7	52.8	100	100	81.2	61.3	0.167	0.167	0.351	0	0.333	0.0729	0.0204	0.376	0.324	0.991	0.236
35	HNRNPC	100	59.9	32.5	26.9	100	15.7	26.4	20.3	100	100	94.9	61.5	0.167	0.167	0.379	0	0.333	0.022	0.0785	0.14	0.324	0.991	0.74
36	AKAP8	100	59.9	11.7	45.7	100	12.2	39.6	12.7	100	100	97	61.7	0.167	0.167	0.363	0.352	0.333	0.015	0.19	0.0809	0.324	0.991	0.755
37	DKC1	100	59.9	6.6	26.9	100	3	28.9	85.8	100	100	67.5	61.7	0.167	0.167	0.351	0	0.333	0.002	0.0968	0.651	0.324	0.991	0.0208
38	PABPC1	100	59.9	40.1	26.9	100	26.4	49.7	36	100	100	48.2	62.5	0.167	0.167	0.679	0	0.333	0.0549	0.255	0.242	0.324	0.991	0
39	SERBP1	100	59.9	6.6	26.9	100	17.8	39.1	90.4	100	100	48.2	62.6	0.167	0.167	0.351	0	0.333	0.032	0.185	0.724	0.324	0.991	0
40	UPF2	100	59.9	32.5	45.7	100	9.6	48.7	46.2	100	100	48.2	62.8	0.167	0.167	0.379	0.352	0.333	0.012	0.252	0.326	0.324	0.991	0
41	ZRANB2	100	59.9	6.6	48.2	100	22.3	34.5	77.7	100	100	48.2	63.4	0.167	0.167	0.351	0.354	0.333	0.047	0.159	0.576	0.324	0.991	0
42	PNPT1	100	59.9	11.7	26.9	100	19.8	29.9	59.9	100	100	90.9	63.5	0.167	0.167	0.363	0	0.333	0.035	0.134	0.443	0.324	0.991	0.707
43	GEMIN5	100	59.9	32.5	100	100	19.8	26.9	14.7	100	100	48.2	63.8	0.167	0.167	0.379	0.706	0.333	0.035	0.0787	0.0872	0.324	0.991	0
44	ZC3H8	100	100	6.6	50.3	100	10.2	45.2	5.1	100	100	85.3	63.9	0.167	0.833	0.351	0.634	0.333	0.013	0.234	0.0542	0.324	0.991	0.387
45	HNRNPU	100	59.9	32.5	26.9	100	26.9	52.8	27.9	100	100	77.2	64	0.167	0.167	0.379	0	0.333	0.0569	0.285	0.198	0.324	0.991	0.081
46	RPS10	100	59.9	32.5	26.9	100	6.6	61.9	54.3	100	100	62.9	64.1	0.167	0.167	0.379	0	0.333	0.005	0.431	0.382	0.324	0.991	0.0092
47	SSB	100	100	6.6	63.5	100	24.4	20.3	2.5	100	100	88.8	64.2	0.167	0.833	0.351	0.636	0.333	0.0509	0.0318	0.0341	0.324	0.991	0.488
48	EIF3D	100	59.9	32.5	26.9	100	16.2	53.8	52.8	100	100	67	64.5	0.167	0.167	0.379	0	0.333	0.026	0.294	0.376	0.324	0.991	0.0186
49	SNRNP200	100	59.9	15.7	26.9	100	11.7	51.8	70.1	100	100	74.6	64.6	0.167	0.167	0.366	0	0.333	0.014	0.274	0.499	0.324	0.991	0.0354
50	UCHL5	100	59.9	32.5	100	100	4.1	37.1	1	100	100	77.7	64.7	0.167	0.167	0.379	0.706	0.333	0.003	0.171	0.0228	0.324	0.991	0.0878
51	EIF2S1	100	59.9	32.5	98	100	32	22.3	15.2	100	100	54.8	65	0.167	0.167	0.379	0.704	0.333	0.0739	0.0466	0.0889	0.324	0.991	0.001
52	XPO5	100	59.9	60.9	98	100	37.6	1.5	9.1	100	100	48.2	65	0.167	0.167	0.699	0.704	0.333	0.118	1.77e-05	0.0712	0.324	0.991	0
53	EEF2	100	59.9	15.7	26.9	100	28.4	90.4	46.2	100	100	48.2	65.1	0.167	0.167	0.366	0	0.333	0.0609	0.809	0.326	0.324	0.991	0
54	RPS3A	100	59.9	100	45.7	100	51.8	7.6	4.1	100	100	48.2	65.2	0.167	0.167	1	0.352	0.333	0.171	0.00308	0.0526	0.324	0.991	0
55	SLTM	100	59.9	6.6	26.9	100	16.8	65.5	96.4	100	100	48.2	65.5	0.167	0.167	0.351	0	0.333	0.029	0.47	0.929	0.324	0.991	0
