GENE.SET	ORA.RANK	SAFE.RANK	GSEA.RANK	GSA.RANK	GLOBALTEST.RANK	ROAST.RANK	CAMERA.RANK	GSVA.RANK	SAMGS.RANK	EBM.RANK	MGSA.RANK	MEAN.RANK	ORA.PVAL	SAFE.PVAL	GSEA.PVAL	GSA.PVAL	GLOBALTEST.PVAL	ROAST.PVAL	CAMERA.PVAL	GSVA.PVAL	SAMGS.PVAL	EBM.PVAL	MGSA.PVAL
1	EEF2	100	62.9	7.6	30.5	100	4.6	7.1	4.1	97	59.9	47.7	47.4	0.167	0.167	0.351	0	0.333	0.004	2.46e-05	0.0255	0.324	0.000642	0
2	TFIP11	100	62.9	23.4	30.5	100	9.6	18.3	15.7	97	16.8	47.7	47.4	0.167	0.167	0.366	0	0.333	0.011	0.00151	0.0761	0.324	0.000641	0
3	AKAP1	100	62.9	7.6	30.5	100	15.2	16.2	10.2	97	59.9	47.7	49.7	0.167	0.167	0.351	0	0.333	0.017	0.00112	0.0461	0.324	0.000642	0
4	XRCC6	100	62.9	7.6	30.5	100	4.6	8.1	17.3	97	59.9	60.4	49.8	0.167	0.167	0.351	0	0.333	0.004	6.36e-05	0.094	0.324	0.000642	0.0044
5	PTBP1	100	62.9	34.5	30.5	100	4.6	12.7	19.3	97	59.9	47.7	51.7	0.167	0.167	0.379	0	0.333	0.004	0.00067	0.106	0.324	0.000642	0
6	SAFB2	100	62.9	34.5	30.5	100	1.5	2	1.5	97	85.3	60.4	52.3	0.167	0.167	0.379	0	0.333	0.003	2.96e-08	0.0169	0.324	0.000643	0.0044
7	RPS10	100	62.9	23.4	30.5	100	7.1	3.6	5.1	97	85.3	62.4	52.5	0.167	0.167	0.366	0	0.333	0.00799	1.05e-07	0.0262	0.324	0.000643	0.006
8	HNRNPL	100	62.9	23.4	30.5	100	14.7	4.6	3	97	85.3	56.3	52.5	0.167	0.167	0.366	0	0.333	0.016	4.79e-07	0.0243	0.324	0.000643	0.0028
9	DDX19B	100	62.9	34.5	30.5	100	5.6	32.5	9.6	97	59.9	47.7	52.7	0.167	0.167	0.379	0	0.333	0.00599	0.0148	0.0438	0.324	0.000642	0
10	KRR1	100	62.9	34.5	30.5	100	4.6	11.7	7.1	97	85.3	47.7	52.8	0.167	0.167	0.379	0	0.333	0.004	0.000548	0.03	0.324	0.000643	0
11	AGO1	100	83.2	12.7	30.5	100	7.1	8.6	0.5	97	97	47.7	53.1	0.167	0.5	0.363	0	0.333	0.00799	0.000101	0.00561	0.324	0.000644	0
12	APOBEC3C	100	62.9	23.4	30.5	100	0.5	1	1	97	97	78.7	53.8	0.167	0.167	0.366	0	0.333	0.000999	4.79e-09	0.0137	0.324	0.000644	0.106
13	UCHL5	100	62.9	12.7	30.5	100	22.3	25.4	48.2	97	16.8	77.2	53.9	0.167	0.167	0.363	0	0.333	0.038	0.00696	0.331	0.324	0.000641	0.0908
14	U2AF2	100	62.9	7.6	30.5	100	14.2	21.8	51.3	97	59.9	47.7	53.9	0.167	0.167	0.351	0	0.333	0.015	0.00398	0.378	0.324	0.000642	0
15	NOL12	100	62.9	7.6	30.5	100	29.9	11.2	24.4	97	59.9	72.1	54.1	0.167	0.167	0.351	0	0.333	0.0509	0.000436	0.137	0.324	0.000642	0.0334
16	RBM22	100	62.9	34.5	30.5	100	18.3	17.8	30.5	97	59.9	47.7	54.5	0.167	0.167	0.379	0	0.333	0.021	0.00146	0.187	0.324	0.000642	0
17	FTO	100	62.9	23.4	30.5	100	14.2	30.5	27.9	97	59.9	54.8	54.6	0.167	0.167	0.366	0	0.333	0.015	0.0103	0.168	0.324	0.000642	0.0018
18	BUD13	100	62.9	34.5	30.5	100	10.7	9.1	4.6	97	59.9	92.4	54.7	0.167	0.167	0.379	0	0.333	0.012	0.000102	0.026	0.324	0.000642	0.731
19	KHDRBS1	100	62.9	34.5	30.5	100	37.6	22.8	10.7	97	59.9	47.7	54.9	0.167	0.167	0.379	0	0.333	0.0739	0.00461	0.0485	0.324	0.000642	0
20	LARP4	100	62.9	34.5	30.5	100	32.5	21.3	19.8	97	59.9	47.7	55.1	0.167	0.167	0.379	0	0.333	0.0569	0.00381	0.112	0.324	0.000642	0
21	FXR1	100	62.9	7.6	30.5	100	35	24.4	11.7	97	85.3	52.3	55.1	0.167	0.167	0.351	0	0.333	0.0659	0.00559	0.0506	0.324	0.000643	8e-04
22	METAP2	100	62.9	34.5	63.5	100	36	1.5	7.6	97	59.9	47.7	55.5	0.167	0.167	0.379	0.352	0.333	0.0699	2.15e-08	0.0308	0.324	0.000642	0
