GENE.SET	ORA.RANK	SAFE.RANK	GSEA.RANK	GSA.RANK	GLOBALTEST.RANK	ROAST.RANK	CAMERA.RANK	GSVA.RANK	SAMGS.RANK	EBM.RANK	MGSA.RANK	MEAN.RANK	ORA.PVAL	SAFE.PVAL	GSEA.PVAL	GSA.PVAL	GLOBALTEST.PVAL	ROAST.PVAL	CAMERA.PVAL	GSVA.PVAL	SAMGS.PVAL	EBM.PVAL	MGSA.PVAL
1	AKAP1	100	73.1	8.6	31.5	100	4.6	5.1	2	100	33.5	49.7	46.2	0.167	0.167	0.351	0	0.333	0.000999	0.000111	0.00546	0.324	0.000119	0
2	PTBP1	100	73.1	28.4	31.5	100	4.6	4.1	5.6	100	33.5	49.7	48.2	0.167	0.167	0.366	0	0.333	0.000999	0.000108	0.0135	0.324	0.000119	0
3	DDX47	100	73.1	8.6	31.5	100	4.6	0.5	0.5	100	33.5	79.7	48.4	0.167	0.167	0.351	0	0.333	0.000999	3.13e-09	0.00215	0.324	0.000119	0.209
4	PCBP2	100	73.1	8.6	31.5	100	18.3	13.2	21.8	100	33.5	49.7	50	0.167	0.167	0.351	0	0.333	0.005	0.00909	0.076	0.324	0.000119	0
5	EEF2	100	73.1	35	31.5	100	11.7	11.7	4.6	100	33.5	49.7	50.1	0.167	0.167	0.379	0	0.333	0.002	0.00836	0.0109	0.324	0.000119	0
6	ABCF1	100	73.1	8.6	31.5	100	18.3	10.2	23.9	100	33.5	55.8	50.4	0.167	0.167	0.351	0	0.333	0.005	0.00583	0.0953	0.324	0.000119	0.0018
7	TRA2A	100	73.1	8.6	31.5	100	31.5	3.6	25.4	100	33.5	49.7	50.6	0.167	0.167	0.351	0	0.333	0.014	9.65e-05	0.109	0.324	0.000119	0
8	EXOSC9	100	73.1	16.2	31.5	100	14.7	3	17.8	100	33.5	84.8	52.2	0.167	0.167	0.363	0	0.333	0.004	9.6e-05	0.0602	0.324	0.000119	0.329
9	SRSF1	100	73.1	58.4	31.5	100	19.3	7.6	8.1	100	33.5	49.7	52.8	0.167	0.167	0.709	0	0.333	0.00599	0.00056	0.0212	0.324	0.000119	0
10	XRCC6	100	73.1	8.6	31.5	100	4.6	5.6	2.5	100	100	57.9	53.1	0.167	0.167	0.351	0	0.333	0.000999	0.000126	0.00659	0.324	0.00012	0.0026
11	FXR1	100	73.1	8.6	31.5	100	11.7	7.1	7.1	100	100	49.7	53.5	0.167	0.167	0.351	0	0.333	0.002	0.000375	0.0179	0.324	0.00012	0
12	SF1	100	73.1	8.6	31.5	100	11.7	18.3	1.5	100	100	49.7	54	0.167	0.167	0.351	0	0.333	0.002	0.0173	0.0042	0.324	0.00012	0
13	PRPF6	100	73.1	8.6	55.8	100	26.4	20.3	27.4	100	33.5	49.7	54.1	0.167	0.167	0.351	0.354	0.333	0.00899	0.0271	0.141	0.324	0.000119	0
14	NOL12	100	73.1	16.2	31.5	100	28.9	33	14.2	100	33.5	69	54.5	0.167	0.167	0.363	0	0.333	0.012	0.0831	0.046	0.324	0.000119	0.0258
15	AARS	100	73.1	8.6	31.5	100	18.3	1.5	20.8	100	100	49.7	54.9	0.167	0.167	0.351	0	0.333	0.005	6.45e-06	0.0734	0.324	0.00012	0
16	RTF1	100	73.1	16.2	31.5	100	23.9	6.1	6.6	100	100	49.7	55.2	0.167	0.167	0.363	0	0.333	0.00799	0.000187	0.016	0.324	0.00012	0
17	NELFE	100	73.1	16.2	31.5	100	13.2	8.1	15.7	100	100	49.7	55.2	0.167	0.167	0.363	0	0.333	0.003	0.00174	0.0537	0.324	0.00012	0
18	RBM22	100	73.1	28.4	31.5	100	26.4	26.4	39.6	100	33.5	49.7	55.3	0.167	0.167	0.366	0	0.333	0.00899	0.0437	0.291	0.324	0.000119	0
19	SMNDC1	100	73.1	47.7	31.5	100	29.4	12.7	16.8	100	33.5	74.1	56.3	0.167	0.167	0.679	0	0.333	0.013	0.00905	0.0577	0.324	0.000119	0.0364
20	PABPC1	100	73.1	35	31.5	100	4.6	19.8	5.1	100	100	49.7	56.3	0.167	0.167	0.379	0	0.333	0.000999	0.0266	0.0118	0.324	0.00012	0
21	NUFIP2	100	73.1	28.4	31.5	100	18.3	14.7	3.6	100	100	49.7	56.3	0.167	0.167	0.366	0	0.333	0.005	0.0123	0.00851	0.324	0.00012	0
22	RPS19	100	73.1	28.4	31.5	100	11.7	1	1	100	100	73.1	56.3	0.167	0.167	0.366	0	0.333	0.002	2.57e-07	0.00221	0.324	0.00012	0.0338
23	EIF4A3	100	73.1	16.2	31.5	100	11.7	24.4	10.2	100	100	57.4	56.8	0.167	0.167	0.363	0	0.333	0.002	0.0378	0.0286	0.324	0.00012	0.0024
24	SNRNP200	100	82.2	28.4	31.5	100	21.8	31.5	22.3	100	33.5	74.1	56.9	0.167	0.5	0.366	0	0.333	0.00699	0.0621	0.0826	0.324	0.000119	0.0364
25	DDX27	100	73.1	8.6	31.5	100	11.7	16.2	7.6	100	100	76.6	56.9	0.167	0.167	0.351	0	0.333	0.002	0.0143	0.0186	0.324	0.00012	0.0808
26	PRPF8	100	73.1	28.4	31.5	100	11.7	2	4.1	100	100	82.7	57.6	0.167	0.167	0.366	0	0.333	0.002	8.37e-06	0.00987	0.324	0.00012	0.258
27	HNRNPM	100	73.1	16.2	31.5	100	18.3	25.9	12.2	100	100	57.4	57.7	0.167	0.167	0.363	0	0.333	0.005	0.0436	0.0361	0.324	0.00012	0.0024
28	HSPD1	100	73.1	28.4	31.5	100	4.6	4.6	10.2	100	100	83.2	57.8	0.167	0.167	0.366	0	0.333	0.000999	0.000109	0.0286	0.324	0.00012	0.272
29	NPM1	100	73.1	28.4	34	100	27.4	20.8	3	100	100	49.7	57.9	0.167	0.167	0.366	0.282	0.333	0.00999	0.0303	0.00718	0.324	0.00012	0
30	HNRNPC	100	73.1	28.4	31.5	100	31.5	17.3	26.4	100	33.5	95.9	58	0.167	0.167	0.366	0	0.333	0.014	0.0156	0.131	0.324	0.000119	0.751
31	ZRANB2	100	73.1	35	31.5	100	18.3	14.2	18.3	100	100	49.7	58.2	0.167	0.167	0.379	0	0.333	0.005	0.0105	0.062	0.324	0.00012	0
32	EIF3G	100	73.1	28.4	31.5	100	26.4	2.5	8.6	100	100	72.6	58.5	0.167	0.167	0.366	0	0.333	0.00899	3.85e-05	0.0218	0.324	0.00012	0.0336
33	SLBP	100	73.1	35	31.5	100	21.8	27.4	47.2	100	33.5	76.1	58.7	0.167	0.167	0.379	0	0.333	0.00699	0.0456	0.397	0.324	0.000119	0.0612
34	UTP3	100	73.1	16.2	31.5	100	4.6	8.6	21.3	100	100	92.4	58.9	0.167	0.167	0.363	0	0.333	0.000999	0.00196	0.0751	0.324	0.00012	0.729
35	PUF60	100	73.1	8.6	31.5	100	18.3	22.3	11.2	100	100	83.8	59	0.167	0.167	0.351	0	0.333	0.005	0.0326	0.0303	0.324	0.00012	0.291
36	APOBEC3C	100	73.1	28.4	31.5	100	11.7	15.7	9.1	100	100	79.2	59	0.167	0.167	0.366	0	0.333	0.002	0.0141	0.0236	0.324	0.00012	0.106
37	HNRNPL	100	73.1	28.4	31.5	100	34.5	6.6	15.2	100	100	60.4	59.1	0.167	0.167	0.366	0	0.333	0.017	0.000327	0.0508	0.324	0.00012	0.0036
38	MAGOH	100	73.1	16.2	31.5	100	26.4	41.1	12.7	100	100	49.7	59.2	0.167	0.167	0.363	0	0.333	0.00899	0.157	0.0373	0.324	0.00012	0
39	EIF3D	100	73.1	28.4	31.5	100	23.9	23.9	10.7	100	100	67.5	59.9	0.167	0.167	0.366	0	0.333	0.00799	0.0357	0.029	0.324	0.00012	0.0198
40	DNAJC21	100	73.1	8.6	55.8	100	35	15.2	23.4	100	100	49.7	60.1	0.167	0.167	0.351	0.354	0.333	0.018	0.014	0.0888	0.324	0.00012	0
41	PNPT1	100	73.1	35	31.5	100	14.7	11.2	14.2	100	100	90.4	60.9	0.167	0.167	0.379	0	0.333	0.004	0.00796	0.046	0.324	0.00012	0.676
42	DDX24	100	73.1	100	31.5	100	11.7	34.5	18.8	100	33.5	68	61	0.167	0.167	1	0	0.333	0.002	0.107	0.0654	0.324	0.000119	0.0248
43	DDX3X	100	73.1	28.4	76.1	100	31.5	18.8	11.7	100	100	52.8	62.9	0.167	0.167	0.366	0.634	0.333	0.014	0.0224	0.0353	0.324	0.00012	0.001
44	LARP4	100	73.1	52.8	55.8	100	13.2	13.7	35	100	100	49.7	63	0.167	0.167	0.694	0.354	0.333	0.003	0.0102	0.251	0.324	0.00012	0
45	EFTUD2	100	73.1	41.1	47.7	100	44.7	43.7	46.2	100	33.5	64.5	63.1	0.167	0.167	0.657	0.352	0.333	0.041	0.199	0.386	0.324	0.000119	0.0096
46	SSB	100	73.1	41.1	31.5	100	27.9	9.1	24.4	100	100	87.8	63.2	0.167	0.167	0.657	0	0.333	0.011	0.00286	0.102	0.324	0.00012	0.468
47	DDX19B	100	73.1	44.2	47.7	100	4.6	50.8	25.9	100	100	49.7	63.3	0.167	0.167	0.669	0.352	0.333	0.000999	0.255	0.116	0.324	0.00012	0
48	PPIL4	100	73.1	44.2	31.5	100	4.6	51.8	41.1	100	100	49.7	63.3	0.167	0.167	0.669	0	0.333	0.000999	0.262	0.31	0.324	0.00012	0
49	SUCLG1	100	73.1	8.6	31.5	100	34.5	16.8	40.6	100	100	92.9	63.5	0.167	0.167	0.351	0	0.333	0.017	0.0144	0.308	0.324	0.00012	0.733
50	AATF	100	73.1	44.2	31.5	100	31.5	37.1	34	100	100	49.7	63.7	0.167	0.167	0.669	0	0.333	0.014	0.125	0.248	0.324	0.00012	0
51	AUH	100	73.1	41.1	47.7	100	39.1	23.4	28.4	100	100	49.7	63.9	0.167	0.167	0.657	0.352	0.333	0.03	0.0349	0.148	0.324	0.00012	0
52	SAFB2	100	73.1	16.2	31.5	100	34.5	66	24.9	100	100	58.9	64.1	0.167	0.167	0.363	0	0.333	0.017	0.459	0.106	0.324	0.00012	0.0028
53	TAF15	100	82.2	35	31.5	100	11.7	30.5	65.5	100	100	49.7	64.2	0.167	0.5	0.379	0	0.333	0.002	0.0532	0.631	0.324	0.00012	0
54	EIF4G2	100	73.1	35	31.5	100	21.8	32	14.7	100	100	99	64.3	0.167	0.167	0.379	0	0.333	0.00699	0.0648	0.0475	0.324	0.00012	0.898
55	SUPV3L1	100	73.1	54.8	47.7	100	32.5	36	42.6	100	33.5	89.3	64.5	0.167	0.167	0.699	0.352	0.333	0.015	0.116	0.335	0.324	0.000119	0.499
56	DDX1	100	73.1	35	47.7	100	36.5	47.7	19.8	100	100	49.7	64.5	0.167	0.167	0.379	0.352	0.333	0.022	0.239	0.0727	0.324	0.00012	0
57	EIF2S1	100	73.1	52.8	55.8	100	59.4	34	46.7	100	33.5	54.8	64.6	0.167	0.167	0.694	0.354	0.333	0.0999	0.0931	0.395	0.324	0.000119	0.0014
58	ZC3H8	100	73.1	35	76.1	100	45.7	45.7	16.2	100	33.5	85.3	64.6	0.167	0.167	0.379	0.634	0.333	0.043	0.22	0.0552	0.324	0.000119	0.387
59	FTO	100	73.1	47.7	34	100	27.4	46.2	29.9	100	100	52.3	64.6	0.167	0.167	0.679	0.282	0.333	0.00999	0.221	0.17	0.324	0.00012	4e-04
60	G3BP1	100	82.2	41.1	47.7	100	52.3	54.8	40.1	100	33.5	65.5	65.2	0.167	0.5	0.657	0.352	0.333	0.0639	0.271	0.297	0.324	0.000119	0.0124
