GENE.SET	ORA.RANK	SAFE.RANK	GSEA.RANK	GSA.RANK	GLOBALTEST.RANK	ROAST.RANK	CAMERA.RANK	GSVA.RANK	SAMGS.RANK	EBM.RANK	MGSA.RANK	MEAN.RANK	ORA.PVAL	SAFE.PVAL	GSEA.PVAL	GSA.PVAL	GLOBALTEST.PVAL	ROAST.PVAL	CAMERA.PVAL	GSVA.PVAL	SAMGS.PVAL	EBM.PVAL	MGSA.PVAL
1	PTBP1	100	64	6.1	27.4	100	6.1	5.6	8.1	100	49.2	48.7	46.8	0.167	0.167	0.351	0	0.333	0.004	0.002	0.0417	0.324	6.33e-05	0
2	SNRNP200	100	64	20.8	27.4	100	4.1	7.1	4.1	100	13.2	75.1	46.9	0.167	0.167	0.366	0	0.333	0.002	0.00316	0.0247	0.324	6.32e-05	0.055
3	EFTUD2	100	64	39.1	27.4	100	4.1	3.6	4.6	100	13.2	65.5	47.4	0.167	0.167	0.379	0	0.333	0.002	0.00113	0.0248	0.324	6.32e-05	0.0142
4	ABCF1	100	64	20.8	27.4	100	23.9	7.6	12.7	100	13.2	56.9	47.9	0.167	0.167	0.366	0	0.333	0.021	0.00344	0.0779	0.324	6.32e-05	0.002
5	TFIP11	100	64	39.1	27.4	100	14.2	17.8	10.7	100	13.2	48.7	48.6	0.167	0.167	0.379	0	0.333	0.013	0.0181	0.0609	0.324	6.32e-05	0
6	SRSF1	100	64	20.8	27.4	100	10.2	9.6	7.6	100	49.2	48.7	48.9	0.167	0.167	0.366	0	0.333	0.00699	0.00418	0.0416	0.324	6.33e-05	0
7	MSI2	100	64	6.1	27.4	100	1.5	4.1	3	100	49.2	84.8	49.1	0.167	0.167	0.351	0	0.333	0.000999	0.00115	0.0201	0.324	6.33e-05	0.322
8	EIF3G	100	64	13.7	27.4	100	13.2	1	2	100	49.2	71.6	49.3	0.167	0.167	0.363	0	0.333	0.00999	1.15e-05	0.0138	0.324	6.33e-05	0.0346
9	AKAP8L	100	64	13.7	27.4	100	1.5	0.5	0.5	100	49.2	91.4	49.8	0.167	0.167	0.363	0	0.333	0.000999	1.77e-16	0.00261	0.324	6.33e-05	0.713
10	HNRNPC	100	64	39.1	27.4	100	4.6	2	9.1	100	13.2	92.4	50.2	0.167	0.167	0.379	0	0.333	0.003	4.1e-05	0.0518	0.324	6.32e-05	0.739
