GENE.SET	ORA.RANK	SAFE.RANK	GSEA.RANK	GSA.RANK	GLOBALTEST.RANK	ROAST.RANK	CAMERA.RANK	GSVA.RANK	SAMGS.RANK	EBM.RANK	MGSA.RANK	MEAN.RANK	ORA.PVAL	SAFE.PVAL	GSEA.PVAL	GSA.PVAL	GLOBALTEST.PVAL	ROAST.PVAL	CAMERA.PVAL	GSVA.PVAL	SAMGS.PVAL	EBM.PVAL	MGSA.PVAL
1	PTBP1	100	58.9	27.4	26.4	87.8	1.5	1.5	1	93.9	100	47.7	49.7	0.167	0.167	0.379	0	0.333	0.02	3.96e-07	0.0284	0.324	0.787	0
2	XRCC6	100	58.9	9.1	26.4	87.8	2.5	9.6	1.5	93.9	100	57.4	49.7	0.167	0.167	0.363	0	0.333	0.04	0.000534	0.0397	0.324	0.787	0.003
3	AUH	100	58.9	27.4	26.4	87.8	6.1	0.5	3.6	93.9	100	47.7	50.2	0.167	0.167	0.379	0	0.333	0.0659	1.76e-08	0.0676	0.324	0.787	0
4	NELFE	100	58.9	9.1	26.4	87.8	20.8	9.1	7.6	93.9	100	47.7	51	0.167	0.167	0.363	0	0.333	0.181	0.000527	0.122	0.324	0.787	0
5	ZRANB2	100	58.9	27.4	26.4	87.8	7.6	4.6	7.1	93.9	100	47.7	51	0.167	0.167	0.379	0	0.333	0.0709	3e-05	0.121	0.324	0.787	0
6	EIF3G	100	58.9	27.4	26.4	87.8	8.6	2.5	2.5	93.9	100	69.5	52.5	0.167	0.167	0.379	0	0.333	0.0829	1.18e-06	0.0651	0.324	0.787	0.0312
7	APOBEC3C	100	58.9	27.4	26.4	87.8	0.5	4.1	0.5	93.9	100	79.2	52.6	0.167	0.167	0.379	0	0.333	0.011	8.37e-06	0.0241	0.324	0.787	0.115
8	PCBP2	100	58.9	15.2	26.4	87.8	22.8	18.8	10.2	93.9	100	47.7	52.9	0.167	0.167	0.366	0	0.333	0.191	0.00354	0.169	0.324	0.787	0
9	SART3	100	58.9	9.1	26.4	87.8	6.1	16.2	38.1	93.9	100	47.7	53.1	0.167	0.167	0.363	0	0.333	0.0659	0.00276	0.521	0.324	0.787	0
10	RBM34	100	81.7	15.2	26.4	100	1	15.7	4.6	93.9	100	47.7	53.3	0.167	0.5	0.366	0	0.667	0.013	0.00259	0.0831	0.324	0.787	0
11	RPS19	100	58.9	9.1	26.4	87.8	9.1	20.3	9.6	93.9	100	71.6	53.3	0.167	0.167	0.363	0	0.333	0.0859	0.00524	0.136	0.324	0.787	0.0346
12	NUFIP2	100	58.9	45.7	26.4	87.8	3	21.3	2	93.9	100	47.7	53.3	0.167	0.167	0.679	0	0.333	0.041	0.006	0.0584	0.324	0.787	0
13	HSPD1	100	58.9	9.1	26.4	87.8	6.6	19.8	5.1	93.9	100	83.8	53.8	0.167	0.167	0.363	0	0.333	0.0689	0.00451	0.103	0.324	0.787	0.272
14	RAVER1	100	58.9	15.2	26.4	87.8	5.1	37.6	20.8	93.9	100	47.7	53.9	0.167	0.167	0.366	0	0.333	0.0519	0.0782	0.336	0.324	0.787	0
15	SNRNP200	100	58.9	15.2	26.4	87.8	2	24.4	15.7	93.9	100	74.1	54.4	0.167	0.167	0.366	0	0.333	0.021	0.00987	0.24	0.324	0.787	0.0448
16	SERBP1	100	58.9	27.4	26.4	87.8	17.8	25.9	19.8	93.9	100	47.7	55.1	0.167	0.167	0.379	0	0.333	0.165	0.0175	0.329	0.324	0.787	0
17	SF3B1	100	58.9	15.2	26.4	87.8	14.2	21.8	19.3	93.9	100	71.1	55.3	0.167	0.167	0.366	0	0.333	0.141	0.00623	0.303	0.324	0.787	0.0338
18	EFTUD2	100	58.9	2	26.4	87.8	24.9	27.9	24.4	93.9	100	64.5	55.5	0.167	0.167	0.351	0	0.333	0.206	0.0261	0.391	0.324	0.787	0.0088
19	PRPF8	100	58.9	9.1	26.4	87.8	14.7	29.4	9.1	93.9	100	81.7	55.6	0.167	0.167	0.363	0	0.333	0.143	0.0321	0.134	0.324	0.787	0.235
20	CSTF2T	100	81.7	27.4	26.4	87.8	24.4	2	22.8	93.9	100	47.7	55.8	0.167	0.5	0.379	0	0.333	0.2	5.83e-07	0.347	0.324	0.787	0
21	XRCC5	100	58.9	27.4	54.8	87.8	17.8	8.1	10.7	93.9	100	55.8	55.9	0.167	0.167	0.379	0.352	0.333	0.165	0.000156	0.171	0.324	0.787	0.001
22	DDX28	100	58.9	32.5	26.4	87.8	27.9	16.8	24.9	93.9	100	47.7	56.1	0.167	0.167	0.657	0	0.333	0.248	0.0029	0.393	0.324	0.787	0
23	PPIL4	100	58.9	27.4	26.4	87.8	4.1	41.1	29.4	93.9	100	47.7	56.1	0.167	0.167	0.379	0	0.333	0.049	0.111	0.429	0.324	0.787	0
24	FUS	100	58.9	9.1	26.4	87.8	10.7	39.6	43.1	93.9	100	47.7	56.1	0.167	0.167	0.363	0	0.333	0.0919	0.101	0.579	0.324	0.787	0
