GENE.SET	ORA.RANK	SAFE.RANK	GSEA.RANK	GSA.RANK	GLOBALTEST.RANK	ROAST.RANK	CAMERA.RANK	GSVA.RANK	SAMGS.RANK	EBM.RANK	MGSA.RANK	MEAN.RANK	ORA.PVAL	SAFE.PVAL	GSEA.PVAL	GSA.PVAL	GLOBALTEST.PVAL	ROAST.PVAL	CAMERA.PVAL	GSVA.PVAL	SAMGS.PVAL	EBM.PVAL	MGSA.PVAL
1	AKAP1	100	67	5.1	26.9	100	2	14.2	3.6	100	46.2	50.3	46.8	0.167	0.167	0.351	0	0.333	0.000999	0.03	0.096	0.324	9.67e-06	0
2	ASCC1	100	67	39.6	26.9	100	3	0.5	0.5	100	58.9	50.3	49.7	0.167	0.167	0.379	0	0.333	0.004	9.82e-09	0.0118	0.324	9.68e-06	0
3	SUPV3L1	100	67	33	26.9	100	12.2	3	1	100	28.4	87.3	50.8	0.167	0.167	0.366	0	0.333	0.017	0.00276	0.0345	0.324	9.66e-06	0.455
4	DDX3X	100	67	33	26.9	100	7.6	1	4.1	100	70.6	50.3	50.9	0.167	0.167	0.366	0	0.333	0.012	1.43e-05	0.0982	0.324	9.69e-06	0
5	NOL12	100	67	33	26.9	100	4.1	22.8	6.1	100	28.4	72.1	50.9	0.167	0.167	0.366	0	0.333	0.00599	0.0662	0.111	0.324	9.66e-06	0.0336
6	DDX47	100	67	10.7	26.9	100	3.6	2	50.8	100	28.4	79.7	51.7	0.167	0.167	0.363	0	0.333	0.005	0.000687	0.63	0.324	9.66e-06	0.196
7	SART3	100	67	5.1	26.9	100	16.2	7.1	7.1	100	89.3	50.3	51.7	0.167	0.167	0.351	0	0.333	0.025	0.00871	0.134	0.324	9.71e-06	0
8	HNRNPC	100	67	33	26.9	100	18.3	10.2	19.3	100	6.6	92.4	52.1	0.167	0.167	0.366	0	0.333	0.028	0.0184	0.292	0.324	9.65e-06	0.725
9	ATP5C1	100	67	5.1	26.9	100	10.7	33.5	18.3	100	28.4	86.8	52.4	0.167	0.167	0.351	0	0.333	0.014	0.164	0.278	0.324	9.66e-06	0.424
10	PTBP1	100	67	33	26.9	100	13.2	20.3	22.8	100	46.2	50.3	52.7	0.167	0.167	0.366	0	0.333	0.02	0.0507	0.325	0.324	9.67e-06	0
11	U2AF2	100	67	33	26.9	100	17.8	4.1	22.8	100	58.9	50.3	52.8	0.167	0.167	0.366	0	0.333	0.026	0.0061	0.325	0.324	9.68e-06	0
12	EIF4G1	100	67	33	26.9	100	12.7	7.6	2	100	81.2	50.3	52.8	0.167	0.167	0.366	0	0.333	0.018	0.00972	0.0689	0.324	9.7e-06	0
13	TARDBP	100	67	46.2	26.9	100	36	9.1	20.8	100	28.4	50.3	53.2	0.167	0.167	0.657	0	0.333	0.0759	0.0168	0.314	0.324	9.66e-06	0
14	NONO	100	67	33	36.5	100	34	12.2	26.9	100	28.4	50.3	53.5	0.167	0.167	0.366	0.282	0.333	0.0719	0.0227	0.359	0.324	9.66e-06	0
15	HNRNPA1	100	67	5.1	26.9	100	2	11.7	2.5	100	89.3	87.8	53.9	0.167	0.167	0.351	0	0.333	0.000999	0.0214	0.0718	0.324	9.71e-06	0.459
16	SAFB2	100	67	5.1	26.9	100	19.3	21.3	9.1	100	89.3	58.4	54.2	0.167	0.167	0.351	0	0.333	0.029	0.053	0.151	0.324	9.71e-06	0.0032
17	EEF2	100	67	5.1	26.9	100	39.1	44.7	17.8	100	46.2	50.3	54.3	0.167	0.167	0.351	0	0.333	0.0839	0.276	0.269	0.324	9.67e-06	0
18	CIRBP	100	67	10.7	26.9	100	15.2	38.6	60.9	100	28.4	50.3	54.4	0.167	0.167	0.363	0	0.333	0.023	0.216	0.705	0.324	9.66e-06	0
19	CSTF2T	100	67	33	36.5	100	36	6.6	40.1	100	28.4	52.3	54.5	0.167	0.167	0.366	0.282	0.333	0.0759	0.00859	0.536	0.324	9.66e-06	2e-04
20	GPKOW	100	67	33	76.1	100	30.5	11.2	4.6	100	28.4	50.3	54.6	0.167	0.167	0.366	0.634	0.333	0.0629	0.0205	0.105	0.324	9.66e-06	0
21	DKC1	100	67	5.1	26.9	100	16.2	26.9	23.9	100	70.6	68	55	0.167	0.167	0.351	0	0.333	0.025	0.128	0.336	0.324	9.69e-06	0.022
22	SERBP1	100	67	33	26.9	100	2	21.8	10.7	100	94.4	50.3	55.1	0.167	0.167	0.366	0	0.333	0.000999	0.0538	0.165	0.324	9.72e-06	0
23	SNRNP200	100	67	33	26.9	100	11.7	25.9	42.6	100	28.4	73.1	55.3	0.167	0.167	0.366	0	0.333	0.016	0.114	0.557	0.324	9.66e-06	0.0362
24	DDX27	100	67	5.1	26.9	100	14.7	28.4	9.1	100	81.2	77.2	55.4	0.167	0.167	0.351	0	0.333	0.022	0.133	0.151	0.324	9.7e-06	0.0784
25	XRN2	100	67	59.9	36.5	100	23.4	5.1	9.6	100	28.4	85.3	55.9	0.167	0.167	0.709	0.282	0.333	0.039	0.00737	0.156	0.324	9.66e-06	0.384
26	RCC2	100	67	33	36.5	100	32.5	10.7	32	100	58.9	50.3	56.4	0.167	0.167	0.366	0.282	0.333	0.0659	0.0198	0.435	0.324	9.68e-06	0
27	RBM17	100	67	33	26.9	100	2	2.5	3	100	89.3	98.5	56.6	0.167	0.167	0.366	0	0.333	0.000999	0.00165	0.0741	0.324	9.71e-06	0.887
28	APOBEC3C	100	67	5.1	26.9	100	17.8	17.8	12.2	100	97.5	78.2	56.6	0.167	0.167	0.351	0	0.333	0.026	0.0449	0.191	0.324	9.74e-06	0.091
29	SSB	100	67	33	26.9	100	10.7	15.2	10.2	100	70.6	89.3	56.6	0.167	0.167	0.366	0	0.333	0.014	0.0361	0.164	0.324	9.69e-06	0.476
30	PPIG	100	67	46.2	76.1	100	34.5	3.6	12.7	100	6.6	78.7	56.9	0.167	0.167	0.657	0.634	0.333	0.0739	0.00473	0.199	0.324	9.65e-06	0.0928
31	PCBP1	100	67	100	36.5	100	31.5	5.6	6.6	100	28.4	50.3	56.9	0.167	0.167	1	0.282	0.333	0.0649	0.00781	0.114	0.324	9.66e-06	0
32	SRSF1	100	67	33	26.9	100	33	31.5	56.9	100	28.4	50.3	57	0.167	0.167	0.366	0	0.333	0.0669	0.155	0.663	0.324	9.66e-06	0
33	RBM39	100	67	39.6	26.9	100	21.3	40.1	29.9	100	46.2	56.9	57.1	0.167	0.167	0.379	0	0.333	0.033	0.228	0.387	0.324	9.67e-06	0.0024
34	TAF15	100	77.2	49.7	26.9	100	6.1	44.7	14.7	100	58.9	50.3	57.1	0.167	0.5	0.672	0	0.333	0.011	0.276	0.228	0.324	9.68e-06	0
35	AKAP8L	100	67	33	26.9	100	26.4	16.8	21.3	100	46.2	93.9	57.4	0.167	0.167	0.366	0	0.333	0.05	0.0401	0.315	0.324	9.67e-06	0.729
36	UPF2	100	67	39.6	46.7	100	10.7	17.3	6.1	100	94.4	50.3	57.5	0.167	0.167	0.379	0.352	0.333	0.014	0.0437	0.111	0.324	9.72e-06	0
37	MSI2	100	67	39.6	26.9	100	4.6	39.6	27.9	100	46.2	84.8	57.9	0.167	0.167	0.379	0	0.333	0.00699	0.222	0.367	0.324	9.67e-06	0.333
38	NUFIP2	100	67	10.7	26.9	100	28.4	35	19.8	100	100	50.3	58	0.167	0.167	0.363	0	0.333	0.0549	0.179	0.295	0.324	9.76e-06	0
39	BUD13	100	67	39.6	26.9	100	11.7	27.4	24.4	100	46.2	96.4	58.1	0.167	0.167	0.379	0	0.333	0.016	0.131	0.337	0.324	9.67e-06	0.763
40	NSUN2	100	67	33	36.5	100	41.1	26.4	52.3	100	6.6	86.3	59	0.167	0.167	0.366	0.282	0.333	0.101	0.127	0.635	0.324	9.65e-06	0.419
41	EIF4A3	100	67	10.7	26.9	100	2.5	55.3	58.9	100	70.6	62.4	59.5	0.167	0.167	0.363	0	0.333	0.003	0.404	0.669	0.324	9.69e-06	0.0066
42	RRP9	100	77.2	33	36.5	100	24.4	12.7	15.7	100	81.2	75.1	59.6	0.167	0.5	0.366	0.282	0.333	0.043	0.0236	0.24	0.324	9.7e-06	0.0444
43	ABCF1	100	67	39.6	46.7	100	14.2	67.5	59.4	100	6.6	55.3	59.7	0.167	0.167	0.379	0.352	0.333	0.021	0.569	0.673	0.324	9.65e-06	0.0018
44	KRR1	100	67	10.7	26.9	100	7.6	24.4	92.4	100	81.2	50.3	60	0.167	0.167	0.363	0	0.333	0.012	0.0968	0.958	0.324	9.7e-06	0
45	NUSAP1	100	67	33	76.1	100	42.6	19.8	44.7	100	28.4	50.3	60.2	0.167	0.167	0.366	0.634	0.333	0.107	0.05	0.582	0.324	9.66e-06	0
46	UPF1	100	67	33	36.5	100	29.9	18.3	27.4	100	89.3	65	60.6	0.167	0.167	0.366	0.282	0.333	0.0619	0.0464	0.366	0.324	9.71e-06	0.012
47	EIF4G2	100	67	39.6	26.9	100	10.7	18.8	11.2	100	94.4	98	60.6	0.167	0.167	0.379	0	0.333	0.014	0.0475	0.171	0.324	9.72e-06	0.884
48	SF1	100	67	49.7	26.9	100	22.3	45.2	18.8	100	89.3	50.3	60.9	0.167	0.167	0.672	0	0.333	0.037	0.28	0.286	0.324	9.71e-06	0
49	HNRNPAB	100	67	46.2	26.9	100	5.6	39.6	36	100	89.3	59.4	60.9	0.167	0.167	0.657	0	0.333	0.00899	0.222	0.499	0.324	9.71e-06	0.0042
50	EFTUD2	100	67	33	26.9	100	46.7	42.1	60.4	100	28.4	66.5	61	0.167	0.167	0.366	0	0.333	0.12	0.237	0.685	0.324	9.66e-06	0.0162
51	DDX6	100	67	33	46.7	100	27.9	19.3	55.3	100	70.6	53.3	61.2	0.167	0.167	0.366	0.352	0.333	0.0539	0.0493	0.659	0.324	9.69e-06	6e-04
52	AUH	100	67	33	36.5	100	47.7	28.9	43.7	100	70.6	50.3	61.6	0.167	0.167	0.366	0.282	0.333	0.124	0.141	0.562	0.324	9.69e-06	0
53	EIF3D	100	67	33	26.9	100	24.4	35.5	35.5	100	89.3	67	61.7	0.167	0.167	0.366	0	0.333	0.043	0.182	0.488	0.324	9.71e-06	0.0182
54	EIF3G	100	67	33	26.9	100	31	8.6	96.4	100	46.2	71.1	61.8	0.167	0.167	0.366	0	0.333	0.0639	0.0158	0.984	0.324	9.67e-06	0.0308
55	TROVE2	100	77.2	33	76.1	100	32.5	27.9	15.2	100	28.4	91.4	62	0.167	0.5	0.366	0.634	0.333	0.0659	0.132	0.235	0.324	9.66e-06	0.713
56	SF3B4	100	67	59.9	36.5	100	45.2	13.7	53.3	100	58.9	50.3	62.3	0.167	0.167	0.709	0.282	0.333	0.115	0.028	0.651	0.324	9.68e-06	0
57	DAZAP1	100	100	59.9	76.1	100	37.1	1.5	1.5	100	58.9	50.3	62.3	0.167	0.833	0.709	0.634	0.333	0.0789	0.000578	0.0479	0.324	9.68e-06	0
58	RAVER1	100	67	33	26.9	100	25.4	34	93.9	100	58.9	50.3	62.7	0.167	0.167	0.366	0	0.333	0.049	0.17	0.971	0.324	9.68e-06	0
59	XRCC6	100	67	10.7	26.9	100	27.9	99	46.2	100	58.9	55.8	62.9	0.167	0.167	0.363	0	0.333	0.0539	0.989	0.605	0.324	9.68e-06	0.0022
60	SRSF5	100	67	33	76.1	100	44.2	20.8	28.4	100	46.2	80.2	63.3	0.167	0.167	0.366	0.634	0.333	0.112	0.0526	0.377	0.324	9.67e-06	0.209
61	XRCC5	100	67	33	36.5	100	37.1	32.5	79.2	100	58.9	55.3	63.6	0.167	0.167	0.366	0.282	0.333	0.0789	0.156	0.855	0.324	9.68e-06	0.0018
62	CKAP4	100	67	33	36.5	100	43.7	23.9	70.1	100	28.4	97.5	63.6	0.167	0.167	0.366	0.282	0.333	0.11	0.0799	0.782	0.324	9.66e-06	0.859
63	DDX19B	100	67	56.3	36.5	100	24.9	92.4	47.7	100	28.4	50.3	64	0.167	0.167	0.699	0.282	0.333	0.048	0.798	0.617	0.324	9.66e-06	0
64	PUS1	100	67	39.6	26.9	100	17.8	56.9	58.4	100	58.9	80.7	64.2	0.167	0.167	0.379	0	0.333	0.026	0.423	0.668	0.324	9.68e-06	0.217
65	TFIP11	100	67	51.3	46.7	100	54.8	62.4	46.7	100	28.4	50.3	64.3	0.167	0.167	0.679	0.352	0.333	0.164	0.506	0.614	0.324	9.66e-06	0
66	UBE2L3	100	100	33	100	100	29.4	32.5	21.8	100	28.4	62.9	64.4	0.167	0.833	0.366	0.706	0.333	0.0609	0.156	0.322	0.324	9.66e-06	0.0108
67	TIA1	100	77.2	59.9	76.1	100	59.9	34.5	34.5	100	6.6	68.5	65.2	0.167	0.5	0.709	0.634	0.333	0.224	0.177	0.472	0.324	9.65e-06	0.0238
68	UTP3	100	67	39.6	48.7	100	20.8	46.2	30.5	100	70.6	94.4	65.3	0.167	0.167	0.379	0.354	0.333	0.032	0.297	0.404	0.324	9.69e-06	0.737
69	RPS10	100	77.2	10.7	46.7	100	52.8	36.5	64	100	70.6	60.4	65.3	0.167	0.5	0.363	0.352	0.333	0.145	0.187	0.739	0.324	9.69e-06	0.005
70	RBM15	100	67	33	46.7	100	36	52.8	38.1	100	46.2	99.5	65.4	0.167	0.167	0.366	0.352	0.333	0.0759	0.361	0.526	0.324	9.67e-06	0.901
71	EIF2S1	100	67	46.2	46.7	100	69.5	80.2	57.4	100	0.5	52.3	65.4	0.167	0.167	0.657	0.352	0.333	0.347	0.684	0.664	0.324	9.64e-06	2e-04
72	ZC3H8	100	67	33	100	100	19.8	43.7	42.1	100	28.4	85.8	65.4	0.167	0.167	0.366	0.706	0.333	0.03	0.273	0.556	0.324	9.66e-06	0.411
73	PCBP2	100	67	10.7	26.9	100	78.2	94.4	86.3	100	6.6	50.3	65.5	0.167	0.167	0.363	0	0.333	0.473	0.857	0.932	0.324	9.65e-06	0
74	RBM22	100	67	46.2	46.7	100	57.9	83.8	41.1	100	28.4	50.3	65.6	0.167	0.167	0.657	0.352	0.333	0.201	0.698	0.541	0.324	9.66e-06	0
75	RPS19	100	67	39.6	26.9	100	8.6	22.3	89.8	100	94.4	74.1	65.7	0.167	0.167	0.379	0	0.333	0.013	0.0647	0.943	0.324	9.72e-06	0.0382
76	BCLAF1	100	67	33	76.1	100	46.2	31.5	50.3	100	46.2	77.7	66.2	0.167	0.167	0.366	0.634	0.333	0.118	0.155	0.627	0.324	9.67e-06	0.0868
77	PKM	100	67	53.8	46.7	100	39.6	43.1	40.6	100	89.3	50.3	66.4	0.167	0.167	0.68	0.352	0.333	0.0919	0.258	0.538	0.324	9.71e-06	0
78	FXR1	100	67	33	26.9	100	23.4	72.1	89.3	100	70.6	50.3	66.6	0.167	0.167	0.366	0	0.333	0.039	0.616	0.939	0.324	9.69e-06	0
79	YBX3	100	67	100	76.1	100	40.1	13.2	5.1	100	81.2	50.3	66.6	0.167	0.167	1	0.634	0.333	0.0939	0.0252	0.11	0.324	9.7e-06	0
80	LARP4	100	67	48.2	46.7	100	33.5	54.3	62.9	100	70.6	50.3	66.7	0.167	0.167	0.669	0.352	0.333	0.0679	0.385	0.729	0.324	9.69e-06	0
