Pathway	p-value	Combined score	Rank
AARS	4.084949298358086e-10	18.002458338159304	1
PNPT1	3.4489311622290776e-08	12.62891157342172	2
FXR1	2.085554830380581e-06	10.693601856192766	3
XRCC5	2.085554830380581e-06	10.679501473285388	4
APOBEC3C	8.611502379831113e-05	7.940488305417663	5
DDX55	8.611502379831113e-05	7.745897081569976	6
XRCC6	1.410652277850468e-05	7.322588315304579	7
PABPC1	8.611502379831113e-05	6.471943215632223	8
CCAR2	0.0004702775639069078	6.099089851224818	9
G3BP2	8.611502379831113e-05	6.097788567848484	10
PRPF8	8.611502379831113e-05	5.938218526475621	11
HNRNPM	0.0004702775639069078	5.764254057492336	12
UPF2	0.0004702775639069078	5.70140181136037	13
LARP4	0.0004702775639069078	5.598177415330612	14
NAA15	0.0004702775639069078	5.429389821763476	15
SSRP1	0.0004702775639069078	5.405229689276906	16
HSPD1	0.0004702775639069078	4.630120583601358	17
NOL12	0.0004702775639069078	4.4797787543913525	18
ATP5C1	0.0004702775639069078	4.464432792064809	19
DNAJC21	0.0004702775639069078	4.352113926423278	20
EIF2S2	0.0004702775639069078	4.349281420820158	21
EIF3D	0.002273136306726944	3.739698456256104	22
SAFB2	0.002273136306726944	3.5852267123581623	23
RAVER1	0.002273136306726944	3.556743461484068	24
HNRNPAB	0.002273136306726944	3.551605370499899	25
LSM11	0.002273136306726944	3.5017321411302067	26
STAU1	0.002273136306726944	3.473229274501677	27
CELF1	0.002273136306726944	3.4709334713850213	28
TFIP11	0.002273136306726944	3.4384962013467977	29
U2AF1	0.002273136306726944	3.3456594290579655	30
TAF15	0.002273136306726944	3.340259243522976	31
EIF4B	0.002273136306726944	3.2954845008733193	32
PTBP1	0.002273136306726944	3.0990605410945316	33
EIF4G2	0.002273136306726944	3.0091181317326665	34
PUM2	0.002273136306726944	2.9947250796804394	35
ESF1	0.002273136306726944	2.9863610845391224	36
MSI2	0.002273136306726944	2.955585338746766	37
FKBP4	0.002273136306726944	2.949389653882071	38
SND1	0.002273136306726944	2.9077974828487325	39
STIP1	0.002273136306726944	2.841495244201647	40
UTP3	0.009599824709169404	2.216868859852208	41
MAGOH	0.009599824709169404	2.155709722445125	42
SNRNP200	0.009599824709169404	2.09981738268934	43
RTF1	0.009599824709169404	2.0257381595096717	44
RCC2	0.009599824709169404	1.9602400605081416	45
UCHL5	0.009599824709169404	1.941732494721961	46
LARP7	0.009599824709169404	1.9379695304777529	47
PCBP2	0.009599824709169404	1.8832340919985437	48
GRWD1	0.009599824709169404	1.8492539303907611	49
PPIL4	0.009599824709169404	1.7857709093562757	50
DDX1	0.009599824709169404	1.7838695434948464	51
NPM1	0.009599824709169404	1.7728936228278107	52
PARN	0.009599824709169404	1.6596628628571586	53
UPF1	0.009599824709169404	1.634715929555743	54
RPS19	0.009599824709169404	1.606976168878358	55
CSTF2T	0.009599824709169404	1.5853426277283091	56
TARDBP	0.009599824709169404	1.559516053826968	57
DDX47	0.009599824709169404	1.5078491708985788	58
PKM	0.03485912489141245	1.1874790144050709	59
CSTF2	0.03485912489141245	1.1578705236875977	60
U2AF2	0.03485912489141245	1.0238756299558507	61
PUF60	0.03485912489141245	1.0098560550534574	62
NUFIP2	0.03485912489141245	0.9744839679155739	63
EIF4G1	0.03485912489141245	0.9521452851365292	64
XRN2	0.03485912489141245	0.9488217655547962	65
DAZAP1	0.03485912489141245	0.9462218789174206	66
METAP2	0.03485912489141245	0.9301500958613229	67
HNRNPC	0.03485912489141245	0.8800687178603499	68
FIP1L1	0.03485912489141245	0.8795103685130005	69
ABCF1	0.03485912489141245	0.8603760594258222	70
HNRNPL	0.03485912489141245	0.8491324685673616	71
DKC1	0.03485912489141245	0.847257678447048	72
XPO5	0.03485912489141245	0.838754563595147	73
BUD13	0.03485912489141245	0.7814076075981756	74
PA2G4	0.03485912489141245	0.7637573398690605	75
ILF3	0.03485912489141245	0.7241815362995113	76
DDX6	0.03485912489141245	0.7123074250312066	77
SF3B1	0.03485912489141245	0.6087646825228985	78
ILF2	0.03485912489141245	0.558801395551558	79
CIRBP	0.26842395150706017	0.3940661784598673	80
SUB1	0.5388029867385493	0.38965679505361583	81
DDX3X	0.26842395150706017	0.38538675298932484	82
SLBP	0.26842395150706017	0.3802325812849973	83
HNRNPU	0.5388029867385493	0.3759027822380254	84
SUCLG1	0.26842395150706017	0.36730187492777755	85
SUGP2	0.26842395150706017	0.36670301935845295	86
EEF2	0.26842395150706017	0.3639437614201344	87
PCBP1	0.26842395150706017	0.3613101058255309	88
RRP9	0.26842395150706017	0.36000519972591016	89
DDX24	0.5388029867385493	0.359403967109894	90
UTP18	0.26842395150706017	0.3551462882738296	91
NCBP2	0.26842395150706017	0.3513572400189399	92
PPIG	0.5388029867385493	0.3441414064425233	93
HNRNPA1	0.26842395150706017	0.34227633673967817	94
HNRNPUL1	0.5388029867385493	0.3421723174261184	95
KRR1	0.5388029867385493	0.3373253293026476	96
DHX30	0.5388029867385493	0.3372543997343733	97
RBM25	0.5388029867385493	0.33674984921822104	98
RBM15	0.5388029867385493	0.33663829852466487	99
IGF2BP3	0.26842395150706017	0.3360935811758594	100
DDX19B	0.26842395150706017	0.3357047356923542	101
SMN1	0.5388029867385493	0.3355542612814062	102
CPSF6	0.5388029867385493	0.3350713086026532	103
NELFE	0.5388029867385493	0.3328492936270241	104
SFPQ	0.26842395150706017	0.32510168585152205	105
ZC3H8	0.5388029867385493	0.3234804112803306	106
FASTKD2	0.5388029867385493	0.32201831875225817	107
QKI	0.5388029867385493	0.3211265275879245	108
SUPT6H	0.26842395150706017	0.3189699090966919	109
SBDS	0.5388029867385493	0.31872147928540745	110
KHSRP	0.5388029867385493	0.3160138976729982	111
BCLAF1	0.26842395150706017	0.31559228595227606	112
SUPV3L1	0.26842395150706017	0.3139091213091168	113
DNAJC2	0.26842395150706017	0.31258085661326274	114
SF3A3	0.26842395150706017	0.30960137003919624	115
MTPAP	0.26842395150706017	0.3093936088439193	116
UBE2L3	0.5388029867385493	0.3078766377185344	117
BOP1	0.26842395150706017	0.3074799774905357	118
GTF2F1	0.26842395150706017	0.3069036577342309	119
HNRNPA2B1	0.26842395150706017	0.30676314407199085	120
YBX3	0.5388029867385493	0.3053418773371498	121
PSIP1	0.26842395150706017	0.3046354066564763	122
FUS	0.5388029867385493	0.3043485716140817	123
TIA1	0.5388029867385493	0.30147309407235917	124
GRSF1	0.26842395150706017	0.3008981511470179	125
DDX52	0.26842395150706017	0.30004078204868123	126
PUM1	0.26842395150706017	0.2977901376095747	127
RBFOX2	0.26842395150706017	0.29718574469695497	128
HNRNPA0	0.5388029867385493	0.2966019962696353	129
RBM34	0.5388029867385493	0.2961703008768779	130
FTO	0.5388029867385493	0.29613703170745764	131
MATR3	0.26842395150706017	0.2937947264806948	132
SRP68	0.26842395150706017	0.29049868263850354	133
PES1	0.26842395150706017	0.2884725377596932	134
SRFBP1	0.5388029867385493	0.2845043767950369	135
AGO1	0.26842395150706017	0.28254037092198103	136
RPS3A	0.10668664342296795	0.2775765016383897	137
ASCC1	0.26842395150706017	0.2772117224452288	138
G3BP1	0.5388029867385493	0.2768741054678038	139
SERBP1	0.10668664342296795	0.2714184798837896	140
EWSR1	0.26842395150706017	0.2707248090869302	141
EXOSC9	0.5388029867385493	0.26759509077718696	142
SSB	0.5388029867385493	0.26372514961361193	143
NUSAP1	0.26842395150706017	0.2566571007409469	144
RBM17	0.26842395150706017	0.2566485190371696	145
TIAL1	0.10668664342296795	0.2558837413737009	146
CKAP4	0.5388029867385493	0.2509949488716489	147
EIF4A3	0.5388029867385493	0.24961830948821048	148
ZRANB2	0.5388029867385493	0.23877927766190013	149
SART3	0.10668664342296795	0.21571091225489158	150
GPKOW	0.10668664342296795	0.18757939268565418	151
PABPC4	0.8371000006842522	0.15173248575320653	152
KIF1C	0.10668664342296795	0.15017142948853576	153
RPS10	0.8371000006842522	0.14717919059759313	154
SF3B4	0.8371000006842522	0.14455343173811894	155
SF1	0.10668664342296795	0.14081820522320904	156
RBM22	0.10668664342296795	0.13706016025323142	157
NSUN2	0.10668664342296795	0.13111052372453155	158
PRPF6	0.10668664342296795	0.12875774826066294	159
DDX27	0.10668664342296795	0.12851635140880563	160
AKAP8L	0.10668664342296795	0.12850498358194515	161
GEMIN5	0.8371000006842522	0.12811544801556	162
PHF6	0.8371000006842522	0.1260649059871708	163
AKAP8	0.10668664342296795	0.1254807482295888	164
SMNDC1	0.8371000006842522	0.12414465554172607	165
RECQL	0.8371000006842522	0.12183103370330454	166
AUH	0.8371000006842522	0.12138215053280706	167
EIF2S1	0.8371000006842522	0.11942095801119774	168
FUBP3	0.8371000006842522	0.11876333896235418	169
EIF3G	0.10668664342296795	0.11773209083637182	170
LIN28B	0.8371000006842522	0.11539814775957871	171
SRSF1	0.10668664342296795	0.11489415444485421	172
FMR1	0.10668664342296795	0.1144012556127978	173
RBM39	0.8371000006842522	0.11280131066458465	174
EFTUD2	0.10668664342296795	0.10229537829982437	175
TRA2A	0.8371000006842522	0.09984473820885127	176
TROVE2	0.10668664342296795	0.09770822760855859	177
TUFM	0.10668664342296795	0.09713592427607967	178
SRSF5	0.8371000006842522	0.0955254370130384	179
IGF2BP2	0.8371000006842522	0.09519626413413194	180
AATF	0.8371000006842522	0.09258534707897582	181
NONO	0.10668664342296795	0.08109848581304967	182
CPSF7	0.10668664342296795	0.07916788040714137	183
PUS1	0.10668664342296795	0.07616262250338442	184
CNOT7	0.10668664342296795	0.0704145838916082	185
FAM120A	0.10668664342296795	0.05035630721039578	186
KHDRBS1	0.10668664342296795	0.04896201982102169	187
HNRNPK	0.10668664342296795	0.04738913134863115	188
TBRG4	0.10668664342296795	0.041871474529052786	189
DDX28	0.10668664342296795	0.025555180437736538	190
SLTM	0.10668664342296795	0.025185210546135275	191
ADAR	0.10668664342296795	0.00348237730444396	192
TRIM56	1.0	0.0	193
HLTF	1.0	0.0	194
CCAR1	1.0	0.0	195
BCCIP	1.0	0.0	196
AKAP1	1.0	0.0	197
