Pathway	p-value	Combined score	Rank
HNRNPK	2.803644224366207e-07	10.809442153613631	1
PUM1	2.085554830380581e-06	10.433809666359428	2
DDX47	2.803644224366207e-07	10.158587757076715	3
AATF	1.410652277850468e-05	9.100282078139502	4
NAA15	1.410652277850468e-05	8.95890622176922	5
ESF1	2.085554830380581e-06	8.603617796542853	6
HNRNPC	1.410652277850468e-05	8.47395173955454	7
PPIL4	1.410652277850468e-05	8.167048091886093	8
AARS	8.611502379831113e-05	6.840646024798452	9
PNPT1	8.611502379831113e-05	6.159827654066061	10
EIF4G2	8.611502379831113e-05	5.708413415553354	11
RPS19	8.611502379831113e-05	5.646651452459634	12
XRCC6	8.611502379831113e-05	5.601538932900511	13
SND1	8.611502379831113e-05	5.522242473043314	14
UTP3	0.0004702775639069078	5.480310791815448	15
ABCF1	0.0004702775639069078	4.9526715636616965	16
DDX27	0.0004702775639069078	4.944182357345542	17
EIF4B	0.0004702775639069078	4.84508800350602	18
CPSF7	0.0004702775639069078	4.725862690159076	19
HSPD1	0.0004702775639069078	4.377446808949861	20
BUD13	0.0004702775639069078	4.281489190919613	21
UPF1	0.0004702775639069078	4.251455316391829	22
NOL12	0.0004702775639069078	4.169299653550567	23
SF3B4	0.0004702775639069078	4.118408608782187	24
SUGP2	0.0004702775639069078	4.082366661030238	25
APOBEC3C	0.002273136306726944	3.788361891563088	26
DDX55	0.002273136306726944	3.64943734104301	27
FTO	0.002273136306726944	3.211292638553841	28
PCBP2	0.002273136306726944	3.1026718707489143	29
HNRNPL	0.002273136306726944	3.091069529422272	30
XPO5	0.002273136306726944	3.020361004141648	31
NCBP2	0.002273136306726944	2.98969498047949	32
SF3A3	0.002273136306726944	2.98046533876729	33
PTBP1	0.002273136306726944	2.8607409313577983	34
DDX19B	0.002273136306726944	2.8550317403410777	35
FKBP4	0.002273136306726944	2.8046106477191617	36
PRPF8	0.002273136306726944	2.7450326342765345	37
DNAJC21	0.002273136306726944	2.701566535045196	38
EIF2S2	0.002273136306726944	2.691701121223128	39
PKM	0.009599824709169404	2.602492864754695	40
EIF3G	0.002273136306726944	2.590343198075912	41
HNRNPAB	0.009599824709169404	2.3501592887730838	42
SUPV3L1	0.009599824709169404	2.2963280833678223	43
DAZAP1	0.009599824709169404	2.266800249749018	44
XRN2	0.009599824709169404	2.2459766353413975	45
RBM22	0.009599824709169404	2.1797769266267686	46
DNAJC2	0.009599824709169404	2.152090966016407	47
PUS1	0.009599824709169404	2.072589263644567	48
SFPQ	0.009599824709169404	2.0178286857833663	49
EFTUD2	0.009599824709169404	1.483541593996562	50
SRSF1	0.009599824709169404	1.3891395073965873	51
CCAR2	0.03485912489141245	1.3757251151406213	52
HNRNPM	0.03485912489141245	1.2732673686402323	53
SART3	0.03485912489141245	1.2019685079269338	54
SNRNP200	0.03485912489141245	1.1956813492189016	55
SRFBP1	0.03485912489141245	1.1746681396105307	56
LARP4	0.03485912489141245	1.1545866306549137	57
STAU1	0.03485912489141245	1.1420909024631227	58
FXR1	0.03485912489141245	1.1172022952963756	59
KIF1C	0.03485912489141245	1.0972387044100476	60
BOP1	0.03485912489141245	1.082224361354785	61
SF1	0.03485912489141245	1.066078085157042	62
FMR1	0.03485912489141245	1.050137054487239	63
GRWD1	0.03485912489141245	1.0394558037104795	64
BCLAF1	0.03485912489141245	1.0357141745744785	65
NPM1	0.03485912489141245	1.0248552534004947	66
PABPC1	0.03485912489141245	0.9890504407801597	67
DDX1	0.03485912489141245	0.9633408487822434	68
PCBP1	0.03485912489141245	0.9236678505599727	69
PUM2	0.03485912489141245	0.8460534229519389	70
G3BP2	0.03485912489141245	0.8457595243828736	71
SF3B1	0.03485912489141245	0.8063422408342992	72
EEF2	0.03485912489141245	0.7834323792258602	73
EIF3D	0.10668664342296795	0.46111363422945206	74
RPS3A	0.10668664342296795	0.45256011232892096	75
RBM17	0.10668664342296795	0.4223713145848995	76
SERBP1	0.10668664342296795	0.4213826470489997	77
MAGOH	0.10668664342296795	0.4149887209386081	78
NUFIP2	0.10668664342296795	0.41250534678386286	79
EIF4A3	0.10668664342296795	0.3999050510411333	80
RTF1	0.10668664342296795	0.38487143572163157	81
PUF60	0.10668664342296795	0.3793588463023227	82
RBM39	0.10668664342296795	0.3734411432976976	83
EIF4G1	0.10668664342296795	0.35533050582678727	84
NSUN2	0.10668664342296795	0.33496207654836907	85
LARP7	0.10668664342296795	0.3244087602556619	86
TROVE2	0.5388029867385493	0.31977681928497775	87
SLBP	0.5388029867385493	0.30430214964215896	88
DDX3X	0.5388029867385493	0.3002909264237939	89
SSRP1	0.10668664342296795	0.2978447895287902	90
SUCLG1	0.5388029867385493	0.29567299551570836	91
FUS	0.10668664342296795	0.2935372908848081	92
UTP18	0.5388029867385493	0.29336349854834926	93
