Pathway	p-value	Combined score	Rank
RPS19	4.084949298358086e-10	14.657712029361324	1
EIF3G	3.903765964623507e-09	12.549773964708413	2
HNRNPM	2.085554830380581e-06	11.161642629878399	3
XRCC5	1.410652277850468e-05	8.775634701284257	4
APOBEC3C	8.611502379831113e-05	7.869993913501668	5
EIF4G2	1.410652277850468e-05	7.30787872704851	6
GRSF1	8.611502379831113e-05	7.263234983914209	7
HNRNPA1	1.410652277850468e-05	7.194914548891926	8
EEF2	1.410652277850468e-05	7.018020718475312	9
AKAP1	8.611502379831113e-05	6.134526431936595	10
RBM17	0.0004702775639069078	5.9758620493848795	11
DDX47	8.611502379831113e-05	5.75812972105481	12
PUF60	0.0004702775639069078	5.702091785931253	13
DAZAP1	0.0004702775639069078	5.485843666955296	14
ABCF1	0.0004702775639069078	5.43084405351559	15
PRPF6	0.0004702775639069078	5.224680890533797	16
RRP9	0.0004702775639069078	4.58615544581089	17
PRPF8	0.0004702775639069078	4.47784072584387	18
EIF4A3	0.002273136306726944	4.0937832819598	19
SAFB2	0.002273136306726944	3.9166704317219567	20
FIP1L1	0.002273136306726944	3.7816011694655556	21
CELF1	0.002273136306726944	3.6635143583718315	22
MATR3	0.002273136306726944	3.5760764523253745	23
HNRNPL	0.002273136306726944	3.561144126715681	24
SFPQ	0.002273136306726944	3.5017107208320883	25
PNPT1	0.002273136306726944	3.4858174912889335	26
RECQL	0.002273136306726944	3.355449228063574	27
CSTF2T	0.002273136306726944	3.2322976284077733	28
ILF2	0.002273136306726944	3.0676625300573805	29
RPS10	0.002273136306726944	3.0327045275239684	30
HNRNPAB	0.009599824709169404	2.7110061141155706	31
FXR1	0.009599824709169404	2.547233195310119	32
FTO	0.009599824709169404	2.487208982671433	33
PABPC1	0.009599824709169404	2.2523843699257817	34
AUH	0.009599824709169404	2.11833977516268	35
HSPD1	0.009599824709169404	2.0414488218226645	36
G3BP2	0.009599824709169404	2.004057940314349	37
XRCC6	0.009599824709169404	1.9458653944563424	38
SF3B4	0.009599824709169404	1.8851001695533736	39
RPS3A	0.03485912489141245	1.4661141379771423	40
UTP3	0.03485912489141245	1.3884448181778544	41
EIF3D	0.03485912489141245	1.3769238743067516	42
UPF2	0.03485912489141245	1.3482802279981825	43
SERBP1	0.03485912489141245	1.3317684259337557	44
RAVER1	0.03485912489141245	1.3099444633218333	45
CKAP4	0.03485912489141245	1.2828388621316442	46
TFIP11	0.03485912489141245	1.2600890842181334	47
BCCIP	0.03485912489141245	1.2569695588003453	48
EWSR1	0.03485912489141245	1.2316767034804181	49
BOP1	0.03485912489141245	1.2118724387626945	50
DNAJC2	0.03485912489141245	1.2111263142520399	51
SLTM	0.03485912489141245	1.2105373392787449	52
GRWD1	0.03485912489141245	1.2011884633822518	53
RBM15	0.03485912489141245	1.1746961141354586	54
RCC2	0.03485912489141245	1.1699624441509822	55
SUPT6H	0.03485912489141245	1.1611812898861453	56
NONO	0.03485912489141245	1.1541910800436448	57
PARN	0.03485912489141245	1.1205864279521154	58
RBM22	0.03485912489141245	1.1183543267240685	59
PTBP1	0.03485912489141245	1.1044346697713892	60
NOL12	0.03485912489141245	1.0919389344336885	61
PUM2	0.03485912489141245	1.076162465707617	62
TBRG4	0.03485912489141245	1.0634285752390462	63
TROVE2	0.03485912489141245	1.0599653153866242	64
ATP5C1	0.03485912489141245	1.053353495162776	65
DNAJC21	0.03485912489141245	1.0453136784618051	66
PPIG	0.03485912489141245	1.0342087898984726	67
STIP1	0.03485912489141245	1.0114824160105484	68
QKI	0.03485912489141245	1.0078537293924763	69
DDX3X	0.03485912489141245	0.983530871319452	70
AARS	0.10668664342296795	0.35526774440284203	71
TIAL1	0.10668664342296795	0.3434431929798127	72
NUFIP2	0.10668664342296795	0.3277845936961933	73
AKAP8	0.5388029867385493	0.32304467921055224	74
DDX27	0.10668664342296795	0.3214575095222029	75
HNRNPU	0.5388029867385493	0.308087958908934	76
TIA1	0.10668664342296795	0.30625500103866954	77
SRSF1	0.26842395150706017	0.29790282567814896	78
SF3B1	0.5388029867385493	0.28826664044499384	79
XRN2	0.10668664342296795	0.28706470098443687	80
EIF4G1	0.10668664342296795	0.28545576892559515	81
AATF	0.10668664342296795	0.28034578070788285	82
SUCLG1	0.26842395150706017	0.28012924530210354	83
KHDRBS1	0.5388029867385493	0.2776527912823006	84
TAF15	0.10668664342296795	0.2716521509934718	85
SMN1	0.5388029867385493	0.2697364753728967	86
MSI2	0.26842395150706017	0.26489108238350084	87
CPSF6	0.26842395150706017	0.26004551672607007	88
FKBP4	0.5388029867385493	0.25930784353360753	89
HNRNPC	0.10668664342296795	0.2569108537685208	90
DHX30	0.5388029867385493	0.255987055410664	91
KHSRP	0.10668664342296795	0.2530689695014932	92
PCBP1	0.5388029867385493	0.24761935518217562	93
SUPV3L1	0.10668664342296795	0.24091296688185396	94
IGF2BP3	0.5388029867385493	0.23935591961869515	95
BCLAF1	0.10668664342296795	0.2392447763785306	96
G3BP1	0.10668664342296795	0.23852053807593857	97
PA2G4	0.5388029867385493	0.23597067293080343	98
NCBP2	0.26842395150706017	0.23587244484135184	99
METAP2	0.10668664342296795	0.23490932512738008	100
FAM120A	0.5388029867385493	0.23423868863710542	101
EIF4B	0.10668664342296795	0.2284020316103188	102
SF3A3	0.5388029867385493	0.2266681168184362	103
DDX1	0.10668664342296795	0.22647609306155872	104
SND1	0.26842395150706017	0.22587537642928524	105
TRIM56	0.26842395150706017	0.2229718580377908	106
FUS	0.10668664342296795	0.22200389478762084	107
XPO5	0.5388029867385493	0.2215448211329585	108
HNRNPK	0.26842395150706017	0.220637538438612	109
RBFOX2	0.5388029867385493	0.21887830454767113	110
CPSF7	0.5388029867385493	0.2178170574487027	111
NSUN2	0.10668664342296795	0.21604867073446385	112
MTPAP	0.5388029867385493	0.2137498080549838	113
SSRP1	0.10668664342296795	0.2135793027611813	114
HNRNPA2B1	0.10668664342296795	0.21271904653801393	115
STAU1	0.5388029867385493	0.21204493855670517	116
PSIP1	0.5388029867385493	0.2118258620913433	117
DDX19B	0.26842395150706017	0.21145018375662586	118
DKC1	0.26842395150706017	0.21052812200630874	119
AGO1	0.10668664342296795	0.20699600478862804	120
LARP7	0.5388029867385493	0.20021425241234628	121
DDX6	0.10668664342296795	0.19871847001086665	122
AKAP8L	0.10668664342296795	0.19680420419419345	123
LSM11	0.5388029867385493	0.19169010847480583	124
ADAR	0.26842395150706017	0.19082572885824506	125
PES1	0.5388029867385493	0.19027758691059285	126
ILF3	0.26842395150706017	0.19025754093076727	127
SBDS	0.10668664342296795	0.18974854144669875	128
YBX3	0.26842395150706017	0.18945040402838687	129
SRSF5	0.5388029867385493	0.18714044021589135	130
PUS1	0.26842395150706017	0.18606800457152783	131
U2AF2	0.5388029867385493	0.18483386959510037	132
FUBP3	0.26842395150706017	0.1783853950293739	133
TUFM	0.26842395150706017	0.17616855334405487	134
SNRNP200	0.5388029867385493	0.1758719458488289	135
SRP68	0.26842395150706017	0.1737216942952957	136
CSTF2	0.5388029867385493	0.1699914320449518	137
DDX28	0.10668664342296795	0.1680446713632981	138
PUM1	0.26842395150706017	0.1651441965808109	139
SF1	0.26842395150706017	0.16085825747277332	140
NPM1	0.26842395150706017	0.16004201743789348	141
ZRANB2	0.5388029867385493	0.1460404573252072	142
KIF1C	0.26842395150706017	0.14288522775521595	143
UPF1	0.10668664342296795	0.13320182591273946	144
NELFE	0.10668664342296795	0.1305107657221715	145
TARDBP	0.10668664342296795	0.12869007647077607	146
PABPC4	0.8371000006842522	0.12468542900321179	147
LARP4	0.26842395150706017	0.12453220943820117	148
SRFBP1	0.26842395150706017	0.12361121432852451	149
UTP18	0.8371000006842522	0.12220186755773767	150
EFTUD2	0.8371000006842522	0.12171347298570837	151
CNOT7	0.8371000006842522	0.11837111928274445	152
ESF1	0.8371000006842522	0.11777187451879798	153
SUGP2	0.8371000006842522	0.11749064258677488	154
HNRNPUL1	0.8371000006842522	0.1172689095358726	155
KRR1	0.8371000006842522	0.11581900347472754	156
GTF2F1	0.8371000006842522	0.11072250329660753	157
EIF2S2	0.10668664342296795	0.11039437861118835	158
SLBP	0.10668664342296795	0.11003253726418326	159
GEMIN5	0.8371000006842522	0.10825808546678789	160
U2AF1	0.8371000006842522	0.1051111259315472	161
SMNDC1	0.8371000006842522	0.10465569862779733	162
CCAR1	0.8371000006842522	0.10421245807688628	163
PPIL4	0.8371000006842522	0.10297989933476141	164
FMR1	0.8371000006842522	0.10232997537947346	165
RTF1	0.26842395150706017	0.10177471989335783	166
LIN28B	0.8371000006842522	0.10146033173692291	167
DDX55	0.26842395150706017	0.10095599514027565	168
RBM39	0.8371000006842522	0.10023011812423196	169
EIF2S1	0.8371000006842522	0.10020820907811606	170
RBM34	0.8371000006842522	0.10015904690791097	171
HNRNPA0	0.8371000006842522	0.09751924361110106	172
DDX24	0.10668664342296795	0.09742578522189474	173
PCBP2	0.8371000006842522	0.09634000419099048	174
MAGOH	0.26842395150706017	0.09275523684318215	175
TRA2A	0.8371000006842522	0.08919605262465169	176
EXOSC9	0.8371000006842522	0.08916597098443342	177
GPKOW	0.26842395150706017	0.08801657582687562	178
SSB	0.8371000006842522	0.08526164870036874	179
HLTF	0.8371000006842522	0.08513873034752018	180
NUSAP1	0.8371000006842522	0.08459903899166003	181
NAA15	0.8371000006842522	0.08382072576954373	182
SUB1	0.10668664342296795	0.04294039247052671	183
PKM	0.26842395150706017	0.03874364689067475	184
CCAR2	0.26842395150706017	0.03711992684314682	185
ZC3H8	1.0	0.0	186
UCHL5	1.0	0.0	187
UBE2L3	1.0	0.0	188
SART3	1.0	0.0	189
RBM25	1.0	0.0	190
PHF6	1.0	0.0	191
IGF2BP2	1.0	0.0	192
FASTKD2	1.0	0.0	193
DDX52	1.0	0.0	194
CIRBP	1.0	0.0	195
BUD13	1.0	0.0	196
ASCC1	1.0	0.0	197
