Pathway	p-value	Combined score	Rank
ADAR	1.798267916526862e-15	25.0440436351316	1
DKC1	2.085554830380581e-06	10.03266582687339	2
CELF1	1.410652277850468e-05	8.684140250612087	3
PNPT1	1.410652277850468e-05	7.8805719109891035	4
RBM17	8.611502379831113e-05	7.794385550865842	5
HNRNPAB	8.611502379831113e-05	7.741686250800403	6
HNRNPM	8.611502379831113e-05	7.633378445200125	7
UPF2	8.611502379831113e-05	7.326841431300845	8
CPSF7	8.611502379831113e-05	6.452955645823994	9
GRSF1	0.0004702775639069078	5.925574023076083	10
G3BP2	8.611502379831113e-05	5.921353301755794	11
HNRNPA1	8.611502379831113e-05	5.84645864310383	12
DAZAP1	0.0004702775639069078	5.772361111299721	13
FXR1	0.0004702775639069078	5.290983632420231	14
FKBP4	0.0004702775639069078	4.656098989679054	15
SND1	0.0004702775639069078	4.653492450599927	16
DDX28	0.0004702775639069078	4.585370944657504	17
SLTM	0.0004702775639069078	4.580889640926014	18
NOL12	0.0004702775639069078	4.493013308474068	19
LSM11	0.002273136306726944	3.931540835387499	20
SERBP1	0.002273136306726944	3.8794320549513666	21
BCCIP	0.002273136306726944	3.7832604220558976	22
PUS1	0.002273136306726944	3.732348182679047	23
EIF3D	0.002273136306726944	3.693636660511847	24
KIF1C	0.002273136306726944	3.672273180749917	25
MATR3	0.002273136306726944	3.667358850462042	26
SUPT6H	0.002273136306726944	3.662496076434496	27
AARS	0.002273136306726944	3.627553978391634	28
RBM39	0.002273136306726944	3.5942608610962847	29
NSUN2	0.002273136306726944	3.5686703369269144	30
TUFM	0.002273136306726944	3.5278617551887397	31
SSB	0.002273136306726944	3.4931352346784914	32
RRP9	0.002273136306726944	3.3734517608877184	33
XRCC5	0.002273136306726944	3.340386361636755	34
HSPD1	0.002273136306726944	3.2845793929846514	35
AKAP1	0.002273136306726944	3.215489004879887	36
ILF2	0.002273136306726944	3.126087969300626	37
TBRG4	0.002273136306726944	2.979165357975651	38
APOBEC3C	0.009599824709169404	2.103870944335092	39
SAFB2	0.009599824709169404	2.036594137935622	40
HLTF	0.009599824709169404	1.9980954935198236	41
ZRANB2	0.009599824709169404	1.970686113903863	42
PUF60	0.009599824709169404	1.9682708330204632	43
EIF4A3	0.009599824709169404	1.9651155489669956	44
MTPAP	0.009599824709169404	1.9262173702810865	45
MAGOH	0.009599824709169404	1.9202527420817264	46
PABPC1	0.009599824709169404	1.9073846671997696	47
SNRNP200	0.009599824709169404	1.880142191717424	48
EIF4G1	0.009599824709169404	1.854479174809032	49
GRWD1	0.009599824709169404	1.807056502192093	50
RBM22	0.009599824709169404	1.7983365809145322	51
DDX27	0.009599824709169404	1.791156971425798	52
G3BP1	0.009599824709169404	1.754093496527795	53
SSRP1	0.009599824709169404	1.7277362787427377	54
ATP5C1	0.009599824709169404	1.7038347581244875	55
PCBP1	0.009599824709169404	1.6829045646539236	56
KHSRP	0.009599824709169404	1.660926383736484	57
GPKOW	0.009599824709169404	1.659251956666644	58
IGF2BP3	0.009599824709169404	1.6528819559784513	59
EIF4G2	0.009599824709169404	1.6513832861085622	60
FUS	0.009599824709169404	1.6401564490342635	61
UTP18	0.009599824709169404	1.6395971957175892	62
CPSF6	0.009599824709169404	1.6352780545748162	63
ESF1	0.009599824709169404	1.5456368115093062	64
PRPF8	0.009599824709169404	1.542011163694336	65
AKAP8	0.009599824709169404	1.5365069104089546	66
KRR1	0.009599824709169404	1.5331395804354955	67
TIAL1	0.03485912489141245	0.6626618743423672	68
RPS3A	0.03485912489141245	0.660648524011543	69
BOP1	0.03485912489141245	0.5794049845019648	70
SUPV3L1	0.03485912489141245	0.5702006815946034	71
EIF2S2	0.26842395150706017	0.5428879526694749	72
NELFE	0.26842395150706017	0.5407534156033367	73
EEF2	0.26842395150706017	0.5360672933173951	74
SF3B4	0.26842395150706017	0.5266657258690857	75
GTF2F1	0.26842395150706017	0.5177330898203581	76
HNRNPUL1	0.26842395150706017	0.5163920251736064	77
SBDS	0.26842395150706017	0.5131077965616722	78
TARDBP	0.26842395150706017	0.5068603903560153	79
RBM25	0.26842395150706017	0.48592193922518345	80
SF3A3	0.26842395150706017	0.4825318722094073	81
PCBP2	0.03485912489141245	0.46905801504168726	82
HNRNPC	0.03485912489141245	0.46510227793207215	83
AGO1	0.26842395150706017	0.43824302130646353	84
HNRNPA2B1	0.03485912489141245	0.4363226632238909	85
DDX52	0.26842395150706017	0.42726699002717117	86
