Pathway	p-value	Combined score	Rank
DDX3X	8.384941331187986e-18	24.36056123190641	1
EIF3D	3.591966005267652e-12	22.399746047830646	2
KRR1	3.591966005267652e-12	18.24953227668266	3
AGO1	3.9682910683354356e-11	16.747579764780408	4
U2AF2	3.903765964623507e-09	15.991347198353123	5
EIF3G	3.9682910683354356e-11	15.129241392112373	6
PCBP2	3.4489311622290776e-08	11.962580011437005	7
ZRANB2	2.803644224366207e-07	11.935465476550918	8
SMNDC1	3.4489311622290776e-08	11.410053708968583	9
EIF4A3	2.803644224366207e-07	11.370850354281902	10
CIRBP	3.903765964623507e-09	11.30906869135593	11
BUD13	3.4489311622290776e-08	11.104055949588453	12
SRSF5	2.803644224366207e-07	10.920123093216965	13
NAA15	2.803644224366207e-07	10.907808830815496	14
AKAP8L	2.803644224366207e-07	10.88133552774047	15
DDX47	3.4489311622290776e-08	10.427991237664784	16
DDX24	3.4489311622290776e-08	9.669998630686045	17
IGF2BP3	2.803644224366207e-07	9.660816663343953	18
ATP5C1	2.803644224366207e-07	9.044149719714982	19
MAGOH	2.085554830380581e-06	9.02348996756301	20
SNRNP200	2.085554830380581e-06	8.897760339836294	21
HNRNPC	2.085554830380581e-06	7.996231904086826	22
TRIM56	2.085554830380581e-06	7.493757123962619	23
RBM15	2.085554830380581e-06	7.449389358572092	24
ESF1	2.085554830380581e-06	6.745739072614895	25
RPS19	2.085554830380581e-06	6.587930265761964	26
SF3B4	2.085554830380581e-06	6.384460492258828	27
FUS	1.410652277850468e-05	6.016937949837931	28
NONO	1.410652277850468e-05	5.816338704384712	29
HLTF	8.611502379831113e-05	5.626871652755075	30
LARP4	8.611502379831113e-05	5.446661948512205	31
GPKOW	8.611502379831113e-05	5.3533032531762474	32
RTF1	8.611502379831113e-05	5.248052721830547	33
RCC2	8.611502379831113e-05	5.184809346066989	34
ZC3H8	8.611502379831113e-05	4.681711780782084	35
XPO5	8.611502379831113e-05	4.500537477509236	36
HNRNPK	8.611502379831113e-05	4.300941240033758	37
TIAL1	0.0004702775639069078	4.233811671206772	38
HSPD1	8.611502379831113e-05	4.112691388181481	39
RAVER1	0.0004702775639069078	3.9055020742956064	40
SLBP	8.611502379831113e-05	3.8638968495668973	41
EFTUD2	8.611502379831113e-05	3.765230994675706	42
STAU1	0.0004702775639069078	3.763657608884524	43
KIF1C	0.0004702775639069078	3.7343241221054395	44
RBM39	0.0004702775639069078	3.68623285921834	45
KHDRBS1	8.611502379831113e-05	3.641973272016337	46
DKC1	0.0004702775639069078	3.210570051985861	47
YBX3	0.0004702775639069078	3.037373180249188	48
RPS3A	0.002273136306726944	2.753847771285331	49
HNRNPAB	0.002273136306726944	2.6061368109556757	50
DDX27	0.002273136306726944	2.353198202836068	51
NSUN2	0.002273136306726944	2.3433464780465045	52
FUBP3	0.002273136306726944	2.316050167119191	53
G3BP1	0.002273136306726944	2.2900635909786775	54
PABPC4	0.0004702775639069078	2.267610143288168	55
PUS1	0.002273136306726944	2.1578827610654367	56
HNRNPU	0.0004702775639069078	2.129043105126446	57
FASTKD2	0.002273136306726944	2.1230485511409554	58
EIF2S1	0.002273136306726944	2.112977528169162	59
AUH	0.002273136306726944	1.9737255851214976	60
SND1	0.002273136306726944	1.7364989214219424	61
CCAR2	0.009599824709169404	1.4213085857361523	62
IGF2BP2	0.009599824709169404	1.2903648424548073	63
CKAP4	0.009599824709169404	1.25265643579101	64
SRFBP1	0.009599824709169404	1.119368456380429	65
PUF60	0.009599824709169404	1.0927179094414412	66
TIA1	0.009599824709169404	1.0764347943365629	67
FIP1L1	0.009599824709169404	1.062156044737206	68
SUPV3L1	0.009599824709169404	1.0614614348794387	69
UCHL5	0.009599824709169404	1.052351348021662	70
LARP7	0.009599824709169404	1.0247441966776336	71
GRSF1	0.009599824709169404	1.0236213827026606	72
HNRNPA2B1	0.009599824709169404	1.0091755014688022	73
PES1	0.009599824709169404	0.9991450590384925	74
CCAR1	0.009599824709169404	0.9828127314990144	75
ASCC1	0.009599824709169404	0.9689078211098234	76
PPIL4	0.009599824709169404	0.8904681371932978	77
NCBP2	0.009599824709169404	0.8727741621022805	78
UPF1	0.009599824709169404	0.8424464968146721	79
PTBP1	0.009599824709169404	0.8374946099317303	80
DDX6	0.009599824709169404	0.8330686481224493	81
PCBP1	0.009599824709169404	0.8040655151935482	82
CSTF2T	0.009599824709169404	0.7769068155262137	83
PPIG	0.009599824709169404	0.762050399471554	84
UTP18	0.009599824709169404	0.7233815642991639	85
SUCLG1	0.009599824709169404	0.627129202185084	86
SUB1	0.10668664342296795	0.6262108704272641	87
SRSF1	0.009599824709169404	0.575304114585084	88
HNRNPA1	0.26842395150706017	0.533047056538194	89
EIF2S2	0.10668664342296795	0.5256688094553099	90
CNOT7	0.26842395150706017	0.5180405615860942	91
XRCC6	0.26842395150706017	0.5123442999693034	92
PUM2	0.10668664342296795	0.509859535522073	93
MSI2	0.10668664342296795	0.507666754728538	94
RPS10	0.10668664342296795	0.5001139678398941	95
SMN1	0.26842395150706017	0.4982870901455446	96
FKBP4	0.10668664342296795	0.4947814124989933	97
NOL12	0.10668664342296795	0.4870795230689564	98
PNPT1	0.26842395150706017	0.48240967003340335	99
NELFE	0.10668664342296795	0.47469463997256867	100
TBRG4	0.10668664342296795	0.47095575663719424	101
CPSF6	0.26842395150706017	0.4705405116476097	102
QKI	0.26842395150706017	0.4694124921202167	103
DHX30	0.10668664342296795	0.4668445421501307	104
GEMIN5	0.10668664342296795	0.45208003679646064	105
TROVE2	0.03485912489141245	0.4408184459881076	106
AKAP1	0.10668664342296795	0.44021617149677006	107
U2AF1	0.26842395150706017	0.43451129329593885	108
BCLAF1	0.26842395150706017	0.4322936388777824	109
PARN	0.26842395150706017	0.43145032769367714	110
DDX28	0.10668664342296795	0.43035487056717253	111
DDX19B	0.10668664342296795	0.43026851313822834	112
DDX1	0.26842395150706017	0.4300269000382214	113
SFPQ	0.26842395150706017	0.4281254169491016	114
GRWD1	0.26842395150706017	0.42711510666777885	115
AKAP8	0.03485912489141245	0.4244502170364406	116
SART3	0.03485912489141245	0.4211367359936448	117
PUM1	0.26842395150706017	0.41002901078775944	118
FAM120A	0.10668664342296795	0.40712023877906883	119
EIF4B	0.26842395150706017	0.4037709304560158	120
PRPF6	0.26842395150706017	0.4033201710854918	121
TAF15	0.26842395150706017	0.4024617692101411	122
PRPF8	0.5388029867385493	0.40174432460829756	123
MATR3	0.26842395150706017	0.40044583833098996	124
PSIP1	0.26842395150706017	0.39840464157929467	125
STIP1	0.5388029867385493	0.39697434004654814	126
ILF2	0.5388029867385493	0.3959408339935658	127
FTO	0.26842395150706017	0.39561343363799684	128
DNAJC21	0.5388029867385493	0.3908674180791837	129
LIN28B	0.26842395150706017	0.3896335656930936	130
SUGP2	0.5388029867385493	0.38893398963826603	131
RBM34	0.26842395150706017	0.38780307459553703	132
NUSAP1	0.03485912489141245	0.38606244533481304	133
UTP3	0.26842395150706017	0.3848960732640114	134
RBM22	0.26842395150706017	0.3712383393669862	135
XRCC5	0.26842395150706017	0.3707760187077676	136
EIF4G2	0.03485912489141245	0.3684345798585938	137
KHSRP	0.10668664342296795	0.3676629853975837	138
GTF2F1	0.5388029867385493	0.3650137152281439	139
UPF2	0.26842395150706017	0.36231384592232774	140
SSB	0.26842395150706017	0.3615484434651929	141
PA2G4	0.5388029867385493	0.3549249914491357	142
CSTF2	0.26842395150706017	0.35120834234494985	143
ILF3	0.5388029867385493	0.35110854385646956	144
RECQL	0.5388029867385493	0.35065814954487323	145
EEF2	0.03485912489141245	0.34885497089611783	146
SRP68	0.5388029867385493	0.34624554419503867	147
UBE2L3	0.5388029867385493	0.3462156489998923	148
AATF	0.26842395150706017	0.34116362509503045	149
BOP1	0.10668664342296795	0.333022707979914	150
RBFOX2	0.10668664342296795	0.32668250269206794	151
CELF1	0.5388029867385493	0.3223914706171436	152
EXOSC9	0.03485912489141245	0.3165979420973713	153
HNRNPL	0.5388029867385493	0.3163774953469446	154
ABCF1	0.5388029867385493	0.3142409483785638	155
SF1	0.10668664342296795	0.30825248480542244	156
EIF4G1	0.5388029867385493	0.3024712293072447	157
SF3B1	0.03485912489141245	0.2944470126149332	158
HNRNPUL1	0.03485912489141245	0.2942872349943916	159
FXR1	0.10668664342296795	0.2880969660804811	160
TRA2A	0.5388029867385493	0.2778065030095464	161
TARDBP	0.03485912489141245	0.2738018543352674	162
RBM25	0.03485912489141245	0.2735153330486733	163
EWSR1	0.5388029867385493	0.2699057708915841	164
METAP2	0.5388029867385493	0.2677749971845125	165
DAZAP1	0.5388029867385493	0.26696347996593894	166
LSM11	0.10668664342296795	0.2667054777213874	167
RBM17	0.5388029867385493	0.2583655155741431	168
SERBP1	0.5388029867385493	0.25191849953478407	169
G3BP2	0.03485912489141245	0.24886226346786533	170
XRN2	0.10668664342296795	0.24853600503527698	171
PKM	0.5388029867385493	0.23243228749774947	172
HNRNPM	0.10668664342296795	0.19432402262837026	173
SBDS	0.03485912489141245	0.15693608343321333	174
ADAR	0.8371000006842522	0.13155246902337953	175
PABPC1	0.8371000006842522	0.1313366981232358	176
PHF6	0.8371000006842522	0.1260649059871708	177
NPM1	0.8371000006842522	0.11383881214990914	178
DNAJC2	0.8371000006842522	0.11367498430323678	179
MTPAP	0.8371000006842522	0.11193829608905388	180
DDX52	0.8371000006842522	0.10987474236334517	181
SSRP1	0.8371000006842522	0.09952999618221327	182
NUFIP2	0.8371000006842522	0.09916300771535609	183
TFIP11	0.8371000006842522	0.0913582760052217	184
TUFM	0.03485912489141245	0.06804329992468854	185
HNRNPA0	0.03485912489141245	0.05836099290322068	186
FMR1	0.03485912489141245	0.03846997195421609	187
SF3A3	0.03485912489141245	0.013411204308398577	188
SUPT6H	1.0	0.0	189
SLTM	1.0	0.0	190
SAFB2	1.0	0.0	191
RRP9	1.0	0.0	192
DDX55	1.0	0.0	193
CPSF7	1.0	0.0	194
BCCIP	1.0	0.0	195
APOBEC3C	1.0	0.0	196
AARS	1.0	0.0	197
