Pathway	p-value	Combined score	Rank
DDX3X	3.9682910683354356e-11	15.773585757641555	1
DDX47	4.084949298358086e-10	14.43526960161093	2
RPS19	3.903765964623507e-09	12.53237643266802	3
DDX27	2.803644224366207e-07	11.711430100339337	4
IGF2BP2	2.085554830380581e-06	11.045852521526701	5
EIF3G	3.4489311622290776e-08	10.952181677375236	6
EIF3D	2.085554830380581e-06	10.422385262179677	7
XPO5	1.410652277850468e-05	7.921216829370157	8
EIF4A3	8.611502379831113e-05	7.448867261289202	9
RAVER1	8.611502379831113e-05	7.420802812679267	10
NSUN2	8.611502379831113e-05	7.194143110422434	11
KRR1	1.410652277850468e-05	7.083911216816792	12
HNRNPC	8.611502379831113e-05	6.787138288097572	13
U2AF2	0.0004702775639069078	5.635089361533739	14
RPS3A	0.0004702775639069078	5.555533417629273	15
AKAP8	8.611502379831113e-05	5.510821225171828	16
SUPV3L1	0.0004702775639069078	5.461524295090463	17
AKAP8L	0.0004702775639069078	5.123440656777735	18
ATP5C1	0.0004702775639069078	4.4415699985266786	19
MSI2	0.0004702775639069078	4.111145708142491	20
HNRNPU	0.0004702775639069078	3.9564466534177694	21
EFTUD2	0.0004702775639069078	3.9230365576817228	22
DDX24	0.0004702775639069078	3.8978706012543394	23
SF3B4	0.0004702775639069078	3.7424615676979394	24
HLTF	0.002273136306726944	3.525711522895928	25
LARP4	0.002273136306726944	3.4292737927993064	26
MAGOH	0.002273136306726944	3.3716075777729184	27
PABPC1	0.002273136306726944	3.3145758188500363	28
SNRNP200	0.002273136306726944	3.312035234792241	29
SRSF5	0.002273136306726944	3.2551387697985334	30
RBM15	0.002273136306726944	3.1159965155015725	31
BUD13	0.002273136306726944	3.0107838499080324	32
SMNDC1	0.002273136306726944	3.0046684390564327	33
TRIM56	0.002273136306726944	2.9825591737423323	34
HSPD1	0.002273136306726944	2.977168830217011	35
FUS	0.002273136306726944	2.8918080447076524	36
XRCC6	0.002273136306726944	2.89158465401603	37
PTBP1	0.002273136306726944	2.8697238087328993	38
RPS10	0.002273136306726944	2.8592280729942776	39
ZC3H8	0.002273136306726944	2.8382842587070756	40
HNRNPK	0.002273136306726944	2.733911155753152	41
PPIG	0.002273136306726944	2.6791107291335194	42
TARDBP	0.002273136306726944	2.665767429681998	43
SRSF1	0.002273136306726944	2.5760028129719865	44
GRSF1	0.009599824709169404	2.0251218180671935	45
CKAP4	0.009599824709169404	1.9755049019398576	46
RTF1	0.009599824709169404	1.8080171240277154	47
RBM22	0.009599824709169404	1.7983365809145322	48
SF1	0.009599824709169404	1.7761596610320887	49
PUS1	0.009599824709169404	1.744532836469821	50
NAA15	0.009599824709169404	1.7404534418834954	51
BCLAF1	0.009599824709169404	1.5956810555771537	52
CCAR1	0.009599824709169404	1.5403094813517837	53
FKBP4	0.009599824709169404	1.479762584684415	54
AUH	0.009599824709169404	1.432682191357752	55
CSTF2T	0.009599824709169404	1.3465922720470174	56
PUM2	0.009599824709169404	1.3259092889229982	57
HNRNPA1	0.009599824709169404	1.299616010942382	58
NONO	0.009599824709169404	1.2860589583382391	59
NELFE	0.009599824709169404	1.2522937935840717	60
DNAJC21	0.009599824709169404	1.2383175397012707	61
SUCLG1	0.009599824709169404	1.2311332371752663	62
TROVE2	0.009599824709169404	1.197713854793062	63
CIRBP	0.009599824709169404	1.185055109939356	64
TIAL1	0.03485912489141245	0.7931636417105911	65
FIP1L1	0.03485912489141245	0.7815752282798286	66
EIF4G1	0.03485912489141245	0.7517874923685953	67
AARS	0.03485912489141245	0.7487637909636731	68
PES1	0.03485912489141245	0.7405180015755292	69
MATR3	0.03485912489141245	0.7345051700819677	70
EIF2S1	0.03485912489141245	0.7111376506471149	71
