Pathway	p-value	Combined score	Rank
AKAP8L	4.906181075713659e-28	52.5046168466329	1
U2AF2	3.903765964623507e-09	17.487731956894123	2
PUS1	2.803644224366207e-07	12.120763263920379	3
EIF4B	2.803644224366207e-07	11.631181801146312	4
ABCF1	2.803644224366207e-07	11.44218708013707	5
EIF3G	3.4489311622290776e-08	11.095026283977063	6
QKI	2.803644224366207e-07	10.749142101936316	7
PPIG	2.085554830380581e-06	8.639454349590592	8
EIF4G2	2.085554830380581e-06	8.291238255471134	9
RBM39	1.410652277850468e-05	7.9875217273141095	10
STAU1	1.410652277850468e-05	7.926266081286073	11
DDX47	2.085554830380581e-06	7.872319943835887	12
EFTUD2	2.085554830380581e-06	7.677227569373373	13
APOBEC3C	8.611502379831113e-05	7.038660420582241	14
DHX30	1.410652277850468e-05	6.695708929711332	15
HNRNPAB	8.611502379831113e-05	6.651604735325687	16
RPS19	1.410652277850468e-05	6.297110868668501	17
FIP1L1	8.611502379831113e-05	6.116162703313763	18
SRSF1	1.410652277850468e-05	6.009186604042012	19
HNRNPC	8.611502379831113e-05	5.908714902593454	20
SSRP1	8.611502379831113e-05	5.888087955183828	21
PRPF6	8.611502379831113e-05	5.70981808895246	22
PTBP1	8.611502379831113e-05	5.495851036916539	23
IGF2BP3	8.611502379831113e-05	5.4926524451965015	24
SF3A3	8.611502379831113e-05	5.458961153320995	25
SLTM	8.611502379831113e-05	5.373686483746042	26
EEF2	8.611502379831113e-05	5.166122247806754	27
RPS3A	0.0004702775639069078	4.382378574447536	28
HNRNPM	0.0004702775639069078	4.333877120520768	29
RAVER1	0.0004702775639069078	4.318051363721779	30
SUPV3L1	0.0004702775639069078	4.255770015947841	31
MAGOH	0.0004702775639069078	4.074257149604257	32
AARS	0.0004702775639069078	3.8085357840318768	33
UPF1	0.0004702775639069078	3.4858976814168434	34
DDX3X	0.0004702775639069078	3.3446842457105683	35
RPS10	0.0004702775639069078	3.334355250941222	36
PUM2	0.0004702775639069078	3.278295126519114	37
NONO	0.0004702775639069078	3.1915884622751167	38
CSTF2T	0.0004702775639069078	3.128033637841902	39
NOL12	0.0004702775639069078	3.115479822961644	40
TROVE2	0.0004702775639069078	3.0275841916511346	41
TARDBP	0.0004702775639069078	2.927084177291068	42
KHDRBS1	0.0004702775639069078	2.919570740690191	43
SF3B4	0.0004702775639069078	2.8303038322045593	44
SERBP1	0.002273136306726944	2.486308179865588	45
UTP3	0.002273136306726944	2.419899896878553	46
EIF4A3	0.002273136306726944	2.351939023267498	47
SF1	0.002273136306726944	2.326891908558022	48
MATR3	0.002273136306726944	2.2935932516275086	49
U2AF1	0.002273136306726944	2.2436914502518612	50
HNRNPL	0.002273136306726944	2.238897295830728	51
RTF1	0.002273136306726944	2.231440249305013	52
KIF1C	0.002273136306726944	2.2153949032576286	53
RCC2	0.002273136306726944	2.2130187406996957	54
EIF3D	0.002273136306726944	2.200343454170168	55
EIF4G1	0.002273136306726944	2.1513571046479174	56
SNRNP200	0.002273136306726944	2.1503565694485345	57
RBM34	0.002273136306726944	2.0819190354103903	58
DDX27	0.002273136306726944	2.0553332387753946	59
RBM15	0.002273136306726944	2.0506638742184533	60
BUD13	0.002273136306726944	1.9876125558456275	61
RRP9	0.002273136306726944	1.944931006753601	62
FKBP4	0.002273136306726944	1.9385912541715262	63
CPSF6	0.002273136306726944	1.90834145886294	64
MSI2	0.002273136306726944	1.7861252335655176	65
NELFE	0.002273136306726944	1.7404265913512817	66
AKAP8	0.002273136306726944	1.6879583212380376	67
FAM120A	0.002273136306726944	1.6799959089979681	68
HNRNPA1	0.002273136306726944	1.650104230459394	69
CNOT7	0.002273136306726944	1.609461542672046	70
CCAR2	0.009599824709169404	1.1830183037083906	71
IGF2BP2	0.009599824709169404	0.9816899943383073	72
SUB1	0.10668664342296795	0.980305796071994	73
SLBP	0.10668664342296795	0.9779226657408047	74
SF3B1	0.10668664342296795	0.9674880416894851	75
SUCLG1	0.10668664342296795	0.9637323821075391	76
PUF60	0.009599824709169404	0.9010784058882525	77
GTF2F1	0.10668664342296795	0.8989920689773625	78
UTP18	0.26842395150706017	0.8950228419073899	79
ESF1	0.26842395150706017	0.8879927133743256	80
G3BP2	0.10668664342296795	0.87881924175456	81
STIP1	0.26842395150706017	0.8661633690401211	82
TBRG4	0.26842395150706017	0.8598435878301945	83
TRIM56	0.26842395150706017	0.8596357680845016	84
SUGP2	0.26842395150706017	0.8481533825990605	85
SND1	0.10668664342296795	0.8278223953605308	86
FTO	0.009599824709169404	0.8201807413737312	87
PHF6	0.10668664342296795	0.8148196219773783	88
NUFIP2	0.009599824709169404	0.812885551126338	89
SRP68	0.26842395150706017	0.8025878299352509	90
ZC3H8	0.26842395150706017	0.8014071938192127	91
NPM1	0.10668664342296795	0.7978134852763219	92
NSUN2	0.009599824709169404	0.783033951556337	93
UBE2L3	0.26842395150706017	0.7813370078783883	94
DKC1	0.26842395150706017	0.7811576578150298	95
HNRNPK	0.10668664342296795	0.7765001035725153	96
GPKOW	0.009599824709169404	0.7755395031702559	97
TIA1	0.10668664342296795	0.7744903149806867	98
SUPT6H	0.10668664342296795	0.7617933311986987	99
CPSF7	0.26842395150706017	0.7570731167481456	100
XPO5	0.10668664342296795	0.7535901150536438	101
HNRNPA0	0.26842395150706017	0.7319436999579098	102
TFIP11	0.009599824709169404	0.7279809360142436	103
PARN	0.10668664342296795	0.7245423435486862	104
UCHL5	0.10668664342296795	0.7203027578070295	105
XRN2	0.009599824709169404	0.7175772411406146	106
BCLAF1	0.009599824709169404	0.7126044367543787	107
KHSRP	0.26842395150706017	0.7123150646006351	108
TUFM	0.009599824709169404	0.7087633267874974	109
FASTKD2	0.26842395150706017	0.7033445184170326	110
PCBP1	0.26842395150706017	0.7016241143860914	111
PCBP2	0.10668664342296795	0.701082591427026	112
G3BP1	0.009599824709169404	0.7008899638459888	113
CELF1	0.009599824709169404	0.6793860541218572	114
HNRNPA2B1	0.009599824709169404	0.6744844307086295	115
XRCC5	0.009599824709169404	0.6741347573023592	116
