Pathway	p-value	Combined score	Rank
EIF3D	3.039432319473211e-13	23.87742912292431	1
EIF4A3	3.591966005267652e-12	22.89871193064962	2
EIF3G	1.798267916526862e-15	22.487699384392187	3
DDX47	3.591966005267652e-12	17.379098378071212	4
XRCC6	3.9682910683354356e-11	16.293692332281253	5
DDX3X	3.903765964623507e-09	11.955141868532644	6
RPS19	3.903765964623507e-09	11.885861101724842	7
PTBP1	2.803644224366207e-07	10.48790227743625	8
MAGOH	2.085554830380581e-06	10.05342004750712	9
GRSF1	1.410652277850468e-05	8.812788336811765	10
CKAP4	1.410652277850468e-05	8.667559650869164	11
AUH	2.085554830380581e-06	8.647537586222501	12
RAVER1	1.410652277850468e-05	8.524650348279758	13
CSTF2T	2.085554830380581e-06	8.231080505143014	14
RTF1	1.410652277850468e-05	8.122486749155001	15
PRPF6	1.410652277850468e-05	7.727781943118934	16
PPIG	1.410652277850468e-05	7.201104869080891	17
APOBEC3C	8.611502379831113e-05	7.182261126901308	18
NELFE	1.410652277850468e-05	6.58282078468663	19
DDX55	8.611502379831113e-05	6.352723160390527	20
TFIP11	8.611502379831113e-05	6.121329388956881	21
YBX3	8.611502379831113e-05	5.389349980009362	22
NONO	8.611502379831113e-05	5.06123589577565	23
DNAJC21	8.611502379831113e-05	4.681471915266645	24
U2AF2	0.0004702775639069078	4.583210689063764	25
DDX24	8.611502379831113e-05	4.528437129283256	26
LARP4	0.0004702775639069078	4.316985064409328	27
HNRNPL	0.0004702775639069078	4.219110069954985	28
DDX27	0.0004702775639069078	3.9926388402933783	29
PABPC1	0.0004702775639069078	3.9800443234828182	30
HNRNPC	0.0004702775639069078	3.9381472328178693	31
XRN2	0.0004702775639069078	3.916512731854953	32
XRCC5	0.0004702775639069078	3.796538029815079	33
EIF4G2	0.0004702775639069078	3.6567866384300856	34
TRIM56	0.0004702775639069078	3.622861116816811	35
HSPD1	0.0004702775639069078	3.5543531099239876	36
IGF2BP3	0.0004702775639069078	3.48471142615566	37
SMN1	0.0004702775639069078	3.476654677544659	38
MSI2	0.0004702775639069078	3.468849442399293	39
EEF2	0.0004702775639069078	3.3979975924503543	40
TROVE2	0.0004702775639069078	3.2906636513127805	41
CCAR2	0.002273136306726944	3.2869610078672444	42
NOL12	0.0004702775639069078	3.2407101398264095	43
HNRNPAB	0.002273136306726944	2.907730521669901	44
SAFB2	0.002273136306726944	2.857086710418087	45
PES1	0.002273136306726944	2.760587181255514	46
AKAP8L	0.002273136306726944	2.5975466121644204	47
ABCF1	0.002273136306726944	2.490718998654159	48
TAF15	0.002273136306726944	2.4364373093253677	49
DDX52	0.002273136306726944	2.3093709759008467	50
SF3A3	0.002273136306726944	2.1405947214927243	51
PNPT1	0.002273136306726944	2.019781074510839	52
PUM2	0.002273136306726944	1.941065552157969	53
KRR1	0.002273136306726944	1.9110486497148196	54
SUCLG1	0.002273136306726944	1.8169205637449852	55
CIRBP	0.002273136306726944	1.7065936957918548	56
SRSF1	0.002273136306726944	1.6775887029276986	57
HNRNPM	0.009599824709169404	1.3941286137688014	58
PKM	0.009599824709169404	1.3702310547276433	59
TIAL1	0.009599824709169404	1.3508013550915747	60
UTP3	0.009599824709169404	1.3358920221640607	61
EIF4G1	0.009599824709169404	1.2529384857717762	62
FXR1	0.009599824709169404	1.1826543322593497	63
RBM22	0.009599824709169404	1.1697557825522653	64
STAU1	0.009599824709169404	1.1690276628692058	65
SRSF5	0.009599824709169404	1.1648651885488446	66
SRFBP1	0.009599824709169404	1.1499867893251126	67
HNRNPA2B1	0.009599824709169404	1.1328856017255775	68
NCBP2	0.009599824709169404	1.104406505225784	69
BCLAF1	0.009599824709169404	1.0581561571632905	70
UPF1	0.009599824709169404	1.0131870731727326	71
GRWD1	0.009599824709169404	0.985667183013869	72
RBM15	0.009599824709169404	0.9844610307327426	73
BUD13	0.009599824709169404	0.9314272619853914	74
FKBP4	0.009599824709169404	0.8987942791621064	75
PA2G4	0.009599824709169404	0.875069085331583	76
RPS10	0.009599824709169404	0.8165800853810796	77
DDX6	0.009599824709169404	0.8042306856927254	78
AKAP8	0.009599824709169404	0.7509928165633974	79
TBRG4	0.009599824709169404	0.7185350425960619	80
PRPF8	0.009599824709169404	0.7132564463132984	81
HNRNPA1	0.009599824709169404	0.6987023472410249	82
EFTUD2	0.26842395150706017	0.6842584515962427	83
HNRNPU	0.10668664342296795	0.6700464351928496	84
SLBP	0.26842395150706017	0.6617656582795728	85
