Pathway	p-value	Combined score	Rank
ASCC1	8.384941331187986e-18	28.732083677886553	1
DDX47	1.798267916526862e-15	22.578786902914636	2
EIF3G	3.591966005267652e-12	16.863986866836694	3
EIF4A3	3.903765964623507e-09	16.30483905711168	4
PPIG	4.084949298358086e-10	15.314919581140938	5
RTF1	3.903765964623507e-09	15.257943675041377	6
EIF3D	3.4489311622290776e-08	13.795774776325194	7
DDX3X	4.084949298358086e-10	12.850669704449261	8
MAGOH	2.803644224366207e-07	11.884373958365048	9
RAVER1	2.803644224366207e-07	11.63177890232389	10
NAA15	2.803644224366207e-07	11.233470151560761	11
KRR1	3.4489311622290776e-08	11.059634955990019	12
HNRNPC	2.803644224366207e-07	10.744539673066576	13
PA2G4	2.803644224366207e-07	9.841926185598386	14
SF3B4	2.803644224366207e-07	8.73049867075422	15
PUS1	2.085554830380581e-06	8.430413271135597	16
U2AF2	1.410652277850468e-05	7.791478054436633	17
HNRNPK	2.085554830380581e-06	7.790020741666839	18
FKBP4	2.085554830380581e-06	7.582981010736449	19
HSPD1	2.085554830380581e-06	7.580780264924143	20
GRSF1	1.410652277850468e-05	7.561825269525276	21
PTBP1	1.410652277850468e-05	6.386466376149948	22
SNRNP200	8.611502379831113e-05	6.091168139616073	23
CSTF2T	1.410652277850468e-05	6.01959011573654	24
NSUN2	8.611502379831113e-05	5.877164278410972	25
RPS19	1.410652277850468e-05	5.810636646607986	26
PES1	8.611502379831113e-05	5.734159697632545	27
NONO	8.611502379831113e-05	4.946238808063593	28
IGF2BP2	0.0004702775639069078	4.798161591562061	29
XRCC6	8.611502379831113e-05	4.455123444259081	30
KIF1C	0.0004702775639069078	4.26125832139284	31
RCC2	0.0004702775639069078	4.188214659443191	32
AKAP8L	0.0004702775639069078	4.181573064084197	33
CIRBP	8.611502379831113e-05	3.984488494354372	34
SRSF1	8.611502379831113e-05	3.9696585703555503	35
RBM15	0.0004702775639069078	3.616086992432181	36
XPO5	0.0004702775639069078	3.5662843945993012	37
BUD13	0.0004702775639069078	3.4286271683124796	38
ATP5C1	0.0004702775639069078	3.2414239674439145	39
ESF1	0.0004702775639069078	3.183262620560281	40
TARDBP	0.0004702775639069078	3.13612476852111	41
SSB	0.002273136306726944	2.8930012614533127	42
SUPV3L1	0.002273136306726944	2.763233240897435	43
FXR1	0.002273136306726944	2.6814973875403734	44
RBM22	0.002273136306726944	2.594302819437154	45
DDX27	0.002273136306726944	2.5917286428421566	46
CELF1	0.002273136306726944	2.508029036450972	47
PRPF6	0.002273136306726944	2.431216632197334	48
IGF2BP3	0.002273136306726944	2.196554000106312	49
AUH	0.002273136306726944	2.162301096048885	50
UPF1	0.002273136306726944	2.042740586722267	51
SND1	0.002273136306726944	1.9805194550525238	52
PRPF8	0.002273136306726944	1.9330129229094188	53
NELFE	0.002273136306726944	1.904195441022468	54
KHDRBS1	0.002273136306726944	1.779746829646912	55
HNRNPU	0.002273136306726944	1.6912432207242647	56
PKM	0.009599824709169404	1.4725076728950985	57
RPS3A	0.009599824709169404	1.4118257493305117	58
CKAP4	0.009599824709169404	1.3572682251007289	59
GPKOW	0.009599824709169404	1.2565436000499557	60
LARP4	0.009599824709169404	1.2182014019090832	61
XRCC5	0.009599824709169404	1.1881814453336257	62
STAU1	0.009599824709169404	1.1749192083262472	63
PUF60	0.009599824709169404	1.1690010543638778	64
PCBP2	0.009599824709169404	1.051646481688429	65
HNRNPA2B1	0.009599824709169404	1.0446473995872136	66
BCLAF1	0.009599824709169404	1.0213861972846752	67
MATR3	0.009599824709169404	1.0171672481120915	68
FIP1L1	0.009599824709169404	0.984521571562685	69
ZC3H8	0.009599824709169404	0.9496455415678349	70
DDX6	0.009599824709169404	0.9477532087119935	71
HNRNPA1	0.009599824709169404	0.9315467198112447	72
SF3A3	0.009599824709169404	0.9132144592810004	73
TRIM56	0.009599824709169404	0.8978107499903162	74
NCBP2	0.009599824709169404	0.8727741621022805	75
ILF3	0.009599824709169404	0.8568073424725063	76
CNOT7	0.009599824709169404	0.8488055258681932	77
MSI2	0.009599824709169404	0.8374739183733569	78
G3BP2	0.009599824709169404	0.8297904441939692	79
RRP9	0.009599824709169404	0.7927782896691035	80
