Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,TRIM56,-0.6980851424362396,-1.5542630876377994,0.0,0.20711745633301956,0.072,49/195,9.27%,ENSG00000198756.6;ENSG00000141753.5;ENSG00000102287.12;ENSG00000147526.15;ENSG00000076706.10;ENSG00000120694.15;ENSG00000198363.11;ENSG00000127603.19;ENSG00000151012.9;ENSG00000085276.13;ENSG00000110092.3;ENSG00000198860.7;ENSG00000068796.12;ENSG00000046604.8;ENSG00000255302.3;ENSG00000162543.5;ENSG00000113356.6;ENSG00000214194.4;ENSG00000070831.11;ENSG00000259781.1;ENSG00000197557.6;ENSG00000070882.8;ENSG00000107290.9;ENSG00000111371.11;ENSG00000112159.7;ENSG00000115392.7;ENSG00000131467.6;ENSG00000172795.11;ENSG00000146731.6;ENSG00000120738.7;ENSG00000100473.11;ENSG00000205060.6;ENSG00000164506.10;ENSG00000122406.8;ENSG00000166479.5;ENSG00000096384.15;ENSG00000047579.15;ENSG00000110172.7;ENSG00000134283.13;ENSG00000135521.8;ENSG00000140105.13;ENSG00000037474.10;ENSG00000125691.8;ENSG00000169432.10;ENSG00000188474.6;ENSG00000138399.13;ENSG00000117899.6;ENSG00000140526.12;ENSG00000111845.4
prerank,NAA15,0.8131745517686875,1.5285153666793245,0.0012484394506866417,0.2938849555292399,0.25,61/194,9.77%,ENSG00000145192.8;ENSG00000106327.8;ENSG00000149485.12;ENSG00000143627.13;ENSG00000184489.7;ENSG00000144485.6;ENSG00000185813.6;ENSG00000167244.13;ENSG00000081051.3;ENSG00000117308.10;ENSG00000163631.12;ENSG00000182459.4;ENSG00000064687.8;ENSG00000131187.5;ENSG00000131473.12;ENSG00000063241.3;ENSG00000083444.12;ENSG00000160221.12;ENSG00000072571.15;ENSG00000114268.7;ENSG00000130005.7;ENSG00000066279.12;ENSG00000235823.1;ENSG00000147804.5;ENSG00000099800.3;ENSG00000117362.8;ENSG00000152082.9;ENSG00000161618.5;ENSG00000135476.7;ENSG00000198931.6;ENSG00000160957.8;ENSG00000103152.7;ENSG00000183048.7;ENSG00000157637.8;ENSG00000125520.9;ENSG00000071655.13;ENSG00000184216.7;ENSG00000197249.8;ENSG00000169710.6;ENSG00000160200.13;ENSG00000184363.5;ENSG00000160972.5;ENSG00000103266.6;ENSG00000172009.10;ENSG00000099849.10;ENSG00000187091.9;ENSG00000227184.3;ENSG00000254681.2;ENSG00000101057.11;ENSG00000181019.8;ENSG00000214022.7;ENSG00000127540.7;ENSG00000171222.6;ENSG00000130203.5;ENSG00000160867.10;ENSG00000267059.2;ENSG00000127564.12;ENSG00000183207.8;ENSG00000132182.7;ENSG00000065268.6;ENSG00000159069.9
prerank,HNRNPK,0.7807039527265689,1.4790267344290702,0.006188118811881188,0.4313033838091159,0.484,50/194,5.86%,ENSG00000169174.9;ENSG00000179091.4;ENSG00000120437.7;ENSG00000131069.15;ENSG00000160752.10;ENSG00000160285.10;ENSG00000147155.6;ENSG00000112972.10;ENSG00000099194.5;ENSG00000185813.6;ENSG00000100075.5;ENSG00000009950.11;ENSG00000130707.13;ENSG00000001630.11;ENSG00000109084.9;ENSG00000115255.6;ENSG00000167508.6;ENSG00000125648.10;ENSG00000131473.12;ENSG00000140564.6;ENSG00000116133.7;ENSG00000079459.8;ENSG00000172893.11;ENSG00000147383.6;ENSG00000132386.6;ENSG00000083444.12;ENSG00000160221.12;ENSG00000188229.5;ENSG00000073060.11;ENSG00000114268.7;ENSG00000049239.8;ENSG00000235823.1;ENSG00000011021.17;ENSG00000137106.13;ENSG00000110921.7;ENSG00000004059.6;ENSG00000104805.11;ENSG00000164050.8;ENSG00000072310.12;ENSG00000121716.14;ENSG00000100412.11;ENSG00000183048.7;ENSG00000141569.6;ENSG00000157637.8;ENSG00000071655.13;ENSG00000198911.7;ENSG00000160014.12;ENSG00000168734.9;ENSG00000169710.6;ENSG00000160200.13
prerank,LARP7,0.7874605286123627,1.4786719895692875,0.006234413965087282,0.28957645695280815,0.486,68/194,10.69%,ENSG00000169174.9;ENSG00000221890.2;ENSG00000149485.12;ENSG00000184489.7;ENSG00000197457.5;ENSG00000143158.6;ENSG00000093010.7;ENSG00000064687.8;ENSG00000115255.6;ENSG00000140905.5;ENSG00000100889.7;ENSG00000101162.3;ENSG00000204410.10;ENSG00000160221.12;ENSG00000142168.10;ENSG00000147804.5;ENSG00000233927.4;ENSG00000139428.7;ENSG00000131653.8;ENSG00000099800.3;ENSG00000152082.9;ENSG00000178585.10;ENSG00000137106.13;ENSG00000198931.6;ENSG00000072310.12;ENSG00000103152.7;ENSG00000183048.7;ENSG00000071655.13;ENSG00000111206.8;ENSG00000105669.8;ENSG00000162194.8;ENSG00000169710.6;ENSG00000160200.13;ENSG00000092929.7;ENSG00000184363.5;ENSG00000100038.15;ENSG00000128185.5;ENSG00000099849.10;ENSG00000133243.4;ENSG00000184992.10;ENSG00000187091.9;ENSG00000137818.7;ENSG00000103363.10;ENSG00000107404.13;ENSG00000177700.5;ENSG00000265150.1;ENSG00000161847.9;ENSG00000123064.8;ENSG00000197858.6;ENSG00000184897.4;ENSG00000130520.6;ENSG00000127540.7;ENSG00000174669.7;ENSG00000167965.13;ENSG00000099795.2;ENSG00000228716.2;ENSG00000267059.2;ENSG00000099622.9;ENSG00000258486.2;ENSG00000132182.7;ENSG00000099624.3;ENSG00000159069.9;ENSG00000240972.1;ENSG00000090006.13;ENSG00000110717.6;ENSG00000238227.3;ENSG00000130303.8;ENSG00000167930.11
prerank,ZRANB2,-0.646216368888623,-1.4688164285209038,0.024752475247524754,0.38281821985147996,0.21,49/184,9.29%,ENSG00000131746.8;ENSG00000198756.6;ENSG00000198727.2;ENSG00000156515.17;ENSG00000111145.3;ENSG00000133606.6;ENSG00000115758.8;ENSG00000120833.9;ENSG00000096060.10;ENSG00000260231.1;ENSG00000198860.7;ENSG00000136098.12;ENSG00000138772.8;ENSG00000239672.3;ENSG00000163029.11;ENSG00000187514.10;ENSG00000241553.8;ENSG00000214194.4;ENSG00000259781.1;ENSG00000067955.9;ENSG00000115306.11;ENSG00000163898.5;ENSG00000065457.6;ENSG00000156253.2;ENSG00000023041.7;ENSG00000115350.7;ENSG00000100473.11;ENSG00000164506.10;ENSG00000132199.14;ENSG00000175792.7;ENSG00000196644.8;ENSG00000132485.8;ENSG00000181610.8;ENSG00000118855.14;ENSG00000149547.10;ENSG00000197081.8;ENSG00000187772.6;ENSG00000037474.10;ENSG00000184110.10;ENSG00000124802.7;ENSG00000272405.1;ENSG00000132646.6;ENSG00000104365.9;ENSG00000196659.9;ENSG00000175567.4;ENSG00000126088.8;ENSG00000140526.12;ENSG00000137310.7;ENSG00000232098.2
prerank,SUCLG1,-0.6106084039302445,-1.4194045219271645,0.020202020202020204,0.4421608618345361,0.319,47/192,7.56%,ENSG00000131746.8;ENSG00000141753.5;ENSG00000102287.12;ENSG00000106070.13;ENSG00000198727.2;ENSG00000143384.8;ENSG00000076706.10;ENSG00000115758.8;ENSG00000066027.7;ENSG00000151012.9;ENSG00000096060.10;ENSG00000134287.5;ENSG00000167635.7;ENSG00000131711.10;ENSG00000198860.7;ENSG00000116120.8;ENSG00000171867.12;ENSG00000162543.5;ENSG00000166197.12;ENSG00000172667.6;ENSG00000239672.3;ENSG00000103342.8;ENSG00000069702.6;ENSG00000113356.6;ENSG00000187514.10;ENSG00000033050.3;ENSG00000172927.3;ENSG00000180644.6;ENSG00000164163.6;ENSG00000259781.1;ENSG00000104695.8;ENSG00000104356.6;ENSG00000177311.6;ENSG00000111371.11;ENSG00000151835.9;ENSG00000147065.12;ENSG00000215417.6;ENSG00000080503.15;ENSG00000164506.10;ENSG00000156052.6;ENSG00000114648.7;ENSG00000163866.8;ENSG00000235174.1;ENSG00000181610.8;ENSG00000136819.10;ENSG00000018510.8;ENSG00000140105.13
prerank,HNRNPA1,-0.6151671640969214,-1.4049075721964157,0.0196078431372549,0.38223642924380297,0.351,35/183,6.04%,ENSG00000131746.8;ENSG00000205542.6;ENSG00000141753.5;ENSG00000102287.12;ENSG00000163993.6;ENSG00000150093.14;ENSG00000076706.10;ENSG00000185201.12;ENSG00000168610.10;ENSG00000115758.8;ENSG00000085276.13;ENSG00000213654.5;ENSG00000110092.3;ENSG00000184557.3;ENSG00000125968.7;ENSG00000174749.5;ENSG00000151689.8;ENSG00000163694.10;ENSG00000108176.10;ENSG00000118965.10;ENSG00000153574.8;ENSG00000104341.12;ENSG00000187514.10;ENSG00000172927.3;ENSG00000146112.7;ENSG00000180644.6;ENSG00000067955.9;ENSG00000111371.11;ENSG00000211460.7;ENSG00000060749.10;ENSG00000067182.3;ENSG00000120738.7;ENSG00000164506.10;ENSG00000171552.8;ENSG00000185885.11
prerank,RRP9,-0.6188312078936445,-1.3962973075801999,0.014563106796116505,0.33045706516054807,0.372,35/188,5.82%,ENSG00000245532.4;ENSG00000187678.8;ENSG00000141753.5;ENSG00000102287.12;ENSG00000143384.8;ENSG00000163191.5;ENSG00000140575.8;ENSG00000076706.10;ENSG00000134294.9;ENSG00000198363.11;ENSG00000251562.3;ENSG00000142669.9;ENSG00000127603.19;ENSG00000213654.5;ENSG00000262001.1;ENSG00000134287.5;ENSG00000175054.10;ENSG00000172757.8;ENSG00000198763.3;ENSG00000133858.11;ENSG00000108828.11;ENSG00000241553.8;ENSG00000172927.3;ENSG00000146112.7;ENSG00000185278.10;ENSG00000105383.10;ENSG00000107290.9;ENSG00000112159.7;ENSG00000131389.12;ENSG00000147065.12;ENSG00000163214.16;ENSG00000120738.7;ENSG00000212907.2;ENSG00000152926.10;ENSG00000164506.10
prerank,PPIL4,0.7160053614662617,1.3534192368018638,0.045743329097839895,1.0,0.951,25/193,4.39%,ENSG00000149476.10;ENSG00000120437.7;ENSG00000131069.15;ENSG00000160752.10;ENSG00000160285.10;ENSG00000144485.6;ENSG00000112972.10;ENSG00000185813.6;ENSG00000052802.8;ENSG00000110090.8;ENSG00000147416.6;ENSG00000143158.6;ENSG00000064687.8;ENSG00000067064.6;ENSG00000104549.7;ENSG00000116133.7;ENSG00000198736.7;ENSG00000127831.6;ENSG00000135127.7;ENSG00000235823.1;ENSG00000140451.8;ENSG00000164211.8;ENSG00000110921.7;ENSG00000101182.10;ENSG00000138018.13
prerank,FAM120A,0.7172114233026896,1.3510180708577983,0.0438489646772229,0.9786641134823251,0.952,71/197,11.41%,ENSG00000184792.11;ENSG00000184489.7;ENSG00000144485.6;ENSG00000185813.6;ENSG00000197457.5;ENSG00000137845.10;ENSG00000187017.10;ENSG00000168256.13;ENSG00000063241.3;ENSG00000099817.7;ENSG00000164061.4;ENSG00000186193.7;ENSG00000147804.5;ENSG00000099800.3;ENSG00000152082.9;ENSG00000136718.5;ENSG00000100116.12;ENSG00000148300.7;ENSG00000171067.6;ENSG00000177764.6;ENSG00000183048.7;ENSG00000196517.7;ENSG00000071655.13;ENSG00000184216.7;ENSG00000108219.10;ENSG00000160200.13;ENSG00000013306.11;ENSG00000179271.1;ENSG00000103266.6;ENSG00000172936.8;ENSG00000070814.13;ENSG00000183010.12;ENSG00000144711.9;ENSG00000188986.4;ENSG00000105063.14;ENSG00000132361.12;ENSG00000179588.4;ENSG00000107404.13;ENSG00000177700.5;ENSG00000079308.12;ENSG00000123064.8;ENSG00000162062.10;ENSG00000105676.9;ENSG00000167747.9;ENSG00000103257.4;ENSG00000130204.8;ENSG00000162066.10;ENSG00000105699.12;ENSG00000127540.7;ENSG00000128626.7;ENSG00000165175.11;ENSG00000065911.7;ENSG00000099795.2;ENSG00000127564.12;ENSG00000172366.15;ENSG00000065268.6;ENSG00000099624.3;ENSG00000227097.4;ENSG00000123989.9;ENSG00000125995.11;ENSG00000101220.13;ENSG00000122140.6;ENSG00000169727.8;ENSG00000125912.6;ENSG00000119559.11;ENSG00000100243.16;ENSG00000165802.15;ENSG00000103653.12;ENSG00000187796.9;ENSG00000176101.7;ENSG00000104904.8
