Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,RBM17,0.7910525297098994,1.6825556945471454,0.0,0.009936709357133333,0.007,42/186,6.47%,ENSG00000059804.11;ENSG00000090382.2;ENSG00000090339.4;ENSG00000099219.9;ENSG00000244405.3;ENSG00000170542.5;ENSG00000125968.7;ENSG00000175832.8;ENSG00000024422.7;ENSG00000181019.8;ENSG00000163993.6;ENSG00000103187.6;ENSG00000082781.7;ENSG00000269636.1;ENSG00000131746.8;ENSG00000146376.6;ENSG00000117862.7;ENSG00000164211.8;ENSG00000148834.8;ENSG00000067225.13;ENSG00000085871.4;ENSG00000008394.8;ENSG00000173726.6;ENSG00000070081.11;ENSG00000114480.8;ENSG00000167460.10;ENSG00000102879.11;ENSG00000205542.6;ENSG00000114779.15;ENSG00000213654.5;ENSG00000170379.15;ENSG00000163191.5;ENSG00000130755.8;ENSG00000106153.12;ENSG00000124570.13;ENSG00000102096.9;ENSG00000112972.10;ENSG00000104341.12;ENSG00000067182.3;ENSG00000102287.12;ENSG00000182287.9;ENSG00000147168.8
prerank,SFPQ,0.8027562397038155,1.6675353519653167,0.0,0.010646474311214287,0.014,49/188,8.23%,ENSG00000059804.11;ENSG00000137193.9;ENSG00000090382.2;ENSG00000079819.12;ENSG00000119125.12;ENSG00000106392.6;ENSG00000112699.6;ENSG00000159399.5;ENSG00000196950.9;ENSG00000115419.8;ENSG00000146376.6;ENSG00000204899.5;ENSG00000164211.8;ENSG00000148834.8;ENSG00000113742.8;ENSG00000070081.11;ENSG00000138678.6;ENSG00000170860.3;ENSG00000116678.14;ENSG00000106034.13;ENSG00000160752.10;ENSG00000197498.8;ENSG00000205339.5;ENSG00000101782.10;ENSG00000001630.11;ENSG00000068366.15;ENSG00000120254.11;ENSG00000249353.2;ENSG00000166598.8;ENSG00000120137.6;ENSG00000198087.7;ENSG00000137970.7;ENSG00000239704.6;ENSG00000112972.10;ENSG00000196284.9;ENSG00000113356.6;ENSG00000182287.9;ENSG00000135046.9;ENSG00000117906.9;ENSG00000033178.8;ENSG00000124882.3;ENSG00000111961.12;ENSG00000265257.1;ENSG00000044574.7;ENSG00000066027.7;ENSG00000185104.15;ENSG00000213190.2;ENSG00000148175.8;ENSG00000146757.9
prerank,XRN2,0.7869124573627486,1.6578345815480233,0.0,0.00851717944897143,0.017,78/193,11.79%,ENSG00000059804.11;ENSG00000170340.10;ENSG00000166068.8;ENSG00000125629.10;ENSG00000159399.5;ENSG00000143401.10;ENSG00000213281.4;ENSG00000163993.6;ENSG00000131746.8;ENSG00000115419.8;ENSG00000134333.9;ENSG00000139921.8;ENSG00000164211.8;ENSG00000186352.4;ENSG00000086300.11;ENSG00000156802.8;ENSG00000138018.13;ENSG00000116678.14;ENSG00000162959.9;ENSG00000180694.9;ENSG00000160752.10;ENSG00000117000.8;ENSG00000183405.5;ENSG00000155304.4;ENSG00000177150.8;ENSG00000114209.10;ENSG00000196565.8;ENSG00000148516.17;ENSG00000096384.15;ENSG00000168615.7;ENSG00000001630.11;ENSG00000064102.10;ENSG00000139496.11;ENSG00000165997.4;ENSG00000119335.12;ENSG00000138138.9;ENSG00000068912.9;ENSG00000249353.2;ENSG00000139163.11;ENSG00000166598.8;ENSG00000137970.7;ENSG00000112972.10;ENSG00000113356.6;ENSG00000156017.8;ENSG00000143751.9;ENSG00000147168.8;ENSG00000107643.11;ENSG00000169139.7;ENSG00000118971.3;ENSG00000177889.5;ENSG00000128059.4;ENSG00000072571.15;ENSG00000166171.8;ENSG00000173262.7;ENSG00000186076.4;ENSG00000115233.7;ENSG00000197223.7;ENSG00000131263.8;ENSG00000109618.7;ENSG00000224837.1;ENSG00000075089.5;ENSG00000052802.8;ENSG00000137692.7;ENSG00000106028.6;ENSG00000167088.6;ENSG00000130600.11;ENSG00000173145.7;ENSG00000180667.6;ENSG00000132341.7;ENSG00000172927.3;ENSG00000138660.7;ENSG00000147650.7;ENSG00000173848.14;ENSG00000108064.6;ENSG00000145354.5;ENSG00000124802.7;ENSG00000165678.15;ENSG00000198618.4
prerank,NONO,0.7865500529780699,1.6460779056847759,0.0,0.010646474311214287,0.027,51/196,10.31%,ENSG00000059804.11;ENSG00000137193.9;ENSG00000138336.8;ENSG00000119125.12;ENSG00000135766.8;ENSG00000159399.5;ENSG00000235823.1;ENSG00000269378.1;ENSG00000150995.13;ENSG00000198042.6;ENSG00000117862.7;ENSG00000164211.8;ENSG00000114346.9;ENSG00000135968.15;ENSG00000113742.8;ENSG00000153179.7;ENSG00000138018.13;ENSG00000156876.8;ENSG00000024526.12;ENSG00000164118.8;ENSG00000152256.9;ENSG00000197275.8;ENSG00000001630.11;ENSG00000155111.10;ENSG00000186660.14;ENSG00000128923.6;ENSG00000187772.6;ENSG00000163428.3;ENSG00000112972.10;ENSG00000165914.10;ENSG00000225996.2;ENSG00000108039.13;ENSG00000111961.12;ENSG00000067082.10;ENSG00000072571.15;ENSG00000117139.12;ENSG00000164180.9;ENSG00000165732.8;ENSG00000100580.7;ENSG00000144674.12;ENSG00000161813.16;ENSG00000163644.10;ENSG00000198380.8;ENSG00000052802.8;ENSG00000186687.11;ENSG00000101040.15;ENSG00000164659.10;ENSG00000180957.13;ENSG00000196873.11;ENSG00000150712.6;ENSG00000237296.5
prerank,XRCC5,0.7761400235864907,1.6234504570659816,0.0,0.015047017026516191,0.044,52/190,8.26%,ENSG00000059804.11;ENSG00000137193.9;ENSG00000138336.8;ENSG00000129521.9;ENSG00000132432.9;ENSG00000119125.12;ENSG00000134107.4;ENSG00000197146.2;ENSG00000135766.8;ENSG00000125629.10;ENSG00000159399.5;ENSG00000143401.10;ENSG00000235823.1;ENSG00000106080.6;ENSG00000115419.8;ENSG00000104331.4;ENSG00000074695.5;ENSG00000164211.8;ENSG00000135245.9;ENSG00000137845.10;ENSG00000148834.8;ENSG00000139146.9;ENSG00000138018.13;ENSG00000154429.6;ENSG00000103995.9;ENSG00000188177.9;ENSG00000114439.14;ENSG00000188206.5;ENSG00000067057.12;ENSG00000196565.8;ENSG00000164118.8;ENSG00000152256.9;ENSG00000147416.6;ENSG00000011426.6;ENSG00000112096.12;ENSG00000204520.8;ENSG00000165997.4;ENSG00000012660.9;ENSG00000084234.12;ENSG00000166598.8;ENSG00000112972.10;ENSG00000113356.6;ENSG00000176390.10;ENSG00000147168.8;ENSG00000033178.8;ENSG00000044574.7;ENSG00000109171.10;ENSG00000120539.10;ENSG00000213190.2;ENSG00000144747.10;ENSG00000146757.9;ENSG00000171241.4
prerank,PNPT1,0.7770734389197959,1.6126378741915648,0.0,0.01703435889794286,0.058,63/184,10.55%,ENSG00000059804.11;ENSG00000138336.8;ENSG00000129521.9;ENSG00000170522.5;ENSG00000119125.12;ENSG00000135766.8;ENSG00000125629.10;ENSG00000159399.5;ENSG00000143847.11;ENSG00000235823.1;ENSG00000131746.8;ENSG00000102144.9;ENSG00000198042.6;ENSG00000164211.8;ENSG00000186352.4;ENSG00000113742.8;ENSG00000008394.8;ENSG00000138018.13;ENSG00000154429.6;ENSG00000114268.7;ENSG00000144136.6;ENSG00000116678.14;ENSG00000160752.10;ENSG00000137955.11;ENSG00000256545.1;ENSG00000214110.3;ENSG00000180644.6;ENSG00000102003.6;ENSG00000213654.5;ENSG00000197961.7;ENSG00000176171.7;ENSG00000196565.8;ENSG00000146409.6;ENSG00000001630.11;ENSG00000064102.10;ENSG00000249353.2;ENSG00000187772.6;ENSG00000198087.7;ENSG00000085721.8;ENSG00000163428.3;ENSG00000112972.10;ENSG00000113356.6;ENSG00000131069.15;ENSG00000147168.8;ENSG00000198899.2;ENSG00000197147.8;ENSG00000173262.7;ENSG00000213190.2;ENSG00000117593.8;ENSG00000186076.4;ENSG00000259399.1;ENSG00000141753.5;ENSG00000133805.11;ENSG00000237289.5;ENSG00000075089.5;ENSG00000052802.8;ENSG00000111669.10;ENSG00000131473.12;ENSG00000130600.11;ENSG00000171314.8;ENSG00000132341.7;ENSG00000167286.5;ENSG00000172927.3
prerank,RPS19,0.7649914414810405,1.6026392501065567,0.003105590062111801,0.019873418714266667,0.078,43/184,4.22%,ENSG00000137193.9;ENSG00000130164.7;ENSG00000130066.12;ENSG00000157193.10;ENSG00000099219.9;ENSG00000151012.9;ENSG00000051382.4;ENSG00000170542.5;ENSG00000138336.8;ENSG00000105281.8;ENSG00000272962.1;ENSG00000125968.7;ENSG00000170522.5;ENSG00000127824.9;ENSG00000119125.12;ENSG00000070669.12;ENSG00000100097.7;ENSG00000099194.5;ENSG00000120053.9;ENSG00000235823.1;ENSG00000136010.9;ENSG00000270172.1;ENSG00000124942.9;ENSG00000185885.11;ENSG00000214049.6;ENSG00000131389.12;ENSG00000164211.8;ENSG00000148154.5;ENSG00000118193.7;ENSG00000081181.3;ENSG00000204282.3;ENSG00000182199.6;ENSG00000197471.7;ENSG00000103995.9;ENSG00000101236.12;ENSG00000116761.7;ENSG00000160752.10;ENSG00000272405.1;ENSG00000155380.7;ENSG00000213390.6;ENSG00000112715.16;ENSG00000163961.4;ENSG00000140545.10
prerank,MATR3,0.7642479081243729,1.5911484360141204,0.0015337423312883436,0.022357596053550005,0.095,66/192,10.06%,ENSG00000059804.11;ENSG00000090382.2;ENSG00000079819.12;ENSG00000157193.10;ENSG00000152818.14;ENSG00000244405.3;ENSG00000051382.4;ENSG00000124831.14;ENSG00000116584.13;ENSG00000103187.6;ENSG00000082781.7;ENSG00000269636.1;ENSG00000106080.6;ENSG00000104331.4;ENSG00000185885.11;ENSG00000131389.12;ENSG00000139146.9;ENSG00000067225.13;ENSG00000138678.6;ENSG00000156671.8;ENSG00000167460.10;ENSG00000106034.13;ENSG00000111231.4;ENSG00000137955.11;ENSG00000033327.8;ENSG00000060982.10;ENSG00000213654.5;ENSG00000005893.11;ENSG00000130755.8;ENSG00000147416.6;ENSG00000011426.6;ENSG00000012660.9;ENSG00000110880.6;ENSG00000166598.8;ENSG00000106868.12;ENSG00000102096.9;ENSG00000165914.10;ENSG00000242125.2;ENSG00000171055.10;ENSG00000104341.12;ENSG00000102287.12;ENSG00000131069.15;ENSG00000197969.7;ENSG00000163527.5;ENSG00000076053.6;ENSG00000170759.10;ENSG00000234231.2;ENSG00000103811.11;ENSG00000182827.8;ENSG00000185104.15;ENSG00000150093.14;ENSG00000102007.6;ENSG00000227706.3;ENSG00000141753.5;ENSG00000272325.1;ENSG00000158985.9;ENSG00000107566.9;ENSG00000164659.10;ENSG00000131236.12;ENSG00000122861.11;ENSG00000136653.15;ENSG00000165195.9;ENSG00000168078.5;ENSG00000168374.6;ENSG00000152253.4;ENSG00000130600.11
prerank,PARN,0.7502545835219117,1.5835510479195272,0.0029585798816568047,0.02397428289340106,0.108,31/187,7.08%,ENSG00000059804.11;ENSG00000101162.3;ENSG00000006459.6;ENSG00000006016.6;ENSG00000096696.9;ENSG00000005448.12;ENSG00000005884.13;ENSG00000006831.9;ENSG00000007062.7;ENSG00000155189.7;ENSG00000259758.1;ENSG00000256390.1;ENSG00000178202.8;ENSG00000004478.5;ENSG00000005893.11;ENSG00000001630.11;ENSG00000006625.13;ENSG00000135074.11;ENSG00000187772.6;ENSG00000005700.10;ENSG00000174485.10;ENSG00000005100.8;ENSG00000081019.9;ENSG00000003989.12;ENSG00000007168.8;ENSG00000012174.7;ENSG00000147168.8;ENSG00000100342.16;ENSG00000196449.3;ENSG00000006432.11;ENSG00000001036.9
prerank,EIF3G,0.7529034994623296,1.5834760928521656,0.0015625,0.021576854604060957,0.108,61/192,7.50%,ENSG00000137193.9;ENSG00000130066.12;ENSG00000099219.9;ENSG00000104765.10;ENSG00000151012.9;ENSG00000051382.4;ENSG00000170542.5;ENSG00000003436.10;ENSG00000134294.9;ENSG00000272962.1;ENSG00000113739.6;ENSG00000120727.8;ENSG00000170522.5;ENSG00000119125.12;ENSG00000070669.12;ENSG00000155980.7;ENSG00000120053.9;ENSG00000235823.1;ENSG00000103187.6;ENSG00000065911.7;ENSG00000136010.9;ENSG00000198756.6;ENSG00000128595.12;ENSG00000070540.8;ENSG00000131389.12;ENSG00000164211.8;ENSG00000148834.8;ENSG00000184575.7;ENSG00000106105.9;ENSG00000118193.7;ENSG00000081181.3;ENSG00000117479.8;ENSG00000103995.9;ENSG00000143228.8;ENSG00000188177.9;ENSG00000205542.6;ENSG00000116761.7;ENSG00000106034.13;ENSG00000155304.4;ENSG00000060982.10;ENSG00000272405.1;ENSG00000024526.12;ENSG00000188206.5;ENSG00000001630.11;ENSG00000138764.9;ENSG00000111252.6;ENSG00000068366.15;ENSG00000169679.10;ENSG00000012660.9;ENSG00000166598.8;ENSG00000120137.6;ENSG00000112972.10;ENSG00000102287.12;ENSG00000131069.15;ENSG00000129534.9;ENSG00000110619.12;ENSG00000174951.6;ENSG00000198860.7;ENSG00000044574.7;ENSG00000176105.9;ENSG00000153879.4
