Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,ADAR,0.8759495072542962,1.634286822157685,0.0,0.0,0.0,47/174,4.16%,ENSG00000160710.11;ENSG00000131746.8;ENSG00000177889.5;ENSG00000111885.5;ENSG00000107021.11;ENSG00000059804.11;ENSG00000163536.8;ENSG00000066583.7;ENSG00000185127.5;ENSG00000128039.6;ENSG00000179387.5;ENSG00000168497.4;ENSG00000064995.12;ENSG00000189067.8;ENSG00000108788.7;ENSG00000065154.7;ENSG00000049239.8;ENSG00000176410.7;ENSG00000180644.6;ENSG00000130779.15;ENSG00000087191.8;ENSG00000122133.12;ENSG00000186063.8;ENSG00000102144.9;ENSG00000168615.7;ENSG00000140650.7;ENSG00000146223.10;ENSG00000169251.8;ENSG00000067182.3;ENSG00000100084.10;ENSG00000130638.11;ENSG00000100221.6;ENSG00000116353.11;ENSG00000169490.12;ENSG00000116678.14;ENSG00000128165.7;ENSG00000107560.6;ENSG00000163428.3;ENSG00000152193.7;ENSG00000173349.4;ENSG00000176022.3;ENSG00000166510.9;ENSG00000225791.2;ENSG00000168827.10;ENSG00000126522.12;ENSG00000027847.9;ENSG00000117899.6
prerank,SND1,0.7994721122125407,1.4884863941445885,0.004223864836325237,0.2163986776469832,0.19,40/195,10.29%,ENSG00000106366.7;ENSG00000131746.8;ENSG00000243989.3;ENSG00000111669.10;ENSG00000120738.7;ENSG00000108272.9;ENSG00000185033.10;ENSG00000143627.13;ENSG00000117308.10;ENSG00000187688.10;ENSG00000140545.10;ENSG00000170345.5;ENSG00000184489.7;ENSG00000006327.9;ENSG00000167114.8;ENSG00000101400.5;ENSG00000171345.9;ENSG00000164062.8;ENSG00000126522.12;ENSG00000172889.11;ENSG00000256269.2;ENSG00000100226.11;ENSG00000185043.6;ENSG00000160209.14;ENSG00000081692.8;ENSG00000185885.11;ENSG00000187091.9;ENSG00000124172.5;ENSG00000101365.16;ENSG00000130164.7;ENSG00000147168.8;ENSG00000145912.4;ENSG00000130203.5;ENSG00000178896.6;ENSG00000165688.7;ENSG00000116133.7;ENSG00000066379.10;ENSG00000010256.6;ENSG00000169976.5;ENSG00000105953.10
prerank,HNRNPM,0.7915919782946795,1.4706990257964567,0.003181336161187699,0.2040752905372461,0.24,25/176,4.67%,ENSG00000117289.7;ENSG00000204282.3;ENSG00000198959.7;ENSG00000168497.4;ENSG00000090382.2;ENSG00000119125.12;ENSG00000065154.7;ENSG00000143627.13;ENSG00000180644.6;ENSG00000102144.9;ENSG00000214049.6;ENSG00000140545.10;ENSG00000064787.8;ENSG00000137193.9;ENSG00000213462.4;ENSG00000272405.1;ENSG00000108622.6;ENSG00000104812.10;ENSG00000159399.5;ENSG00000225485.3;ENSG00000083444.12;ENSG00000172889.11;ENSG00000103187.6;ENSG00000256269.2;ENSG00000099194.5
prerank,FXR1,0.7721739292713402,1.43581480196732,0.0032085561497326204,0.2854096454615109,0.386,39/189,4.40%,ENSG00000117289.7;ENSG00000102265.7;ENSG00000130066.12;ENSG00000059804.11;ENSG00000141753.5;ENSG00000185201.12;ENSG00000044090.4;ENSG00000102287.12;ENSG00000119777.14;ENSG00000102144.9;ENSG00000120053.9;ENSG00000130529.11;ENSG00000074695.5;ENSG00000102316.12;ENSG00000140545.10;ENSG00000188177.9;ENSG00000181789.10;ENSG00000109046.10;ENSG00000198380.8;ENSG00000140688.12;ENSG00000161638.6;ENSG00000168710.13;ENSG00000184117.7;ENSG00000143382.9;ENSG00000137193.9;ENSG00000182054.5;ENSG00000129103.13;ENSG00000130208.5;ENSG00000130821.11;ENSG00000072778.15;ENSG00000184840.7;ENSG00000145050.11;ENSG00000159399.5;ENSG00000124942.9;ENSG00000168010.6;ENSG00000122218.10;ENSG00000130528.7;ENSG00000083444.12;ENSG00000172889.11
prerank,RBM17,0.7662086834035552,1.4255450829789091,0.006263048016701462,0.2634247228577399,0.427,51/186,8.53%,ENSG00000111145.3;ENSG00000163191.5;ENSG00000131746.8;ENSG00000120738.7;ENSG00000059804.11;ENSG00000163297.12;ENSG00000141753.5;ENSG00000090382.2;ENSG00000102287.12;ENSG00000085871.4;ENSG00000159199.9;ENSG00000148834.8;ENSG00000187688.10;ENSG00000196502.7;ENSG00000067182.3;ENSG00000205542.6;ENSG00000175832.8;ENSG00000124570.13;ENSG00000184922.9;ENSG00000125968.7;ENSG00000179750.11;ENSG00000129103.13;ENSG00000112667.8;ENSG00000213190.2;ENSG00000082781.7;ENSG00000120915.9;ENSG00000178802.13;ENSG00000130755.8;ENSG00000172889.11;ENSG00000103187.6;ENSG00000166025.13;ENSG00000024422.7;ENSG00000114779.15;ENSG00000062716.6;ENSG00000165502.6;ENSG00000090339.4;ENSG00000134287.5;ENSG00000260916.1;ENSG00000170379.15;ENSG00000169241.13;ENSG00000244405.3;ENSG00000173726.6;ENSG00000118640.6;ENSG00000167286.5;ENSG00000142634.8;ENSG00000173267.9;ENSG00000166888.6;ENSG00000180964.12;ENSG00000147168.8;ENSG00000145912.4;ENSG00000198363.11
prerank,G3BP2,0.7570237024885293,1.4125087375860936,0.007337526205450734,0.2601056239295174,0.482,53/194,8.73%,ENSG00000102265.7;ENSG00000059804.11;ENSG00000158710.10;ENSG00000108272.9;ENSG00000141753.5;ENSG00000185201.12;ENSG00000044090.4;ENSG00000112473.12;ENSG00000134107.4;ENSG00000087191.8;ENSG00000117308.10;ENSG00000187688.10;ENSG00000120053.9;ENSG00000102316.12;ENSG00000140545.10;ENSG00000111057.6;ENSG00000144591.13;ENSG00000204580.7;ENSG00000161638.6;ENSG00000061273.13;ENSG00000157020.13;ENSG00000143382.9;ENSG00000137193.9;ENSG00000139645.9;ENSG00000179218.9;ENSG00000167110.12;ENSG00000167085.7;ENSG00000072778.15;ENSG00000184840.7;ENSG00000164062.8;ENSG00000159399.5;ENSG00000171552.8;ENSG00000087074.7;ENSG00000129226.9;ENSG00000033327.8;ENSG00000186866.12;ENSG00000158864.8;ENSG00000134825.9;ENSG00000185885.11;ENSG00000076944.10;ENSG00000166794.4;ENSG00000189171.9;ENSG00000187091.9;ENSG00000073060.11;ENSG00000155366.12;ENSG00000170421.7;ENSG00000130520.6;ENSG00000130164.7;ENSG00000169230.5;ENSG00000100348.5;ENSG00000073578.12;ENSG00000185624.10;ENSG00000101199.8
prerank,TBRG4,0.7486449535427498,1.3953363910846526,0.011506276150627616,0.27956483900374984,0.559,29/190,7.45%,ENSG00000130066.12;ENSG00000111145.3;ENSG00000163191.5;ENSG00000177889.5;ENSG00000120738.7;ENSG00000131981.11;ENSG00000089693.6;ENSG00000205542.6;ENSG00000163428.3;ENSG00000272047.1;ENSG00000140157.10;ENSG00000164091.7;ENSG00000153774.4;ENSG00000049449.4;ENSG00000100890.11;ENSG00000261052.1;ENSG00000171055.10;ENSG00000153786.8;ENSG00000185559.9;ENSG00000250021.3;ENSG00000115350.7;ENSG00000152558.10;ENSG00000186352.4;ENSG00000198018.6;ENSG00000181924.6;ENSG00000164323.8;ENSG00000109171.10;ENSG00000114378.12;ENSG00000166974.8
prerank,UPF2,0.7471578203353902,1.3899169565922764,0.008519701810436636,0.2663083954414184,0.598,33/182,8.62%,ENSG00000204282.3;ENSG00000167895.10;ENSG00000120738.7;ENSG00000198959.7;ENSG00000185127.5;ENSG00000059573.4;ENSG00000119125.12;ENSG00000049239.8;ENSG00000180644.6;ENSG00000175938.6;ENSG00000188177.9;ENSG00000129521.9;ENSG00000124570.13;ENSG00000137193.9;ENSG00000108622.6;ENSG00000171345.9;ENSG00000213190.2;ENSG00000196182.6;ENSG00000138293.15;ENSG00000215791.2;ENSG00000256269.2;ENSG00000092445.7;ENSG00000131473.12;ENSG00000163072.10;ENSG00000185104.15;ENSG00000095637.16;ENSG00000187091.9;ENSG00000175567.4;ENSG00000086189.5;ENSG00000173267.9;ENSG00000147168.8;ENSG00000214078.7;ENSG00000173757.5
prerank,DKC1,0.7327873040643977,1.3725419446975342,0.01694915254237288,0.3035387171651685,0.697,33/190,6.27%,ENSG00000131746.8;ENSG00000111669.10;ENSG00000120738.7;ENSG00000141524.11;ENSG00000168497.4;ENSG00000141753.5;ENSG00000090382.2;ENSG00000117394.15;ENSG00000065154.7;ENSG00000143627.13;ENSG00000180644.6;ENSG00000165795.16;ENSG00000108219.10;ENSG00000214049.6;ENSG00000112096.12;ENSG00000147065.12;ENSG00000211459.2;ENSG00000184489.7;ENSG00000158042.8;ENSG00000122729.14;ENSG00000079332.10;ENSG00000213190.2;ENSG00000170027.5;ENSG00000172889.11;ENSG00000116455.9;ENSG00000256269.2;ENSG00000165272.10;ENSG00000187772.6;ENSG00000102003.6;ENSG00000117335.14;ENSG00000135926.8;ENSG00000188690.8;ENSG00000114867.15
prerank,SUGP2,0.7423873453710149,1.370888540610767,0.01167728237791932,0.28126898739263917,0.706,48/188,11.89%,ENSG00000131746.8;ENSG00000120738.7;ENSG00000141753.5;ENSG00000180644.6;ENSG00000108518.7;ENSG00000117308.10;ENSG00000100065.10;ENSG00000175832.8;ENSG00000061273.13;ENSG00000167114.8;ENSG00000161847.9;ENSG00000065054.9;ENSG00000229953.1;ENSG00000171223.4;ENSG00000051523.6;ENSG00000100304.12;ENSG00000172889.11;ENSG00000128564.5;ENSG00000215791.2;ENSG00000103266.6;ENSG00000090273.9;ENSG00000185559.9;ENSG00000102996.4;ENSG00000131473.12;ENSG00000119559.11;ENSG00000133275.11;ENSG00000065268.6;ENSG00000145494.7;ENSG00000142634.8;ENSG00000147168.8;ENSG00000099364.12;ENSG00000162066.10;ENSG00000175602.2;ENSG00000205352.6;ENSG00000197785.9;ENSG00000164620.4;ENSG00000130203.5;ENSG00000064687.8;ENSG00000178531.4;ENSG00000116133.7;ENSG00000213654.5;ENSG00000100605.12;ENSG00000185883.6;ENSG00000110697.8;ENSG00000223572.5;ENSG00000124313.8;ENSG00000125817.7;ENSG00000125611.11
