Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,AGO1,0.8219651050480727,1.8231372260929937,0.0,0.0,0.0,61/181,7.96%,ENSG00000034063.9;ENSG00000182180.9;ENSG00000196961.8;ENSG00000051341.9;ENSG00000091651.4;ENSG00000092847.6;ENSG00000174013.7;ENSG00000120694.15;ENSG00000171320.10;ENSG00000162889.6;ENSG00000163950.8;ENSG00000186283.9;ENSG00000124299.9;ENSG00000162290.12;ENSG00000106086.14;ENSG00000164405.6;ENSG00000166797.6;ENSG00000080824.14;ENSG00000164151.7;ENSG00000145604.11;ENSG00000110958.11;ENSG00000267100.1;ENSG00000143942.4;ENSG00000226950.2;ENSG00000136261.10;ENSG00000115541.6;ENSG00000066044.9;ENSG00000101935.5;ENSG00000119969.10;ENSG00000105173.9;ENSG00000267001.1;ENSG00000107833.6;ENSG00000100296.9;ENSG00000120438.7;ENSG00000133863.2;ENSG00000165490.8;ENSG00000205268.6;ENSG00000196584.2;ENSG00000166147.9;ENSG00000224877.3;ENSG00000110917.3;ENSG00000165819.7;ENSG00000213300.4;ENSG00000242125.2;ENSG00000267321.1;ENSG00000198618.4;ENSG00000235823.1;ENSG00000182013.13;ENSG00000247572.3;ENSG00000270800.1;ENSG00000145868.12;ENSG00000250337.1;ENSG00000215492.5;ENSG00000253729.3;ENSG00000269891.1;ENSG00000106477.14;ENSG00000253816.2;ENSG00000083720.8;ENSG00000222011.4;ENSG00000205609.8;ENSG00000132330.12
prerank,SMNDC1,0.7741596379307646,1.7527867495401026,0.0,0.0,0.0,69/196,9.26%,ENSG00000168496.3;ENSG00000132646.6;ENSG00000099783.7;ENSG00000182180.9;ENSG00000159199.9;ENSG00000065328.12;ENSG00000093009.5;ENSG00000167325.10;ENSG00000197451.6;ENSG00000116688.12;ENSG00000066279.12;ENSG00000228716.2;ENSG00000100749.3;ENSG00000084090.9;ENSG00000108592.12;ENSG00000033050.3;ENSG00000124207.12;ENSG00000226950.2;ENSG00000115541.6;ENSG00000112081.12;ENSG00000196656.6;ENSG00000100335.8;ENSG00000120438.7;ENSG00000215021.4;ENSG00000263020.1;ENSG00000115758.8;ENSG00000133863.2;ENSG00000116161.13;ENSG00000196584.2;ENSG00000167085.7;ENSG00000198890.6;ENSG00000131467.6;ENSG00000137812.15;ENSG00000075131.5;ENSG00000116455.9;ENSG00000118655.4;ENSG00000058804.10;ENSG00000170515.9;ENSG00000068654.11;ENSG00000204438.6;ENSG00000116120.8;ENSG00000265590.5;ENSG00000150753.7;ENSG00000178921.9;ENSG00000183431.7;ENSG00000116459.6;ENSG00000148300.7;ENSG00000126003.6;ENSG00000253729.3;ENSG00000096384.15;ENSG00000101868.6;ENSG00000126088.8;ENSG00000155463.8;ENSG00000135829.12;ENSG00000088930.6;ENSG00000110107.4;ENSG00000083720.8;ENSG00000198700.5;ENSG00000101361.10;ENSG00000144381.12;ENSG00000130204.8;ENSG00000037474.10;ENSG00000172660.7;ENSG00000198824.4;ENSG00000179051.9;ENSG00000160049.7;ENSG00000100028.7;ENSG00000108561.4;ENSG00000153187.12
prerank,UBE2L3,0.7740931028411996,1.7463569035946207,0.0,0.0,0.0,79/194,13.85%,ENSG00000120694.15;ENSG00000131844.11;ENSG00000080824.14;ENSG00000180370.6;ENSG00000099901.12;ENSG00000110958.11;ENSG00000236552.1;ENSG00000198830.6;ENSG00000134809.4;ENSG00000147536.7;ENSG00000187514.10;ENSG00000211450.5;ENSG00000235363.1;ENSG00000120438.7;ENSG00000260032.1;ENSG00000269897.1;ENSG00000242071.2;ENSG00000116161.13;ENSG00000029993.10;ENSG00000120802.9;ENSG00000106355.5;ENSG00000213300.4;ENSG00000163468.10;ENSG00000162607.8;ENSG00000198618.4;ENSG00000214389.2;ENSG00000224578.3;ENSG00000114054.9;ENSG00000229119.3;ENSG00000173436.9;ENSG00000140905.5;ENSG00000161980.5;ENSG00000225259.3;ENSG00000170144.14;ENSG00000128951.9;ENSG00000128228.4;ENSG00000121766.10;ENSG00000007080.6;ENSG00000215492.5;ENSG00000096384.15;ENSG00000138668.14;ENSG00000173638.14;ENSG00000082153.13;ENSG00000224631.3;ENSG00000213178.3;ENSG00000135829.12;ENSG00000108559.7;ENSG00000197785.9;ENSG00000144381.12;ENSG00000234664.1;ENSG00000170468.5;ENSG00000213430.5;ENSG00000240489.1;ENSG00000249936.2;ENSG00000269242.1;ENSG00000183405.5;ENSG00000103254.5;ENSG00000111358.9;ENSG00000184924.5;ENSG00000179967.11;ENSG00000143977.9;ENSG00000254598.2;ENSG00000134308.9;ENSG00000218426.5;ENSG00000232472.1;ENSG00000175602.2;ENSG00000227081.4;ENSG00000242299.1;ENSG00000116750.9;ENSG00000182154.7;ENSG00000234797.4;ENSG00000142864.10;ENSG00000229638.1;ENSG00000145220.9;ENSG00000215086.2;ENSG00000234327.3;ENSG00000213442.4;ENSG00000249353.2;ENSG00000186076.4
prerank,SAFB2,-0.7617568364520936,-1.7393461295094705,0.0,0.0,0.0,59/186,9.47%,ENSG00000151012.9;ENSG00000163993.6;ENSG00000162772.12;ENSG00000213190.2;ENSG00000070669.12;ENSG00000260916.1;ENSG00000110619.12;ENSG00000136010.9;ENSG00000168209.4;ENSG00000113739.6;ENSG00000108176.10;ENSG00000065911.7;ENSG00000101255.6;ENSG00000101782.10;ENSG00000031698.8;ENSG00000134684.6;ENSG00000122861.11;ENSG00000135069.9;ENSG00000051108.10;ENSG00000139269.2;ENSG00000175197.6;ENSG00000147650.7;ENSG00000135241.12;ENSG00000086619.9;ENSG00000130513.6;ENSG00000124570.13;ENSG00000138835.18;ENSG00000136770.6;ENSG00000113140.6;ENSG00000198380.8;ENSG00000178053.13;ENSG00000070081.11;ENSG00000130066.12;ENSG00000081181.3;ENSG00000140105.13;ENSG00000130707.13;ENSG00000130755.8;ENSG00000115310.13;ENSG00000130766.4;ENSG00000106537.7;ENSG00000079393.16;ENSG00000164659.10;ENSG00000269636.1;ENSG00000141682.11;ENSG00000197780.5;ENSG00000153879.4;ENSG00000118640.6;ENSG00000090861.11;ENSG00000153071.10;ENSG00000176826.11;ENSG00000166986.8;ENSG00000086300.11;ENSG00000170006.7;ENSG00000153132.8;ENSG00000135269.13;ENSG00000074935.9;ENSG00000124588.15;ENSG00000137876.5;ENSG00000133818.8
prerank,ZRANB2,0.7671109596216658,1.72859677659209,0.0,0.0,0.0,50/184,7.33%,ENSG00000168496.3;ENSG00000132646.6;ENSG00000182180.9;ENSG00000183684.6;ENSG00000131153.4;ENSG00000012048.15;ENSG00000177971.7;ENSG00000065328.12;ENSG00000093009.5;ENSG00000111602.7;ENSG00000131844.11;ENSG00000135446.12;ENSG00000151725.7;ENSG00000137310.7;ENSG00000099901.12;ENSG00000196659.9;ENSG00000100084.10;ENSG00000226950.2;ENSG00000187514.10;ENSG00000196656.6;ENSG00000267001.1;ENSG00000115758.8;ENSG00000167774.2;ENSG00000179918.15;ENSG00000163029.11;ENSG00000141349.4;ENSG00000171865.5;ENSG00000029993.10;ENSG00000196584.2;ENSG00000110200.4;ENSG00000236859.2;ENSG00000089220.4;ENSG00000198890.6;ENSG00000068654.11;ENSG00000184110.10;ENSG00000107672.10;ENSG00000197728.5;ENSG00000175792.7;ENSG00000132507.13;ENSG00000235560.3;ENSG00000128951.9;ENSG00000181610.8;ENSG00000159259.7;ENSG00000149547.10;ENSG00000101868.6;ENSG00000126088.8;ENSG00000239672.3;ENSG00000110107.4;ENSG00000165689.12;ENSG00000232098.2
prerank,KRR1,0.7467051147573813,1.6830291310662324,0.0,0.0007461081763358423,0.003,51/191,4.84%,ENSG00000168496.3;ENSG00000105011.4;ENSG00000117724.8;ENSG00000034063.9;ENSG00000099783.7;ENSG00000040275.12;ENSG00000051341.9;ENSG00000092853.9;ENSG00000072571.15;ENSG00000174013.7;ENSG00000120694.15;ENSG00000171848.9;ENSG00000166803.6;ENSG00000228716.2;ENSG00000113810.11;ENSG00000112118.13;ENSG00000138180.11;ENSG00000160298.13;ENSG00000080824.14;ENSG00000167670.11;ENSG00000173486.8;ENSG00000137310.7;ENSG00000179837.6;ENSG00000165480.11;ENSG00000163507.9;ENSG00000149357.5;ENSG00000129173.8;ENSG00000100084.10;ENSG00000141965.3;ENSG00000187514.10;ENSG00000113845.5;ENSG00000071539.9;ENSG00000136824.14;ENSG00000156398.8;ENSG00000188312.9;ENSG00000097046.8;ENSG00000165490.8;ENSG00000242265.1;ENSG00000174243.5;ENSG00000196584.2;ENSG00000198554.7;ENSG00000178295.10;ENSG00000213300.4;ENSG00000186871.5;ENSG00000169230.5;ENSG00000132773.7;ENSG00000117318.8;ENSG00000075856.7;ENSG00000170915.8;ENSG00000156802.8;ENSG00000165891.11
prerank,LARP7,0.7479664367888403,1.6775425800459942,0.0,0.001036261356022003,0.005,74/193,13.43%,ENSG00000105011.4;ENSG00000130520.6;ENSG00000182180.9;ENSG00000111206.8;ENSG00000228716.2;ENSG00000164405.6;ENSG00000160298.13;ENSG00000062822.8;ENSG00000071564.10;ENSG00000142541.12;ENSG00000171314.8;ENSG00000130303.8;ENSG00000267001.1;ENSG00000211450.5;ENSG00000128185.5;ENSG00000179912.15;ENSG00000185122.6;ENSG00000175061.13;ENSG00000180900.12;ENSG00000160949.12;ENSG00000174720.11;ENSG00000170915.8;ENSG00000099800.3;ENSG00000127586.12;ENSG00000140905.5;ENSG00000123064.8;ENSG00000164402.9;ENSG00000185928.7;ENSG00000152082.9;ENSG00000141556.16;ENSG00000007080.6;ENSG00000119333.7;ENSG00000071655.13;ENSG00000179085.7;ENSG00000171858.13;ENSG00000223705.5;ENSG00000197785.9;ENSG00000221890.2;ENSG00000005206.12;ENSG00000119638.8;ENSG00000183048.7;ENSG00000132182.7;ENSG00000130255.8;ENSG00000233927.4;ENSG00000204389.8;ENSG00000177600.4;ENSG00000160049.7;ENSG00000167658.11;ENSG00000179967.11;ENSG00000137818.7;ENSG00000197858.6;ENSG00000130511.11;ENSG00000169100.8;ENSG00000099624.3;ENSG00000161847.9;ENSG00000264207.1;ENSG00000164091.7;ENSG00000167930.11;ENSG00000175602.2;ENSG00000197457.5;ENSG00000137106.13;ENSG00000105669.8;ENSG00000133243.4;ENSG00000105371.8;ENSG00000177595.13;ENSG00000176155.14;ENSG00000170727.7;ENSG00000175221.10;ENSG00000105701.11;ENSG00000069275.12;ENSG00000182979.13;ENSG00000164880.11;ENSG00000176978.9;ENSG00000167965.13
prerank,BUD13,0.7441360105150384,1.6726022065693056,0.0,0.0008882240194474311,0.005,65/191,9.44%,ENSG00000034063.9;ENSG00000132646.6;ENSG00000130520.6;ENSG00000182180.9;ENSG00000072571.15;ENSG00000117593.8;ENSG00000093009.5;ENSG00000112312.5;ENSG00000171848.9;ENSG00000197451.6;ENSG00000166803.6;ENSG00000176890.11;ENSG00000164405.6;ENSG00000166797.6;ENSG00000080824.14;ENSG00000151725.7;ENSG00000187145.10;ENSG00000100084.10;ENSG00000226950.2;ENSG00000115541.6;ENSG00000077312.4;ENSG00000112081.12;ENSG00000187514.10;ENSG00000120915.9;ENSG00000168061.9;ENSG00000107833.6;ENSG00000235363.1;ENSG00000232112.3;ENSG00000115758.8;ENSG00000089220.4;ENSG00000243989.3;ENSG00000144354.9;ENSG00000116455.9;ENSG00000100075.5;ENSG00000267321.1;ENSG00000235823.1;ENSG00000071626.12;ENSG00000197728.5;ENSG00000173436.9;ENSG00000140905.5;ENSG00000164032.7;ENSG00000132507.13;ENSG00000103266.6;ENSG00000107949.12;ENSG00000128951.9;ENSG00000116459.6;ENSG00000181610.8;ENSG00000126088.8;ENSG00000153044.5;ENSG00000239672.3;ENSG00000197785.9;ENSG00000165689.12;ENSG00000101444.8;ENSG00000205670.6;ENSG00000130204.8;ENSG00000175130.6;ENSG00000037474.10;ENSG00000178952.4;ENSG00000109919.5;ENSG00000185813.6;ENSG00000000419.8;ENSG00000100442.6;ENSG00000108561.4;ENSG00000204220.5;ENSG00000143977.9
prerank,XPO5,0.7358457777785766,1.6653367711082516,0.0,0.0010880744238231032,0.007,55/191,9.20%,ENSG00000034063.9;ENSG00000073111.9;ENSG00000079616.8;ENSG00000104852.10;ENSG00000183684.6;ENSG00000149503.8;ENSG00000166803.6;ENSG00000164405.6;ENSG00000176619.6;ENSG00000080824.14;ENSG00000062822.8;ENSG00000099901.12;ENSG00000158526.7;ENSG00000160633.8;ENSG00000142541.12;ENSG00000256269.2;ENSG00000171314.8;ENSG00000187514.10;ENSG00000158545.11;ENSG00000196656.6;ENSG00000232112.3;ENSG00000215021.4;ENSG00000167774.2;ENSG00000260708.1;ENSG00000070814.13;ENSG00000089220.4;ENSG00000172336.4;ENSG00000144354.9;ENSG00000130770.13;ENSG00000161547.10;ENSG00000125743.6;ENSG00000197728.5;ENSG00000001497.12;ENSG00000170315.9;ENSG00000123064.8;ENSG00000135486.13;ENSG00000164402.9;ENSG00000101365.16;ENSG00000007080.6;ENSG00000160072.15;ENSG00000096384.15;ENSG00000218422.2;ENSG00000166902.4;ENSG00000197785.9;ENSG00000132361.12;ENSG00000169738.3;ENSG00000227097.4;ENSG00000087087.14;ENSG00000175130.6;ENSG00000233016.2;ENSG00000249936.2;ENSG00000233927.4;ENSG00000104904.8;ENSG00000256861.1;ENSG00000179967.11
prerank,AKAP8L,0.7235901169860546,1.6575952256848547,0.0,0.00110534544642347,0.008,51/194,6.42%,ENSG00000117724.8;ENSG00000099783.7;ENSG00000040275.12;ENSG00000012048.15;ENSG00000072571.15;ENSG00000120694.15;ENSG00000093009.5;ENSG00000113368.7;ENSG00000066279.12;ENSG00000176890.11;ENSG00000165304.3;ENSG00000131844.11;ENSG00000072501.13;ENSG00000080824.14;ENSG00000116830.7;ENSG00000145604.11;ENSG00000121104.3;ENSG00000165480.11;ENSG00000033050.3;ENSG00000100084.10;ENSG00000066044.9;ENSG00000187514.10;ENSG00000101935.5;ENSG00000122483.13;ENSG00000113360.12;ENSG00000133026.8;ENSG00000072135.8;ENSG00000156398.8;ENSG00000094916.9;ENSG00000133863.2;ENSG00000097046.8;ENSG00000115241.9;ENSG00000163029.11;ENSG00000198888.2;ENSG00000124795.10;ENSG00000196584.2;ENSG00000180198.11;ENSG00000169230.5;ENSG00000170515.9;ENSG00000068654.11;ENSG00000116221.11;ENSG00000165891.11;ENSG00000265590.5;ENSG00000159217.5;ENSG00000150753.7;ENSG00000183431.7;ENSG00000148300.7;ENSG00000270800.1;ENSG00000253729.3;ENSG00000096384.15;ENSG00000101868.6
