Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,AKAP8L,0.8608377549124229,1.9338220740266807,0.0,0.0,0.0,73/194,5.27%,ENSG00000169230.5;ENSG00000145604.11;ENSG00000116221.11;ENSG00000106554.7;ENSG00000101350.6;ENSG00000183291.11;ENSG00000133026.8;ENSG00000165304.3;ENSG00000124831.14;ENSG00000121104.3;ENSG00000066044.9;ENSG00000187772.6;ENSG00000188976.6;ENSG00000162704.11;ENSG00000115241.9;ENSG00000176731.7;ENSG00000096384.15;ENSG00000179195.11;ENSG00000073792.11;ENSG00000094916.9;ENSG00000116237.11;ENSG00000144597.9;ENSG00000163904.8;ENSG00000155368.12;ENSG00000072571.15;ENSG00000138336.8;ENSG00000149485.12;ENSG00000171067.6;ENSG00000004455.12;ENSG00000152926.10;ENSG00000115234.6;ENSG00000187514.10;ENSG00000116918.9;ENSG00000148200.12;ENSG00000166197.12;ENSG00000072135.8;ENSG00000117724.8;ENSG00000103423.9;ENSG00000138594.8;ENSG00000163946.9;ENSG00000211456.6;ENSG00000113360.12;ENSG00000107789.11;ENSG00000180198.11;ENSG00000196584.2;ENSG00000040275.12;ENSG00000133739.11;ENSG00000160208.11;ENSG00000144231.6;ENSG00000197312.7;ENSG00000116830.7;ENSG00000179295.11;ENSG00000272325.1;ENSG00000101849.11;ENSG00000101596.10;ENSG00000140299.7;ENSG00000066279.12;ENSG00000101935.5;ENSG00000100697.10;ENSG00000143970.12;ENSG00000067955.9;ENSG00000131844.11;ENSG00000097046.8;ENSG00000106034.13;ENSG00000069275.12;ENSG00000108788.7;ENSG00000178904.14;ENSG00000113368.7;ENSG00000012048.15;ENSG00000132142.15;ENSG00000148300.7;ENSG00000146223.10;ENSG00000134532.11
prerank,DDX3X,0.7533126289563876,1.7122302208785907,0.0,0.004109461823022274,0.005,62/188,8.54%,ENSG00000096384.15;ENSG00000094916.9;ENSG00000137168.7;ENSG00000132646.6;ENSG00000198826.6;ENSG00000134684.6;ENSG00000072571.15;ENSG00000228716.2;ENSG00000151012.9;ENSG00000135372.4;ENSG00000166197.12;ENSG00000117724.8;ENSG00000135069.9;ENSG00000085999.7;ENSG00000123374.6;ENSG00000174371.12;ENSG00000070669.12;ENSG00000107789.11;ENSG00000131876.12;ENSG00000092621.7;ENSG00000256269.2;ENSG00000128272.10;ENSG00000257742.1;ENSG00000133119.8;ENSG00000148773.8;ENSG00000247556.2;ENSG00000198056.9;ENSG00000144354.9;ENSG00000181163.9;ENSG00000120699.8;ENSG00000143476.13;ENSG00000139514.8;ENSG00000113739.6;ENSG00000121621.6;ENSG00000198554.7;ENSG00000140525.13;ENSG00000101935.5;ENSG00000131844.11;ENSG00000097046.8;ENSG00000153879.4;ENSG00000065328.12;ENSG00000122952.12;ENSG00000104738.12;ENSG00000197299.6;ENSG00000093009.5;ENSG00000138182.10;ENSG00000105281.8;ENSG00000164329.9;ENSG00000111875.7;ENSG00000129317.10;ENSG00000111581.5;ENSG00000165480.11;ENSG00000171848.9;ENSG00000196517.7;ENSG00000100889.7;ENSG00000112029.5;ENSG00000184445.7;ENSG00000110871.10;ENSG00000163939.14;ENSG00000101447.9;ENSG00000154839.5;ENSG00000166803.6
prerank,RBM34,0.7581170779226447,1.694299528527663,0.0,0.003196248084572879,0.006,53/189,11.84%,ENSG00000186468.8;ENSG00000183291.11;ENSG00000096384.15;ENSG00000196205.7;ENSG00000144597.9;ENSG00000174444.10;ENSG00000230903.5;ENSG00000173660.7;ENSG00000110700.2;ENSG00000167283.3;ENSG00000173207.8;ENSG00000164611.8;ENSG00000106355.5;ENSG00000126878.8;ENSG00000170089.11;ENSG00000242071.2;ENSG00000224578.3;ENSG00000125743.6;ENSG00000112996.5;ENSG00000124226.7;ENSG00000255717.2;ENSG00000119927.9;ENSG00000229638.1;ENSG00000172840.2;ENSG00000167699.9;ENSG00000234797.4;ENSG00000163528.8;ENSG00000189007.11;ENSG00000232024.2;ENSG00000273003.1;ENSG00000164978.13;ENSG00000182899.10;ENSG00000234741.3;ENSG00000109475.12;ENSG00000233954.4;ENSG00000075914.8;ENSG00000119640.4;ENSG00000137055.10;ENSG00000123975.4;ENSG00000218426.5;ENSG00000196683.6;ENSG00000100220.7;ENSG00000155903.7;ENSG00000264772.2;ENSG00000216285.4;ENSG00000263934.2;ENSG00000165661.11;ENSG00000132952.7;ENSG00000064995.12;ENSG00000089289.11;ENSG00000183405.5;ENSG00000165819.7;ENSG00000137970.7
prerank,ABCF1,0.7545020463339728,1.6905114677212534,0.0,0.0023971860634296595,0.006,65/198,8.94%,ENSG00000169230.5;ENSG00000188612.7;ENSG00000103257.4;ENSG00000117143.9;ENSG00000103187.6;ENSG00000096384.15;ENSG00000116761.7;ENSG00000138413.9;ENSG00000266709.1;ENSG00000134684.6;ENSG00000138336.8;ENSG00000119711.8;ENSG00000106105.9;ENSG00000151012.9;ENSG00000203875.6;ENSG00000136868.9;ENSG00000079819.12;ENSG00000135069.9;ENSG00000198756.6;ENSG00000070669.12;ENSG00000164687.6;ENSG00000111145.3;ENSG00000196365.7;ENSG00000117862.7;ENSG00000092621.7;ENSG00000126878.8;ENSG00000125651.9;ENSG00000128272.10;ENSG00000160208.11;ENSG00000163644.10;ENSG00000198189.6;ENSG00000144354.9;ENSG00000125743.6;ENSG00000131153.4;ENSG00000182199.6;ENSG00000122034.8;ENSG00000099817.7;ENSG00000120699.8;ENSG00000169567.7;ENSG00000226950.2;ENSG00000198055.6;ENSG00000113739.6;ENSG00000011478.7;ENSG00000125952.14;ENSG00000106399.7;ENSG00000153879.4;ENSG00000213741.4;ENSG00000091483.6;ENSG00000120254.11;ENSG00000102225.11;ENSG00000178104.15;ENSG00000114779.15;ENSG00000145050.11;ENSG00000128609.10;ENSG00000085276.13;ENSG00000120915.9;ENSG00000164182.6;ENSG00000205476.4;ENSG00000143815.10;ENSG00000100889.7;ENSG00000146409.6;ENSG00000120727.8;ENSG00000198860.7;ENSG00000170860.3;ENSG00000181019.8
prerank,EFTUD2,0.7465015483010751,1.6877498993735478,0.0,0.0019177488507437274,0.006,73/196,9.86%,ENSG00000106554.7;ENSG00000189266.7;ENSG00000117143.9;ENSG00000116761.7;ENSG00000073792.11;ENSG00000138413.9;ENSG00000072571.15;ENSG00000138336.8;ENSG00000149485.12;ENSG00000004455.12;ENSG00000156110.9;ENSG00000187514.10;ENSG00000115364.9;ENSG00000136478.3;ENSG00000135069.9;ENSG00000182670.9;ENSG00000198756.6;ENSG00000112977.11;ENSG00000070669.12;ENSG00000133739.11;ENSG00000172340.10;ENSG00000247556.2;ENSG00000116830.7;ENSG00000144354.9;ENSG00000182199.6;ENSG00000152455.11;ENSG00000131374.10;ENSG00000203667.5;ENSG00000198554.7;ENSG00000121897.9;ENSG00000134779.10;ENSG00000133706.13;ENSG00000140525.13;ENSG00000101935.5;ENSG00000125885.9;ENSG00000108561.4;ENSG00000153879.4;ENSG00000176208.4;ENSG00000148300.7;ENSG00000147274.10;ENSG00000120254.11;ENSG00000144283.17;ENSG00000126602.6;ENSG00000093009.5;ENSG00000143486.11;ENSG00000189007.11;ENSG00000114942.9;ENSG00000186687.11;ENSG00000137944.12;ENSG00000146416.12;ENSG00000071539.9;ENSG00000114779.15;ENSG00000131828.9;ENSG00000086200.12;ENSG00000120915.9;ENSG00000272405.1;ENSG00000171848.9;ENSG00000178802.13;ENSG00000101911.8;ENSG00000100889.7;ENSG00000143401.10;ENSG00000173409.9;ENSG00000184445.7;ENSG00000131069.15;ENSG00000146409.6;ENSG00000206053.8;ENSG00000096060.10;ENSG00000070785.12;ENSG00000117593.8;ENSG00000187325.4;ENSG00000172660.7;ENSG00000198721.8;ENSG00000105849.5
prerank,U2AF2,0.7535468181864116,1.6812840236380733,0.0,0.002283034346123485,0.008,66/189,8.04%,ENSG00000106554.7;ENSG00000117143.9;ENSG00000103187.6;ENSG00000115241.9;ENSG00000131747.10;ENSG00000116761.7;ENSG00000073792.11;ENSG00000000419.8;ENSG00000171960.6;ENSG00000068489.8;ENSG00000132646.6;ENSG00000149485.12;ENSG00000043514.11;ENSG00000228716.2;ENSG00000187514.10;ENSG00000166197.12;ENSG00000127946.12;ENSG00000203875.6;ENSG00000072135.8;ENSG00000079819.12;ENSG00000173207.8;ENSG00000138796.11;ENSG00000145386.5;ENSG00000114738.6;ENSG00000176658.12;ENSG00000180198.11;ENSG00000173848.14;ENSG00000028528.10;ENSG00000116830.7;ENSG00000121152.5;ENSG00000103995.9;ENSG00000272325.1;ENSG00000109805.5;ENSG00000166598.8;ENSG00000134779.10;ENSG00000112992.12;ENSG00000189091.8;ENSG00000131844.11;ENSG00000148700.9;ENSG00000146918.15;ENSG00000132142.15;ENSG00000147274.10;ENSG00000077152.5;ENSG00000204410.10;ENSG00000126602.6;ENSG00000093009.5;ENSG00000100714.11;ENSG00000138668.14;ENSG00000157193.10;ENSG00000186687.11;ENSG00000179222.13;ENSG00000146416.12;ENSG00000123219.8;ENSG00000197471.7;ENSG00000152253.4;ENSG00000119403.9;ENSG00000178104.15;ENSG00000086200.12;ENSG00000159399.5;ENSG00000136261.10;ENSG00000149273.10;ENSG00000120915.9;ENSG00000171848.9;ENSG00000184117.7;ENSG00000169299.9;ENSG00000125354.18
prerank,DHX30,0.7300500781690281,1.641394678481904,0.0,0.005870659747174675,0.023,48/197,8.71%,ENSG00000183291.11;ENSG00000136628.13;ENSG00000187772.6;ENSG00000096384.15;ENSG00000145293.10;ENSG00000155850.7;ENSG00000100412.11;ENSG00000174444.10;ENSG00000072571.15;ENSG00000156110.9;ENSG00000151012.9;ENSG00000116918.9;ENSG00000148200.12;ENSG00000203875.6;ENSG00000156508.13;ENSG00000065911.7;ENSG00000132153.10;ENSG00000196449.3;ENSG00000106355.5;ENSG00000104635.9;ENSG00000122406.8;ENSG00000226950.2;ENSG00000163507.9;ENSG00000116120.8;ENSG00000153130.13;ENSG00000121897.9;ENSG00000111196.5;ENSG00000165672.5;ENSG00000106399.7;ENSG00000168495.8;ENSG00000067955.9;ENSG00000091483.6;ENSG00000134532.11;ENSG00000183474.11;ENSG00000186687.11;ENSG00000128609.10;ENSG00000196565.8;ENSG00000163320.6;ENSG00000085276.13;ENSG00000135821.12;ENSG00000171612.6;ENSG00000132603.9;ENSG00000165118.10;ENSG00000205246.4;ENSG00000152620.8;ENSG00000146409.6;ENSG00000166803.6;ENSG00000148672.7
prerank,TROVE2,0.7281701337690221,1.6311244806357938,0.0029542097488921715,0.006849103038370455,0.03,59/195,10.58%,ENSG00000145604.11;ENSG00000103257.4;ENSG00000187772.6;ENSG00000117143.9;ENSG00000096384.15;ENSG00000134684.6;ENSG00000072571.15;ENSG00000138336.8;ENSG00000151012.9;ENSG00000187514.10;ENSG00000148200.12;ENSG00000166197.12;ENSG00000079819.12;ENSG00000135069.9;ENSG00000198756.6;ENSG00000242125.2;ENSG00000248092.3;ENSG00000070669.12;ENSG00000137193.9;ENSG00000092621.7;ENSG00000178105.5;ENSG00000160208.11;ENSG00000119547.5;ENSG00000100522.4;ENSG00000101849.11;ENSG00000005100.8;ENSG00000226950.2;ENSG00000113739.6;ENSG00000054277.8;ENSG00000108561.4;ENSG00000067955.9;ENSG00000131844.11;ENSG00000113368.7;ENSG00000153879.4;ENSG00000134532.11;ENSG00000120254.11;ENSG00000172840.2;ENSG00000142864.10;ENSG00000129317.10;ENSG00000178104.15;ENSG00000173145.7;ENSG00000136261.10;ENSG00000135821.12;ENSG00000143815.10;ENSG00000145220.9;ENSG00000100889.7;ENSG00000164323.8;ENSG00000259758.1;ENSG00000146409.6;ENSG00000254996.1;ENSG00000165732.8;ENSG00000067533.5;ENSG00000204370.4;ENSG00000244115.1;ENSG00000165650.7;ENSG00000068654.11;ENSG00000139269.2;ENSG00000153574.8;ENSG00000166986.8
prerank,EIF3G,0.7298824385579878,1.6305834531509453,0.0,0.006240293879404192,0.031,74/192,8.28%,ENSG00000170540.10;ENSG00000136628.13;ENSG00000063046.13;ENSG00000103257.4;ENSG00000052802.8;ENSG00000117143.9;ENSG00000103187.6;ENSG00000131747.10;ENSG00000116761.7;ENSG00000138413.9;ENSG00000149485.12;ENSG00000169679.10;ENSG00000228716.2;ENSG00000106105.9;ENSG00000118193.7;ENSG00000151012.9;ENSG00000138778.7;ENSG00000164109.9;ENSG00000117724.8;ENSG00000135069.9;ENSG00000065911.7;ENSG00000068366.15;ENSG00000126787.8;ENSG00000143228.8;ENSG00000198756.6;ENSG00000112984.7;ENSG00000070669.12;ENSG00000184575.7;ENSG00000171492.10;ENSG00000024526.12;ENSG00000136938.8;ENSG00000137193.9;ENSG00000092621.7;ENSG00000170312.11;ENSG00000176105.9;ENSG00000135486.13;ENSG00000247556.2;ENSG00000070540.8;ENSG00000150961.10;ENSG00000103995.9;ENSG00000272325.1;ENSG00000112742.5;ENSG00000128595.12;ENSG00000272962.1;ENSG00000138658.11;ENSG00000188647.8;ENSG00000113739.6;ENSG00000166598.8;ENSG00000058668.10;ENSG00000235823.1;ENSG00000073849.10;ENSG00000066279.12;ENSG00000173598.9;ENSG00000106034.13;ENSG00000069275.12;ENSG00000044574.7;ENSG00000153879.4;ENSG00000180964.12;ENSG00000060982.10;ENSG00000176208.4;ENSG00000117479.8;ENSG00000138182.10;ENSG00000104549.7;ENSG00000099219.9;ENSG00000146416.12;ENSG00000145050.11;ENSG00000145241.6;ENSG00000135821.12;ENSG00000272405.1;ENSG00000143815.10;ENSG00000169299.9;ENSG00000103479.10;ENSG00000100889.7;ENSG00000131069.15
prerank,SF3A3,0.7146501080521054,1.625171819564811,0.0,0.006712120977603046,0.038,56/197,10.31%,ENSG00000145604.11;ENSG00000198805.7;ENSG00000096384.15;ENSG00000035928.10;ENSG00000163904.8;ENSG00000072571.15;ENSG00000149485.12;ENSG00000156110.9;ENSG00000228716.2;ENSG00000187514.10;ENSG00000135069.9;ENSG00000065911.7;ENSG00000123374.6;ENSG00000163946.9;ENSG00000141101.8;ENSG00000070669.12;ENSG00000100116.12;ENSG00000164024.7;ENSG00000133739.11;ENSG00000160208.11;ENSG00000161800.8;ENSG00000181163.9;ENSG00000120699.8;ENSG00000109805.5;ENSG00000198554.7;ENSG00000235823.1;ENSG00000101935.5;ENSG00000125648.10;ENSG00000143627.13;ENSG00000122873.7;ENSG00000111875.7;ENSG00000186687.11;ENSG00000183431.7;ENSG00000145050.11;ENSG00000152078.5;ENSG00000143799.8;ENSG00000176974.13;ENSG00000143815.10;ENSG00000164151.7;ENSG00000145220.9;ENSG00000173409.9;ENSG00000038274.12;ENSG00000146409.6;ENSG00000100526.15;ENSG00000096060.10;ENSG00000075303.8;ENSG00000198585.7;ENSG00000106692.9;ENSG00000166848.5;ENSG00000172660.7;ENSG00000134371.9;ENSG00000244115.1;ENSG00000165650.7;ENSG00000138385.11;ENSG00000166881.5;ENSG00000160200.13
