Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,ASCC1,0.7854777488920313,1.8195936905461307,0.0,0.0,0.0,73/191,7.85%,ENSG00000173402.7;ENSG00000187514.10;ENSG00000113368.7;ENSG00000121579.8;ENSG00000196230.8;ENSG00000099804.4;ENSG00000124181.10;ENSG00000075624.9;ENSG00000125686.7;ENSG00000174748.14;ENSG00000148200.12;ENSG00000079313.7;ENSG00000082641.11;ENSG00000110048.7;ENSG00000179262.5;ENSG00000135476.7;ENSG00000100084.10;ENSG00000150867.9;ENSG00000170113.11;ENSG00000105202.3;ENSG00000130414.7;ENSG00000137770.9;ENSG00000132361.12;ENSG00000177889.5;ENSG00000137200.8;ENSG00000070610.10;ENSG00000177156.6;ENSG00000179632.5;ENSG00000155959.6;ENSG00000166900.10;ENSG00000213281.4;ENSG00000138303.13;ENSG00000141543.5;ENSG00000176871.4;ENSG00000131844.11;ENSG00000144524.13;ENSG00000112651.7;ENSG00000132466.13;ENSG00000172939.4;ENSG00000154978.8;ENSG00000131746.8;ENSG00000082212.7;ENSG00000142657.16;ENSG00000160783.15;ENSG00000113013.8;ENSG00000136045.7;ENSG00000111252.6;ENSG00000070761.3;ENSG00000244687.7;ENSG00000007968.6;ENSG00000174749.5;ENSG00000162073.9;ENSG00000110092.3;ENSG00000130723.13;ENSG00000178952.4;ENSG00000126602.6;ENSG00000138413.9;ENSG00000085377.9;ENSG00000151632.12;ENSG00000064726.5;ENSG00000141905.13;ENSG00000110987.4;ENSG00000215021.4;ENSG00000101849.11;ENSG00000075975.11;ENSG00000234851.3;ENSG00000010256.6;ENSG00000169057.15;ENSG00000062485.14;ENSG00000089063.10;ENSG00000117411.12;ENSG00000064419.9;ENSG00000057757.5
prerank,PPIG,0.7458410095772084,1.7336269346048145,0.0,0.002759559574291943,0.004,68/199,7.43%,ENSG00000131747.10;ENSG00000148773.8;ENSG00000117724.8;ENSG00000066279.12;ENSG00000079819.12;ENSG00000184445.7;ENSG00000138778.7;ENSG00000136824.14;ENSG00000138182.10;ENSG00000072501.13;ENSG00000127603.19;ENSG00000127481.10;ENSG00000118193.7;ENSG00000064393.11;ENSG00000157106.12;ENSG00000196865.4;ENSG00000163428.3;ENSG00000175265.13;ENSG00000115306.11;ENSG00000188206.5;ENSG00000253729.3;ENSG00000116830.7;ENSG00000138336.8;ENSG00000155561.10;ENSG00000196584.2;ENSG00000203668.1;ENSG00000139618.10;ENSG00000072274.8;ENSG00000143815.10;ENSG00000149311.13;ENSG00000118412.8;ENSG00000101596.10;ENSG00000094916.9;ENSG00000101868.6;ENSG00000101639.14;ENSG00000112159.7;ENSG00000145734.14;ENSG00000080345.13;ENSG00000170144.14;ENSG00000115355.11;ENSG00000116127.13;ENSG00000033178.8;ENSG00000167548.10;ENSG00000047188.11;ENSG00000147162.9;ENSG00000118058.16;ENSG00000117523.11;ENSG00000172888.7;ENSG00000105810.5;ENSG00000068654.11;ENSG00000196247.7;ENSG00000136381.8;ENSG00000038219.8;ENSG00000173611.13;ENSG00000162402.8;ENSG00000198862.9;ENSG00000119397.12;ENSG00000153187.12;ENSG00000163939.14;ENSG00000122483.13;ENSG00000132182.7;ENSG00000164323.8;ENSG00000138398.11;ENSG00000273003.1;ENSG00000129003.11;ENSG00000254996.1;ENSG00000255103.1;ENSG00000198707.10
prerank,PES1,0.7401048267640694,1.7218765037768553,0.0,0.0018397063828612954,0.004,84/194,10.32%,ENSG00000059804.11;ENSG00000148773.8;ENSG00000117724.8;ENSG00000066279.12;ENSG00000198695.2;ENSG00000127603.19;ENSG00000127481.10;ENSG00000125885.9;ENSG00000157106.12;ENSG00000197961.7;ENSG00000083857.9;ENSG00000166598.8;ENSG00000089280.14;ENSG00000110395.4;ENSG00000080603.12;ENSG00000187951.6;ENSG00000253729.3;ENSG00000116560.6;ENSG00000198625.8;ENSG00000092853.9;ENSG00000007923.11;ENSG00000196584.2;ENSG00000139618.10;ENSG00000243716.6;ENSG00000198466.8;ENSG00000149639.10;ENSG00000149311.13;ENSG00000213599.5;ENSG00000118412.8;ENSG00000112159.7;ENSG00000145734.14;ENSG00000080345.13;ENSG00000180008.8;ENSG00000185219.11;ENSG00000065526.6;ENSG00000167548.10;ENSG00000185710.5;ENSG00000169203.12;ENSG00000118058.16;ENSG00000117523.11;ENSG00000120694.15;ENSG00000172888.7;ENSG00000068654.11;ENSG00000184787.14;ENSG00000038219.8;ENSG00000196367.8;ENSG00000178295.10;ENSG00000153187.12;ENSG00000120253.9;ENSG00000186638.11;ENSG00000168827.10;ENSG00000103064.9;ENSG00000005100.8;ENSG00000185864.12;ENSG00000120800.4;ENSG00000168807.12;ENSG00000258441.1;ENSG00000148187.13;ENSG00000135316.13;ENSG00000273003.1;ENSG00000090924.10;ENSG00000103550.9;ENSG00000037474.10;ENSG00000162924.9;ENSG00000255103.1;ENSG00000270800.1;ENSG00000234420.3;ENSG00000101109.7;ENSG00000075407.13;ENSG00000133863.2;ENSG00000270804.1;ENSG00000176953.6;ENSG00000183091.15;ENSG00000268205.1;ENSG00000198482.6;ENSG00000146094.9;ENSG00000089682.12;ENSG00000122257.14;ENSG00000007545.11;ENSG00000171316.7;ENSG00000228327.2;ENSG00000196705.4;ENSG00000153201.11;ENSG00000187678.8
prerank,PA2G4,0.7344539802806367,1.6752745755897531,0.0,0.004484284308224407,0.013,75/192,8.61%,ENSG00000059804.11;ENSG00000148773.8;ENSG00000055609.13;ENSG00000066279.12;ENSG00000198695.2;ENSG00000225373.4;ENSG00000064607.12;ENSG00000127603.19;ENSG00000104885.13;ENSG00000198563.9;ENSG00000130513.6;ENSG00000197694.9;ENSG00000114857.13;ENSG00000197961.7;ENSG00000175265.13;ENSG00000188994.8;ENSG00000115306.11;ENSG00000106462.6;ENSG00000162601.5;ENSG00000187951.6;ENSG00000167522.10;ENSG00000198625.8;ENSG00000205746.5;ENSG00000227184.3;ENSG00000245532.4;ENSG00000159433.7;ENSG00000178950.12;ENSG00000072274.8;ENSG00000198466.8;ENSG00000108557.13;ENSG00000131746.8;ENSG00000184863.6;ENSG00000242125.2;ENSG00000169246.12;ENSG00000197147.8;ENSG00000090615.8;ENSG00000161847.9;ENSG00000264112.1;ENSG00000169203.12;ENSG00000118058.16;ENSG00000235373.1;ENSG00000172888.7;ENSG00000184787.14;ENSG00000260528.2;ENSG00000038219.8;ENSG00000171467.11;ENSG00000100813.10;ENSG00000153914.11;ENSG00000102908.16;ENSG00000161010.10;ENSG00000241860.2;ENSG00000272578.1;ENSG00000184465.11;ENSG00000174501.10;ENSG00000185864.12;ENSG00000153933.5;ENSG00000244879.3;ENSG00000197785.9;ENSG00000103326.6;ENSG00000198556.9;ENSG00000131591.13;ENSG00000198055.6;ENSG00000254681.2;ENSG00000215791.2;ENSG00000130254.7;ENSG00000180229.8;ENSG00000270800.1;ENSG00000204149.5;ENSG00000242588.2;ENSG00000134186.7;ENSG00000130810.15;ENSG00000250251.2;ENSG00000272216.1;ENSG00000099326.4;ENSG00000100867.10
prerank,NSUN2,0.7122381026526561,1.6464204944098149,0.0,0.008278678722875828,0.028,56/196,8.09%,ENSG00000059804.11;ENSG00000187514.10;ENSG00000171848.9;ENSG00000117724.8;ENSG00000113368.7;ENSG00000066279.12;ENSG00000057019.11;ENSG00000166326.5;ENSG00000137770.9;ENSG00000177889.5;ENSG00000132646.6;ENSG00000188994.8;ENSG00000198176.8;ENSG00000089280.14;ENSG00000213281.4;ENSG00000198625.8;ENSG00000155561.10;ENSG00000007923.11;ENSG00000196584.2;ENSG00000128050.4;ENSG00000120699.8;ENSG00000072274.8;ENSG00000197451.6;ENSG00000143815.10;ENSG00000131746.8;ENSG00000118412.8;ENSG00000142657.16;ENSG00000070882.8;ENSG00000116133.7;ENSG00000101361.10;ENSG00000143157.7;ENSG00000198756.6;ENSG00000138668.14;ENSG00000074800.9;ENSG00000198862.9;ENSG00000189403.10;ENSG00000178295.10;ENSG00000120833.9;ENSG00000196305.13;ENSG00000168827.10;ENSG00000163714.13;ENSG00000103064.9;ENSG00000198836.4;ENSG00000120800.4;ENSG00000171793.9;ENSG00000118971.3;ENSG00000151576.6;ENSG00000135316.13;ENSG00000174013.7;ENSG00000132603.9;ENSG00000037474.10;ENSG00000092201.5;ENSG00000145604.11;ENSG00000108561.4;ENSG00000134333.9;ENSG00000085276.13
prerank,IGF2BP2,0.7150174176749695,1.6434891239226272,0.0,0.0073588255314451815,0.03,51/193,9.41%,ENSG00000187514.10;ENSG00000117724.8;ENSG00000113368.7;ENSG00000121579.8;ENSG00000066279.12;ENSG00000125686.7;ENSG00000072571.15;ENSG00000132780.12;ENSG00000029993.10;ENSG00000156802.8;ENSG00000228716.2;ENSG00000116560.6;ENSG00000100345.16;ENSG00000176871.4;ENSG00000196584.2;ENSG00000139618.10;ENSG00000072274.8;ENSG00000143815.10;ENSG00000184992.10;ENSG00000213599.5;ENSG00000131746.8;ENSG00000118412.8;ENSG00000094916.9;ENSG00000132405.14;ENSG00000161813.16;ENSG00000129173.8;ENSG00000125304.8;ENSG00000105810.5;ENSG00000196247.7;ENSG00000178295.10;ENSG00000177733.4;ENSG00000196715.5;ENSG00000112144.11;ENSG00000122483.13;ENSG00000198431.11;ENSG00000120800.4;ENSG00000099783.7;ENSG00000180011.6;ENSG00000198000.7;ENSG00000037474.10;ENSG00000254996.1;ENSG00000080824.14;ENSG00000234420.3;ENSG00000085276.13;ENSG00000055044.6;ENSG00000075407.13;ENSG00000133863.2;ENSG00000261326.2;ENSG00000198146.4;ENSG00000198604.6;ENSG00000151835.9
prerank,DDX6,0.711912101011057,1.6251684669644937,0.0,0.011235349695331482,0.052,53/187,9.10%,ENSG00000059804.11;ENSG00000148773.8;ENSG00000117724.8;ENSG00000066279.12;ENSG00000136824.14;ENSG00000072571.15;ENSG00000147874.6;ENSG00000163428.3;ENSG00000115306.11;ENSG00000092853.9;ENSG00000100426.6;ENSG00000138336.8;ENSG00000196584.2;ENSG00000159433.7;ENSG00000139618.10;ENSG00000072274.8;ENSG00000112739.12;ENSG00000184992.10;ENSG00000149311.13;ENSG00000131746.8;ENSG00000118412.8;ENSG00000197299.6;ENSG00000142657.16;ENSG00000101868.6;ENSG00000000460.12;ENSG00000116133.7;ENSG00000122566.16;ENSG00000033867.12;ENSG00000116127.13;ENSG00000155640.5;ENSG00000259758.1;ENSG00000120694.15;ENSG00000101745.11;ENSG00000038219.8;ENSG00000153187.12;ENSG00000085377.9;ENSG00000066084.8;ENSG00000254726.2;ENSG00000101773.12;ENSG00000120800.4;ENSG00000008300.10;ENSG00000148187.13;ENSG00000164323.8;ENSG00000090924.10;ENSG00000092201.5;ENSG00000198707.10;ENSG00000100216.4;ENSG00000134186.7;ENSG00000120526.6;ENSG00000093217.5;ENSG00000133863.2;ENSG00000110693.11;ENSG00000198146.4
prerank,ZC3H8,0.7086019182392667,1.6249387269195075,0.0,0.009830930983415047,0.052,62/194,9.81%,ENSG00000187514.10;ENSG00000117724.8;ENSG00000196230.8;ENSG00000030066.9;ENSG00000148200.12;ENSG00000064393.11;ENSG00000177889.5;ENSG00000143476.13;ENSG00000141522.7;ENSG00000109606.8;ENSG00000147874.6;ENSG00000163428.3;ENSG00000168496.3;ENSG00000115306.11;ENSG00000091651.4;ENSG00000131844.11;ENSG00000007923.11;ENSG00000196584.2;ENSG00000149639.10;ENSG00000143815.10;ENSG00000184992.10;ENSG00000131746.8;ENSG00000118412.8;ENSG00000179051.9;ENSG00000167553.10;ENSG00000164045.7;ENSG00000161813.16;ENSG00000075856.7;ENSG00000117395.6;ENSG00000117523.11;ENSG00000120694.15;ENSG00000178952.4;ENSG00000101104.8;ENSG00000164338.5;ENSG00000120800.4;ENSG00000099783.7;ENSG00000128708.8;ENSG00000198000.7;ENSG00000215021.4;ENSG00000009954.6;ENSG00000151576.6;ENSG00000136937.8;ENSG00000174013.7;ENSG00000120438.7;ENSG00000092201.5;ENSG00000204574.8;ENSG00000148229.8;ENSG00000270800.1;ENSG00000108561.4;ENSG00000080824.14;ENSG00000115233.7;ENSG00000213190.2;ENSG00000006607.9;ENSG00000130810.15;ENSG00000174243.5;ENSG00000133863.2;ENSG00000168439.12;ENSG00000198146.4;ENSG00000172927.3;ENSG00000160208.11;ENSG00000145375.7;ENSG00000105197.6
prerank,NUSAP1,0.7028140466609031,1.6017626590216756,0.0,0.01318456241050595,0.077,66/195,11.15%,ENSG00000066279.12;ENSG00000137804.8;ENSG00000125686.7;ENSG00000057019.11;ENSG00000124207.12;ENSG00000196865.4;ENSG00000159399.5;ENSG00000163428.3;ENSG00000083857.9;ENSG00000198176.8;ENSG00000253729.3;ENSG00000092853.9;ENSG00000138336.8;ENSG00000163507.9;ENSG00000196584.2;ENSG00000126773.8;ENSG00000143815.10;ENSG00000165891.11;ENSG00000149311.13;ENSG00000213599.5;ENSG00000132466.13;ENSG00000131746.8;ENSG00000118412.8;ENSG00000101868.6;ENSG00000161813.16;ENSG00000000460.12;ENSG00000129173.8;ENSG00000046604.8;ENSG00000116127.13;ENSG00000155640.5;ENSG00000120694.15;ENSG00000105810.5;ENSG00000136381.8;ENSG00000163939.14;ENSG00000102908.16;ENSG00000116791.9;ENSG00000168827.10;ENSG00000120800.4;ENSG00000115364.9;ENSG00000164323.8;ENSG00000142892.10;ENSG00000215791.2;ENSG00000162924.9;ENSG00000255103.1;ENSG00000168172.4;ENSG00000134333.9;ENSG00000120526.6;ENSG00000152455.11;ENSG00000165832.4;ENSG00000133863.2;ENSG00000176542.5;ENSG00000137822.8;ENSG00000198146.4;ENSG00000132549.14;ENSG00000181544.9;ENSG00000145375.7;ENSG00000070367.11;ENSG00000213300.4;ENSG00000145736.10;ENSG00000146414.11;ENSG00000257315.1;ENSG00000138780.10;ENSG00000123908.7;ENSG00000197714.4;ENSG00000134987.7;ENSG00000129317.10
prerank,RCC2,0.6927316752719486,1.587747860589592,0.001834862385321101,0.014487687765032701,0.086,46/190,7.65%,ENSG00000059804.11;ENSG00000131747.10;ENSG00000145386.5;ENSG00000117632.16;ENSG00000066279.12;ENSG00000184445.7;ENSG00000138778.7;ENSG00000064393.11;ENSG00000092140.10;ENSG00000198554.7;ENSG00000170540.10;ENSG00000051341.9;ENSG00000253729.3;ENSG00000108671.5;ENSG00000151725.7;ENSG00000099219.9;ENSG00000100749.3;ENSG00000143815.10;ENSG00000094916.9;ENSG00000179051.9;ENSG00000089916.13;ENSG00000080345.13;ENSG00000046604.8;ENSG00000134308.9;ENSG00000047188.11;ENSG00000140262.13;ENSG00000119125.12;ENSG00000138668.14;ENSG00000115904.8;ENSG00000099901.12;ENSG00000198899.2;ENSG00000119397.12;ENSG00000153187.12;ENSG00000112079.8;ENSG00000196305.13;ENSG00000073969.14;ENSG00000176105.9;ENSG00000120800.4;ENSG00000135766.8;ENSG00000168214.16;ENSG00000174013.7;ENSG00000129003.11;ENSG00000037474.10;ENSG00000177189.8;ENSG00000270800.1;ENSG00000080824.14
