Pathway	#Overlap Gene	p-value	FDR	Rank
AARS	15	4.084949298358086e-10	8.047350117765431e-08	1
PNPT1	13	3.4489311622290776e-08	3.397197194795642e-06	2
FXR1	11	2.085554830380581e-06	0.00010271357539624362	3
XRCC5	11	2.085554830380581e-06	0.00010271357539624362	4
XRCC6	10	1.410652277850468e-05	0.0005557969974730844	5
APOBEC3C	9	8.611502379831113e-05	0.0016964659688267292	6
DDX55	9	8.611502379831113e-05	0.0016964659688267292	7
G3BP2	9	8.611502379831113e-05	0.0016964659688267292	8
PABPC1	9	8.611502379831113e-05	0.0016964659688267292	9
PRPF8	9	8.611502379831113e-05	0.0016964659688267292	10
ATP5C1	8	0.0004702775639069078	0.004411651432840992	11
CCAR2	8	0.0004702775639069078	0.004411651432840992	12
DNAJC21	8	0.0004702775639069078	0.004411651432840992	13
EIF2S2	8	0.0004702775639069078	0.004411651432840992	14
HNRNPM	8	0.0004702775639069078	0.004411651432840992	15
HSPD1	8	0.0004702775639069078	0.004411651432840992	16
LARP4	8	0.0004702775639069078	0.004411651432840992	17
NAA15	8	0.0004702775639069078	0.004411651432840992	18
NOL12	8	0.0004702775639069078	0.004411651432840992	19
SSRP1	8	0.0004702775639069078	0.004411651432840992	20
UPF2	8	0.0004702775639069078	0.004411651432840992	21
CELF1	7	0.002273136306726944	0.0111951963106302	22
EIF3D	7	0.002273136306726944	0.0111951963106302	23
EIF4B	7	0.002273136306726944	0.0111951963106302	24
EIF4G2	7	0.002273136306726944	0.0111951963106302	25
ESF1	7	0.002273136306726944	0.0111951963106302	26
FKBP4	7	0.002273136306726944	0.0111951963106302	27
HNRNPAB	7	0.002273136306726944	0.0111951963106302	28
LSM11	7	0.002273136306726944	0.0111951963106302	29
MSI2	7	0.002273136306726944	0.0111951963106302	30
PTBP1	7	0.002273136306726944	0.0111951963106302	31
PUM2	7	0.002273136306726944	0.0111951963106302	32
RAVER1	7	0.002273136306726944	0.0111951963106302	33
SAFB2	7	0.002273136306726944	0.0111951963106302	34
SND1	7	0.002273136306726944	0.0111951963106302	35
STAU1	7	0.002273136306726944	0.0111951963106302	36
STIP1	7	0.002273136306726944	0.0111951963106302	37
TAF15	7	0.002273136306726944	0.0111951963106302	38
TFIP11	7	0.002273136306726944	0.0111951963106302	39
U2AF1	7	0.002273136306726944	0.0111951963106302	40
CSTF2T	6	0.009599824709169404	0.03260630116735125	41
DDX1	6	0.009599824709169404	0.03260630116735125	42
DDX47	6	0.009599824709169404	0.03260630116735125	43
GRWD1	6	0.009599824709169404	0.03260630116735125	44
LARP7	6	0.009599824709169404	0.03260630116735125	45
MAGOH	6	0.009599824709169404	0.03260630116735125	46
NPM1	6	0.009599824709169404	0.03260630116735125	47
