Pathway	#Overlap Gene	p-value	FDR	Rank
DDX47	12	2.803644224366207e-07	2.7615895610007142e-05	1
HNRNPK	12	2.803644224366207e-07	2.7615895610007142e-05	2
ESF1	11	2.085554830380581e-06	0.00010271357539624362	3
PUM1	11	2.085554830380581e-06	0.00010271357539624362	4
AATF	10	1.410652277850468e-05	0.00034737312342067775	5
HNRNPC	10	1.410652277850468e-05	0.00034737312342067775	6
NAA15	10	1.410652277850468e-05	0.00034737312342067775	7
PPIL4	10	1.410652277850468e-05	0.00034737312342067775	8
AARS	9	8.611502379831113e-05	0.0012117614063048064	9
EIF4G2	9	8.611502379831113e-05	0.0012117614063048064	10
PNPT1	9	8.611502379831113e-05	0.0012117614063048064	11
RPS19	9	8.611502379831113e-05	0.0012117614063048064	12
SND1	9	8.611502379831113e-05	0.0012117614063048064	13
XRCC6	9	8.611502379831113e-05	0.0012117614063048064	14
ABCF1	8	0.0004702775639069078	0.0037057872035864336	15
BUD13	8	0.0004702775639069078	0.0037057872035864336	16
CPSF7	8	0.0004702775639069078	0.0037057872035864336	17
DDX27	8	0.0004702775639069078	0.0037057872035864336	18
EIF4B	8	0.0004702775639069078	0.0037057872035864336	19
HSPD1	8	0.0004702775639069078	0.0037057872035864336	20
NOL12	8	0.0004702775639069078	0.0037057872035864336	21
SF3B4	8	0.0004702775639069078	0.0037057872035864336	22
SUGP2	8	0.0004702775639069078	0.0037057872035864336	23
UPF1	8	0.0004702775639069078	0.0037057872035864336	24
UTP3	8	0.0004702775639069078	0.0037057872035864336	25
APOBEC3C	7	0.002273136306726944	0.0111951963106302	26
DDX19B	7	0.002273136306726944	0.0111951963106302	27
DDX55	7	0.002273136306726944	0.0111951963106302	28
DNAJC21	7	0.002273136306726944	0.0111951963106302	29
EIF2S2	7	0.002273136306726944	0.0111951963106302	30
EIF3G	7	0.002273136306726944	0.0111951963106302	31
FKBP4	7	0.002273136306726944	0.0111951963106302	32
FTO	7	0.002273136306726944	0.0111951963106302	33
HNRNPL	7	0.002273136306726944	0.0111951963106302	34
NCBP2	7	0.002273136306726944	0.0111951963106302	35
PCBP2	7	0.002273136306726944	0.0111951963106302	36
PRPF8	7	0.002273136306726944	0.0111951963106302	37
PTBP1	7	0.002273136306726944	0.0111951963106302	38
SF3A3	7	0.002273136306726944	0.0111951963106302	39
XPO5	7	0.002273136306726944	0.0111951963106302	40
DAZAP1	6	0.009599824709169404	0.037081675837379854	41
DNAJC2	6	0.009599824709169404	0.037081675837379854	42
EFTUD2	6	0.009599824709169404	0.037081675837379854	43
HNRNPAB	6	0.009599824709169404	0.037081675837379854	44
PKM	6	0.009599824709169404	0.037081675837379854	45
PUS1	6	0.009599824709169404	0.037081675837379854	46
RBM22	6	0.009599824709169404	0.037081675837379854	47
SFPQ	6	0.009599824709169404	0.037081675837379854	48
SRSF1	6	0.009599824709169404	0.037081675837379854	49
SUPV3L1	6	0.009599824709169404	0.037081675837379854	50
XRN2	6	0.009599824709169404	0.037081675837379854	51
BCLAF1	5	0.03485912489141245	0.09407188498093497	52
BOP1	5	0.03485912489141245	0.09407188498093497	53
CCAR2	5	0.03485912489141245	0.09407188498093497	54
DDX1	5	0.03485912489141245	0.09407188498093497	55
EEF2	5	0.03485912489141245	0.09407188498093497	56
FMR1	5	0.03485912489141245	0.09407188498093497	57
FXR1	5	0.03485912489141245	0.09407188498093497	58
G3BP2	5	0.03485912489141245	0.09407188498093497	59
GRWD1	5	0.03485912489141245	0.09407188498093497	60
HNRNPM	5	0.03485912489141245	0.09407188498093497	61
KIF1C	5	0.03485912489141245	0.09407188498093497	62
LARP4	5	0.03485912489141245	0.09407188498093497	63
NPM1	5	0.03485912489141245	0.09407188498093497	64
PABPC1	5	0.03485912489141245	0.09407188498093497	65
PCBP1	5	0.03485912489141245	0.09407188498093497	66
PUM2	5	0.03485912489141245	0.09407188498093497	67
SART3	5	0.03485912489141245	0.09407188498093497	68
SF1	5	0.03485912489141245	0.09407188498093497	69
SF3B1	5	0.03485912489141245	0.09407188498093497	70
SNRNP200	5	0.03485912489141245	0.09407188498093497	71
SRFBP1	5	0.03485912489141245	0.09407188498093497	72
STAU1	5	0.03485912489141245	0.09407188498093497	73
CNOT7	4	0.10668664342296795	0.21667287375592462	74
DDX6	4	0.10668664342296795	0.21667287375592462	75
DKC1	4	0.10668664342296795	0.21667287375592462	76
EIF3D	4	0.10668664342296795	0.21667287375592462	77
EIF4A3	4	0.10668664342296795	0.21667287375592462	78
EIF4G1	4	0.10668664342296795	0.21667287375592462	79
FAM120A	4	0.10668664342296795	0.21667287375592462	80
FUS	4	0.10668664342296795	0.21667287375592462	81
GEMIN5	4	0.10668664342296795	0.21667287375592462	82
HNRNPU	4	0.10668664342296795	0.21667287375592462	83
IGF2BP3	4	0.10668664342296795	0.21667287375592462	84
KRR1	4	0.10668664342296795	0.21667287375592462	85
LARP7	4	0.10668664342296795	0.21667287375592462	86
MAGOH	4	0.10668664342296795	0.21667287375592462	87
NONO	4	0.10668664342296795	0.21667287375592462	88
NSUN2	4	0.10668664342296795	0.21667287375592462	89
NUFIP2	4	0.10668664342296795	0.21667287375592462	90
PUF60	4	0.10668664342296795	0.21667287375592462	91
RBM17	4	0.10668664342296795	0.21667287375592462	92
RBM39	4	0.10668664342296795	0.21667287375592462	93
RPS3A	4	0.10668664342296795	0.21667287375592462	94
RTF1	4	0.10668664342296795	0.21667287375592462	95
SERBP1	4	0.10668664342296795	0.21667287375592462	96
SSRP1	4	0.10668664342296795	0.21667287375592462	97
AGO1	3	0.26842395150706017	0.40060241247644585	98
AKAP1	3	0.26842395150706017	0.40060241247644585	99
AKAP8	3	0.26842395150706017	0.40060241247644585	100
ATP5C1	3	0.26842395150706017	0.40060241247644585	101
BCCIP	3	0.26842395150706017	0.40060241247644585	102
CELF1	3	0.26842395150706017	0.40060241247644585	103
CIRBP	3	0.26842395150706017	0.40060241247644585	104
CKAP4	3	0.26842395150706017	0.40060241247644585	105
CPSF6	3	0.26842395150706017	0.40060241247644585	106
EIF2S1	3	0.26842395150706017	0.40060241247644585	107
EXOSC9	3	0.26842395150706017	0.40060241247644585	108
FIP1L1	3	0.26842395150706017	0.40060241247644585	109
FUBP3	3	0.26842395150706017	0.40060241247644585	110
G3BP1	3	0.26842395150706017	0.40060241247644585	111
HLTF	3	0.26842395150706017	0.40060241247644585	112
HNRNPA2B1	3	0.26842395150706017	0.40060241247644585	113
KHDRBS1	3	0.26842395150706017	0.40060241247644585	114
LIN28B	3	0.26842395150706017	0.40060241247644585	115
MSI2	3	0.26842395150706017	0.40060241247644585	116
PABPC4	3	0.26842395150706017	0.40060241247644585	117
PHF6	3	0.26842395150706017	0.40060241247644585	118
PPIG	3	0.26842395150706017	0.40060241247644585	119
PRPF6	3	0.26842395150706017	0.40060241247644585	120
RAVER1	3	0.26842395150706017	0.40060241247644585	121
SAFB2	3	0.26842395150706017	0.40060241247644585	122
SLTM	3	0.26842395150706017	0.40060241247644585	123
SRSF5	3	0.26842395150706017	0.40060241247644585	124
SSB	3	0.26842395150706017	0.40060241247644585	125
SUPT6H	3	0.26842395150706017	0.40060241247644585	126
TFIP11	3	0.26842395150706017	0.40060241247644585	127
TIAL1	3	0.26842395150706017	0.40060241247644585	128
U2AF1	3	0.26842395150706017	0.40060241247644585	129
UPF2	3	0.26842395150706017	0.40060241247644585	130
XRCC5	3	0.26842395150706017	0.40060241247644585	131
YBX3	3	0.26842395150706017	0.40060241247644585	132
AKAP8L	2	0.5388029867385493	0.6355939424400852	133
ASCC1	2	0.5388029867385493	0.6355939424400852	134
CCAR1	2	0.5388029867385493	0.6355939424400852	135
CSTF2	2	0.5388029867385493	0.6355939424400852	136
DDX28	2	0.5388029867385493	0.6355939424400852	137
DDX3X	2	0.5388029867385493	0.6355939424400852	138
DHX30	2	0.5388029867385493	0.6355939424400852	139
EWSR1	2	0.5388029867385493	0.6355939424400852	140
FASTKD2	2	0.5388029867385493	0.6355939424400852	141
GRSF1	2	0.5388029867385493	0.6355939424400852	142
HNRNPA1	2	0.5388029867385493	0.6355939424400852	143
HNRNPUL1	2	0.5388029867385493	0.6355939424400852	144
IGF2BP2	2	0.5388029867385493	0.6355939424400852	145
LSM11	2	0.5388029867385493	0.6355939424400852	146
MATR3	2	0.5388029867385493	0.6355939424400852	147
MTPAP	2	0.5388029867385493	0.6355939424400852	148
NELFE	2	0.5388029867385493	0.6355939424400852	149
NUSAP1	2	0.5388029867385493	0.6355939424400852	150
PARN	2	0.5388029867385493	0.6355939424400852	151
QKI	2	0.5388029867385493	0.6355939424400852	152
RBFOX2	2	0.5388029867385493	0.6355939424400852	153
RBM15	2	0.5388029867385493	0.6355939424400852	154
RECQL	2	0.5388029867385493	0.6355939424400852	155
SLBP	2	0.5388029867385493	0.6355939424400852	156
SRP68	2	0.5388029867385493	0.6355939424400852	157
SUCLG1	2	0.5388029867385493	0.6355939424400852	158
TIA1	2	0.5388029867385493	0.6355939424400852	159
TRA2A	2	0.5388029867385493	0.6355939424400852	160
TROVE2	2	0.5388029867385493	0.6355939424400852	161
TUFM	2	0.5388029867385493	0.6355939424400852	162
U2AF2	2	0.5388029867385493	0.6355939424400852	163
UBE2L3	2	0.5388029867385493	0.6355939424400852	164
UCHL5	2	0.5388029867385493	0.6355939424400852	165
UTP18	2	0.5388029867385493	0.6355939424400852	166
ZRANB2	2	0.5388029867385493	0.6355939424400852	167
ADAR	1	0.8371000006842522	0.8771739368872217	168
CSTF2T	1	0.8371000006842522	0.8771739368872217	169
DDX24	1	0.8371000006842522	0.8771739368872217	170
DDX52	1	0.8371000006842522	0.8771739368872217	171
GPKOW	1	0.8371000006842522	0.8771739368872217	172
HNRNPA0	1	0.8371000006842522	0.8771739368872217	173
ILF2	1	0.8371000006842522	0.8771739368872217	174
KHSRP	1	0.8371000006842522	0.8771739368872217	175
METAP2	1	0.8371000006842522	0.8771739368872217	176
PA2G4	1	0.8371000006842522	0.8771739368872217	177
PES1	1	0.8371000006842522	0.8771739368872217	178
PSIP1	1	0.8371000006842522	0.8771739368872217	179
RBM25	1	0.8371000006842522	0.8771739368872217	180
RCC2	1	0.8371000006842522	0.8771739368872217	181
RPS10	1	0.8371000006842522	0.8771739368872217	182
RRP9	1	0.8371000006842522	0.8771739368872217	183
SBDS	1	0.8371000006842522	0.8771739368872217	184
SMNDC1	1	0.8371000006842522	0.8771739368872217	185
STIP1	1	0.8371000006842522	0.8771739368872217	186
SUB1	1	0.8371000006842522	0.8771739368872217	187
TARDBP	1	0.8371000006842522	0.8771739368872217	188
AUH	0	1.0	1.0	189
GTF2F1	0	1.0	1.0	190
ILF3	0	1.0	1.0	191
RBM34	0	1.0	1.0	192
SMN1	0	1.0	1.0	193
TAF15	0	1.0	1.0	194
TBRG4	0	1.0	1.0	195
TRIM56	0	1.0	1.0	196
ZC3H8	0	1.0	1.0	197
