Pathway	#Overlap Gene	p-value	FDR	Rank
RPS19	15	4.084949298358086e-10	8.047350117765431e-08	1
EIF3G	14	3.903765964623507e-09	3.8452094751541547e-07	2
HNRNPM	11	2.085554830380581e-06	0.00013695143386165815	3
EEF2	10	1.410652277850468e-05	0.00039699785533791736	4
EIF4G2	10	1.410652277850468e-05	0.00039699785533791736	5
HNRNPA1	10	1.410652277850468e-05	0.00039699785533791736	6
XRCC5	10	1.410652277850468e-05	0.00039699785533791736	7
AKAP1	9	8.611502379831113e-05	0.001542241789842481	8
APOBEC3C	9	8.611502379831113e-05	0.001542241789842481	9
DDX47	9	8.611502379831113e-05	0.001542241789842481	10
GRSF1	9	8.611502379831113e-05	0.001542241789842481	11
ABCF1	8	0.0004702775639069078	0.005146926671647825	12
DAZAP1	8	0.0004702775639069078	0.005146926671647825	13
PRPF6	8	0.0004702775639069078	0.005146926671647825	14
PRPF8	8	0.0004702775639069078	0.005146926671647825	15
PUF60	8	0.0004702775639069078	0.005146926671647825	16
RBM17	8	0.0004702775639069078	0.005146926671647825	17
RRP9	8	0.0004702775639069078	0.005146926671647825	18
CELF1	7	0.002273136306726944	0.014926928414173597	19
CSTF2T	7	0.002273136306726944	0.014926928414173597	20
EIF4A3	7	0.002273136306726944	0.014926928414173597	21
FIP1L1	7	0.002273136306726944	0.014926928414173597	22
HNRNPL	7	0.002273136306726944	0.014926928414173597	23
ILF2	7	0.002273136306726944	0.014926928414173597	24
MATR3	7	0.002273136306726944	0.014926928414173597	25
PNPT1	7	0.002273136306726944	0.014926928414173597	26
RECQL	7	0.002273136306726944	0.014926928414173597	27
RPS10	7	0.002273136306726944	0.014926928414173597	28
SAFB2	7	0.002273136306726944	0.014926928414173597	29
SFPQ	7	0.002273136306726944	0.014926928414173597	30
AUH	6	0.009599824709169404	0.048491422248881345	31
FTO	6	0.009599824709169404	0.048491422248881345	32
FXR1	6	0.009599824709169404	0.048491422248881345	33
G3BP2	6	0.009599824709169404	0.048491422248881345	34
HNRNPAB	6	0.009599824709169404	0.048491422248881345	35
HSPD1	6	0.009599824709169404	0.048491422248881345	36
PABPC1	6	0.009599824709169404	0.048491422248881345	37
SF3B4	6	0.009599824709169404	0.048491422248881345	38
XRCC6	6	0.009599824709169404	0.048491422248881345	39
ATP5C1	5	0.03485912489141245	0.09810353719440361	40
BCCIP	5	0.03485912489141245	0.09810353719440361	41
BOP1	5	0.03485912489141245	0.09810353719440361	42
CKAP4	5	0.03485912489141245	0.09810353719440361	43
DDX3X	5	0.03485912489141245	0.09810353719440361	44
DNAJC2	5	0.03485912489141245	0.09810353719440361	45
DNAJC21	5	0.03485912489141245	0.09810353719440361	46
EIF3D	5	0.03485912489141245	0.09810353719440361	47
EWSR1	5	0.03485912489141245	0.09810353719440361	48
GRWD1	5	0.03485912489141245	0.09810353719440361	49
