Pathway	#Overlap Gene	p-value	FDR	Rank
ADAR	20	1.798267916526862e-15	3.5425877955579183e-13	1
DKC1	11	2.085554830380581e-06	0.00020542715079248724	2
CELF1	10	1.410652277850468e-05	0.0006947462468413555	3
PNPT1	10	1.410652277850468e-05	0.0006947462468413555	4
CPSF7	9	8.611502379831113e-05	0.001542241789842481	5
G3BP2	9	8.611502379831113e-05	0.001542241789842481	6
HNRNPA1	9	8.611502379831113e-05	0.001542241789842481	7
HNRNPAB	9	8.611502379831113e-05	0.001542241789842481	8
HNRNPM	9	8.611502379831113e-05	0.001542241789842481	9
RBM17	9	8.611502379831113e-05	0.001542241789842481	10
UPF2	9	8.611502379831113e-05	0.001542241789842481	11
DAZAP1	8	0.0004702775639069078	0.004876035794192675	12
DDX28	8	0.0004702775639069078	0.004876035794192675	13
FKBP4	8	0.0004702775639069078	0.004876035794192675	14
FXR1	8	0.0004702775639069078	0.004876035794192675	15
GRSF1	8	0.0004702775639069078	0.004876035794192675	16
NOL12	8	0.0004702775639069078	0.004876035794192675	17
SLTM	8	0.0004702775639069078	0.004876035794192675	18
SND1	8	0.0004702775639069078	0.004876035794192675	19
AARS	7	0.002273136306726944	0.01178441716908442	20
AKAP1	7	0.002273136306726944	0.01178441716908442	21
BCCIP	7	0.002273136306726944	0.01178441716908442	22
EIF3D	7	0.002273136306726944	0.01178441716908442	23
HSPD1	7	0.002273136306726944	0.01178441716908442	24
ILF2	7	0.002273136306726944	0.01178441716908442	25
KIF1C	7	0.002273136306726944	0.01178441716908442	26
LSM11	7	0.002273136306726944	0.01178441716908442	27
MATR3	7	0.002273136306726944	0.01178441716908442	28
NSUN2	7	0.002273136306726944	0.01178441716908442	29
PUS1	7	0.002273136306726944	0.01178441716908442	30
RBM39	7	0.002273136306726944	0.01178441716908442	31
RRP9	7	0.002273136306726944	0.01178441716908442	32
SERBP1	7	0.002273136306726944	0.01178441716908442	33
SSB	7	0.002273136306726944	0.01178441716908442	34
