Pathway	#Overlap Gene	p-value	FDR	Rank
DDX3X	22	8.384941331187986e-18	1.6518334422440334e-15	1
EIF3D	17	3.591966005267652e-12	2.3587243434590913e-10	2
KRR1	17	3.591966005267652e-12	2.3587243434590913e-10	3
AGO1	16	3.9682910683354356e-11	1.5635066809241616e-09	4
EIF3G	16	3.9682910683354356e-11	1.5635066809241616e-09	5
CIRBP	14	3.903765964623507e-09	1.0986312786154727e-07	6
U2AF2	14	3.903765964623507e-09	1.0986312786154727e-07	7
BUD13	13	3.4489311622290776e-08	5.661995324659402e-07	8
DDX24	13	3.4489311622290776e-08	5.661995324659402e-07	9
DDX47	13	3.4489311622290776e-08	5.661995324659402e-07	10
PCBP2	13	3.4489311622290776e-08	5.661995324659402e-07	11
SMNDC1	13	3.4489311622290776e-08	5.661995324659402e-07	12
AKAP8L	12	2.803644224366207e-07	2.9069363800007516e-06	13
ATP5C1	12	2.803644224366207e-07	2.9069363800007516e-06	14
EIF4A3	12	2.803644224366207e-07	2.9069363800007516e-06	15
IGF2BP3	12	2.803644224366207e-07	2.9069363800007516e-06	16
NAA15	12	2.803644224366207e-07	2.9069363800007516e-06	17
SRSF5	12	2.803644224366207e-07	2.9069363800007516e-06	18
ZRANB2	12	2.803644224366207e-07	2.9069363800007516e-06	19
ESF1	11	2.085554830380581e-06	1.5216825984628684e-05	20
HNRNPC	11	2.085554830380581e-06	1.5216825984628684e-05	21
MAGOH	11	2.085554830380581e-06	1.5216825984628684e-05	22
RBM15	11	2.085554830380581e-06	1.5216825984628684e-05	23
RPS19	11	2.085554830380581e-06	1.5216825984628684e-05	24
SF3B4	11	2.085554830380581e-06	1.5216825984628684e-05	25
SNRNP200	11	2.085554830380581e-06	1.5216825984628684e-05	26
TRIM56	11	2.085554830380581e-06	1.5216825984628684e-05	27
FUS	10	1.410652277850468e-05	9.582706852984214e-05	28
NONO	10	1.410652277850468e-05	9.582706852984214e-05	29
EFTUD2	9	8.611502379831113e-05	0.0004137721875187144	30
GPKOW	9	8.611502379831113e-05	0.0004137721875187144	31
HLTF	9	8.611502379831113e-05	0.0004137721875187144	32
HNRNPK	9	8.611502379831113e-05	0.0004137721875187144	33
HSPD1	9	8.611502379831113e-05	0.0004137721875187144	34
KHDRBS1	9	8.611502379831113e-05	0.0004137721875187144	35
LARP4	9	8.611502379831113e-05	0.0004137721875187144	36
RCC2	9	8.611502379831113e-05	0.0004137721875187144	37
RTF1	9	8.611502379831113e-05	0.0004137721875187144	38
SLBP	9	8.611502379831113e-05	0.0004137721875187144	39
XPO5	9	8.611502379831113e-05	0.0004137721875187144	40
ZC3H8	9	8.611502379831113e-05	0.0004137721875187144	41
DKC1	8	0.0004702775639069078	0.0018528936017932168	42
HNRNPU	8	0.0004702775639069078	0.0018528936017932168	43
KIF1C	8	0.0004702775639069078	0.0018528936017932168	44
PABPC4	8	0.0004702775639069078	0.0018528936017932168	45
RAVER1	8	0.0004702775639069078	0.0018528936017932168	46
RBM39	8	0.0004702775639069078	0.0018528936017932168	47
STAU1	8	0.0004702775639069078	0.0018528936017932168	48
TIAL1	8	0.0004702775639069078	0.0018528936017932168	49
YBX3	8	0.0004702775639069078	0.0018528936017932168	50
AUH	7	0.002273136306726944	0.007341112334839475	51
DDX27	7	0.002273136306726944	0.007341112334839475	52
EIF2S1	7	0.002273136306726944	0.007341112334839475	53
FASTKD2	7	0.002273136306726944	0.007341112334839475	54
FUBP3	7	0.002273136306726944	0.007341112334839475	55
G3BP1	7	0.002273136306726944	0.007341112334839475	56
HNRNPAB	7	0.002273136306726944	0.007341112334839475	57
NSUN2	7	0.002273136306726944	0.007341112334839475	58
PUS1	7	0.002273136306726944	0.007341112334839475	59
RPS3A	7	0.002273136306726944	0.007341112334839475	60
SND1	7	0.002273136306726944	0.007341112334839475	61
ASCC1	6	0.009599824709169404	0.0217375341115675	62
CCAR1	6	0.009599824709169404	0.0217375341115675	63
CCAR2	6	0.009599824709169404	0.0217375341115675	64
CKAP4	6	0.009599824709169404	0.0217375341115675	65
CSTF2T	6	0.009599824709169404	0.0217375341115675	66
DDX6	6	0.009599824709169404	0.0217375341115675	67
FIP1L1	6	0.009599824709169404	0.0217375341115675	68
GRSF1	6	0.009599824709169404	0.0217375341115675	69
HNRNPA2B1	6	0.009599824709169404	0.0217375341115675	70
IGF2BP2	6	0.009599824709169404	0.0217375341115675	71
LARP7	6	0.009599824709169404	0.0217375341115675	72
NCBP2	6	0.009599824709169404	0.0217375341115675	73
PCBP1	6	0.009599824709169404	0.0217375341115675	74
PES1	6	0.009599824709169404	0.0217375341115675	75
PPIG	6	0.009599824709169404	0.0217375341115675	76
PPIL4	6	0.009599824709169404	0.0217375341115675	77
PTBP1	6	0.009599824709169404	0.0217375341115675	78
PUF60	6	0.009599824709169404	0.0217375341115675	79
SRFBP1	6	0.009599824709169404	0.0217375341115675	80
SRSF1	6	0.009599824709169404	0.0217375341115675	81
SUCLG1	6	0.009599824709169404	0.0217375341115675	82
SUPV3L1	6	0.009599824709169404	0.0217375341115675	83
TIA1	6	0.009599824709169404	0.0217375341115675	84
UCHL5	6	0.009599824709169404	0.0217375341115675	85
UPF1	6	0.009599824709169404	0.0217375341115675	86
UTP18	6	0.009599824709169404	0.0217375341115675	87
AKAP8	5	0.03485912489141245	0.06603122695777165	88
EEF2	5	0.03485912489141245	0.06603122695777165	89
EIF4G2	5	0.03485912489141245	0.06603122695777165	90
EXOSC9	5	0.03485912489141245	0.06603122695777165	91
FMR1	5	0.03485912489141245	0.06603122695777165	92
G3BP2	5	0.03485912489141245	0.06603122695777165	93
HNRNPA0	5	0.03485912489141245	0.06603122695777165	94
HNRNPUL1	5	0.03485912489141245	0.06603122695777165	95
NUSAP1	5	0.03485912489141245	0.06603122695777165	96
RBM25	5	0.03485912489141245	0.06603122695777165	97
SART3	5	0.03485912489141245	0.06603122695777165	98
SBDS	5	0.03485912489141245	0.06603122695777165	99
SF3A3	5	0.03485912489141245	0.06603122695777165	100
SF3B1	5	0.03485912489141245	0.06603122695777165	101
TARDBP	5	0.03485912489141245	0.06603122695777165	102
TROVE2	5	0.03485912489141245	0.06603122695777165	103
TUFM	5	0.03485912489141245	0.06603122695777165	104
AKAP1	4	0.10668664342296795	0.16549030515216287	105
BOP1	4	0.10668664342296795	0.16549030515216287	106
DDX19B	4	0.10668664342296795	0.16549030515216287	107
DDX28	4	0.10668664342296795	0.16549030515216287	108
DHX30	4	0.10668664342296795	0.16549030515216287	109
EIF2S2	4	0.10668664342296795	0.16549030515216287	110
FAM120A	4	0.10668664342296795	0.16549030515216287	111
FKBP4	4	0.10668664342296795	0.16549030515216287	112
FXR1	4	0.10668664342296795	0.16549030515216287	113
GEMIN5	4	0.10668664342296795	0.16549030515216287	114
HNRNPM	4	0.10668664342296795	0.16549030515216287	115
KHSRP	4	0.10668664342296795	0.16549030515216287	116
LSM11	4	0.10668664342296795	0.16549030515216287	117
MSI2	4	0.10668664342296795	0.16549030515216287	118
NELFE	4	0.10668664342296795	0.16549030515216287	119
NOL12	4	0.10668664342296795	0.16549030515216287	120
PUM2	4	0.10668664342296795	0.16549030515216287	121
RBFOX2	4	0.10668664342296795	0.16549030515216287	122
RPS10	4	0.10668664342296795	0.16549030515216287	123
SF1	4	0.10668664342296795	0.16549030515216287	124
SUB1	4	0.10668664342296795	0.16549030515216287	125
TBRG4	4	0.10668664342296795	0.16549030515216287	126
XRN2	4	0.10668664342296795	0.16549030515216287	127
AATF	3	0.26842395150706017	0.3389712720954542	128
BCLAF1	3	0.26842395150706017	0.3389712720954542	129
CNOT7	3	0.26842395150706017	0.3389712720954542	130
CPSF6	3	0.26842395150706017	0.3389712720954542	131
CSTF2	3	0.26842395150706017	0.3389712720954542	132
DDX1	3	0.26842395150706017	0.3389712720954542	133
EIF4B	3	0.26842395150706017	0.3389712720954542	134
FTO	3	0.26842395150706017	0.3389712720954542	135
GRWD1	3	0.26842395150706017	0.3389712720954542	136
HNRNPA1	3	0.26842395150706017	0.3389712720954542	137
LIN28B	3	0.26842395150706017	0.3389712720954542	138
MATR3	3	0.26842395150706017	0.3389712720954542	139
PARN	3	0.26842395150706017	0.3389712720954542	140
PNPT1	3	0.26842395150706017	0.3389712720954542	141
PRPF6	3	0.26842395150706017	0.3389712720954542	142
PSIP1	3	0.26842395150706017	0.3389712720954542	143
PUM1	3	0.26842395150706017	0.3389712720954542	144
QKI	3	0.26842395150706017	0.3389712720954542	145
RBM22	3	0.26842395150706017	0.3389712720954542	146
RBM34	3	0.26842395150706017	0.3389712720954542	147
SFPQ	3	0.26842395150706017	0.3389712720954542	148
SMN1	3	0.26842395150706017	0.3389712720954542	149
SSB	3	0.26842395150706017	0.3389712720954542	150
TAF15	3	0.26842395150706017	0.3389712720954542	151
U2AF1	3	0.26842395150706017	0.3389712720954542	152
UPF2	3	0.26842395150706017	0.3389712720954542	153
UTP3	3	0.26842395150706017	0.3389712720954542	154
XRCC5	3	0.26842395150706017	0.3389712720954542	155
XRCC6	3	0.26842395150706017	0.3389712720954542	156
ABCF1	2	0.5388029867385493	0.596315665098282	157
CELF1	2	0.5388029867385493	0.596315665098282	158
DAZAP1	2	0.5388029867385493	0.596315665098282	159
DNAJC21	2	0.5388029867385493	0.596315665098282	160
EIF4G1	2	0.5388029867385493	0.596315665098282	161
EWSR1	2	0.5388029867385493	0.596315665098282	162
GTF2F1	2	0.5388029867385493	0.596315665098282	163
HNRNPL	2	0.5388029867385493	0.596315665098282	164
ILF2	2	0.5388029867385493	0.596315665098282	165
ILF3	2	0.5388029867385493	0.596315665098282	166
METAP2	2	0.5388029867385493	0.596315665098282	167
PA2G4	2	0.5388029867385493	0.596315665098282	168
PKM	2	0.5388029867385493	0.596315665098282	169
PRPF8	2	0.5388029867385493	0.596315665098282	170
RBM17	2	0.5388029867385493	0.596315665098282	171
RECQL	2	0.5388029867385493	0.596315665098282	172
SERBP1	2	0.5388029867385493	0.596315665098282	173
SRP68	2	0.5388029867385493	0.596315665098282	174
STIP1	2	0.5388029867385493	0.596315665098282	175
SUGP2	2	0.5388029867385493	0.596315665098282	176
TRA2A	2	0.5388029867385493	0.596315665098282	177
UBE2L3	2	0.5388029867385493	0.596315665098282	178
ADAR	1	0.8371000006842522	0.8771739368872217	179
DDX52	1	0.8371000006842522	0.8771739368872217	180
DNAJC2	1	0.8371000006842522	0.8771739368872217	181
MTPAP	1	0.8371000006842522	0.8771739368872217	182
NPM1	1	0.8371000006842522	0.8771739368872217	183
NUFIP2	1	0.8371000006842522	0.8771739368872217	184
PABPC1	1	0.8371000006842522	0.8771739368872217	185
PHF6	1	0.8371000006842522	0.8771739368872217	186
SSRP1	1	0.8371000006842522	0.8771739368872217	187
TFIP11	1	0.8371000006842522	0.8771739368872217	188
AARS	0	1.0	1.0	189
APOBEC3C	0	1.0	1.0	190
BCCIP	0	1.0	1.0	191
CPSF7	0	1.0	1.0	192
DDX55	0	1.0	1.0	193
RRP9	0	1.0	1.0	194
SAFB2	0	1.0	1.0	195
SLTM	0	1.0	1.0	196
SUPT6H	0	1.0	1.0	197
