Pathway	#Overlap Gene	p-value	FDR	Rank
DKC1	13	3.636600652734918e-08	7.1641032858877885e-06	1
SSB	12	2.942574119422434e-07	1.9322903384207314e-05	2
UPF2	12	2.942574119422434e-07	1.9322903384207314e-05	2
NELFE	11	2.1788334569544838e-06	0.00010730754775500834	4
AUH	10	1.4669866128482743e-05	0.00024083030227592503	8
DDX19B	10	1.4669866128482743e-05	0.00024083030227592503	8
DDX24	10	1.4669866128482743e-05	0.00024083030227592503	8
EEF2	10	1.4669866128482743e-05	0.00024083030227592503	8
LIN28B	10	1.4669866128482743e-05	0.00024083030227592503	8
NSUN2	10	1.4669866128482743e-05	0.00024083030227592503	8
PUF60	10	1.4669866128482743e-05	0.00024083030227592503	8
SLBP	10	1.4669866128482743e-05	0.00024083030227592503	8
ABCF1	9	8.914492208594295e-05	0.000878077482546538	16
EIF3G	9	8.914492208594295e-05	0.000878077482546538	16
EIF4G2	9	8.914492208594295e-05	0.000878077482546538	16
FAM120A	9	8.914492208594295e-05	0.000878077482546538	16
HNRNPA1	9	8.914492208594295e-05	0.000878077482546538	16
PCBP2	9	8.914492208594295e-05	0.000878077482546538	16
RPS10	9	8.914492208594295e-05	0.000878077482546538	16
SAFB2	9	8.914492208594295e-05	0.000878077482546538	16
AKAP1	8	0.0004846118329928675	0.0022730602642760693	31
BCCIP	8	0.0004846118329928675	0.0022730602642760693	31
CELF1	8	0.0004846118329928675	0.0022730602642760693	31
DAZAP1	8	0.0004846118329928675	0.0022730602642760693	31
DDX27	8	0.0004846118329928675	0.0022730602642760693	31
EIF2S2	8	0.0004846118329928675	0.0022730602642760693	31
ESF1	8	0.0004846118329928675	0.0022730602642760693	31
FASTKD2	8	0.0004846118329928675	0.0022730602642760693	31
FTO	8	0.0004846118329928675	0.0022730602642760693	31
G3BP2	8	0.0004846118329928675	0.0022730602642760693	31
HNRNPA2B1	8	0.0004846118329928675	0.0022730602642760693	31
HNRNPL	8	0.0004846118329928675	0.0022730602642760693	31
HNRNPUL1	8	0.0004846118329928675	0.0022730602642760693	31
ILF3	8	0.0004846118329928675	0.0022730602642760693	31
PRPF6	8	0.0004846118329928675	0.0022730602642760693	31
RBM39	8	0.0004846118329928675	0.0022730602642760693	31
RRP9	8	0.0004846118329928675	0.0022730602642760693	31
TRIM56	8	0.0004846118329928675	0.0022730602642760693	31
UPF1	8	0.0004846118329928675	0.0022730602642760693	31
UTP18	8	0.0004846118329928675	0.0022730602642760693	31
XPO5	8	0.0004846118329928675	0.0022730602642760693	31
XRN2	8	0.0004846118329928675	0.0022730602642760693	31
ADAR	7	0.0023318581688010096	0.00805922910971577	50
CKAP4	7	0.0023318581688010096	0.00805922910971577	50
CSTF2	7	0.0023318581688010096	0.00805922910971577	50
DNAJC2	7	0.0023318581688010096	0.00805922910971577	50
