Pathway	#Overlap Gene	p-value	FDR	Rank
AKAP8L	30	5.59899260897648e-28	1.1030015439683667e-25	1
NAA15	22	9.21869771031068e-18	9.080417244656021e-16	2
DDX47	19	2.6143135660170873e-14	1.7167325750178873e-12	3
BCLAF1	18	3.280025441970037e-13	1.2923300241361946e-11	4
CPSF7	18	3.280025441970037e-13	1.2923300241361946e-11	4
EIF2S1	17	3.858321743526721e-12	1.08584197639252e-10	6
FAM120A	17	3.858321743526721e-12	1.08584197639252e-10	6
ILF3	16	4.242801832207332e-11	1.0447899511810556e-09	8
DNAJC2	15	4.347311363746956e-10	6.117288133272502e-09	11
PCBP2	15	4.347311363746956e-10	6.117288133272502e-09	11
RBM25	15	4.347311363746956e-10	6.117288133272502e-09	11
SND1	15	4.347311363746956e-10	6.117288133272502e-09	11
SNRNP200	15	4.347311363746956e-10	6.117288133272502e-09	11
TARDBP	15	4.347311363746956e-10	6.117288133272502e-09	11
DDX3X	14	4.1352803196702444e-09	4.287632752500201e-08	17
DNAJC21	14	4.1352803196702444e-09	4.287632752500201e-08	17
KIF1C	14	4.1352803196702444e-09	4.287632752500201e-08	17
MSI2	14	4.1352803196702444e-09	4.287632752500201e-08	17
SERBP1	14	4.1352803196702444e-09	4.287632752500201e-08	17
DDX55	13	3.636600652734918e-08	2.9850430357865784e-07	22
SLBP	13	3.636600652734918e-08	2.9850430357865784e-07	22
SLTM	13	3.636600652734918e-08	2.9850430357865784e-07	22
U2AF2	13	3.636600652734918e-08	2.9850430357865784e-07	22
UPF1	13	3.636600652734918e-08	2.9850430357865784e-07	22
AGO1	12	2.942574119422434e-07	1.9322903384207314e-06	27
CKAP4	12	2.942574119422434e-07	1.9322903384207314e-06	27
HNRNPA0	12	2.942574119422434e-07	1.9322903384207314e-06	27
SMNDC1	12	2.942574119422434e-07	1.9322903384207314e-06	27
SUPT6H	12	2.942574119422434e-07	1.9322903384207314e-06	27
TFIP11	12	2.942574119422434e-07	1.9322903384207314e-06	27
BOP1	11	2.1788334569544838e-06	1.1600815973514413e-05	34
CCAR2	11	2.1788334569544838e-06	1.1600815973514413e-05	34
DDX6	11	2.1788334569544838e-06	1.1600815973514413e-05	34
IGF2BP2	11	2.1788334569544838e-06	1.1600815973514413e-05	34
PABPC4	11	2.1788334569544838e-06	1.1600815973514413e-05	34
RBM34	11	2.1788334569544838e-06	1.1600815973514413e-05	34
TIA1	11	2.1788334569544838e-06	1.1600815973514413e-05	34
ATP5C1	10	1.4669866128482743e-05	6.020757556898126e-05	43
BUD13	10	1.4669866128482743e-05	6.020757556898126e-05	43
EIF4G2	10	1.4669866128482743e-05	6.020757556898126e-05	43
G3BP1	10	1.4669866128482743e-05	6.020757556898126e-05	43
NUSAP1	10	1.4669866128482743e-05	6.020757556898126e-05	43
PPIG	10	1.4669866128482743e-05	6.020757556898126e-05	43
RBM39	10	1.4669866128482743e-05	6.020757556898126e-05	43
RRP9	10	1.4669866128482743e-05	6.020757556898126e-05	43
TRIM56	10	1.4669866128482743e-05	6.020757556898126e-05	43
UPF2	10	1.4669866128482743e-05	6.020757556898126e-05	43
XPO5	10	1.4669866128482743e-05	6.020757556898126e-05	43
AUH	9	8.914492208594295e-05	0.0002976533839140807	54
CELF1	9	8.914492208594295e-05	0.0002976533839140807	54
FASTKD2	9	8.914492208594295e-05	0.0002976533839140807	54
KHSRP	9	8.914492208594295e-05	0.0002976533839140807	54
MTPAP	9	8.914492208594295e-05	0.0002976533839140807	54
NCBP2	9	8.914492208594295e-05	0.0002976533839140807	54
PHF6	9	8.914492208594295e-05	0.0002976533839140807	54
PPIL4	9	8.914492208594295e-05	0.0002976533839140807	54
RBM15	9	8.914492208594295e-05	0.0002976533839140807	54
SF3B4	9	8.914492208594295e-05	0.0002976533839140807	54
SUPV3L1	9	8.914492208594295e-05	0.0002976533839140807	54
AKAP8	8	0.0004846118329928675	0.001424903449247685	63
ASCC1	8	0.0004846118329928675	0.001424903449247685	63
HNRNPC	8	0.0004846118329928675	0.001424903449247685	63
NONO	8	0.0004846118329928675	0.001424903449247685	63
PKM	8	0.0004846118329928675	0.001424903449247685	63
RPS10	8	0.0004846118329928675	0.001424903449247685	63
SRFBP1	8	0.0004846118329928675	0.001424903449247685	63
TIAL1	8	0.0004846118329928675	0.001424903449247685	63
APOBEC3C	7	0.0023318581688010096	0.005104178436153321	79
CNOT7	7	0.0023318581688010096	0.005104178436153321	79
CPSF6	7	0.0023318581688010096	0.005104178436153321	79
DAZAP1	7	0.0023318581688010096	0.005104178436153321	79
DDX52	7	0.0023318581688010096	0.005104178436153321	79
EIF3D	7	0.0023318581688010096	0.005104178436153321	79
FUS	7	0.0023318581688010096	0.005104178436153321	79
HNRNPU	7	0.0023318581688010096	0.005104178436153321	79
HSPD1	7	0.0023318581688010096	0.005104178436153321	79
ILF2	7	0.0023318581688010096	0.005104178436153321	79
METAP2	7	0.0023318581688010096	0.005104178436153321	79
PABPC1	7	0.0023318581688010096	0.005104178436153321	79
PRPF8	7	0.0023318581688010096	0.005104178436153321	79
PUF60	7	0.0023318581688010096	0.005104178436153321	79
PUS1	7	0.0023318581688010096	0.005104178436153321	79
RPS19	7	0.0023318581688010096	0.005104178436153321	79
SAFB2	7	0.0023318581688010096	0.005104178436153321	79
STAU1	7	0.0023318581688010096	0.005104178436153321	79
STIP1	7	0.0023318581688010096	0.005104178436153321	79
SUGP2	7	0.0023318581688010096	0.005104178436153321	79
U2AF1	7	0.0023318581688010096	0.005104178436153321	79
YBX3	7	0.0023318581688010096	0.005104178436153321	79
ZC3H8	7	0.0023318581688010096	0.005104178436153321	79
CIRBP	6	0.009803890084469217	0.018751129579033358	97
DDX1	6	0.009803890084469217	0.018751129579033358	97
FKBP4	6	0.009803890084469217	0.018751129579033358	97
GPKOW	6	0.009803890084469217	0.018751129579033358	97
GTF2F1	6	0.009803890084469217	0.018751129579033358	97
HNRNPAB	6	0.009803890084469217	0.018751129579033358	97
HNRNPL	6	0.009803890084469217	0.018751129579033358	97
LARP4	6	0.009803890084469217	0.018751129579033358	97
LIN28B	6	0.009803890084469217	0.018751129579033358	97
PCBP1	6	0.009803890084469217	0.018751129579033358	97
RBM22	6	0.009803890084469217	0.018751129579033358	97
SUB1	6	0.009803890084469217	0.018751129579033358	97
UCHL5	6	0.009803890084469217	0.018751129579033358	97
DDX24	5	0.03544401285686154	0.05770636803968367	112
EFTUD2	5	0.03544401285686154	0.05770636803968367	112
FIP1L1	5	0.03544401285686154	0.05770636803968367	112
HNRNPA2B1	5	0.03544401285686154	0.05770636803968367	112
KHDRBS1	5	0.03544401285686154	0.05770636803968367	112
LARP7	5	0.03544401285686154	0.05770636803968367	112
NUFIP2	5	0.03544401285686154	0.05770636803968367	112
PA2G4	5	0.03544401285686154	0.05770636803968367	112
PES1	5	0.03544401285686154	0.05770636803968367	112
PUM1	5	0.03544401285686154	0.05770636803968367	112
QKI	5	0.03544401285686154	0.05770636803968367	112
RPS3A	5	0.03544401285686154	0.05770636803968367	112
SMN1	5	0.03544401285686154	0.05770636803968367	112
SRSF5	5	0.03544401285686154	0.05770636803968367	112
SSB	5	0.03544401285686154	0.05770636803968367	112
TROVE2	5	0.03544401285686154	0.05770636803968367	112
TUFM	5	0.03544401285686154	0.05770636803968367	112
XRN2	5	0.03544401285686154	0.05770636803968367	112
AARS	4	0.10801405005600295	0.14675012317953504	133
ABCF1	4	0.10801405005600295	0.14675012317953504	133
ADAR	4	0.10801405005600295	0.14675012317953504	133
BCCIP	4	0.10801405005600295	0.14675012317953504	133
CCAR1	4	0.10801405005600295	0.14675012317953504	133
DDX28	4	0.10801405005600295	0.14675012317953504	133
DHX30	4	0.10801405005600295	0.14675012317953504	133
EEF2	4	0.10801405005600295	0.14675012317953504	133
EIF2S2	4	0.10801405005600295	0.14675012317953504	133
EIF4A3	4	0.10801405005600295	0.14675012317953504	133
EIF4G1	4	0.10801405005600295	0.14675012317953504	133
EXOSC9	4	0.10801405005600295	0.14675012317953504	133
FXR1	4	0.10801405005600295	0.14675012317953504	133
GEMIN5	4	0.10801405005600295	0.14675012317953504	133
HNRNPA1	4	0.10801405005600295	0.14675012317953504	133
HNRNPM	4	0.10801405005600295	0.14675012317953504	133
NPM1	4	0.10801405005600295	0.14675012317953504	133
PRPF6	4	0.10801405005600295	0.14675012317953504	133
PUM2	4	0.10801405005600295	0.14675012317953504	133
SBDS	4	0.10801405005600295	0.14675012317953504	133
SF3B1	4	0.10801405005600295	0.14675012317953504	133
SFPQ	4	0.10801405005600295	0.14675012317953504	133
UBE2L3	4	0.10801405005600295	0.14675012317953504	133
UTP18	4	0.10801405005600295	0.14675012317953504	133
AKAP1	3	0.2706603907393836	0.3396184520742584	151
DDX19B	3	0.2706603907393836	0.3396184520742584	151
EIF4B	3	0.2706603907393836	0.3396184520742584	151
G3BP2	3	0.2706603907393836	0.3396184520742584	151
HNRNPUL1	3	0.2706603907393836	0.3396184520742584	151
KRR1	3	0.2706603907393836	0.3396184520742584	151
MATR3	3	0.2706603907393836	0.3396184520742584	151
PSIP1	3	0.2706603907393836	0.3396184520742584	151
PTBP1	3	0.2706603907393836	0.3396184520742584	151
RBFOX2	3	0.2706603907393836	0.3396184520742584	151
RCC2	3	0.2706603907393836	0.3396184520742584	151
SRP68	3	0.2706603907393836	0.3396184520742584	151
AATF	2	0.5412895636671029	0.5924113557912182	169
DDX27	2	0.5412895636671029	0.5924113557912182	169
DKC1	2	0.5412895636671029	0.5924113557912182	169
EIF3G	2	0.5412895636671029	0.5924113557912182	169
ESF1	2	0.5412895636671029	0.5924113557912182	169
EWSR1	2	0.5412895636671029	0.5924113557912182	169
FMR1	2	0.5412895636671029	0.5924113557912182	169
FTO	2	0.5412895636671029	0.5924113557912182	169
FUBP3	2	0.5412895636671029	0.5924113557912182	169
GRSF1	2	0.5412895636671029	0.5924113557912182	169
HNRNPK	2	0.5412895636671029	0.5924113557912182	169
MAGOH	2	0.5412895636671029	0.5924113557912182	169
NELFE	2	0.5412895636671029	0.5924113557912182	169
PNPT1	2	0.5412895636671029	0.5924113557912182	169
RBM17	2	0.5412895636671029	0.5924113557912182	169
SART3	2	0.5412895636671029	0.5924113557912182	169
SF1	2	0.5412895636671029	0.5924113557912182	169
SSRP1	2	0.5412895636671029	0.5924113557912182	169
TRA2A	2	0.5412895636671029	0.5924113557912182	169
UTP3	2	0.5412895636671029	0.5924113557912182	169
XRCC5	2	0.5412895636671029	0.5924113557912182	169
XRCC6	2	0.5412895636671029	0.5924113557912182	169
ZRANB2	2	0.5412895636671029	0.5924113557912182	169
CSTF2	1	0.8384684281890796	0.8603035435065035	186
CSTF2T	1	0.8384684281890796	0.8603035435065035	186
GRWD1	1	0.8384684281890796	0.8603035435065035	186
IGF2BP3	1	0.8384684281890796	0.8603035435065035	186
LSM11	1	0.8384684281890796	0.8603035435065035	186
NOL12	1	0.8384684281890796	0.8603035435065035	186
NSUN2	1	0.8384684281890796	0.8603035435065035	186
PARN	1	0.8384684281890796	0.8603035435065035	186
SF3A3	1	0.8384684281890796	0.8603035435065035	186
SRSF1	1	0.8384684281890796	0.8603035435065035	186
TAF15	1	0.8384684281890796	0.8603035435065035	186
TBRG4	1	0.8384684281890796	0.8603035435065035	186
HLTF	0	1.0	1.0	195
RAVER1	0	1.0	1.0	195
RECQL	0	1.0	1.0	195
RTF1	0	1.0	1.0	195
SUCLG1	0	1.0	1.0	195
