Pathway	#Overlap Gene	p-value	FDR	Rank
EIF3G	20	1.798267916526862e-15	3.5425877955579183e-13	1
EIF3D	18	3.039432319473211e-13	2.993840834681113e-11	2
DDX47	17	3.591966005267652e-12	1.7690432575943187e-10	3
EIF4A3	17	3.591966005267652e-12	1.7690432575943187e-10	4
XRCC6	16	3.9682910683354356e-11	1.5635066809241616e-09	5
DDX3X	14	3.903765964623507e-09	1.0986312786154727e-07	6
RPS19	14	3.903765964623507e-09	1.0986312786154727e-07	7
PTBP1	12	2.803644224366207e-07	6.9039739025017856e-06	8
AUH	11	2.085554830380581e-06	3.7350391053179496e-05	9
CSTF2T	11	2.085554830380581e-06	3.7350391053179496e-05	10
MAGOH	11	2.085554830380581e-06	3.7350391053179496e-05	11
CKAP4	10	1.410652277850468e-05	0.00015438805485363456	12
GRSF1	10	1.410652277850468e-05	0.00015438805485363456	13
NELFE	10	1.410652277850468e-05	0.00015438805485363456	14
PPIG	10	1.410652277850468e-05	0.00015438805485363456	15
PRPF6	10	1.410652277850468e-05	0.00015438805485363456	16
RAVER1	10	1.410652277850468e-05	0.00015438805485363456	17
RTF1	10	1.410652277850468e-05	0.00015438805485363456	18
APOBEC3C	9	8.611502379831113e-05	0.0006785863875306917	19
DDX24	9	8.611502379831113e-05	0.0006785863875306917	20
DDX55	9	8.611502379831113e-05	0.0006785863875306917	21
DNAJC21	9	8.611502379831113e-05	0.0006785863875306917	22
NONO	9	8.611502379831113e-05	0.0006785863875306917	23
TFIP11	9	8.611502379831113e-05	0.0006785863875306917	24
YBX3	9	8.611502379831113e-05	0.0006785863875306917	25
DDX27	8	0.0004702775639069078	0.002205825716420496	26
EEF2	8	0.0004702775639069078	0.002205825716420496	27
EIF4G2	8	0.0004702775639069078	0.002205825716420496	28
HNRNPC	8	0.0004702775639069078	0.002205825716420496	29
HNRNPL	8	0.0004702775639069078	0.002205825716420496	30
HSPD1	8	0.0004702775639069078	0.002205825716420496	31
IGF2BP3	8	0.0004702775639069078	0.002205825716420496	32
LARP4	8	0.0004702775639069078	0.002205825716420496	33
MSI2	8	0.0004702775639069078	0.002205825716420496	34
NOL12	8	0.0004702775639069078	0.002205825716420496	35
PABPC1	8	0.0004702775639069078	0.002205825716420496	36
SMN1	8	0.0004702775639069078	0.002205825716420496	37
TRIM56	8	0.0004702775639069078	0.002205825716420496	38
TROVE2	8	0.0004702775639069078	0.002205825716420496	39
U2AF2	8	0.0004702775639069078	0.002205825716420496	40
XRCC5	8	0.0004702775639069078	0.002205825716420496	41
XRN2	8	0.0004702775639069078	0.002205825716420496	42
ABCF1	7	0.002273136306726944	0.007856278112722947	43
AKAP8L	7	0.002273136306726944	0.007856278112722947	44
CCAR2	7	0.002273136306726944	0.007856278112722947	45
CIRBP	7	0.002273136306726944	0.007856278112722947	46
DDX52	7	0.002273136306726944	0.007856278112722947	47
HNRNPAB	7	0.002273136306726944	0.007856278112722947	48
KRR1	7	0.002273136306726944	0.007856278112722947	49
PES1	7	0.002273136306726944	0.007856278112722947	50
PNPT1	7	0.002273136306726944	0.007856278112722947	51
PUM2	7	0.002273136306726944	0.007856278112722947	52
SAFB2	7	0.002273136306726944	0.007856278112722947	53
SF3A3	7	0.002273136306726944	0.007856278112722947	54
SRSF1	7	0.002273136306726944	0.007856278112722947	55
SUCLG1	7	0.002273136306726944	0.007856278112722947	56
TAF15	7	0.002273136306726944	0.007856278112722947	57
AKAP8	6	0.009599824709169404	0.02278512611694425	58
BCLAF1	6	0.009599824709169404	0.02278512611694425	59
BUD13	6	0.009599824709169404	0.02278512611694425	60
CNOT7	6	0.009599824709169404	0.02278512611694425	61
DDX6	6	0.009599824709169404	0.02278512611694425	62
EIF4G1	6	0.009599824709169404	0.02278512611694425	63
FKBP4	6	0.009599824709169404	0.02278512611694425	64
FXR1	6	0.009599824709169404	0.02278512611694425	65
GRWD1	6	0.009599824709169404	0.02278512611694425	66
HNRNPA1	6	0.009599824709169404	0.02278512611694425	67
HNRNPA2B1	6	0.009599824709169404	0.02278512611694425	68
HNRNPM	6	0.009599824709169404	0.02278512611694425	69
NCBP2	6	0.009599824709169404	0.02278512611694425	70
PA2G4	6	0.009599824709169404	0.02278512611694425	71
PKM	6	0.009599824709169404	0.02278512611694425	72
PRPF8	6	0.009599824709169404	0.02278512611694425	73
RBM15	6	0.009599824709169404	0.02278512611694425	74
RBM22	6	0.009599824709169404	0.02278512611694425	75
RPS10	6	0.009599824709169404	0.02278512611694425	76
SRFBP1	6	0.009599824709169404	0.02278512611694425	77
SRSF5	6	0.009599824709169404	0.02278512611694425	78
STAU1	6	0.009599824709169404	0.02278512611694425	79
TBRG4	6	0.009599824709169404	0.02278512611694425	80
TIAL1	6	0.009599824709169404	0.02278512611694425	81
UPF1	6	0.009599824709169404	0.02278512611694425	82
UTP3	6	0.009599824709169404	0.02278512611694425	83
AARS	5	0.03485912489141245	0.06186709552800227	84
CELF1	5	0.03485912489141245	0.06186709552800227	85
CSTF2	5	0.03485912489141245	0.06186709552800227	86
DDX1	5	0.03485912489141245	0.06186709552800227	87
DHX30	5	0.03485912489141245	0.06186709552800227	88
DKC1	5	0.03485912489141245	0.06186709552800227	89
EIF2S1	5	0.03485912489141245	0.06186709552800227	90
ESF1	5	0.03485912489141245	0.06186709552800227	91
G3BP1	5	0.03485912489141245	0.06186709552800227	92
HNRNPUL1	5	0.03485912489141245	0.06186709552800227	93
ILF2	5	0.03485912489141245	0.06186709552800227	94
KHDRBS1	5	0.03485912489141245	0.06186709552800227	95
LSM11	5	0.03485912489141245	0.06186709552800227	96
NAA15	5	0.03485912489141245	0.06186709552800227	97
NUFIP2	5	0.03485912489141245	0.06186709552800227	98
NUSAP1	5	0.03485912489141245	0.06186709552800227	99
PABPC4	5	0.03485912489141245	0.06186709552800227	100
PCBP2	5	0.03485912489141245	0.06186709552800227	101
PHF6	5	0.03485912489141245	0.06186709552800227	102
RBM34	5	0.03485912489141245	0.06186709552800227	103
RCC2	5	0.03485912489141245	0.06186709552800227	104
SART3	5	0.03485912489141245	0.06186709552800227	105
SBDS	5	0.03485912489141245	0.06186709552800227	106
SF3B4	5	0.03485912489141245	0.06186709552800227	107
SSRP1	5	0.03485912489141245	0.06186709552800227	108
SUPV3L1	5	0.03485912489141245	0.06186709552800227	109
UBE2L3	5	0.03485912489141245	0.06186709552800227	110
ZC3H8	5	0.03485912489141245	0.06186709552800227	111
DDX28	4	0.10668664342296795	0.15120337233327114	112
FAM120A	4	0.10668664342296795	0.15120337233327114	113
FASTKD2	4	0.10668664342296795	0.15120337233327114	114
GPKOW	4	0.10668664342296795	0.15120337233327114	115
GTF2F1	4	0.10668664342296795	0.15120337233327114	116
HLTF	4	0.10668664342296795	0.15120337233327114	117
HNRNPU	4	0.10668664342296795	0.15120337233327114	118
IGF2BP2	4	0.10668664342296795	0.15120337233327114	119
KHSRP	4	0.10668664342296795	0.15120337233327114	120
KIF1C	4	0.10668664342296795	0.15120337233327114	121
MATR3	4	0.10668664342296795	0.15120337233327114	122
METAP2	4	0.10668664342296795	0.15120337233327114	123
NSUN2	4	0.10668664342296795	0.15120337233327114	124
PCBP1	4	0.10668664342296795	0.15120337233327114	125
PPIL4	4	0.10668664342296795	0.15120337233327114	126
PSIP1	4	0.10668664342296795	0.15120337233327114	127
PUF60	4	0.10668664342296795	0.15120337233327114	128
RBFOX2	4	0.10668664342296795	0.15120337233327114	129
RBM39	4	0.10668664342296795	0.15120337233327114	130
RECQL	4	0.10668664342296795	0.15120337233327114	131
RPS3A	4	0.10668664342296795	0.15120337233327114	132
SF1	4	0.10668664342296795	0.15120337233327114	133
SFPQ	4	0.10668664342296795	0.15120337233327114	134
SUB1	4	0.10668664342296795	0.15120337233327114	135
TARDBP	4	0.10668664342296795	0.15120337233327114	136
TUFM	4	0.10668664342296795	0.15120337233327114	137
UCHL5	4	0.10668664342296795	0.15120337233327114	138
UTP18	4	0.10668664342296795	0.15120337233327114	139
AATF	3	0.26842395150706017	0.31664382303527455	140
ADAR	3	0.26842395150706017	0.31664382303527455	141
AGO1	3	0.26842395150706017	0.31664382303527455	142
AKAP1	3	0.26842395150706017	0.31664382303527455	143
ASCC1	3	0.26842395150706017	0.31664382303527455	144
ATP5C1	3	0.26842395150706017	0.31664382303527455	145
CCAR1	3	0.26842395150706017	0.31664382303527455	146
DAZAP1	3	0.26842395150706017	0.31664382303527455	147
DNAJC2	3	0.26842395150706017	0.31664382303527455	148
EFTUD2	3	0.26842395150706017	0.31664382303527455	149
EXOSC9	3	0.26842395150706017	0.31664382303527455	150
FIP1L1	3	0.26842395150706017	0.31664382303527455	151
FMR1	3	0.26842395150706017	0.31664382303527455	152
FUS	3	0.26842395150706017	0.31664382303527455	153
G3BP2	3	0.26842395150706017	0.31664382303527455	154
GEMIN5	3	0.26842395150706017	0.31664382303527455	155
HNRNPA0	3	0.26842395150706017	0.31664382303527455	156
MTPAP	3	0.26842395150706017	0.31664382303527455	157
