Pathway	#Overlap Gene	p-value	FDR	Rank
ASCC1	22	9.21869771031068e-18	1.8160834489312042e-15	1
FAM120A	13	3.636600652734918e-08	3.5820516429438942e-06	2
BUD13	12	2.942574119422434e-07	1.4492177538155489e-05	3
SUB1	12	2.942574119422434e-07	1.4492177538155489e-05	3
DDX52	10	1.4669866128482743e-05	0.0004128519467587286	6
ILF3	10	1.4669866128482743e-05	0.0004128519467587286	6
NPM1	10	1.4669866128482743e-05	0.0004128519467587286	6
CPSF7	9	8.914492208594295e-05	0.0013508884346869815	10
HNRNPA0	9	8.914492208594295e-05	0.0013508884346869815	10
KRR1	9	8.914492208594295e-05	0.0013508884346869815	10
NAA15	9	8.914492208594295e-05	0.0013508884346869815	10
TIA1	9	8.914492208594295e-05	0.0013508884346869815	10
ZRANB2	9	8.914492208594295e-05	0.0013508884346869815	10
AUH	8	0.0004846118329928675	0.005303807283310828	16
KHSRP	8	0.0004846118329928675	0.005303807283310828	16
SLBP	8	0.0004846118329928675	0.005303807283310828	16
SLTM	8	0.0004846118329928675	0.005303807283310828	16
SRSF5	8	0.0004846118329928675	0.005303807283310828	16
DDX47	7	0.0023318581688010096	0.016406287830492815	23
EIF4G2	7	0.0023318581688010096	0.016406287830492815	23
IGF2BP2	7	0.0023318581688010096	0.016406287830492815	23
MTPAP	7	0.0023318581688010096	0.016406287830492815	23
NCBP2	7	0.0023318581688010096	0.016406287830492815	23
RPS3A	7	0.0023318581688010096	0.016406287830492815	23
RRP9	7	0.0023318581688010096	0.016406287830492815	23
SUPV3L1	7	0.0023318581688010096	0.016406287830492815	23
TRA2A	7	0.0023318581688010096	0.016406287830492815	23
UPF1	7	0.0023318581688010096	0.016406287830492815	23
AGO1	6	0.009803890084469217	0.03786992836549874	40
BOP1	6	0.009803890084469217	0.03786992836549874	40
CCAR2	6	0.009803890084469217	0.03786992836549874	40
DDX24	6	0.009803890084469217	0.03786992836549874	40
DDX6	6	0.009803890084469217	0.03786992836549874	40
DNAJC21	6	0.009803890084469217	0.03786992836549874	40
EFTUD2	6	0.009803890084469217	0.03786992836549874	40
FKBP4	6	0.009803890084469217	0.03786992836549874	40
G3BP1	6	0.009803890084469217	0.03786992836549874	40
KHDRBS1	6	0.009803890084469217	0.03786992836549874	40
KIF1C	6	0.009803890084469217	0.03786992836549874	40
NUFIP2	6	0.009803890084469217	0.03786992836549874	40
PCBP2	6	0.009803890084469217	0.03786992836549874	40
PRPF8	6	0.009803890084469217	0.03786992836549874	40
SF3B1	6	0.009803890084469217	0.03786992836549874	40
SMNDC1	6	0.009803890084469217	0.03786992836549874	40
SND1	6	0.009803890084469217	0.03786992836549874	40
SRFBP1	6	0.009803890084469217	0.03786992836549874	40
SSRP1	6	0.009803890084469217	0.03786992836549874	40
TAF15	6	0.009803890084469217	0.03786992836549874	40
UBE2L3	6	0.009803890084469217	0.03786992836549874	40
UPF2	6	0.009803890084469217	0.03786992836549874	40
XPO5	6	0.009803890084469217	0.03786992836549874	40
AKAP8L	5	0.03544401285686154	0.08838570294685726	65
ATP5C1	5	0.03544401285686154	0.08838570294685726	65
BCLAF1	5	0.03544401285686154	0.08838570294685726	65
CKAP4	5	0.03544401285686154	0.08838570294685726	65
CPSF6	5	0.03544401285686154	0.08838570294685726	65
EXOSC9	5	0.03544401285686154	0.08838570294685726	65
FASTKD2	5	0.03544401285686154	0.08838570294685726	65
FMR1	5	0.03544401285686154	0.08838570294685726	65
FTO	5	0.03544401285686154	0.08838570294685726	65
NSUN2	5	0.03544401285686154	0.08838570294685726	65
NUSAP1	5	0.03544401285686154	0.08838570294685726	65
PABPC4	5	0.03544401285686154	0.08838570294685726	65
PHF6	5	0.03544401285686154	0.08838570294685726	65
PPIG	5	0.03544401285686154	0.08838570294685726	65
PTBP1	5	0.03544401285686154	0.08838570294685726	65
QKI	5	0.03544401285686154	0.08838570294685726	65
RBM25	5	0.03544401285686154	0.08838570294685726	65
RBM39	5	0.03544401285686154	0.08838570294685726	65
SAFB2	5	0.03544401285686154	0.08838570294685726	65
SART3	5	0.03544401285686154	0.08838570294685726	65
SBDS	5	0.03544401285686154	0.08838570294685726	65
SERBP1	5	0.03544401285686154	0.08838570294685726	65
STIP1	5	0.03544401285686154	0.08838570294685726	65
SUPT6H	5	0.03544401285686154	0.08838570294685726	65
TIAL1	5	0.03544401285686154	0.08838570294685726	65
TROVE2	5	0.03544401285686154	0.08838570294685726	65
TUFM	5	0.03544401285686154	0.08838570294685726	65
U2AF1	5	0.03544401285686154	0.08838570294685726	65
ADAR	4	0.10801405005600295	0.1917006113606539	95
AKAP8	4	0.10801405005600295	0.1917006113606539	95
CNOT7	4	0.10801405005600295	0.1917006113606539	95
DAZAP1	4	0.10801405005600295	0.1917006113606539	95
DDX1	4	0.10801405005600295	0.1917006113606539	95
DDX28	4	0.10801405005600295	0.1917006113606539	95
DHX30	4	0.10801405005600295	0.1917006113606539	95
DNAJC2	4	0.10801405005600295	0.1917006113606539	95
EIF3G	4	0.10801405005600295	0.1917006113606539	95
EIF4G1	4	0.10801405005600295	0.1917006113606539	95
FUBP3	4	0.10801405005600295	0.1917006113606539	95
HNRNPA1	4	0.10801405005600295	0.1917006113606539	95
HNRNPA2B1	4	0.10801405005600295	0.1917006113606539	95
HNRNPC	4	0.10801405005600295	0.1917006113606539	95
HNRNPK	4	0.10801405005600295	0.1917006113606539	95
HNRNPL	4	0.10801405005600295	0.1917006113606539	95
HNRNPUL1	4	0.10801405005600295	0.1917006113606539	95
MATR3	4	0.10801405005600295	0.1917006113606539	95
NONO	4	0.10801405005600295	0.1917006113606539	95
PA2G4	4	0.10801405005600295	0.1917006113606539	95
PABPC1	4	0.10801405005600295	0.1917006113606539	95
PNPT1	4	0.10801405005600295	0.1917006113606539	95
PPIL4	4	0.10801405005600295	0.1917006113606539	95
PUM2	4	0.10801405005600295	0.1917006113606539	95
RBM15	4	0.10801405005600295	0.1917006113606539	95
RBM34	4	0.10801405005600295	0.1917006113606539	95
SRP68	4	0.10801405005600295	0.1917006113606539	95
TARDBP	4	0.10801405005600295	0.1917006113606539	95
TFIP11	4	0.10801405005600295	0.1917006113606539	95
U2AF2	4	0.10801405005600295	0.1917006113606539	95
UCHL5	4	0.10801405005600295	0.1917006113606539	95
ZC3H8	4	0.10801405005600295	0.1917006113606539	95
AARS	3	0.2706603907393836	0.3754936406736518	127
APOBEC3C	3	0.2706603907393836	0.3754936406736518	127
CELF1	3	0.2706603907393836	0.3754936406736518	127
CSTF2T	3	0.2706603907393836	0.3754936406736518	127
DDX19B	3	0.2706603907393836	0.3754936406736518	127
DDX27	3	0.2706603907393836	0.3754936406736518	127
DDX3X	3	0.2706603907393836	0.3754936406736518	127
DKC1	3	0.2706603907393836	0.3754936406736518	127
EIF2S1	3	0.2706603907393836	0.3754936406736518	127
GRWD1	3	0.2706603907393836	0.3754936406736518	127
HNRNPU	3	0.2706603907393836	0.3754936406736518	127
MAGOH	3	0.2706603907393836	0.3754936406736518	127
MSI2	3	0.2706603907393836	0.3754936406736518	127
NOL12	3	0.2706603907393836	0.3754936406736518	127
PARN	3	0.2706603907393836	0.3754936406736518	127
PKM	3	0.2706603907393836	0.3754936406736518	127
PSIP1	3	0.2706603907393836	0.3754936406736518	127
PUS1	3	0.2706603907393836	0.3754936406736518	127
RCC2	3	0.2706603907393836	0.3754936406736518	127
RECQL	3	0.2706603907393836	0.3754936406736518	127
RPS10	3	0.2706603907393836	0.3754936406736518	127
RPS19	3	0.2706603907393836	0.3754936406736518	127
RTF1	3	0.2706603907393836	0.3754936406736518	127
SMN1	3	0.2706603907393836	0.3754936406736518	127
SNRNP200	3	0.2706603907393836	0.3754936406736518	127
SSB	3	0.2706603907393836	0.3754936406736518	127
STAU1	3	0.2706603907393836	0.3754936406736518	127
SUCLG1	3	0.2706603907393836	0.3754936406736518	127
TRIM56	3	0.2706603907393836	0.3754936406736518	127
XRCC5	3	0.2706603907393836	0.3754936406736518	127
YBX3	3	0.2706603907393836	0.3754936406736518	127
AATF	2	0.5412895636671029	0.6347264526334481	155
CSTF2	2	0.5412895636671029	0.6347264526334481	155
DDX55	2	0.5412895636671029	0.6347264526334481	155
EEF2	2	0.5412895636671029	0.6347264526334481	155
EIF2S2	2	0.5412895636671029	0.6347264526334481	155
EWSR1	2	0.5412895636671029	0.6347264526334481	155
FUS	2	0.5412895636671029	0.6347264526334481	155
GPKOW	2	0.5412895636671029	0.6347264526334481	155
GRSF1	2	0.5412895636671029	0.6347264526334481	155
GTF2F1	2	0.5412895636671029	0.6347264526334481	155
HLTF	2	0.5412895636671029	0.6347264526334481	155
HNRNPAB	2	0.5412895636671029	0.6347264526334481	155
HSPD1	2	0.5412895636671029	0.6347264526334481	155
IGF2BP3	2	0.5412895636671029	0.6347264526334481	155
LARP4	2	0.5412895636671029	0.6347264526334481	155
LIN28B	2	0.5412895636671029	0.6347264526334481	155
LSM11	2	0.5412895636671029	0.6347264526334481	155
NELFE	2	0.5412895636671029	0.6347264526334481	155
PCBP1	2	0.5412895636671029	0.6347264526334481	155
PRPF6	2	0.5412895636671029	0.6347264526334481	155
PUF60	2	0.5412895636671029	0.6347264526334481	155
SF1	2	0.5412895636671029	0.6347264526334481	155
SF3B4	2	0.5412895636671029	0.6347264526334481	155
SUGP2	2	0.5412895636671029	0.6347264526334481	155
UTP3	2	0.5412895636671029	0.6347264526334481	155
XRN2	2	0.5412895636671029	0.6347264526334481	155
BCCIP	1	0.8384684281890796	0.864807750540569	180
CCAR1	1	0.8384684281890796	0.864807750540569	180
EIF3D	1	0.8384684281890796	0.864807750540569	180
EIF4A3	1	0.8384684281890796	0.864807750540569	180
EIF4B	1	0.8384684281890796	0.864807750540569	180
ESF1	1	0.8384684281890796	0.864807750540569	180
FIP1L1	1	0.8384684281890796	0.864807750540569	180
G3BP2	1	0.8384684281890796	0.864807750540569	180
GEMIN5	1	0.8384684281890796	0.864807750540569	180
HNRNPM	1	0.8384684281890796	0.864807750540569	180
ILF2	1	0.8384684281890796	0.864807750540569	180
LARP7	1	0.8384684281890796	0.864807750540569	180
METAP2	1	0.8384684281890796	0.864807750540569	180
PES1	1	0.8384684281890796	0.864807750540569	180
PUM1	1	0.8384684281890796	0.864807750540569	180
RAVER1	1	0.8384684281890796	0.864807750540569	180
