Pathway	PET rank	PET p-value	PET FDR	Average rank	Enrichr rank	Enrichr p-value	GSEA rank	GSEA p-value	ora rank	ora p-value
AARS	1	3.089559951888581e-17	6.0864331052205056e-15	1.3333333333333333	1.0	4.084949298358086e-10	2	0.0139103554868624	1.0	4.084949298358086e-10
FXR1	2	6.492987708098133e-11	4.2637285949844405e-09	3.5	3.0	2.085554830380581e-06	4	0.026981450252951	3.5	2.085554830380581e-06
XRCC6	3	1.9571056607007723e-09	9.638745378951305e-08	6.333333333333333	6.0	1.410652277850468e-05	8	0.0341463414634146	5.0	1.410652277850468e-05
NAA15	4	1.9036660617471542e-07	6.250370236069823e-06	11.0	16.0	0.0004702775639069078	1	0.0146103896103896	16.0	0.0004702775639069078
APOBEC3C	5	5.756909171639794e-07	1.4176388835162993e-05	13.333333333333334	5.0	8.611502379831113e-05	27	0.1811023622047244	8.0	8.611502379831113e-05
EIF2S2	6	3.226723853531155e-07	9.080922844937677e-06	13.666666666666666	19.0	0.0004702775639069078	6	0.0224719101123595	16.0	0.0004702775639069078
PNPT1	7	2.9415095556676783e-11	2.8973869123326635e-09	13.666666666666666	2.0	3.4489311622290776e-08	37	0.290625	2.0	3.4489311622290776e-08
LARP4	8	2.0226847189091844e-06	4.332842566801422e-05	14.666666666666666	13.0	0.0004702775639069078	15	0.0857142857142857	16.0	0.0004702775639069078
CCAR2	9	8.385352532008067e-06	0.00012387335223460914	18.0	9.0	0.0004702775639069078	29	0.2006319115323854	16.0	0.0004702775639069078
HNRNPM	10	9.392366166059275e-06	0.00012387335223460914	19.666666666666668	12.0	0.0004702775639069078	31	0.2130872483221476	16.0	0.0004702775639069078
PRPF8	11	2.1994124704575746e-06	4.332842566801422e-05	21.0	11.0	8.611502379831113e-05	44	0.3300970873786408	8.0	8.611502379831113e-05
XRCC5	12	5.938148785343196e-08	2.339630621425219e-06	22.5	4.0	2.085554830380581e-06	60	0.5133437990580848	3.5	2.085554830380581e-06
G3BP2	13	4.605099819095925e-06	8.247315130562703e-05	22.666666666666668	10.0	8.611502379831113e-05	50	0.4331723027375201	8.0	8.611502379831113e-05
DNAJC21	14	9.43198113461491e-06	0.00012387335223460914	23.333333333333332	21.0	0.0004702775639069078	33	0.2135593220338983	16.0	0.0004702775639069078
PABPC1	15	5.647203287453653e-06	9.270825396903079e-05	23.333333333333332	8.0	8.611502379831113e-05	54	0.4634146341463415	8.0	8.611502379831113e-05
TFIP11	16	1.3314935654025102e-05	0.0001639401452401841	25.0	32.0	0.002273136306726944	12	0.0547504025764895	31.0	0.002273136306726944
NOL12	17	2.8319419300877078e-05	0.00030994031123737694	27.666666666666668	20.0	0.0004702775639069078	47	0.36	16.0	0.0004702775639069078
UPF2	18	5.8312927418093995e-05	0.0005337833695958987	28.333333333333332	14.0	0.0004702775639069078	55	0.4767441860465116	16.0	0.0004702775639069078
SAFB2	19	9.61533929894865e-05	0.0007576887367571537	28.666666666666668	23.0	0.002273136306726944	32	0.216640502354788	31.0	0.002273136306726944
EIF4B	20	5.961032553862829e-05	0.0005337833695958987	28.666666666666668	29.0	0.002273136306726944	26	0.1612403100775193	31.0	0.002273136306726944
DDX55	21	1.849708180198265e-05	0.0002143485361759166	30.666666666666668	7.0	8.611502379831113e-05	77	0.6434359805510534	8.0	8.611502379831113e-05
EIF4G2	22	9.131704664423469e-05	0.0007495607578714264	31.666666666666668	34.0	0.002273136306726944	30	0.2100977198697068	31.0	0.002273136306726944
U2AF1	23	0.0001752915808573199	0.0011345360183465296	32.666666666666664	28.0	0.002273136306726944	39	0.3027375201288245	31.0	0.002273136306726944
CELF1	24	0.00017853104857229652	0.0011345360183465296	32.666666666666664	27.0	0.002273136306726944	40	0.3056426332288401	31.0	0.002273136306726944
ATP5C1	25	9.116235389337045e-05	0.0007495607578714264	33.0	18.0	0.0004702775639069078	65	0.553125	16.0	0.0004702775639069078
