Pathway	PET rank	PET p-value	PET FDR	Average rank	Enrichr rank	Enrichr p-value	GSEA rank	GSEA p-value	ora rank	ora p-value
HNRNPK	1	2.551558023760865e-13	5.026569306808904e-11	1.5	1.0	2.803644224366207e-07	2	0.0061881188118811	1.5	2.803644224366207e-07
NAA15	2	2.3368910456828006e-11	2.301837679997559e-09	4.5	6.0	1.410652277850468e-05	1	0.0012484394506866	6.5	1.410652277850468e-05
AATF	3	4.375870695079713e-09	1.4367442115511723e-07	5.5	4.0	1.410652277850468e-05	6	0.0559006211180124	6.5	1.410652277850468e-05
PPIL4	4	3.13170051039596e-09	1.2338900010960082e-07	6.166666666666667	8.0	1.410652277850468e-05	4	0.0457433290978398	6.5	1.410652277850468e-05
ESF1	5	5.481475196398301e-10	2.6996265342261633e-08	6.833333333333333	5.0	2.085554830380581e-06	12	0.0883435582822085	3.5	2.085554830380581e-06
DDX47	6	3.5601558940081014e-10	2.3378357037319865e-08	9.5	2.0	2.803644224366207e-07	25	0.2524630541871921	1.5	2.803644224366207e-07
AARS	7	1.155053133070043e-07	2.844318340184981e-06	9.833333333333334	9.0	8.611502379831113e-05	9	0.0741206030150753	11.5	8.611502379831113e-05
PUM1	8	5.7700780159406586e-09	1.6238648130575852e-07	10.833333333333334	3.0	2.085554830380581e-06	26	0.2487562189054726	3.5	2.085554830380581e-06
SND1	9	2.708898154018097e-07	5.336529363415651e-06	12.833333333333334	13.0	8.611502379831113e-05	14	0.1218274111675127	11.5	8.611502379831113e-05
RPS19	10	3.81772800278153e-07	6.837203786799649e-06	14.5	14.0	8.611502379831113e-05	18	0.1466666666666666	11.5	8.611502379831113e-05
EIF4B	11	1.5177457929141872e-06	2.4916326767007905e-05	15.333333333333334	16.0	0.0004702775639069078	10	0.0707196029776675	20.0	0.0004702775639069078
HNRNPC	12	2.269533627008369e-07	4.967756939118319e-06	17.833333333333332	7.0	1.410652277850468e-05	40	0.358282208588957	6.5	1.410652277850468e-05
UPF1	13	4.9319791919631256e-06	6.766794921878776e-05	19.333333333333332	21.0	0.0004702775639069078	17	0.1490683229813664	20.0	0.0004702775639069078
PNPT1	14	5.152381920212266e-06	6.766794921878776e-05	23.166666666666668	10.0	8.611502379831113e-05	48	0.4497487437185929	11.5	8.611502379831113e-05
XRCC6	15	4.57058354984894e-06	6.766794921878776e-05	23.166666666666668	12.0	8.611502379831113e-05	46	0.4320685434516524	11.5	8.611502379831113e-05
SUGP2	16	1.4662651060366683e-05	0.0001657724323850347	23.333333333333332	23.0	0.0004702775639069078	27	0.2669172932330827	20.0	0.0004702775639069078
NCBP2	17	2.9952727747596554e-05	0.0002801115797121449	25.0	29.0	0.002273136306726944	13	0.1009852216748768	33.0	0.002273136306726944
SF3B4	18	1.5146719710307737e-05	0.0001657724323850347	25.333333333333332	26.0	0.0004702775639069078	30	0.2711442786069651	20.0	0.0004702775639069078
BUD13	19	1.8463199305056036e-05	0.00019143422437347576	25.333333333333332	22.0	0.0004702775639069078	34	0.2977667493796526	20.0	0.0004702775639069078
XPO5	20	2.7203613574338856e-05	0.00026795559370723773	25.333333333333332	32.0	0.002273136306726944	11	0.0942211055276382	33.0	0.002273136306726944
CPSF7	21	3.128149621150857e-05	0.0002801115797121449	26.666666666666668	19.0	0.0004702775639069078	41	0.3753117206982543	20.0	0.0004702775639069078
ABCF1	22	4.4280428542539463e-05	0.00037927149664696843	27.666666666666668	18.0	0.0004702775639069078	45	0.4308841843088418	20.0	0.0004702775639069078
DDX55	23	9.94388045042476e-05	0.0006996230174048848	27.666666666666668	27.0	0.002273136306726944	23	0.2209737827715356	33.0	0.002273136306726944
UTP3	24	4.6719277763061735e-05	0.0003834874049717984	28.0	15.0	0.0004702775639069078	49	0.4397076735688185	20.0	0.0004702775639069078
