Pathway	PET rank	PET p-value	PET FDR	Average rank	Enrichr rank	Enrichr p-value	GSEA rank	GSEA p-value	ora rank	ora p-value
RPS19	1	2.130994397101901e-18	4.198058962290745e-17	3.0	1.0	4.084949298358086e-10	7	0.0031055900621118	1.0	4.084949298358086e-10
EIF3G	2	2.8385226863470244e-17	5.08353608373058e-16	4.666666666666667	2.0	3.903765964623507e-09	10	0.0015625	2.0	3.903765964623507e-09
XRCC5	3	0.0	0.0	4.833333333333333	4.0	1.410652277850468e-05	5	0.0	5.5	1.410652277850468e-05
HNRNPM	4	0.0	0.0	5.666666666666667	3.0	2.085554830380581e-06	11	0.0	3.0	2.085554830380581e-06
EIF4G2	5	7.23216143029563e-11	1.0959506167447992e-09	8.166666666666666	7.0	1.410652277850468e-05	12	0.0031746031746031	5.5	1.410652277850468e-05
RBM17	6	0.0	0.0	9.0	11.0	0.0004702775639069078	1	0.0	15.0	0.0004702775639069078
HNRNPA1	7	7.00934013047973e-11	1.0959506167447992e-09	9.166666666666666	9.0	1.410652277850468e-05	13	0.0030959752321981	5.5	1.410652277850468e-05
APOBEC3C	8	2.5367736330080034e-09	3.331629371350511e-08	12.833333333333334	5.0	8.611502379831113e-05	24	0.004524886877828	9.5	8.611502379831113e-05
DDX47	9	1.65378438794087e-09	2.327110888745367e-08	14.5	13.0	8.611502379831113e-05	21	0.0031397174254317	9.5	8.611502379831113e-05
ABCF1	10	8.790554457214293e-08	9.114416989848504e-07	15.333333333333334	15.0	0.0004702775639069078	16	0.0075187969924812	15.0	0.0004702775639069078
SFPQ	11	0.0	0.0	17.166666666666668	25.0	0.002273136306726944	2	0.0	24.5	0.002273136306726944
MATR3	12	3.0824144367545055e-07	2.7601620183665344e-06	17.833333333333332	21.0	0.002273136306726944	8	0.0015337423312883	24.5	0.002273136306726944
PNPT1	13	0.0	0.0	18.833333333333332	26.0	0.002273136306726944	6	0.0	24.5	0.002273136306726944
PUF60	14	1.3492450408845083e-07	1.3290063652712407e-06	19.0	14.0	0.0004702775639069078	28	0.0109204368174727	15.0	0.0004702775639069078
GRSF1	15	1.6478465796226558e-08	1.9095633893274306e-07	19.5	6.0	8.611502379831113e-05	43	0.0198776758409785	9.5	8.611502379831113e-05
CSTF2T	16	6.218789790093321e-07	5.326528646297323e-06	22.166666666666668	27.0	0.002273136306726944	15	0.0032362459546925	24.5	0.002273136306726944
AKAP1	17	3.1302376322144946e-08	3.425871186368086e-07	22.166666666666668	10.0	8.611502379831113e-05	47	0.0314960629921259	9.5	8.611502379831113e-05
FIP1L1	18	1.4387630771336365e-06	1.1337453047813056e-05	22.5	23.0	0.002273136306726944	20	0.0075528700906344	24.5	0.002273136306726944
EIF4A3	19	2.6261108781334996e-06	1.847656582115355e-05	23.5	19.0	0.002273136306726944	27	0.0134328358208955	24.5	0.002273136306726944
RECQL	20	1.1692351401306501e-06	9.597471775239087e-06	23.833333333333332	28.0	0.002273136306726944	19	0.0061538461538461	24.5	0.002273136306726944
PRPF8	21	2.6345994112256456e-07	2.471505161959296e-06	26.333333333333332	18.0	0.0004702775639069078	46	0.0190895741556534	15.0	0.0004702775639069078
EEF2	22	4.352937104098139e-09	5.359553809420834e-08	27.166666666666668	8.0	1.410652277850468e-05	68	0.0557275541795665	5.5	1.410652277850468e-05
HNRNPL	23	3.166535859297266e-06	2.151060566488143e-05	27.833333333333332	22.0	0.002273136306726944	37	0.0159744408945686	24.5	0.002273136306726944
RPS10	24	2.4813790961269927e-06	1.8104877108778428e-05	29.833333333333332	30.0	0.002273136306726944	35	0.0127388535031847	24.5	0.002273136306726944
FXR1	25	1.3264459572376366e-05	8.165932924244201e-05	30.0	33.0	0.009599824709169404	22	0.0047468354430379	35.0	0.009599824709169404
SF3B4	26	3.3323303709813394e-05	0.00017742407650900643	32.333333333333336	39.0	0.009599824709169404	23	0.0130718954248366	35.0	0.009599824709169404
G3BP2	27	2.3991528727500453e-05	0.0001350380331233597	33.0	38.0	0.009599824709169404	26	0.009188361408882	35.0	0.009599824709169404
HSPD1	28	5.509998725327714e-05	0.0002856499339183052	36.666666666666664	36.0	0.009599824709169404	39	0.0219780219780219	35.0	0.009599824709169404
CELF1	29	1.5909579288298113e-05	9.497536726650691e-05	36.833333333333336	24.0	0.002273136306726944	62	0.0629685157421289	24.5	0.002273136306726944
RRP9	30	2.1105967947495883e-06	1.5991829560218034e-05	38.333333333333336	17.0	0.0004702775639069078	83	0.0881410256410256	15.0	0.0004702775639069078
FTO	31	9.825089544693739e-05	0.0004720835708060162	38.666666666666664	32.0	0.009599824709169404	49	0.0386996904024767	35.0	0.009599824709169404
SAFB2	32	2.359746795360212e-05	0.0001350380331233597	39.833333333333336	20.0	0.002273136306726944	75	0.0849056603773584	24.5	0.002273136306726944
HNRNPAB	33	8.914843698093183e-05	0.0004390560521310893	40.0	31.0	0.009599824709169404	54	0.0352760736196319	35.0	0.009599824709169404
XRCC6	34	8.56625004428865e-05	0.00043270545095509333	40.666666666666664	37.0	0.009599824709169404	50	0.0339506172839506	35.0	0.009599824709169404
PARN	35	0.00011507838580060423	0.0005397724286361675	40.666666666666664	58.0	0.03485912489141245	9	0.0029585798816568	55.0	0.03485912489141245
PABPC1	36	0.00012264428384516833	0.0005618819515697247	41.333333333333336	34.0	0.009599824709169404	55	0.0476190476190476	35.0	0.009599824709169404
NONO	37	0.0	0.0	42.666666666666664	69.0	0.03485912489141245	4	0.0	55.0	0.03485912489141245
ATP5C1	38	0.0	0.0	43.0	56.0	0.03485912489141245	18	0.0	55.0	0.03485912489141245
EIF3D	39	0.00027312470290814924	0.001168923410355236	44.333333333333336	48.0	0.03485912489141245	30	0.0091324200913242	55.0	0.03485912489141245
CKAP4	40	0.00027888020450099536	0.001168923410355236	44.333333333333336	47.0	0.03485912489141245	31	0.009375	55.0	0.03485912489141245
ILF2	41	2.7609874228596605e-05	0.00015108736730648698	44.5	29.0	0.002273136306726944	80	0.0952380952380952	24.5	0.002273136306726944
PRPF6	42	5.513010917799188e-06	3.620210502688133e-05	45.0	16.0	0.0004702775639069078	104	0.1589825119236884	15.0	0.0004702775639069078
GRWD1	43	0.00015940998912104362	0.0007137219967464907	45.666666666666664	53.0	0.03485912489141245	29	0.0045662100456621	55.0	0.03485912489141245
AUH	44	0.00016615777333189963	0.0007274018076974273	47.0	35.0	0.009599824709169404	71	0.0626911314984709	35.0	0.009599824709169404
DAZAP1	45	9.604159809705931e-06	6.103288653264737e-05	47.333333333333336	12.0	0.0004702775639069078	115	0.2155963302752293	15.0	0.0004702775639069078
RCC2	46	0.0005135980160851925	0.001986447900775532	49.666666666666664	52.0	0.03485912489141245	42	0.019756838905775	55.0	0.03485912489141245
TBRG4	47	0.000346245029332532	0.0014210473078856002	51.666666666666664	66.0	0.03485912489141245	34	0.0122699386503067	55.0	0.03485912489141245
TROVE2	48	0.00045337831745415535	0.0018227658885401755	52.666666666666664	67.0	0.03485912489141245	36	0.0170278637770897	55.0	0.03485912489141245
BCCIP	49	0.0010657762478842334	0.003961470204399887	53.0	46.0	0.03485912489141245	58	0.0453125	55.0	0.03485912489141245
UTP3	50	0.0014661345630529311	0.005034523750904543	53.0	41.0	0.03485912489141245	63	0.0636363636363636	55.0	0.03485912489141245
UPF2	51	0.0012137364458053067	0.004347383269520826	54.666666666666664	45.0	0.03485912489141245	64	0.0521327014218009	55.0	0.03485912489141245
STIP1	52	0.0005142580859875742	0.001986447900775532	56.333333333333336	70.0	0.03485912489141245	44	0.0197869101978691	55.0	0.03485912489141245
RAVER1	53	0.001482245571332302	0.005034523750904543	56.666666666666664	43.0	0.03485912489141245	72	0.06436420722135	55.0	0.03485912489141245
TIAL1	54	0.0008457895536855824	0.0032042411937703795	59.0	73.0	0.10668664342296795	17	0.001592356687898	87.0	0.10668664342296795
PPIG	55	0.0011756473655008316	0.004288935759327108	60.333333333333336	65.0	0.03485912489141245	61	0.0503816793893129	55.0	0.03485912489141245
RPS3A	56	0.0027543150714457736	0.008347693370381807	61.333333333333336	40.0	0.03485912489141245	89	0.1189710610932476	55.0	0.03485912489141245
PUM2	57	0.0017358767624344232	0.005699462036659689	62.666666666666664	63.0	0.03485912489141245	70	0.0757097791798107	55.0	0.03485912489141245
TFIP11	58	0.001844819532145311	0.005957859800534857	62.666666666666664	59.0	0.03485912489141245	74	0.0805152979066022	55.0	0.03485912489141245
DNAJC21	59	0.0012601950161138633	0.004433186038829126	63.0	68.0	0.03485912489141245	66	0.0542635658914728	55.0	0.03485912489141245
XRN2	60	0.0	0.0	63.0	99.0	0.10668664342296795	3	0.0	87.0	0.10668664342296795
PTBP1	61	0.0017198652216403776	0.005699462036659689	64.66666666666667	57.0	0.03485912489141245	82	0.075	55.0	0.03485912489141245
TAF15	62	0.0019973841797046982	0.006346527151642347	65.33333333333333	84.0	0.10668664342296795	25	0.0062597809076682	87.0	0.10668664342296795
EWSR1	63	0.0031920059199499608	0.009385450242240929	67.0	50.0	0.03485912489141245	96	0.1364341085271317	55.0	0.03485912489141245
DDX3X	64	0.0022041054305279913	0.006892202695460544	67.33333333333333	61.0	0.03485912489141245	86	0.0960629921259842	55.0	0.03485912489141245
BOP1	65	0.00428724376868666	0.012065528891875314	67.33333333333333	44.0	0.03485912489141245	103	0.1773940345368916	55.0	0.03485912489141245
RBM22	66	0.0025334895254451087	0.007798397445510726	68.33333333333333	60.0	0.03485912489141245	90	0.109907120743034	55.0	0.03485912489141245
QKI	67	0.0038018096281509407	0.011014066128613756	70.33333333333333	55.0	0.03485912489141245	101	0.1597014925373134	55.0	0.03485912489141245
METAP2	68	0.006967658420584337	0.018549036606150194	71.33333333333333	74.0	0.10668664342296795	53	0.0383386581469648	87.0	0.10668664342296795
SUPT6H	69	0.005614237353260064	0.015150750117701816	73.33333333333333	54.0	0.03485912489141245	111	0.2223880597014925	55.0	0.03485912489141245
HNRNPC	70	0.0048362979939575845	0.013419024011403437	74.0	90.0	0.10668664342296795	45	0.0231481481481481	87.0	0.10668664342296795
DNAJC2	71	0.007322448623923314	0.018734056868998608	74.33333333333333	51.0	0.03485912489141245	117	0.2740740740740741	55.0	0.03485912489141245
NSUN2	72	0.005346071208890313	0.014627444835435996	78.33333333333333	100.0	0.10668664342296795	48	0.0266457680250783	87.0	0.10668664342296795
SERBP1	73	0.012496712651167575	0.029660872196144727	79.0	42.0	0.03485912489141245	140	0.399390243902439	55.0	0.03485912489141245
RBM15	74	0.010140952242230362	0.024972094896492266	79.33333333333333	49.0	0.03485912489141245	134	0.3472429210134128	55.0	0.03485912489141245
SUB1	75	0.0	0.0	83.0	148.0	0.10668664342296795	14	0.0	87.0	0.10668664342296795
UPF1	76	0.003880655545637794	0.0110795527897195	83.66666666666667	124.0	0.10668664342296795	40	0.0168970814132104	87.0	0.10668664342296795
SRSF1	77	0.03890380835549496	0.07901082727868564	84.33333333333333	83.0	0.26842395150706017	52	0.0344262295081967	118.0	0.26842395150706017
SBDS	78	0.002868195900382602	0.008561130187505645	86.66666666666667	141.0	0.10668664342296795	32	0.0108359133126934	87.0	0.10668664342296795
