Pathway	PET rank	PET p-value	PET FDR	Average rank	Enrichr rank	Enrichr p-value	GSEA rank	GSEA p-value	ora rank	ora p-value
ADAR	1	0.0	0.0	1.0	1.0	1.798267916526862e-15	1	0.0	1.0	1.798267916526862e-15
DKC1	2	3.087780073708604e-11	3.0414633726029755e-09	4.333333333333333	2.0	2.085554830380581e-06	9	0.0169491525423728	2.0	2.085554830380581e-06
HNRNPM	3	1.6791526373152403e-09	8.403382924994869e-08	5.666666666666667	6.0	8.611502379831113e-05	3	0.0031813361611876	8.0	8.611502379831113e-05
RBM17	4	3.748720311080492e-09	1.230829835471428e-07	6.0	5.0	8.611502379831113e-05	5	0.0062630480167014	8.0	8.611502379831113e-05
G3BP2	5	4.550943680374923e-09	1.2807655786197998e-07	8.0	10.0	8.611502379831113e-05	6	0.0073375262054507	8.0	8.611502379831113e-05
UPF2	6	5.477615750625028e-09	1.3488628785914133e-07	8.0	8.0	8.611502379831113e-05	8	0.0085197018104366	8.0	8.611502379831113e-05
CELF1	7	1.725867895628269e-09	8.403382924994869e-08	9.166666666666666	3.0	1.410652277850468e-05	21	0.0315126050420168	3.5	1.410652277850468e-05
CPSF7	8	1.3507925105040237e-08	2.6610612456929266e-07	10.333333333333334	9.0	8.611502379831113e-05	14	0.0171489817792068	8.0	8.611502379831113e-05
PNPT1	9	2.132838305836261e-09	8.403382924994869e-08	10.5	4.0	1.410652277850468e-05	24	0.0360551431601272	3.5	1.410652277850468e-05
FXR1	10	3.462548496254926e-08	6.201109579656549e-07	10.5	12.0	0.0004702775639069078	4	0.0032085561497326	15.5	0.0004702775639069078
HNRNPA1	11	9.945615451093891e-09	2.1769847154061074e-07	10.666666666666666	11.0	8.611502379831113e-05	13	0.0135983263598326	8.0	8.611502379831113e-05
SND1	12	4.6482313301740654e-08	7.630846433702424e-07	12.166666666666666	19.0	0.0004702775639069078	2	0.0042238648363252	15.5	0.0004702775639069078
FKBP4	13	3.5488982089951024e-07	4.6984361923247065e-06	15.166666666666666	18.0	0.0004702775639069078	12	0.024236037934668	15.5	0.0004702775639069078
HNRNPAB	14	6.810423339380655e-08	1.0320410752753762e-06	15.666666666666666	7.0	8.611502379831113e-05	32	0.053134962805526	8.0	8.611502379831113e-05
DAZAP1	15	3.577489486541655e-07	4.6984361923247065e-06	16.5	14.0	0.0004702775639069078	20	0.024390243902439	15.5	0.0004702775639069078
SSB	16	4.069656566896927e-06	4.7160137863452624e-05	23.0	23.0	0.002273136306726944	17	0.0200633579725448	29.0	0.002273136306726944
TBRG4	17	2.2273403954554762e-06	2.7424128619045553e-05	24.666666666666668	38.0	0.002273136306726944	7	0.0115062761506276	29.0	0.002273136306726944
BCCIP	18	5.137801560828586e-06	5.623038374906842e-05	25.0	24.0	0.002273136306726944	22	0.0246781115879828	29.0	0.002273136306726944
SUPT6H	19	6.063634952881441e-06	6.153480684985608e-05	26.0	26.0	0.002273136306726944	23	0.0285110876451953	29.0	0.002273136306726944
RRP9	20	6.712542156634351e-06	6.153480684985608e-05	27.333333333333332	35.0	0.002273136306726944	18	0.0311158798283261	29.0	0.002273136306726944
KIF1C	21	6.8719073639433185e-06	6.153480684985608e-05	27.666666666666668	29.0	0.002273136306726944	25	0.0317460317460317	29.0	0.002273136306726944
XRCC5	22	9.672821184015134e-06	8.284981622830354e-05	28.0	27.0	0.002273136306726944	28	0.0422832980972515	29.0	0.002273136306726944
SLTM	23	6.684891328014687e-06	6.153480684985608e-05	29.166666666666668	15.0	0.0004702775639069078	57	0.1772679874869656	15.5	0.0004702775639069078
SERBP1	24	3.2796001709084225e-05	0.000230743297738914	31.333333333333332	22.0	0.002273136306726944	43	0.1077085533262935	29.0	0.002273136306726944
RBM39	25	2.4425819616750636e-05	0.00017821801720369908	32.0	25.0	0.002273136306726944	42	0.0870933892969569	29.0	0.002273136306726944
DDX28	26	1.0219600516612592e-05	8.388588757386168e-05	32.5	16.0	0.0004702775639069078	66	0.2226890756302521	15.5	0.0004702775639069078
NSUN2	27	2.018239789365431e-05	0.000152920476348073	32.666666666666664	31.0	0.002273136306726944	38	0.0755508919202518	29.0	0.002273136306726944
ILF2	28	1.8977705994318844e-05	0.00014954432323523252	33.333333333333336	37.0	0.002273136306726944	34	0.0721102863202545	29.0	0.002273136306726944
ZRANB2	29	4.5448712343548497e-05	0.00029844654438930177	34.333333333333336	39.0	0.009599824709169404	11	0.0180658873538788	53.0	0.009599824709169404
LSM11	30	4.86708848745364e-05	0.00030929562323495714	35.666666666666664	30.0	0.002273136306726944	48	0.1412012644889357	29.0	0.002273136306726944
MATR3	31	3.4020875407090766e-05	0.00023110732604127176	35.666666666666664	33.0	0.002273136306726944	45	0.1105263157894736	29.0	0.002273136306726944
TUFM	32	5.4684411087772506e-05	0.00033665090575909953	36.666666666666664	28.0	0.002273136306726944	53	0.1524710830704521	29.0	0.002273136306726944
AKAP1	33	5.820624203132089e-05	0.00034747362667182473	39.0	34.0	0.002273136306726944	54	0.1587802313354364	29.0	0.002273136306726944
EIF3D	34	0.00011619417722956167	0.0006105143780278877	40.333333333333336	20.0	0.002273136306726944	72	0.2418162618796198	29.0	0.002273136306726944
MAGOH	35	0.00018458191725559468	0.0009090659424838038	43.0	40.0	0.009599824709169404	36	0.0687830687830687	53.0	0.009599824709169404
PCBP1	36	7.180656014433525e-05	0.0004160556573068837	43.666666666666664	59.0	0.009599824709169404	19	0.0286016949152542	53.0	0.009599824709169404
PUS1	37	0.0001177641947464961	0.0006105143780278877	43.666666666666664	32.0	0.002273136306726944	70	0.2436708860759493	29.0	0.002273136306726944
SNRNP200	38	0.00022115441064570493	0.001037319497552473	45.666666666666664	43.0	0.009599824709169404	41	0.0804232804232804	53.0	0.009599824709169404
EIF4A3	39	0.00023848179888805613	0.001092579404208071	46.0	46.0	0.009599824709169404	39	0.0857449088960343	53.0	0.009599824709169404
AARS	40	0.0002917374126517563	0.0013061879611908178	48.333333333333336	21.0	0.002273136306726944	95	0.3890641430073607	29.0	0.002273136306726944
ESF1	41	0.00013883827677951802	0.0007013112955273089	48.666666666666664	62.0	0.009599824709169404	31	0.053347280334728	53.0	0.009599824709169404
HSPD1	42	0.00018946760353978845	0.0009103687292033737	48.666666666666664	36.0	0.002273136306726944	81	0.3151832460732984	29.0	0.002273136306726944
GRSF1	43	0.00010696542172464513	0.0005853385577709747	49.166666666666664	13.0	0.0004702775639069078	119	0.5806111696522656	15.5	0.0004702775639069078
MTPAP	44	0.0004757051865331719	0.0020372591684138016	51.0	48.0	0.009599824709169404	52	0.1490947816826411	53.0	0.009599824709169404
NOL12	45	0.00010521499242588915	0.0005853385577709747	51.833333333333336	17.0	0.0004702775639069078	123	0.5777777777777777	15.5	0.0004702775639069078
G3BP1	46	0.0005491687734870182	0.002207882619937604	53.666666666666664	50.0	0.009599824709169404	58	0.1659663865546218	53.0	0.009599824709169404
CPSF6	47	0.0004938512420980925	0.0020699722275175367	54.333333333333336	60.0	0.009599824709169404	50	0.1533613445378151	53.0	0.009599824709169404
SSRP1	48	0.0006297766874905393	0.002432666812463456	55.0	52.0	0.009599824709169404	60	0.1833508956796628	53.0	0.009599824709169404
