Pathway	PET rank	PET p-value	PET FDR	Average rank	Enrichr rank	Enrichr p-value	GSEA rank	GSEA p-value	ora rank	ora p-value
KRR1	1	0.0	0.0	3.5	3.0	3.591966005267652e-12	5	0.0	2.5	3.591966005267652e-12
AGO1	2	0.0	0.0	3.5	5.0	3.9682910683354356e-11	1	0.0	4.5	3.9682910683354356e-11
SMNDC1	3	0.0	0.0	6.666666666666667	8.0	3.4489311622290776e-08	2	0.0	10.0	3.4489311622290776e-08
U2AF2	4	0.0	0.0	7.833333333333333	4.0	3.903765964623507e-09	13	0.0	6.5	3.903765964623507e-09
BUD13	5	0.0	0.0	8.666666666666666	9.0	3.4489311622290776e-08	7	0.0	10.0	3.4489311622290776e-08
CIRBP	6	0.0	0.0	10.166666666666666	10.0	3.903765964623507e-09	14	0.0	6.5	3.903765964623507e-09
ZRANB2	7	0.0	0.0	10.666666666666666	12.0	2.803644224366207e-07	4	0.0	16.0	2.803644224366207e-07
AKAP8L	8	0.0	0.0	12.666666666666666	13.0	2.803644224366207e-07	9	0.0	16.0	2.803644224366207e-07
SRSF5	9	0.0	0.0	13.666666666666666	14.0	2.803644224366207e-07	11	0.0	16.0	2.803644224366207e-07
NAA15	10	0.0	0.0	14.666666666666666	16.0	2.803644224366207e-07	12	0.0	16.0	2.803644224366207e-07
DDX3X	11	3.9880407294948957e-28	4.621435433591144e-27	15.666666666666666	1.0	8.384941331187986e-18	45	0.0281425891181988	1.0	8.384941331187986e-18
DDX24	12	1.51245935639911e-14	1.568181543213814e-13	18.333333333333332	17.0	3.4489311622290776e-08	28	0.0088652482269503	10.0	3.4489311622290776e-08
IGF2BP3	13	4.815235512424573e-14	4.743006979738205e-13	18.333333333333332	19.0	2.803644224366207e-07	20	0.001937984496124	16.0	2.803644224366207e-07
EIF3D	14	3.6824993789344382e-19	4.0302909869449134e-18	18.833333333333332	2.0	3.591966005267652e-12	52	0.0490566037735849	2.5	3.591966005267652e-12
PCBP2	15	1.589758798777735e-13	1.4235567425418809e-12	20.0	7.0	3.4489311622290776e-08	43	0.0333951762523191	10.0	3.4489311622290776e-08
SNRNP200	16	1.2344288897914085e-11	1.0132603803704478e-10	20.5	20.0	2.085554830380581e-06	18	0.0092250922509225	23.5	2.085554830380581e-06
ATP5C1	17	4.841416725978787e-13	4.146778673990526e-12	21.0	18.0	2.803644224366207e-07	29	0.0093984962406015	16.0	2.803644224366207e-07
ESF1	18	1.633234609135589e-11	1.286988871998844e-10	22.5	25.0	2.085554830380581e-06	19	0.0111524163568773	23.5	2.085554830380581e-06
XPO5	19	0.0	0.0	26.166666666666668	35.0	8.611502379831113e-05	8	0.0	35.5	8.611502379831113e-05
RBM15	20	5.4721256282636637e-11	4.146187495261314e-10	28.166666666666668	23.0	2.085554830380581e-06	38	0.0242990654205607	23.5	2.085554830380581e-06
ZC3H8	21	0.0	0.0	28.833333333333332	36.0	8.611502379831113e-05	15	0.0	35.5	8.611502379831113e-05
NONO	22	1.0631183696099894e-09	6.159832906269645e-09	31.5	31.0	1.410652277850468e-05	35	0.022944550669216	28.5	1.410652277850468e-05
HLTF	23	8.755609539135385e-10	5.243731340272832e-09	31.833333333333332	29.0	8.611502379831113e-05	31	0.0017921146953405	35.5	8.611502379831113e-05
EIF4A3	24	1.2202675919327368e-10	8.585454128955326e-10	32.666666666666664	11.0	2.803644224366207e-07	71	0.1693989071038251	16.0	2.803644224366207e-07
GPKOW	25	9.413134012958692e-09	5.01185783933206e-08	33.166666666666664	34.0	8.611502379831113e-05	30	0.0130353817504655	35.5	8.611502379831113e-05
KHDRBS1	26	1.9995095439966156e-09	1.1254382290495237e-08	35.5	46.0	8.611502379831113e-05	25	0.0036968576709796	35.5	8.611502379831113e-05
HNRNPC	27	2.5567466955996807e-10	1.6789303301104569e-09	35.5	22.0	2.085554830380581e-06	61	0.0593368237347294	23.5	2.085554830380581e-06
RBM39	28	0.0	0.0	35.666666666666664	44.0	0.0004702775639069078	17	0.0	46.0	0.0004702775639069078
TRIM56	29	2.377033877332047e-10	1.6147437028772873e-09	35.833333333333336	24.0	2.085554830380581e-06	60	0.0570342205323193	23.5	2.085554830380581e-06
EFTUD2	30	1.2971699401602772e-08	6.724802058199332e-08	37.5	43.0	8.611502379831113e-05	34	0.0166358595194085	35.5	8.611502379831113e-05
MAGOH	31	8.783915443096622e-10	5.243731340272832e-09	37.5	21.0	2.085554830380581e-06	68	0.111310592459605	23.5	2.085554830380581e-06
KIF1C	32	3.972024754376557e-08	1.9085094551516626e-07	37.666666666666664	41.0	0.0004702775639069078	26	0.0036496350364963	46.0	0.0004702775639069078
RCC2	33	3.607192667017068e-08	1.776542388505906e-07	38.166666666666664	32.0	8.611502379831113e-05	47	0.0347490347490347	35.5	8.611502379831113e-05
FUS	34	3.738756761136756e-09	2.0459307831776137e-08	38.5	28.0	1.410652277850468e-05	59	0.0509090909090909	28.5	1.410652277850468e-05
SF3B4	35	6.030896505780344e-10	3.8325374568991215e-09	38.833333333333336	27.0	2.085554830380581e-06	66	0.0926640926640926	23.5	2.085554830380581e-06
LARP4	36	6.711129093354176e-08	3.0746335613738903e-07	38.833333333333336	30.0	8.611502379831113e-05	51	0.0526315789473684	35.5	8.611502379831113e-05
SLBP	37	3.0790321279436625e-08	1.5553059723202603e-07	39.833333333333336	42.0	8.611502379831113e-05	42	0.0311355311355311	35.5	8.611502379831113e-05
DDX47	38	7.537892775209241e-11	5.49986991376378e-10	40.0	15.0	3.4489311622290776e-08	95	0.38	10.0	3.4489311622290776e-08
STAU1	39	2.908222570744714e-07	1.273155214303797e-06	42.333333333333336	45.0	0.0004702775639069078	36	0.0206766917293233	46.0	0.0004702775639069078
EIF3G	40	1.1695845094076437e-13	1.0971816588252658e-12	42.5	6.0	3.9682910683354356e-11	117	0.6222627737226277	4.5	3.9682910683354356e-11
EIF2S1	41	3.727085044225686e-07	1.5961646819836091e-06	44.333333333333336	54.0	0.002273136306726944	23	0.0018832391713747	56.0	0.002273136306726944
HNRNPK	42	1.5607034504023221e-07	6.987694993846761e-07	45.833333333333336	37.0	8.611502379831113e-05	65	0.0888468809073724	35.5	8.611502379831113e-05
NSUN2	43	5.435385086175245e-06	2.1852466570949455e-05	48.0	51.0	0.002273136306726944	37	0.0259259259259259	56.0	0.002273136306726944
HSPD1	44	5.892114947373768e-07	2.469673711984324e-06	49.833333333333336	38.0	8.611502379831113e-05	76	0.183206106870229	35.5	8.611502379831113e-05
G3BP1	45	5.909067384268758e-06	2.3281725494018908e-05	50.333333333333336	56.0	0.002273136306726944	39	0.0278810408921933	56.0	0.002273136306726944
UCHL5	46	0.0	0.0	51.833333333333336	71.0	0.009599824709169404	10	0.0	74.5	0.009599824709169404
FASTKD2	47	6.05346530906207e-06	2.3382993448729955e-05	52.333333333333336	55.0	0.002273136306726944	46	0.0284697508896797	56.0	0.002273136306726944
RPS19	48	6.149417570496392e-08	2.884369669970927e-07	52.5	26.0	2.085554830380581e-06	108	0.5177570093457944	23.5	2.085554830380581e-06
LARP7	49	0.0	0.0	52.5	77.0	0.009599824709169404	6	0.0	74.5	0.009599824709169404
IGF2BP2	50	1.4992199913680938e-05	5.274041755348472e-05	53.833333333333336	65.0	0.009599824709169404	22	0.0054545454545454	74.5	0.009599824709169404
PABPC4	51	2.0615267538886223e-06	8.460849385751221e-06	56.333333333333336	59.0	0.0004702775639069078	64	0.0867924528301886	46.0	0.0004702775639069078
FUBP3	52	1.0880817429245065e-05	3.969483395483848e-05	56.666666666666664	57.0	0.002273136306726944	57	0.0465549348230912	56.0	0.002273136306726944
SND1	53	8.338510330570783e-06	3.099408556834801e-05	57.0	61.0	0.002273136306726944	54	0.0373831775700934	56.0	0.002273136306726944
RAVER1	54	1.98845573278184e-05	6.872382094000395e-05	59.0	40.0	0.0004702775639069078	91	0.3081081081081081	46.0	0.0004702775639069078
SRFBP1	55	3.681800552617501e-05	0.0001250542601492496	59.5	72.0	0.009599824709169404	32	0.014519056261343	74.5	0.009599824709169404
HNRNPU	56	7.384041887963314e-06	2.7974158690937937e-05	60.666666666666664	58.0	0.0004702775639069078	78	0.1872727272727272	46.0	0.0004702775639069078
PUS1	57	6.276951737459673e-05	0.00019627928448881835	60.666666666666664	52.0	0.002273136306726944	74	0.1666666666666666	56.0	0.002273136306726944
CCAR1	58	5.500008966912702e-05	0.00017475834943254874	60.833333333333336	75.0	0.009599824709169404	33	0.0219378427787934	74.5	0.009599824709169404
RTF1	59	1.3125187875702656e-05	4.701203657297133e-05	60.833333333333336	33.0	8.611502379831113e-05	114	0.5917602996254682	35.5	8.611502379831113e-05
SUPV3L1	60	8.481804236165402e-05	0.0002531690052309976	63.166666666666664	66.0	0.009599824709169404	49	0.0336283185840707	74.5	0.009599824709169404
DKC1	61	4.476620687777587e-05	0.0001494736060156245	64.0	47.0	0.0004702775639069078	99	0.4326750448833034	46.0	0.0004702775639069078
NCBP2	62	8.466250668177779e-05	0.0002531690052309976	64.83333333333333	70.0	0.009599824709169404	50	0.0335689045936395	74.5	0.009599824709169404
YBX3	63	4.9713085579329786e-05	0.00016322463098546611	65.0	48.0	0.0004702775639069078	101	0.45	46.0	0.0004702775639069078
UTP18	64	5.29535476123498e-05	0.00017101391605955593	66.5	85.0	0.009599824709169404	40	0.0211132437619961	74.5	0.009599824709169404
TIAL1	65	0.00012514350063184292	0.0003625480827128391	67.0	39.0	0.0004702775639069078	116	0.6074766355140186	46.0	0.0004702775639069078
DDX6	66	9.761309027392918e-05	0.0002870116236412544	67.16666666666667	83.0	0.009599824709169404	44	0.0384615384615384	74.5	0.009599824709169404
RPS3A	67	0.0004349646887903032	0.0011901117179401353	69.33333333333333	50.0	0.002273136306726944	102	0.4634146341463415	56.0	0.002273136306726944
PES1	68	0.00033257604318487463	0.000922781415597469	70.16666666666667	67.0	0.009599824709169404	69	0.112781954887218	74.5	0.009599824709169404
TIA1	69	0.00013321865339898997	0.000380348908979725	70.5	79.0	0.009599824709169404	58	0.0513761467889908	74.5	0.009599824709169404
CCAR2	70	0.0007371542720638109	0.001885966124630789	71.16666666666667	62.0	0.009599824709169404	77	0.2049335863377609	74.5	0.009599824709169404
UPF1	71	0.00047056732175252146	0.001269887155962284	72.83333333333333	74.0	0.009599824709169404	70	0.1478743068391867	74.5	0.009599824709169404
PCBP1	72	0.0005523179335287071	0.0014507551054020707	75.83333333333333	78.0	0.009599824709169404	75	0.1666666666666666	74.5	0.009599824709169404
PPIL4	73	0.0005357538428854768	0.0014262636087626884	76.16666666666667	81.0	0.009599824709169404	73	0.1629629629629629	74.5	0.009599824709169404
AUH	74	0.0009039149444376506	0.0022789026309446812	77.0	60.0	0.002273136306726944	115	0.6067615658362989	56.0	0.002273136306726944
SUB1	75	0.0009548514256148651	0.002351321635576605	77.33333333333333	89.0	0.10668664342296795	27	0.0019417475728155	116.0	0.10668664342296795
ASCC1	76	0.000913874659109796	0.0022789026309446812	78.83333333333333	80.0	0.009599824709169404	82	0.2372013651877133	74.5	0.009599824709169404
PPIG	77	0.0022293267817088047	0.005166792658783935	84.5	82.0	0.009599824709169404	97	0.404293381037567	74.5	0.009599824709169404
DDX19B	78	0.0014223921195863306	0.0033760391272109292	85.33333333333333	119.0	0.10668664342296795	21	0.003683241252302	116.0	0.10668664342296795
DDX27	79	1.0	1.0	85.33333333333333	53.0	0.002273136306726944	147	1.0	56.0	0.002273136306726944
HNRNPAB	80	1.0	1.0	85.33333333333333	49.0	0.002273136306726944	151	1.0	56.0	0.002273136306726944
CKAP4	81	0.007913136598117907	0.017515594492463232	86.16666666666667	63.0	0.009599824709169404	121	0.6928702010968921	74.5	0.009599824709169404
FAM120A	82	0.005341787806352275	0.01209577238909653	87.33333333333333	105.0	0.10668664342296795	41	0.026615969581749	116.0	0.10668664342296795
EXOSC9	83	0.00024067997625608706	0.0006773422188921307	91.66666666666667	155.0	0.03485912489141245	24	0.0077821011673151	96.0	0.03485912489141245
EIF2S2	84	0.022384319628953785	0.047416246955955865	93.33333333333333	92.0	0.10668664342296795	72	0.1617647058823529	116.0	0.10668664342296795
SUCLG1	85	0.012830842701510855	0.027776659474699324	95.83333333333333	86.0	0.009599824709169404	127	0.7934782608695652	74.5	0.009599824709169404
HNRNPA2B1	86	1.0	1.0	95.83333333333333	73.0	0.009599824709169404	140	1.0	74.5	0.009599824709169404
NUSAP1	87	0.0011468730507938562	0.002755292573248654	97.33333333333333	141.0	0.03485912489141245	55	0.0490566037735849	96.0	0.03485912489141245
PUF60	88	1.0	1.0	97.5	69.0	0.009599824709169404	149	1.0	74.5	0.009599824709169404
AKAP8	89	0.000705068405704743	0.0018276115253136101	98.66666666666667	144.0	0.03485912489141245	56	0.0285714285714285	96.0	0.03485912489141245
FIP1L1	90	1.0	1.0	98.83333333333333	68.0	0.009599824709169404	154	1.0	74.5	0.009599824709169404
