Pathway	PET rank	PET p-value	PET FDR	Average rank	Enrichr rank	Enrichr p-value	GSEA rank	GSEA p-value	ora rank	ora p-value
DDX3X	1	2.0903193199900055e-20	8.235858120760622e-19	2.0	1.0	3.9682910683354356e-11	4	0.0018518518518518	1.0	3.9682910683354356e-11
DDX47	2	6.577613152919253e-17	2.1596496518751547e-15	8.333333333333334	2.0	4.084949298358086e-10	21	0.020446096654275	2.0	4.084949298358086e-10
IGF2BP2	3	2.98239521982596e-11	6.52813175895238e-10	8.5	5.0	2.085554830380581e-06	14	0.0165745856353591	6.5	2.085554830380581e-06
AKAP8L	4	0.0	0.0	13.166666666666666	18.0	0.0004702775639069078	2	0.0	19.5	0.0004702775639069078
U2AF2	5	6.232065742267264e-08	7.673230945166569e-07	13.166666666666666	14.0	0.0004702775639069078	6	0.005524861878453	19.5	0.0004702775639069078
AKAP8	6	3.3543097517526548e-09	5.5066585091272746e-08	13.666666666666666	16.0	8.611502379831113e-05	13	0.0057142857142857	12.0	8.611502379831113e-05
RPS19	7	1.88887689906621e-14	5.315839273086333e-13	14.666666666666666	3.0	3.903765964623507e-09	38	0.05893536121673	3.0	3.903765964623507e-09
SF3B4	8	1.9088595594072152e-08	2.6860380943087243e-07	16.166666666666668	24.0	0.0004702775639069078	5	0.0018115942028985	19.5	0.0004702775639069078
EFTUD2	9	1.1563381064308007e-07	1.2655478164825985e-06	17.166666666666668	22.0	0.0004702775639069078	10	0.0095602294455066	19.5	0.0004702775639069078
SUPV3L1	10	1.4166052761208882e-07	1.4687959968200788e-06	17.833333333333332	17.0	0.0004702775639069078	17	0.0113851992409867	19.5	0.0004702775639069078
EIF3G	11	3.7895735591397643e-13	9.33182488938167e-12	18.666666666666668	6.0	3.4489311622290776e-08	46	0.05168986083499	4.0	3.4489311622290776e-08
EIF3D	12	3.097097606824179e-10	5.546620259494211e-09	21.833333333333332	7.0	2.085554830380581e-06	52	0.0657640232108317	6.5	2.085554830380581e-06
DDX24	13	4.007526883976256e-07	3.759441886396773e-06	22.166666666666668	23.0	0.0004702775639069078	24	0.0266666666666666	19.5	0.0004702775639069078
NSUN2	14	7.403548909152452e-08	8.579406677076665e-07	22.333333333333332	11.0	8.611502379831113e-05	44	0.0560747663551401	12.0	8.611502379831113e-05
SRSF5	15	1.4239494897742644e-06	1.2196436934153482e-05	23.833333333333332	30.0	0.002273136306726944	7	0.0074766355140186	34.5	0.002273136306726944
HNRNPC	16	6.0313362012322e-08	7.673230945166569e-07	24.333333333333332	13.0	8.611502379831113e-05	48	0.049090909090909	12.0	8.611502379831113e-05
MSI2	17	8.235686267896158e-07	7.374682703525196e-06	24.833333333333332	20.0	0.0004702775639069078	35	0.0459558823529411	19.5	0.0004702775639069078
KRR1	18	1.3188437960919069e-08	1.9985555986931203e-07	28.166666666666668	12.0	1.410652277850468e-05	64	0.1034482758620689	8.5	1.410652277850468e-05
PPIG	19	3.4275518131437745e-06	2.7009108287572945e-05	29.166666666666668	42.0	0.002273136306726944	11	0.0171755725190839	34.5	0.002273136306726944
HLTF	20	6.940227718108985e-06	4.2725776889608446e-05	29.833333333333332	25.0	0.002273136306726944	30	0.032015065913371	34.5	0.002273136306726944
BUD13	21	4.289715673737548e-06	3.1349222697600236e-05	30.833333333333332	32.0	0.002273136306726944	26	0.0210325047801147	34.5	0.002273136306726944
SMNDC1	22	5.441536468572141e-06	3.5732756143623724e-05	30.833333333333332	33.0	0.002273136306726944	25	0.0259515570934256	34.5	0.002273136306726944
DDX27	23	2.0827208987666812e-10	4.102960170570362e-09	32.333333333333336	4.0	2.803644224366207e-07	88	0.2081712062256809	5.0	2.803644224366207e-07
HNRNPU	24	2.6818055597497244e-06	2.201315396961232e-05	33.5	21.0	0.0004702775639069078	60	0.1028571428571428	19.5	0.0004702775639069078
RBM15	25	8.570902642890636e-06	4.966081825439575e-05	34.166666666666664	31.0	0.002273136306726944	37	0.0382513661202185	34.5	0.002273136306726944
ZC3H8	26	4.562969436936011e-06	3.1349222697600236e-05	35.5	40.0	0.002273136306726944	32	0.0222222222222222	34.5	0.002273136306726944
BCLAF1	27	0.0	0.0	35.833333333333336	52.0	0.009599824709169404	1	0.0	54.5	0.009599824709169404
ATP5C1	28	4.614860194062979e-06	3.1349222697600236e-05	37.833333333333336	19.0	0.0004702775639069078	75	0.1433756805807622	19.5	0.0004702775639069078
SRSF1	29	7.245796247389541e-06	4.325520790108302e-05	39.166666666666664	44.0	0.002273136306726944	39	0.033210332103321	34.5	0.002273136306726944
TRIM56	30	2.211916083197187e-05	0.00012449927668281308	39.5	34.0	0.002273136306726944	50	0.0809248554913294	34.5	0.002273136306726944
XPO5	31	1.5704342031207134e-07	1.5468776900739027e-06	40.166666666666664	8.0	1.410652277850468e-05	104	0.3141153081510934	8.5	1.410652277850468e-05
CCAR1	32	2.9058598098153122e-05	0.0001523356953552572	40.833333333333336	53.0	0.009599824709169404	15	0.0112994350282485	54.5	0.009599824709169404
SNRNP200	33	2.9384550373095296e-05	0.0001523356953552572	42.833333333333336	29.0	0.002273136306726944	65	0.099609375	34.5	0.002273136306726944
LARP4	34	3.174896821766446e-05	0.0001571963375689589	43.166666666666664	26.0	0.002273136306726944	69	0.1052631578947368	34.5	0.002273136306726944
SF1	35	4.129373903583759e-05	0.00018918294395488386	43.5	49.0	0.009599824709169404	27	0.0163636363636363	54.5	0.009599824709169404
HSPD1	36	3.1918038085067796e-05	0.0001571963375689589	43.833333333333336	35.0	0.002273136306726944	62	0.1056603773584905	34.5	0.002273136306726944
NONO	37	4.003282846574915e-05	0.00018800031637084444	45.166666666666664	59.0	0.009599824709169404	22	0.0158450704225352	54.5	0.009599824709169404
CIRBP	38	2.4580845317695086e-05	0.0001345118479884981	45.5	64.0	0.009599824709169404	18	0.0094339622641509	54.5	0.009599824709169404
RAVER1	39	4.368534225345047e-06	3.1349222697600236e-05	45.666666666666664	10.0	8.611502379831113e-05	115	0.4254545454545455	12.0	8.611502379831113e-05
EIF4A3	40	6.930666536211135e-06	4.2725776889608446e-05	48.666666666666664	9.0	8.611502379831113e-05	125	0.4942748091603053	12.0	8.611502379831113e-05
PABPC1	41	6.222736041663358e-05	0.00027860886368356397	49.166666666666664	28.0	0.002273136306726944	85	0.1657458563535911	34.5	0.002273136306726944
TARDBP	42	4.0081285723733333e-05	0.00018800031637084444	50.5	43.0	0.002273136306726944	74	0.1238447319778188	34.5	0.002273136306726944
CKAP4	43	0.00014903669175931277	0.0005991883321751963	50.5	46.0	0.009599824709169404	51	0.0568807339449541	54.5	0.009599824709169404
PUM2	44	0.00011339738118676232	0.00047530391688919526	50.833333333333336	57.0	0.009599824709169404	41	0.044280442804428	54.5	0.009599824709169404
PTBP1	45	6.470619319699158e-05	0.00028326933466238537	51.833333333333336	38.0	0.002273136306726944	83	0.169921875	34.5	0.002273136306726944
FUS	46	6.796083375555371e-05	0.00029104965760530613	52.166666666666664	36.0	0.002273136306726944	86	0.1752767527675277	34.5	0.002273136306726944
UCHL5	47	0.00018761126873952097	0.0007391883988337127	52.5	73.0	0.03485912489141245	8	0.0056497175141242	76.5	0.03485912489141245
TROVE2	48	0.00014694175493931502	0.0005991883321751963	54.833333333333336	63.0	0.009599824709169404	47	0.056159420289855	54.5	0.009599824709169404
UPF1	49	0.0002312025293615912	0.0008930764369457542	57.166666666666664	79.0	0.03485912489141245	16	0.0073937153419593	76.5	0.03485912489141245
SRFBP1	50	0.000286322707633215	0.0010847225654566028	57.166666666666664	83.0	0.03485912489141245	12	0.0096899224806201	76.5	0.03485912489141245
RBM22	51	0.00044111360457982184	0.0016092477796708317	57.833333333333336	48.0	0.009599824709169404	71	0.1407678244972577	54.5	0.009599824709169404
AUH	52	0.00030093620589065416	0.001118574199253941	59.166666666666664	55.0	0.009599824709169404	68	0.1040145985401459	54.5	0.009599824709169404
EIF2S2	53	0.0	0.0	61.5	99.0	0.03485912489141245	9	0.0	76.5	0.03485912489141245
MAGOH	54	0.0006674062574357808	0.0023066496967517336	62.833333333333336	27.0	0.002273136306726944	127	0.5469613259668509	34.5	0.002273136306726944
CSTF2T	55	0.0004995876386389038	0.0017894320874884374	64.16666666666667	56.0	0.009599824709169404	82	0.154696132596685	54.5	0.009599824709169404
PUS1	56	0.0008770246512382174	0.002978859591274635	65.16666666666667	50.0	0.009599824709169404	91	0.2307692307692307	54.5	0.009599824709169404
RPS3A	57	1.0	1.0	66.16666666666667	15.0	0.0004702775639069078	164	1.0	19.5	0.0004702775639069078
XRCC6	58	0.0006359934928478445	0.002237334251625453	66.5	37.0	0.002273136306726944	128	0.5374531835205992	34.5	0.002273136306726944
EIF2S1	59	0.001459020482964654	0.004635919921678014	66.83333333333333	71.0	0.03485912489141245	53	0.0633147113594041	76.5	0.03485912489141245
ABCF1	60	0.0010173564185582396	0.0033403202409328864	66.83333333333333	81.0	0.03485912489141245	43	0.0430711610486891	76.5	0.03485912489141245
DDX6	61	0.0009064277667280767	0.003026546949922561	68.16666666666667	97.0	0.03485912489141245	31	0.0379241516966067	76.5	0.03485912489141245
TIAL1	62	0.002583357300871883	0.007457932099934762	69.16666666666667	65.0	0.03485912489141245	66	0.1119691119691119	76.5	0.03485912489141245
XRN2	63	0.001627965929781613	0.005090623621698059	70.16666666666667	76.0	0.03485912489141245	58	0.0709090909090909	76.5	0.03485912489141245
RPS10	64	0.0014493705256575602	0.004635919921678014	70.83333333333333	39.0	0.002273136306726944	139	0.697265625	34.5	0.002273136306726944
RTF1	65	0.0025157258504724445	0.007457932099934762	71.83333333333333	47.0	0.009599824709169404	114	0.4304761904761904	54.5	0.009599824709169404
GRSF1	66	0.0025973403802698946	0.007457932099934762	72.5	45.0	0.009599824709169404	118	0.4375	54.5	0.009599824709169404
PES1	67	0.0030376414823240516	0.008546779827986618	72.5	69.0	0.03485912489141245	72	0.1303501945525292	76.5	0.03485912489141245
SUCLG1	68	0.00213709568981585	0.006578247670214414	75.83333333333333	62.0	0.009599824709169404	111	0.3953033268101761	54.5	0.009599824709169404
IGF2BP3	69	0.0024864647938629275	0.007457932099934762	76.16666666666667	85.0	0.03485912489141245	67	0.1079545454545454	76.5	0.03485912489141245
DNAJC21	70	0.002612169111144663	0.007457932099934762	77.16666666666667	61.0	0.009599824709169404	116	0.4387568555758683	54.5	0.009599824709169404
NELFE	71	0.0030803115116093903	0.008546779827986618	78.16666666666667	60.0	0.009599824709169404	120	0.4756756756756757	54.5	0.009599824709169404
HNRNPK	72	1.0	1.0	79.16666666666667	41.0	0.002273136306726944	162	1.0	34.5	0.002273136306726944
GRWD1	73	0.00553090755674724	0.015133177620544534	80.5	75.0	0.03485912489141245	90	0.2196969696969697	76.5	0.03485912489141245
NAA15	74	0.008410989759303258	0.020974240285857492	80.83333333333333	51.0	0.009599824709169404	137	0.7063197026022305	54.5	0.009599824709169404
SUB1	75	0.02818359550132106	0.06101283861274999	82.33333333333333	87.0	0.26842395150706017	23	0.0192307692307692	137.0	0.26842395150706017
FIP1L1	76	0.009232725863927206	0.02218106091699585	83.16666666666667	66.0	0.03485912489141245	107	0.3250950570342205	76.5	0.03485912489141245
TUFM	77	0.00919352965124456	0.02218106091699585	85.5	77.0	0.03485912489141245	103	0.3241106719367589	76.5	0.03485912489141245
AARS	78	0.013858563581554923	0.03211925912430964	85.83333333333333	68.0	0.03485912489141245	113	0.4265232974910394	76.5	0.03485912489141245
G3BP1	79	0.010039397682873707	0.023828449922001452	89.5	82.0	0.03485912489141245	110	0.3448275862068966	76.5	0.03485912489141245
HNRNPA1	80	1.0	1.0	91.16666666666667	58.0	0.009599824709169404	161	1.0	54.5	0.009599824709169404
MATR3	81	0.03394136436275034	0.0718972987038905	93.83333333333333	70.0	0.03485912489141245	135	0.6790780141843972	76.5	0.03485912489141245
PABPC4	82	0.007958033671781429	0.020099136324883863	94.16666666666667	144.0	0.10668664342296795	34	0.0458015267175572	104.5	0.10668664342296795
CNOT7	83	0.007449499677382557	0.019100028189797204	94.16666666666667	109.0	0.03485912489141245	97	0.2776735459662289	76.5	0.03485912489141245
DHX30	84	0.006649215480077601	0.017701289859125505	94.5	151.0	0.10668664342296795	28	0.0359848484848484	104.5	0.10668664342296795
UTP18	85	0.007465493251849668	0.019100028189797204	95.83333333333333	147.0	0.10668664342296795	36	0.0420650095602294	104.5	0.10668664342296795
TFIP11	86	0.04854506669516581	0.09659977918128955	97.33333333333333	113.0	0.26842395150706017	42	0.0506566604127579	137.0	0.26842395150706017
SLBP	87	0.07991106717440971	0.14576370586443255	97.66666666666667	86.0	0.26842395150706017	70	0.1151631477927063	137.0	0.26842395150706017
HNRNPUL1	88	0.07484611403049457	0.13972388364952862	98.0	98.0	0.26842395150706017	59	0.1038251366120218	137.0	0.26842395150706017
PRPF6	89	0.03247207372053162	0.06953259264070356	98.83333333333333	84.0	0.03485912489141245	136	0.6666666666666666	76.5	0.03485912489141245
DDX1	90	0.06472049620034581	0.12499938972027573	99.33333333333333	107.0	0.26842395150706017	54	0.0820895522388059	137.0	0.26842395150706017
UBE2L3	91	0.07589063731218051	0.13972388364952862	99.66666666666667	115.0	0.5388029867385493	19	0.0037105751391465	165.0	0.5388029867385493
RBM34	92	0.0	0.0	99.66666666666667	131.0	0.5388029867385493	3	0.0	165.0	0.5388029867385493
FKBP4	93	1.0	1.0	99.83333333333333	54.0	0.009599824709169404	191	1.0	54.5	0.009599824709169404
CSTF2	94	0.04398953196865758	0.0901980389419351	100.0	134.0	0.26842395150706017	29	0.0427184466019417	137.0	0.26842395150706017
KHDRBS1	95	0.09343621716766659	0.16582824127955242	102.33333333333333	92.0	0.26842395150706017	78	0.146643109540636	137.0	0.26842395150706017
SBDS	96	0.08817625772499327	0.1579156615620334	103.33333333333333	96.0	0.26842395150706017	77	0.1342155009451796	137.0	0.26842395150706017
TIA1	97	0.11511508824186428	0.20068736622696692	103.33333333333333	125.0	0.5388029867385493	20	0.0115163147792706	165.0	0.5388029867385493
SF3A3	98	0.015407345558969722	0.034887897415138334	104.83333333333333	153.0	0.10668664342296795	57	0.1053571428571428	104.5	0.10668664342296795
DKC1	99	1.0	1.0	105.5	74.0	0.03485912489141245	166	1.0	76.5	0.03485912489141245
CELF1	100	1.0	1.0	105.83333333333333	78.0	0.03485912489141245	163	1.0	76.5	0.03485912489141245
EXOSC9	101	0.006286243463722272	0.016964246059634078	107.16666666666667	184.0	0.10668664342296795	33	0.0333333333333333	104.5	0.10668664342296795
AGO1	102	0.10799516469052478	0.18995578075029804	107.33333333333333	104.0	0.26842395150706017	81	0.181985294117647	137.0	0.26842395150706017
RBM25	103	0.01515742105453711	0.034721069159811754	107.5	162.0	0.10668664342296795	56	0.1033210332103321	104.5	0.10668664342296795
EIF4G1	104	1.0	1.0	107.83333333333333	67.0	0.03485912489141245	180	1.0	76.5	0.03485912489141245
FXR1	105	1.0	1.0	107.83333333333333	72.0	0.03485912489141245	175	1.0	76.5	0.03485912489141245
FMR1	106	0.007031977151034196	0.018470659983383157	108.83333333333333	182.0	0.10668664342296795	40	0.0388170055452865	104.5	0.10668664342296795
QKI	107	0.21260655959016705	0.3461445639608505	110.0	116.0	0.5388029867385493	49	0.0575139146567718	165.0	0.5388029867385493
