Pathway	PET rank	PET p-value	PET FDR	Average rank	Enrichr rank	Enrichr p-value	GSEA rank	GSEA p-value	ora rank	ora p-value
AKAP8L	1	0.0	0.0	1.0	1.0	4.906181075713659e-28	1	0.0	1.0	4.906181075713659e-28
U2AF2	2	0.0	0.0	3.3333333333333335	2.0	3.903765964623507e-09	6	0.0	2.0	3.903765964623507e-09
ABCF1	3	0.0	0.0	4.166666666666667	3.0	2.803644224366207e-07	4	0.0	5.5	2.803644224366207e-07
EIF3G	4	0.0	0.0	6.0	6.0	3.4489311622290776e-08	9	0.0	3.0	3.4489311622290776e-08
EFTUD2	5	0.0	0.0	9.166666666666666	13.0	2.085554830380581e-06	5	0.0	9.5	2.085554830380581e-06
DHX30	6	0.0	0.0	11.666666666666666	14.0	1.410652277850468e-05	7	0.0	14.0	1.410652277850468e-05
QKI	7	9.150535988570923e-14	9.487660998676167e-13	12.5	7.0	2.803644224366207e-07	25	0.0030674846625766	5.5	2.803644224366207e-07
STAU1	8	0.0	0.0	14.666666666666666	9.0	1.410652277850468e-05	21	0.0	14.0	1.410652277850468e-05
SRSF1	9	0.0	0.0	16.666666666666668	20.0	1.410652277850468e-05	16	0.0	14.0	1.410652277850468e-05
EIF4B	10	4.764266965795648e-13	4.692802961308713e-12	17.5	4.0	2.803644224366207e-07	43	0.0093023255813953	5.5	2.803644224366207e-07
SF3A3	11	0.0	0.0	19.0	25.0	8.611502379831113e-05	10	0.0	22.0	8.611502379831113e-05
RBM39	12	7.077586918958269e-11	5.809519262644912e-10	19.0	11.0	1.410652277850468e-05	32	0.0031201248049922	14.0	1.410652277850468e-05
HNRNPC	13	0.0	0.0	19.333333333333332	21.0	8.611502379831113e-05	15	0.0	22.0	8.611502379831113e-05
RPS19	14	4.355933161046104e-10	3.4324753309043303e-09	24.333333333333332	17.0	1.410652277850468e-05	42	0.0123839009287925	14.0	1.410652277850468e-05
DDX47	15	2.1949700119601638e-11	1.9654958743461466e-10	26.166666666666668	12.0	2.085554830380581e-06	57	0.0135746606334841	9.5	2.085554830380581e-06
PUS1	16	1.2260719725600805e-12	1.1501722790206469e-11	26.166666666666668	5.0	2.803644224366207e-07	68	0.0167427701674277	5.5	2.803644224366207e-07
FIP1L1	17	4.5960556867447655e-09	3.3534184084767365e-08	26.333333333333332	19.0	8.611502379831113e-05	38	0.007396449704142	22.0	8.611502379831113e-05
DDX3X	18	0.0	0.0	27.0	43.0	0.0004702775639069078	2	0.0	36.0	0.0004702775639069078
PPIG	19	4.5169988536660665e-11	3.8689077137922396e-10	27.5	8.0	2.085554830380581e-06	65	0.0215716486902927	9.5	2.085554830380581e-06
TROVE2	20	3.172788338926022e-08	1.9532478211513326e-07	28.0	40.0	0.0004702775639069078	8	0.0029542097488921	36.0	0.0004702775639069078
SUPV3L1	21	1.546296225276675e-08	1.0276471930185432e-07	28.333333333333332	32.0	0.0004702775639069078	17	0.0014727540500736	36.0	0.0004702775639069078
KHDRBS1	22	0.0	0.0	30.333333333333332	44.0	0.0004702775639069078	11	0.0	36.0	0.0004702775639069078
PUM2	23	0.0	0.0	30.666666666666668	36.0	0.0004702775639069078	20	0.0	36.0	0.0004702775639069078
CSTF2T	24	1.5649449639876294e-08	1.0276471930185432e-07	31.0	39.0	0.0004702775639069078	18	0.0014903129657228	36.0	0.0004702775639069078
TARDBP	25	1.636583784326792e-08	1.0400225984270258e-07	32.0	41.0	0.0004702775639069078	19	0.0015576323987538	36.0	0.0004702775639069078
PTBP1	26	1.2873718530706582e-08	9.057580537675701e-08	32.666666666666664	26.0	8.611502379831113e-05	50	0.0165413533834586	22.0	8.611502379831113e-05
SF3B4	27	7.182182217483689e-08	4.1614408730714317e-07	37.0	42.0	0.0004702775639069078	33	0.0062794348508634	36.0	0.0004702775639069078
RAVER1	28	1.110579411916393e-07	5.913084976960255e-07	38.333333333333336	31.0	0.0004702775639069078	48	0.0092307692307692	36.0	0.0004702775639069078
RBM34	29	0.0	0.0	38.5	55.0	0.002273136306726944	3	0.0	57.5	0.002273136306726944
EIF4G2	30	1.0620964903786928e-09	8.047423407869325e-09	41.833333333333336	10.0	2.085554830380581e-06	106	0.121765601217656	9.5	2.085554830380581e-06
UPF1	31	2.0330998648684247e-07	1.0540017720502096e-06	42.0	35.0	0.0004702775639069078	55	0.015432098765432	36.0	0.0004702775639069078
IGF2BP3	32	8.250956547719605e-08	4.6441098282878916e-07	42.0	24.0	8.611502379831113e-05	80	0.0600924499229583	22.0	8.611502379831113e-05
APOBEC3C	33	1.0902411927450456e-07	5.913084976960255e-07	44.0	15.0	8.611502379831113e-05	95	0.0715372907153729	22.0	8.611502379831113e-05
SLTM	34	6.00928409370404e-08	3.5873605044233205e-07	44.666666666666664	23.0	8.611502379831113e-05	89	0.0489731437598736	22.0	8.611502379831113e-05
MSI2	35	3.0737431193075543e-07	1.498425504778508e-06	45.166666666666664	64.0	0.002273136306726944	14	0.0015290519877675	57.5	0.002273136306726944
CNOT7	36	0.0	0.0	46.166666666666664	68.0	0.002273136306726944	13	0.0	57.5	0.002273136306726944
MATR3	37	0.0	0.0	46.833333333333336	59.0	0.002273136306726944	24	0.0	57.5	0.002273136306726944
