Pathway	PET rank	PET p-value	PET FDR	Average rank	Enrichr rank	Enrichr p-value	GSEA rank	GSEA p-value	ora rank	ora p-value
EIF3D	1	3.656192648273077e-22	1.2004499195163269e-20	5.0	1.0	3.039432319473211e-13	12	0.0123456790123456	2.0	3.039432319473211e-13
RPS19	2	1.5499125503079243e-15	3.053327724106611e-14	8.833333333333334	7.0	3.903765964623507e-09	13	0.0172043010752688	6.5	3.903765964623507e-09
XRCC6	3	2.742923024543427e-18	6.003953731500612e-17	10.0	5.0	3.9682910683354356e-11	20	0.0246406570841889	5.0	3.9682910683354356e-11
PPIG	4	0.0	0.0	12.333333333333334	17.0	1.410652277850468e-05	5	0.0	15.0	1.410652277850468e-05
PTBP1	5	6.9645121551052535e-12	1.1433407454631124e-10	14.333333333333334	8.0	2.803644224366207e-07	27	0.044776119402985	8.0	2.803644224366207e-07
CKAP4	6	1.420175572962951e-09	1.7485911742106337e-08	15.0	11.0	1.410652277850468e-05	19	0.0277777777777777	15.0	1.410652277850468e-05
EIF4A3	7	7.750541479675084e-19	2.181223816422845e-17	15.166666666666666	2.0	3.591966005267652e-12	40	0.0655391120507399	3.5	3.591966005267652e-12
NONO	8	1.029023876787822e-09	1.4479835980514353e-08	15.333333333333334	23.0	8.611502379831113e-05	1	0.0020703933747412	22.0	8.611502379831113e-05
RTF1	9	1.272171738521474e-09	1.670785549924869e-08	15.666666666666666	15.0	1.410652277850468e-05	17	0.025844930417495	15.0	1.410652277850468e-05
DDX47	10	1.622338661785743e-18	3.995008954647393e-17	17.833333333333332	4.0	3.591966005267652e-12	46	0.0860655737704918	3.5	3.591966005267652e-12
DDX3X	11	2.2877993205543626e-14	4.0972406013564494e-13	18.166666666666668	6.0	3.903765964623507e-09	42	0.0641821946169772	6.5	3.903765964623507e-09
CSTF2T	12	6.232359019574206e-10	9.444420975816296e-09	24.0	14.0	2.085554830380581e-06	48	0.094188376753507	10.0	2.085554830380581e-06
EIF3G	13	1.163511718888187e-22	4.584236172419456e-21	25.0	3.0	1.798267916526862e-15	71	0.1334745762711864	1.0	1.798267916526862e-15
TRIM56	14	2.0956532088248253e-08	2.064218410692453e-07	25.333333333333332	35.0	0.0004702775639069078	7	0.0019841269841269	34.0	0.0004702775639069078
DDX24	15	5.451669283838484e-08	5.114184994838959e-07	26.666666666666668	26.0	8.611502379831113e-05	32	0.045929018789144	22.0	8.611502379831113e-05
PRPF6	16	1.3816344072586267e-08	1.512122101277497e-07	28.0	16.0	1.410652277850468e-05	53	0.106	15.0	1.410652277850468e-05
SMN1	17	2.583653906731314e-07	2.0359192785042753e-06	30.0	38.0	0.0004702775639069078	18	0.0187891440501043	34.0	0.0004702775639069078
NELFE	18	1.2839696343589699e-08	1.4878942233453947e-07	30.333333333333332	19.0	1.410652277850468e-05	57	0.102	15.0	1.410652277850468e-05
LARP4	19	1.0604876921945701e-06	6.739228237494526e-06	30.333333333333332	27.0	0.0004702775639069078	30	0.0551181102362204	34.0	0.0004702775639069078
TFIP11	20	2.0617257080185904e-07	1.8461816567257378e-06	30.666666666666668	21.0	8.611502379831113e-05	49	0.1044776119402985	22.0	8.611502379831113e-05
PES1	21	4.0558506424157105e-07	2.8535806305567674e-06	34.666666666666664	46.0	0.002273136306726944	8	0.002061855670103	50.0	0.002273136306726944
APOBEC3C	22	3.0187129924586697e-07	2.287255613516761e-06	34.666666666666664	18.0	8.611502379831113e-05	64	0.1292929292929293	22.0	8.611502379831113e-05
HNRNPL	23	1.625055829168241e-06	9.701090858974044e-06	35.333333333333336	28.0	0.0004702775639069078	44	0.074074074074074	34.0	0.0004702775639069078
HNRNPC	24	1.5083975925540436e-06	9.286072679160832e-06	35.333333333333336	31.0	0.0004702775639069078	41	0.0704225352112676	34.0	0.0004702775639069078
DNAJC21	25	2.4599558967845067e-07	2.0359192785042753e-06	38.0	24.0	8.611502379831113e-05	68	0.1154639175257732	22.0	8.611502379831113e-05
XRCC5	26	1.9199660911578515e-06	1.1124509410532258e-05	38.0	33.0	0.0004702775639069078	47	0.082815734989648	34.0	0.0004702775639069078
U2AF2	27	2.565713302567315e-06	1.444130058873603e-05	38.0	25.0	0.0004702775639069078	55	0.1	34.0	0.0004702775639069078
AKAP8L	28	6.240537939611494e-06	3.073464935258661e-05	40.333333333333336	47.0	0.002273136306726944	24	0.0292275574112734	50.0	0.002273136306726944
DDX55	29	6.207925682522259e-07	4.217108136058224e-06	40.333333333333336	20.0	8.611502379831113e-05	79	0.188	22.0	8.611502379831113e-05
AUH	30	1.509969634607036e-08	1.5656000948294007e-07	42.0	12.0	2.085554830380581e-06	104	0.3480083857442348	10.0	2.085554830380581e-06
CIRBP	31	5.276864723419252e-06	2.7356377645094545e-05	42.333333333333336	56.0	0.002273136306726944	21	0.0252631578947368	50.0	0.002273136306726944
HSPD1	32	2.8544984104732643e-06	1.5620449635089808e-05	43.333333333333336	36.0	0.0004702775639069078	60	0.1069958847736625	34.0	0.0004702775639069078
GRSF1	33	2.4977526061744066e-07	2.0359192785042753e-06	45.0	10.0	1.410652277850468e-05	110	0.3702213279678068	15.0	1.410652277850468e-05
XRN2	34	4.9910504748806916e-06	2.6573971447337734e-05	45.333333333333336	32.0	0.0004702775639069078	70	0.1501057082452431	34.0	0.0004702775639069078
TIAL1	35	6.235293990792429e-06	3.073464935258661e-05	46.5	60.0	0.009599824709169404	9	0.0019607843137254	70.5	0.009599824709169404
SRFBP1	36	0.0	0.0	46.833333333333336	67.0	0.009599824709169404	3	0.0	70.5	0.009599824709169404
RAVER1	37	7.265615020285314e-07	4.771087196654023e-06	49.333333333333336	13.0	1.410652277850468e-05	120	0.5121951219512195	15.0	1.410652277850468e-05
NCBP2	38	1.6463142946985735e-05	7.207198134569311e-05	49.833333333333336	69.0	0.009599824709169404	10	0.006060606060606	70.5	0.009599824709169404
BCLAF1	39	3.163546329657709e-05	0.0001274653719947358	50.5	70.0	0.009599824709169404	11	0.0123711340206185	70.5	0.009599824709169404
PABPC1	40	1.5970084266998484e-05	7.150242274087958e-05	51.666666666666664	30.0	0.0004702775639069078	91	0.278118609406953	34.0	0.0004702775639069078
IGF2BP3	41	9.109405553481834e-06	4.272744985799813e-05	51.666666666666664	37.0	0.0004702775639069078	84	0.2096774193548387	34.0	0.0004702775639069078
TAF15	42	2.4678601087646328e-05	0.00010568879161448536	51.666666666666664	49.0	0.002273136306726944	56	0.0877551020408163	50.0	0.002273136306726944
MSI2	43	7.122017463958917e-06	3.4220425375607474e-05	52.0	39.0	0.0004702775639069078	83	0.18359375	34.0	0.0004702775639069078
UPF1	44	3.163546329657709e-05	0.0001274653719947358	52.166666666666664	71.0	0.009599824709169404	15	0.0123711340206185	70.5	0.009599824709169404
MAGOH	45	3.9121089507187714e-07	2.8535806305567674e-06	52.666666666666664	9.0	2.085554830380581e-06	139	0.742	10.0	2.085554830380581e-06
SRSF1	46	3.1704584912396214e-05	0.0001274653719947358	53.666666666666664	57.0	0.002273136306726944	54	0.1051587301587301	50.0	0.002273136306726944
TROVE2	47	1.4218149448009916e-05	6.513896375018498e-05	55.666666666666664	41.0	0.0004702775639069078	92	0.2629482071713147	34.0	0.0004702775639069078
DDX52	48	5.003711059957189e-05	0.0001932806036885424	56.333333333333336	50.0	0.002273136306726944	69	0.1438202247191011	50.0	0.002273136306726944
CCAR2	49	9.048763869264803e-05	0.00033011231152688266	56.333333333333336	42.0	0.002273136306726944	77	0.208955223880597	50.0	0.002273136306726944
PUM2	50	4.681096198727168e-05	0.00018443519022985045	56.666666666666664	53.0	0.002273136306726944	67	0.1375770020533881	50.0	0.002273136306726944
BUD13	51	0.00011459428034801257	0.00041045587688288136	56.833333333333336	74.0	0.009599824709169404	26	0.0447154471544715	70.5	0.009599824709169404
ABCF1	52	8.91595893243533e-05	0.00033011231152688266	58.666666666666664	48.0	0.002273136306726944	78	0.207112970711297	50.0	0.002273136306726944
HNRNPAB	53	8.810969237070449e-05	0.00033011231152688266	58.666666666666664	44.0	0.002273136306726944	82	0.2056451612903226	50.0	0.002273136306726944
PA2G4	54	0.00018112816711184098	0.000626004367035661	61.833333333333336	76.0	0.009599824709169404	39	0.0676532769556025	70.5	0.009599824709169404
UTP3	55	0.0003597700842948445	0.0011812451101014061	63.166666666666664	61.0	0.009599824709169404	58	0.1200828157349896	70.5	0.009599824709169404
SF3A3	56	0.00014169166934225105	0.0004984510510789902	63.666666666666664	51.0	0.002273136306726944	90	0.2701612903225806	50.0	0.002273136306726944
EIF4G2	57	0.00021413737487442698	0.0007150010652586799	67.0	34.0	0.0004702775639069078	133	0.6967741935483871	34.0	0.0004702775639069078
RBM15	58	0.00037468258629177483	0.001210040483598027	67.5	73.0	0.009599824709169404	59	0.124	70.5	0.009599824709169404
YBX3	59	1.0	1.0	67.66666666666667	22.0	8.611502379831113e-05	159	1.0	22.0	8.611502379831113e-05
EEF2	60	0.00019603875876825295	0.0006658557840921695	69.33333333333333	40.0	0.0004702775639069078	134	0.6825053995680346	34.0	0.0004702775639069078
SRSF5	61	0.00048385932296837064	0.0015130204226153812	69.83333333333333	66.0	0.009599824709169404	73	0.1510204081632653	70.5	0.009599824709169404
PRPF8	62	0.00043647208990738647	0.0013868548663186313	72.16666666666667	81.0	0.009599824709169404	65	0.1396303901437371	70.5	0.009599824709169404
PNPT1	63	0.0005281372872017237	0.0016256725871678058	73.33333333333333	52.0	0.002273136306726944	118	0.5009784735812133	50.0	0.002273136306726944
DDX6	64	0.0007870590733089945	0.0023542144523300956	77.83333333333333	78.0	0.009599824709169404	85	0.2144249512670565	70.5	0.009599824709169404
FXR1	65	0.0013793821281918024	0.0036231770567171345	77.83333333333333	63.0	0.009599824709169404	100	0.3080168776371308	70.5	0.009599824709169404
SUCLG1	66	0.0012271808165068075	0.003357703067386682	79.0	55.0	0.002273136306726944	132	0.6659836065573771	50.0	0.002273136306726944
NOL12	67	1.0	1.0	79.0	43.0	0.0004702775639069078	160	1.0	34.0	0.0004702775639069078
STAU1	68	0.0013264910138076841	0.0035545648935733027	80.16666666666667	65.0	0.009599824709169404	105	0.300796812749004	70.5	0.009599824709169404
CNOT7	69	0.0009120901343804218	0.0026818172607901954	81.5	86.0	0.009599824709169404	88	0.2368932038834951	70.5	0.009599824709169404
GRWD1	70	0.0014912139731746896	0.0038151838014988814	81.5	72.0	0.009599824709169404	102	0.3227091633466135	70.5	0.009599824709169404
DDX27	71	1.0	1.0	81.66666666666667	29.0	0.0004702775639069078	182	1.0	34.0	0.0004702775639069078
RBM22	72	0.002042240881055798	0.005029018169599902	81.83333333333333	64.0	0.009599824709169404	111	0.3857442348008386	70.5	0.009599824709169404
SUB1	73	0.006951220474379733	0.015386409364638283	82.16666666666667	88.0	0.10668664342296795	33	0.0382165605095541	125.5	0.10668664342296795
RPS10	74	0.0015535154635697268	0.00387395628257261	82.83333333333333	77.0	0.009599824709169404	101	0.3305785123966942	70.5	0.009599824709169404
EIF4G1	75	0.0029741449678491374	0.0069750780793604765	82.83333333333333	62.0	0.009599824709169404	116	0.4677419354838709	70.5	0.009599824709169404
FAM120A	76	0.0009996406486101352	0.002829057670550909	83.83333333333333	120.0	0.10668664342296795	6	0.002092050209205	125.5	0.10668664342296795
SAFB2	77	1.0	1.0	85.33333333333333	45.0	0.002273136306726944	161	1.0	50.0	0.002273136306726944
DDX28	78	0.008504793980107487	0.018411477077815108	86.16666666666667	108.0	0.10668664342296795	25	0.05	125.5	0.10668664342296795
GTF2F1	79	0.011419822967303683	0.023192836335657996	88.5	104.0	0.10668664342296795	36	0.0730223123732251	125.5	0.10668664342296795
PKM	80	0.00860485391023705	0.018425611090398898	88.5	59.0	0.009599824709169404	136	0.7112970711297071	70.5	0.009599824709169404
FKBP4	81	0.003778527044542511	0.008757292091469113	88.83333333333333	75.0	0.009599824709169404	121	0.5225409836065574	70.5	0.009599824709169404
FMR1	82	0.027642954543552336	0.05186344804837914	90.16666666666667	101.0	0.26842395150706017	16	0.0185567010309278	153.5	0.26842395150706017
PSIP1	83	0.0027934044440936735	0.006630128620318719	91.83333333333333	136.0	0.10668664342296795	14	0.0104166666666666	125.5	0.10668664342296795
CSTF2	84	0.001087831267556044	0.003018348728289305	92.5	149.0	0.03485912489141245	31	0.0463320463320463	97.5	0.03485912489141245
PPIL4	85	0.008504793980107487	0.018411477077815108	93.5	126.0	0.10668664342296795	29	0.05	125.5	0.10668664342296795
KRR1	86	1.0	1.0	93.66666666666667	54.0	0.002273136306726944	177	1.0	50.0	0.002273136306726944
SF3B4	87	0.0009435392190746056	0.002733488619966137	93.83333333333333	162.0	0.03485912489141245	22	0.039647577092511	97.5	0.03485912489141245
HNRNPA2B1	88	0.011358218894820235	0.023192836335657996	93.83333333333333	68.0	0.009599824709169404	143	0.7695473251028807	70.5	0.009599824709169404
RBM34	89	0.0	0.0	95.16666666666667	184.0	0.03485912489141245	4	0.0	97.5	0.03485912489141245
UBE2L3	90	0.0	0.0	96.5	190.0	0.03485912489141245	2	0.0	97.5	0.03485912489141245
CCAR1	91	0.05679649928272553	0.09563171246749512	97.16666666666667	93.0	0.26842395150706017	45	0.0661157024793388	153.5	0.26842395150706017
AKAP8	92	0.011417298347813264	0.023192836335657996	99.16666666666667	79.0	0.009599824709169404	148	0.7705882352941177	70.5	0.009599824709169404
AARS	93	0.0010052489184698662	0.002829057670550909	100.5	176.0	0.03485912489141245	28	0.0425101214574898	97.5	0.03485912489141245
HNRNPUL1	94	0.001542958977651461	0.00387395628257261	100.83333333333333	171.0	0.03485912489141245	34	0.0670995670995671	97.5	0.03485912489141245
DNAJC2	95	0.06141980910759641	0.10253985079827536	101.16666666666667	107.0	0.26842395150706017	43	0.0753138075313807	153.5	0.26842395150706017
RCC2	96	0.001443998397503236	0.0037429958461597038	101.16666666666667	168.0	0.03485912489141245	38	0.0626349892008639	97.5	0.03485912489141245
HNRNPM	97	1.0	1.0	101.5	58.0	0.009599824709169404	176	1.0	70.5	0.009599824709169404
HNRNPU	98	0.03376488658435162	0.06102461153318595	101.83333333333333	84.0	0.10668664342296795	96	0.2489711934156378	125.5	0.10668664342296795
RECQL	99	0.016355593900039586	0.03222051998307799	101.83333333333333	114.0	0.10668664342296795	66	0.1130820399113082	125.5	0.10668664342296795
DDX1	100	0.000788721593166428	0.0023542144523300956	102.5	187.0	0.03485912489141245	23	0.0324543610547667	97.5	0.03485912489141245
EFTUD2	101	0.08739264940554287	0.1434695994407662	102.83333333333333	83.0	0.26842395150706017	72	0.1323828920570264	153.5	0.26842395150706017
UCHL5	102	0.017669431921143102	0.03446413948975437	104.16666666666667	125.0	0.10668664342296795	62	0.1237721021611002	125.5	0.10668664342296795
TBRG4	103	1.0	1.0	105.16666666666667	80.0	0.009599824709169404	165	1.0	70.5	0.009599824709169404
PHF6	104	0.001335217269667129	0.0035545648935733027	108.16666666666667	192.0	0.03485912489141245	35	0.0576923076923076	97.5	0.03485912489141245
HNRNPA1	105	1.0	1.0	109.16666666666667	82.0	0.009599824709169404	175	1.0	70.5	0.009599824709169404
XPO5	106	0.10929122077620768	0.1750436625440074	110.83333333333333	99.0	0.26842395150706017	80	0.1851851851851851	153.5	0.26842395150706017
NAA15	107	0.0021170359306596663	0.005148840473332769	111.5	185.0	0.03485912489141245	52	0.0923379174852652	97.5	0.03485912489141245
DHX30	108	0.002194471440008005	0.005272083825385085	113.83333333333333	193.0	0.03485912489141245	51	0.0956521739130434	97.5	0.03485912489141245
TUFM	109	0.03902140384414067	0.06863586211871171	114.5	121.0	0.10668664342296795	97	0.2865612648221344	125.5	0.10668664342296795
UTP18	110	0.09156664996175573	0.1490795871278172	114.83333333333333	95.0	0.10668664342296795	124	0.5726141078838174	125.5	0.10668664342296795
ESF1	111	0.00445101387406592	0.010195927130127748	115.16666666666667	167.0	0.03485912489141245	81	0.183206106870229	97.5	0.03485912489141245
FIP1L1	112	0.15010033448334215	0.2292229914202977	115.16666666666667	97.0	0.26842395150706017	95	0.288	153.5	0.26842395150706017
PCBP1	113	0.02844797638241619	0.05287029572958481	116.16666666666667	137.0	0.10668664342296795	86	0.2091633466135458	125.5	0.10668664342296795
NUSAP1	114	0.006175536745033793	0.013824781122405195	116.83333333333333	166.0	0.03485912489141245	87	0.2400835073068893	97.5	0.03485912489141245
METAP2	115	0.01794775014800629	0.03466379195252195	117.16666666666667	163.0	0.10668664342296795	63	0.1260330578512396	125.5	0.10668664342296795
PABPC4	116	0.0089974337891662	0.01905908017705098	118.16666666666667	158.0	0.03485912489141245	99	0.3191489361702128	97.5	0.03485912489141245
NPM1	117	0.17192565325430642	0.2603614939404361	118.16666666666667	98.0	0.26842395150706017	103	0.3429752066115702	153.5	0.26842395150706017
GEMIN5	118	0.19692491000522383	0.29168576895510595	118.5	87.0	0.26842395150706017	115	0.4045174537987679	153.5	0.26842395150706017
SUPV3L1	119	0.0055660309636854505	0.012603541377540618	118.5	169.0	0.03485912489141245	89	0.2208333333333333	97.5	0.03485912489141245
SRP68	120	0.23677795626979709	0.3455204250751854	119.0	130.0	0.5388029867385493	50	0.0754716981132075	177.0	0.5388029867385493
LARP7	121	0.22517738035052892	0.3310443576795089	119.33333333333333	144.0	0.5388029867385493	37	0.0665188470066518	177.0	0.5388029867385493
AGO1	122	0.1345192533686576	0.21083327971259247	119.5	111.0	0.26842395150706017	94	0.2484969939879759	153.5	0.26842395150706017
