Pathway	PET rank	PET p-value	PET FDR	Average rank	Enrichr rank	Enrichr p-value	GSEA rank	GSEA p-value	ora rank	ora p-value
ASCC1	1	0.0	0.0	1.0	1.0	8.384941331187986e-18	1	0.0	1.0	8.384941331187986e-18
PPIG	2	0.0	0.0	4.166666666666667	6.0	4.084949298358086e-10	2	0.0	4.5	4.084949298358086e-10
DDX3X	3	0.0	0.0	8.166666666666666	7.0	4.084949298358086e-10	13	0.0	4.5	4.084949298358086e-10
PA2G4	4	0.0	0.0	10.166666666666666	14.0	2.803644224366207e-07	4	0.0	12.5	2.803644224366207e-07
EIF3G	5	7.329835275843053e-20	9.02485968338176e-19	13.666666666666666	3.0	3.591966005267652e-12	35	0.0248565965583174	3.0	3.591966005267652e-12
KRR1	6	1.0571013252173231e-14	1.224993888634192e-13	13.833333333333334	11.0	3.4489311622290776e-08	22	0.0071174377224199	8.5	3.4489311622290776e-08
RAVER1	7	2.344043379270131e-13	2.4304028721906094e-12	16.166666666666668	9.0	2.803644224366207e-07	27	0.0058479532163742	12.5	2.803644224366207e-07
PES1	8	0.0	0.0	18.0	23.0	8.611502379831113e-05	3	0.0	28.0	8.611502379831113e-05
DDX47	9	3.683899870139225e-24	4.8381884961161817e-23	18.333333333333332	2.0	1.798267916526862e-15	51	0.0437956204379562	2.0	1.798267916526862e-15
NSUN2	10	0.0	0.0	19.0	24.0	8.611502379831113e-05	5	0.0	28.0	8.611502379831113e-05
GRSF1	11	2.6897343265572667e-10	1.8924202226135054e-09	21.333333333333332	18.0	1.410652277850468e-05	24	0.0087260034904013	22.0	1.410652277850468e-05
SF3B4	12	2.002048800449405e-12	1.79274369858424e-11	22.166666666666668	17.0	2.803644224366207e-07	37	0.0223880597014925	12.5	2.803644224366207e-07
U2AF2	13	8.332735722460057e-10	5.4718297910821034e-09	22.666666666666668	16.0	1.410652277850468e-05	30	0.0194690265486725	22.0	1.410652277850468e-05
RTF1	14	2.3919727596702185e-14	2.617881298083517e-13	22.833333333333332	5.0	3.903765964623507e-09	57	0.0654545454545454	6.5	3.903765964623507e-09
EIF3D	15	9.628680316666114e-13	9.03261915420583e-12	23.166666666666668	8.0	3.4489311622290776e-08	53	0.0799220272904483	8.5	3.4489311622290776e-08
NONO	16	0.0	0.0	23.666666666666668	29.0	8.611502379831113e-05	14	0.0	28.0	8.611502379831113e-05
CSTF2T	17	6.225426565425745e-10	4.228996666858179e-09	24.0	25.0	1.410652277850468e-05	25	0.015929203539823	22.0	1.410652277850468e-05
IGF2BP2	18	0.0	0.0	24.166666666666668	30.0	0.0004702775639069078	6	0.0	36.5	0.0004702775639069078
HSPD1	19	3.416375636410568e-11	2.9262000016212256e-10	25.5	21.0	2.085554830380581e-06	38	0.0180831826401446	17.5	2.085554830380581e-06
RCC2	20	1.933965302931755e-08	1.0885461847930164e-07	26.166666666666668	32.0	0.0004702775639069078	10	0.0018348623853211	36.5	0.0004702775639069078
PUS1	21	1.527825815159064e-10	1.1576218676397522e-09	27.166666666666668	15.0	2.085554830380581e-06	49	0.0446096654275092	17.5	2.085554830380581e-06
RBM15	22	0.0	0.0	29.166666666666668	36.0	0.0004702775639069078	15	0.0	36.5	0.0004702775639069078
HNRNPK	23	2.49854506456261e-10	1.8230125100697563e-09	29.5	19.0	2.085554830380581e-06	52	0.0586011342155009	17.5	2.085554830380581e-06
AKAP8L	24	3.888474679437341e-08	2.0703500320247463e-07	29.5	33.0	0.0004702775639069078	19	0.0035778175313059	36.5	0.0004702775639069078
ATP5C1	25	1.8673299176164894e-08	1.0819529228542601e-07	30.5	39.0	0.0004702775639069078	16	0.00177304964539	36.5	0.0004702775639069078
SNRNP200	26	4.598909275419838e-08	2.3841713875202844e-07	32.0	26.0	8.611502379831113e-05	42	0.0409982174688057	28.0	8.611502379831113e-05
NAA15	27	3.5814656564308575e-11	2.939786392986995e-10	32.166666666666664	13.0	2.803644224366207e-07	71	0.1003460207612456	12.5	2.803644224366207e-07
HNRNPC	28	3.799278919073167e-11	2.993831788229656e-10	33.833333333333336	12.0	2.803644224366207e-07	77	0.1030741410488245	12.5	2.803644224366207e-07
PTBP1	29	4.817809398230139e-09	2.9659639107854296e-08	35.0	22.0	1.410652277850468e-05	61	0.0591497227356746	22.0	1.410652277850468e-05
TARDBP	30	2.7719135955544637e-07	1.3318706788395838e-06	36.833333333333336	41.0	0.0004702775639069078	33	0.0198915009041591	36.5	0.0004702775639069078
EIF4A3	31	7.328772687330992e-13	7.218841097021027e-12	38.166666666666664	4.0	3.903765964623507e-09	104	0.2376760563380281	6.5	3.903765964623507e-09
AUH	32	7.240303808477453e-07	3.3960472625477575e-06	39.0	50.0	0.002273136306726944	18	0.0037878787878787	49.0	0.002273136306726944
