ConsRank	ConsScore	mean	median	sum	wilcoxon	stouffer	reporter	tailStrength	gsea	fgsea	page
AARS	1	1	1	1	1	1	1	1	1	2	2	1
LARP7	1	1	1	1	1	1	5	1	1	4	4	11
FXR1	1	1	1	1	1	1	1	1	1	3	3	2
NAA15	1	1	1	1	1	1	1	4	1	1	1	7
XRCC6	5	2	17	1	1	1	1	4	1	8	8	3
PRPF8	6	2.5	1	1	1	1	9	4	1	42	42	17
SNRNP200	6	2.5	1	1	1	1	5	4	1	5	5	5
DNAJC2	8	3.5	1	1	1	1	7	8	1	6	7	15
SF1	9	4	1	1	1	1	7	8	1	9	9	11
PUF60	10	5.5	1	1	1	1	10	11	1	49	49	38
NCBP2	11	6	1	1	1	1	17	13	1	11	11	25
HNRNPM	12	7	1	1	1	1	13	15	1	32	32	23
RTF1	13	7.5	1	1	1	1	14	17	1	27	28	20
EIF3D	14	8.5	1	1	1	1	18	16	1	58	58	55
RPS19	15	10	1	1	1	1	19	19	1	80	80	77
EIF2S2	16	10.5	45	52	1	1	14	14	36	7	6	4
UTP3	17	11.5	22	23	1	1	16	18	1	10	10	13
ESF1	18	12	1	19	1	1	12	12	1	52	52	42
PNPT1	18	12	23	30	1	1	10	10	1	36	36	14
LARP4	20	19.5	39	63	1	1	23	24	34	16	16	6
ILF2	21	20.5	19	27	1	1	25	25	23	17	17	22
APOBEC3C	22	21	32	1	1	1	21	21	21	28	27	10
SF3B1	23	21.5	1	21	1	1	22	22	1	24	24	33
HNRNPK	23	21.5	17	23	1	1	20	20	23	25	25	28
DDX1	25	23	31	34	1	1	27	27	48	19	18	19
XPO5	25	23	21	25	1	1	26	26	32	20	20	36
TFIP11	27	24.5	84	119	1	1	37	38	78	12	12	8
PABPC1	28	26	30	1	1	1	24	23	28	56	56	52
U2AF2	28	26	35	49	1	1	28	28	47	15	15	24
DDX47	30	27	24	19	1	1	31	30	1	70	70	59
FMR1	31	28	27	44	1	1	29	29	41	18	19	31
DNAJC21	32	30.5	43	43	1	1	30	31	30	31	31	27
NPM1	32	30.5	29	1	1	1	33	32	29	62	62	54
SRSF1	34	32	28	21	1	1	38	36	27	41	43	40
CCAR2	35	32.5	49	54	1	1	36	35	49	30	30	30
CPSF7	36	33.5	20	33	1	1	34	34	22	96	96	93
PPIL4	37	37	85	106	1	1	51	51	89	23	23	21
EFTUD2	38	37.5	37	39	1	1	38	40	43	35	35	51
PARN	38	37.5	117	136	1	1	62	63	116	13	13	9
AGO1	40	39	51	57	1	1	41	41	94	14	14	37
EIF4B	40	39	77	84	1	1	52	52	81	26	26	18
PTBP1	42	40	46	40	1	1	40	39	42	40	40	35
HNRNPL	42	40	62	46	1	1	50	50	53	34	34	31
XRCC5	42	40	54	32	1	1	32	33	51	57	59	47
ABCF1	42	40	44	55	1	1	43	43	37	37	37	50
RPS3A	46	40.5	26	26	1	1	47	47	34	64	64	60
EIF4G2	47	41.5	83	87	1	1	54	55	64	29	29	26
G3BP2	48	42.5	41	29	1	1	45	45	25	50	51	44
PCBP2	48	42.5	53	62	1	1	42	42	44	43	41	43
ADAR	50	43.5	91	90	1	1	53	53	92	22	22	34
HNRNPC	51	46	42	60	1	1	35	37	50	77	77	69
NOL12	52	46.5	48	103	1	1	48	48	33	47	46	46
RCC2	53	47	113	99	1	1	73	73	113	21	21	16
MAGOH	54	48	38	35	1	1	56	56	40	96	96	89
DDX55	54	48	51	76	1	1	44	44	45	78	78	79
EIF4A3	54	48	34	31	1	1	63	62	31	79	79	80
SAFB2	57	48.5	98	121	1	1	64	64	88	33	33	29
SND1	58	49.5	36	36	1	1	60	60	39	96	96	105
ASCC1	59	50	33	37	1	1	55	54	46	96	96	109
CELF1	59	50	79	61	1	1	61	61	55	45	45	41
SUGP2	61	53	25	48	1	1	58	58	26	96	96	123
STIP1	62	56	55	70	1	1	49	49	57	71	71	78
HSPD1	62	56	60	58	1	1	45	46	54	68	67	61
GRWD1	64	57.5	118	136	1	1	70	68	118	46	47	45
RBM22	64	57.5	74	78	1	1	59	59	73	44	44	56
U2AF1	66	58	109	102	1	1	79	77	102	38	38	39
UPF1	67	59	59	69	1	1	57	57	59	83	83	83
UPF2	67	59	99	129	1	1	65	65	86	53	53	49
MSI2	69	59.5	105	120	1	1	71	72	98	39	39	48
RAVER1	70	61	75	85	1	1	68	70	56	61	61	58
RBM39	71	63.5	47	38	1	1	75	78	52	96	96	138
HNRNPA0	72	66	58	53	1	1	69	69	63	75	76	72
RBM17	72	66	56	47	1	1	77	76	37	96	96	113
KHDRBS1	74	66.5	66	45	1	1	66	67	71	96	96	101
SLTM	75	67.5	72	66	1	1	76	75	65	67	68	75
BUD13	76	69	70	79	1	1	72	71	77	60	60	68
FAM120A	76	69	64	71	1	1	67	66	76	74	75	75
SERBP1	76	69	71	67	1	1	74	74	75	69	69	66
PRPF6	79	71.5	94	124	1	1	87	86	99	48	48	57
DDX19B	80	72	73	68	1	1	81	82	66	72	72	73
DDX27	80	72	67	59	1	1	78	79	79	76	74	70
GTF2F1	82	72.5	50	41	1	1	84	84	61	96	96	153
SMN1	83	73.5	90	89	1	1	80	81	97	63	63	67
EIF3G	83	73.5	63	65	1	1	85	87	59	84	84	82
YBX3	85	75	40	28	1	1	92	92	58	96	96	154
UBE2L3	86	75.5	61	51	1	1	86	83	68	87	87	85
PKM	87	79.5	97	130	1	1	88	90	95	66	66	71
TUFM	88	80	65	42	1	1	90	91	70	96	96	131
PUM2	89	80.5	130	140	1	1	100	99	110	55	54	62
DDX6	89	80.5	116	115	1	1	97	97	126	59	57	64
