ConsRank	ConsScore	mean	median	sum	wilcoxon	stouffer	reporter	tailStrength	gsea	fgsea	page
ESF1	1	1	1	1	1	1	1	1	1	13	13	6
SUGP2	1	1	1	1	1	1	1	1	1	28	29	22
SND1	1	1	1	1	1	1	1	1	1	14	14	13
NCBP2	1	1	1	1	1	1	1	1	1	12	12	10
FAM120A	1	1	1	1	1	1	1	1	1	4	4	23
HNRNPK	1	1	1	1	1	1	1	1	1	3	3	1
AARS	1	1	13	1	1	1	1	1	1	9	9	3
LARP7	1	1	1	1	1	1	1	1	1	2	2	5
NAA15	1	1	1	1	1	1	1	1	1	1	1	2
AATF	1	1	1	1	1	1	1	1	1	6	6	4
XPO5	11	6	1	1	1	1	18	17	1	11	11	19
PUM1	12	7.5	14	18	1	1	1	1	1	25	25	16
DNAJC2	13	10.5	1	1	1	1	21	20	1	42	43	45
PPIL4	14	14	49	64	1	1	19	19	53	5	5	9
DDX55	14	14	1	1	1	1	13	16	16	27	27	15
SF3B1	16	14.5	16	22	1	1	13	13	1	22	22	20
BUD13	17	16.5	19	1	1	1	1	14	19	35	33	29
LARP4	18	17	29	37	1	1	24	22	29	7	7	12
RPS19	19	17.5	26	27	1	1	17	18	24	18	17	11
FMR1	19	17.5	33	38	1	1	22	21	33	8	8	14
SNRNP200	21	18	21	34	1	1	16	15	22	19	19	17
DDX47	22	19	25	25	1	1	15	12	23	24	24	8
KHDRBS1	23	20	14	20	1	1	20	23	1	54	54	54
SF1	24	21	24	24	1	1	25	26	25	17	18	18
DAZAP1	25	23	22	20	1	1	26	24	21	60	60	49
FKBP4	26	25	20	18	1	1	30	30	20	44	44	31
FUBP3	27	25.5	17	1	1	1	35	34	16	39	39	58
CPSF7	28	26.5	27	36	1	1	23	25	26	41	41	28
RTF1	29	28	34	26	1	1	41	41	35	21	21	30
SLTM	30	28.5	30	29	1	1	31	31	28	26	26	41
PCBP2	31	29	35	31	1	1	27	28	31	30	30	21
NUFIP2	32	31	36	51	1	1	38	38	43	15	16	26
UTP3	33	32	38	30	1	1	28	27	34	47	48	43
NOL12	34	35	40	33	1	1	37	37	32	52	52	33
HNRNPL	35	35.5	54	97	87	1	29	29	49	37	34	25
EIF4B	36	36	78	87	94	1	36	36	78	10	10	7
ILF2	37	36.5	18	1	1	1	55	55	16	109	109	130
PABPC1	38	38.5	41	41	1	1	34	35	36	71	72	63
DDX1	39	39.5	45	66	1	1	39	40	58	31	31	46
DDX19B	39	39.5	69	85	106	1	40	39	79	34	36	35
ABCF1	39	39.5	50	47	1	1	33	32	42	46	46	37
CIRBP	42	42	31	40	1	1	45	44	30	53	53	60
PNPT1	42	42	58	45	1	1	32	33	51	48	47	39
RBM22	42	42	88	123	122	1	42	42	82	32	32	32
EIF2S2	45	43	80	77	108	1	43	43	84	20	20	24
MAGOH	45	43	56	60	1	1	46	47	55	38	38	40
RPS3A	47	45	32	32	1	1	53	52	38	86	85	79
G3BP2	48	48	37	35	1	1	58	56	40	67	68	64
SF3A3	48	48	51	57	1	1	44	45	44	77	75	71
UPF1	50	48.5	98	84	88	1	49	48	98	16	15	27
PUF60	51	49.5	62	80	1	1	50	50	61	49	49	47
SRFBP1	51	49.5	73	107	1	1	57	58	75	23	23	42
CKAP4	53	52.5	48	59	1	1	52	53	46	109	109	111
HNRNPC	54	54	114	131	140	1	54	54	103	40	40	36
KHSRP	55	54.5	23	1	1	1	82	82	27	105	105	93
STAU1	55	54.5	39	50	1	1	59	59	39	109	109	128
HNRNPM	57	55	46	39	1	1	65	63	47	68	67	68
DNAJC21	58	55.5	57	58	1	1	51	51	54	109	109	108
PRPF8	59	56	75	96	84	1	48	49	62	56	56	48
NONO	59	56	91	110	1	1	60	60	90	33	35	52
SRSF1	61	57.5	68	77	1	1	61	61	59	55	55	56
PA2G4	62	58	28	23	1	1	80	79	37	109	109	149
GRWD1	63	60.5	47	44	1	1	71	71	50	91	92	94
KIF1C	64	62	52	42	81	1	62	62	41	76	77	73
PKM	65	62.5	67	88	1	1	47	46	67	64	63	62
