ConsRank	ConsScore	mean	median	sum	wilcoxon	stouffer	reporter	tailStrength	gsea	fgsea	page
DDX3X	1	1	1	1	1	1	1	1	1	4	9	1
AKAP8	1	1	59	1	1	1	1	1	1	38	34	38
KHDRBS1	1	1	1	1	1	1	1	1	1	10	10	1
SUB1	1	1	1	1	1	1	1	1	1	63	64	89
TROVE2	1	1	1	1	1	1	1	1	1	13	2	1
SRSF1	1	1	1	1	1	1	1	1	1	15	17	1
EIF2S2	1	1	1	1	1	1	1	1	1	45	42	72
DNAJC21	1	1	1	1	1	1	1	1	1	28	28	1
SF3B4	1	1	1	1	1	1	1	1	1	33	36	38
CNOT7	1	1	1	1	1	1	1	1	1	10	10	30
EFTUD2	1	1	1	1	1	1	1	1	1	6	3	1
PUM2	1	1	1	1	1	1	1	1	1	25	23	1
TARDBP	1	1	1	1	1	1	1	1	1	20	16	1
EIF3G	1	1	1	1	1	1	1	1	1	8	3	1
DDX47	1	1	1	1	1	1	1	1	1	57	58	1
MSI2	1	1	1	1	1	1	1	1	1	10	10	1
PABPC1	1	1	1	1	1	1	72	1	1	108	107	109
NELFE	1	1	1	1	1	1	1	1	1	97	96	64
KRR1	1	1	83	1	1	1	1	1	1	46	44	1
UPF1	1	1	1	1	1	1	1	1	1	56	56	59
ASCC1	1	1	1	1	1	1	1	1	1	67	65	64
QKI	1	1	1	1	1	1	1	1	1	21	21	30
BUD13	1	1	1	1	1	1	1	1	1	42	39	52
CSTF2T	1	1	1	1	1	1	1	1	1	19	20	1
DHX30	1	1	59	1	1	1	1	1	1	2	6	1
NPM1	1	1	1	1	1	1	1	1	1	54	54	46
UBE2L3	1	1	1	1	1	1	1	1	1	37	45	76
CPSF6	1	1	1	1	1	1	1	1	1	73	74	62
RBM15	1	1	1	1	1	1	1	1	1	102	102	100
CCAR1	1	1	1	1	1	1	1	1	1	27	27	1
AUH	1	1	1	1	1	1	1	1	1	62	60	43
BCLAF1	1	1	1	1	1	1	1	1	1	14	15	1
ZC3H8	1	1	1	1	1	1	1	1	1	35	43	38
SF3A3	1	1	1	1	1	1	1	1	1	9	13	1
FIP1L1	1	1	1	1	1	1	1	1	1	43	41	50
PTBP1	1	1	1	1	1	1	1	1	1	53	52	30
EIF2S1	1	1	59	1	1	1	1	1	1	36	33	43
FMR1	1	1	1	1	1	1	1	1	1	79	77	79
PUF60	1	1	1	1	1	1	1	1	1	80	81	67
RBM34	1	1	1	1	1	1	1	1	1	5	7	1
HNRNPL	1	1	74	1	1	1	1	1	1	127	127	97
HNRNPC	1	1	1	1	1	1	1	1	1	17	19	1
EIF3D	1	1	1	1	1	1	1	1	1	58	57	1
UCHL5	1	1	1	1	1	1	1	1	1	55	55	74
FTO	1	1	1	1	1	1	1	1	1	60	59	52
XRN2	1	1	59	1	1	1	1	1	1	40	37	59
ABCF1	1	1	1	1	1	1	1	1	1	1	1	1
STAU1	1	1	1	1	1	1	1	1	1	15	17	1
SUPV3L1	1	1	1	1	1	1	1	1	1	18	14	1
MATR3	1	1	59	1	1	1	1	1	1	26	24	1
AKAP8L	1	1	1	1	1	1	1	1	1	3	5	1
UTP3	1	1	1	1	1	1	1	1	1	34	35	1
