ConsRank	ConsScore	mean	median	sum	wilcoxon	stouffer	reporter	tailStrength	gsea	fgsea	page
DDX3X	1	1	1	1	1	1	1	1	1	41	43	9
RPS19	1	1	1	1	1	1	1	1	1	13	15	1
EIF3G	1	1	1	1	1	1	1	1	1	74	73	9
DDX47	1	1	1	1	1	1	1	1	1	49	47	1
NELFE	1	1	1	1	1	1	1	1	1	55	54	18
HSPD1	1	1	1	1	1	1	1	28	1	69	66	39
XRCC6	1	1	1	1	1	1	1	1	1	21	21	1
CSTF2T	1	1	1	1	1	1	22	1	1	50	51	23
TRIM56	1	1	1	1	1	1	22	1	1	8	7	1
NCBP2	1	1	1	1	1	1	1	26	1	7	8	25
UBE2L3	1	1	1	1	1	1	1	1	1	1	1	42
AUH	1	1	1	1	1	1	32	1	1	108	109	48
NONO	1	1	1	1	1	1	22	1	1	2	2	19
BCLAF1	1	1	1	1	1	1	1	1	1	12	12	45
PTBP1	1	1	1	1	1	1	1	1	1	27	26	1
PPIG	1	1	1	1	1	1	1	1	1	5	5	9
RBM34	1	1	1	1	1	1	22	1	1	3	3	53
HNRNPL	1	1	1	71	1	1	1	1	1	39	40	15
EIF3D	1	1	1	1	1	1	1	1	1	14	14	1
XRN2	1	1	1	1	1	1	1	31	1	70	69	35
PRPF6	1	1	1	82	1	1	1	1	1	57	58	13
RTF1	1	1	1	1	1	1	1	1	1	19	20	15
SRFBP1	1	1	1	1	1	1	22	1	1	4	4	32
LARP4	1	1	1	1	1	1	1	1	1	30	30	26
CKAP4	1	1	1	71	1	1	22	1	1	18	18	1
EIF4A3	1	1	85	103	1	1	1	1	1	34	39	1
APOBEC3C	1	1	1	1	1	1	1	1	1	64	64	13
FAM120A	28	3.5	1	1	1	1	51	43	1	6	6	103
TIAL1	29	5	1	135	1	1	1	28	1	9	9	12
PES1	30	5.5	1	1	1	1	30	34	1	10	10	63
UPF1	31	6	1	1	1	1	30	28	1	11	11	34
PSIP1	32	7	1	1	1	1	55	57	1	15	13	67
DNAJC21	33	9	1	1	1	1	34	31	1	68	68	17
TFIP11	34	10.5	1	71	1	1	22	1	1	45	42	20
XRCC5	35	11.5	1	1	1	1	22	26	1	48	48	24
CSTF2	36	14	1	1	1	1	76	76	1	28	27	102
ABCF1	37	14.5	1	1	1	1	51	49	1	71	72	28
PRPF8	38	15.5	1	1	1	1	35	35	1	67	70	30
PHF6	39	16	1	1	1	1	44	44	1	33	31	46
FMR1	39	16	1	1	1	1	62	62	103	16	16	69
HNRNPUL1	41	16.5	1	1	1	1	36	37	1	32	36	58
PABPC1	41	16.5	1	1	1	1	32	33	1	91	92	37
DDX52	43	19	1	1	1	1	41	47	1	66	67	37
SUB1	44	19.5	1	1	1	1	45	50	1	42	38	62
RCC2	45	22	1	1	1	1	50	46	1	43	44	73
PUM2	46	23.5	1	1	1	1	46	51	1	65	63	50
SRP68	46	23.5	1	1	1	1	54	58	1	46	49	91
AKAP8L	46	23.5	1	71	1	1	47	47	1	24	23	65
NAA15	49	26	1	1	1	1	69	70	1	51	52	99
AARS	50	27.5	1	71	1	1	57	55	1	26	29	50
BUD13	51	28.5	1	93	1	1	40	41	1	29	28	41
SMN1	52	29.5	125	172	1	1	47	39	103	20	17	20
DDX6	53	30	1	1	1	1	59	61	1	84	84	76
RECQL	53	30	1	1	1	1	61	59	1	63	65	74
METAP2	55	30.5	1	1	1	1	73	74	1	60	62	77
TIA1	56	31	1	1	1	1	98	97	1	61	61	124
NPM1	57	32.5	1	1	1	1	68	64	1	102	104	110
SRSF5	57	32.5	1	1	1	1	64	65	1	76	74	93
DDX24	59	33	1	89	1	1	41	37	1	36	33	33
RAVER1	60	33.5	1	1	1	1	75	66	1	116	118	83
ESF1	61	34.5	1	1	1	1	69	68	1	79	78	78
GTF2F1	61	34.5	1	82	1	1	36	39	1	35	34	50
SRSF1	63	35	1	102	1	1	41	45	1	53	53	29
DDX55	64	35.5	1	125	1	1	36	35	1	81	80	53
XPO5	65	37	1	1	1	1	81	73	1	83	83	109
PA2G4	66	38	1	126	1	1	49	52	97	37	37	39
TAF15	67	38.5	1	71	1	1	36	41	1	54	56	43
PNPT1	68	39.5	1	1	1	1	80	78	1	118	117	81
NUSAP1	68	39.5	1	1	1	1	78	81	1	86	86	90
HNRNPC	70	40.5	1	101	1	1	53	52	1	40	41	59
DDX1	71	41	109	136	1	1	60	56	100	22	22	26
PKM	72	46.5	1	1	1	1	92	92	1	137	141	129
SBDS	73	49	1	1	1	1	97	98	1	127	127	125
MSI2	74	52.5	1	71	1	1	56	60	1	82	81	49
PPIL4	74	52.5	1	115	1	1	73	80	81	31	32	79
HNRNPAB	76	55	99	1	1	1	58	52	90	77	79	22
GRSF1	76	55	90	1	1	1	67	71	1	111	110	43
