ConsRank	ConsScore	mean	median	sum	wilcoxon	stouffer	reporter	tailStrength	gsea	fgsea	page
DDX3X	1	1	1	1	1	1	1	1	1	14	13	1
AKAP8	1	1	1	1	1	1	1	1	1	63	64	57
SUB1	1	1	1	1	1	1	58	1	1	85	83	90
PABPC4	1	1	1	1	1	1	1	1	1	35	33	49
TROVE2	1	1	1	1	1	1	1	1	1	37	36	41
DDX24	1	1	1	1	1	1	1	1	1	26	29	1
SLBP	1	1	37	1	1	1	1	1	1	25	25	37
DDX6	1	1	1	1	1	1	1	1	1	8	9	1
TARDBP	1	1	1	1	1	1	1	1	1	32	31	1
MSI2	1	1	32	1	1	1	1	1	1	56	56	61
RRP9	1	1	1	1	1	1	1	1	1	62	58	41
HSPD1	1	1	1	1	1	1	1	1	1	40	38	1
ATP5C1	1	1	1	1	1	1	1	1	1	16	15	1
KRR1	1	1	1	1	1	1	1	1	1	20	19	1
ASCC1	1	1	1	1	1	1	1	1	1	5	1	1
AGO1	1	1	1	1	1	1	1	1	1	79	79	93
ILF3	1	1	1	1	1	1	1	1	1	97	95	76
TRIM56	1	1	32	1	1	1	1	1	1	44	43	41
PA2G4	1	1	1	1	1	1	1	1	1	1	4	1
PHF6	1	1	1	1	1	1	1	1	1	23	24	41
RBM15	1	1	1	1	1	1	1	1	1	11	16	1
AUH	1	1	53	1	1	1	1	1	54	17	18	1
NONO	1	1	1	1	1	1	1	1	1	13	11	1
SMNDC1	1	1	47	1	1	1	1	1	1	75	75	77
ZC3H8	1	1	1	1	1	1	1	1	1	2	6	1
PPIG	1	1	1	1	1	1	1	1	1	4	2	1
SUPV3L1	1	1	37	1	1	1	1	1	1	41	41	1
G3BP1	1	1	37	1	1	1	1	1	1	84	86	83
AKAP8L	1	1	1	1	1	1	1	1	1	19	20	1
EXOSC9	1	1	1	1	1	1	1	1	1	88	88	106
KIF1C	1	1	37	1	1	1	1	1	1	82	82	57
NSUN2	1	1	1	1	1	1	1	1	1	9	5	1
PES1	1	1	1	1	1	1	1	1	1	2	3	1
U2AF2	1	1	1	1	1	1	1	1	1	28	28	1
SRSF5	1	1	1	1	1	1	1	1	1	7	12	1
NUSAP1	1	1	1	1	1	1	1	1	1	10	8	1
NAA15	1	1	1	1	1	1	1	1	1	65	65	51
IGF2BP2	1	1	32	1	1	1	1	1	1	6	7	1
HLTF	1	1	44	1	1	1	1	1	48	18	17	1
GPKOW	1	1	1	1	1	1	1	1	1	22	22	1
PKM	1	1	1	1	1	1	1	1	1	130	129	121
RCC2	42	12.5	70	60	76	1	1	1	63	15	10	1
CSTF2T	43	13.5	72	1	71	1	1	1	72	30	26	1
IGF2BP3	44	16	75	1	85	1	1	1	68	31	32	1
CCAR2	45	16.5	32	1	1	1	58	1	1	68	68	71
PRPF8	46	19	49	1	62	1	1	1	1	59	60	37
GRSF1	47	23.5	82	77	75	1	1	1	76	24	23	1
PUS1	48	25	57	1	1	1	1	1	54	54	52	49
RAVER1	49	29.5	77	60	81	1	1	1	64	29	30	1
SF3B4	50	33.5	110	105	110	1	1	1	104	33	34	1
FIP1L1	51	35.5	54	1	1	1	1	57	48	34	37	46
FUS	52	39	59	78	62	1	1	1	48	38	40	37
KHSRP	53	48	32	1	1	1	67	64	1	124	125	122
SBDS	54	49.5	42	60	1	1	70	73	1	51	48	78
ZRANB2	55	51.5	80	82	71	1	62	1	83	12	14	41
SUGP2	56	52.5	43	67	1	1	1	57	48	118	119	115
XRCC5	57	54.5	58	60	1	1	1	57	54	55	55	46
TIA1	58	55	37	1	1	1	73	74	1	117	118	116
PARN	59	56	61	94	1	1	80	80	64	21	21	51
HNRNPA2B1	59	56	75	88	79	1	1	57	70	45	46	55
HNRNPK	61	56.5	94	89	116	1	1	1	91	53	54	59
NCBP2	62	58	46	1	1	1	70	74	1	120	120	117
BCLAF1	63	58.5	81	69	91	1	1	1	81	57	57	60
UCHL5	63	58.5	63	1	83	1	77	72	54	52	53	70
CSTF2	63	58.5	52	67	1	1	76	68	1	58	59	68
FASTKD2	66	59	48	1	1	1	70	71	48	81	81	88
XPO5	67	60	60	1	89	1	1	57	60	66	66	62
UTP18	68	61	44	60	1	1	62	64	1	93	92	82
RTF1	69	61.5	83	84	67	1	58	1	81	60	63	46
CIRBP	70	63	67	69	71	1	1	1	66	64	62	55
UBE2L3	70	63	62	99	1	1	65	64	80	27	27	67
PSIP1	72	64.5	56	1	62	1	74	77	58	67	67	72
SNRNP200	72	64.5	86	79	77	1	65	64	85	42	42	1
UPF1	74	70.5	71	1	90	1	62	57	70	86	87	74
HNRNPUL1	75	71	49	1	1	1	82	81	61	100	103	105
CPSF6	76	72.5	87	75	67	1	68	68	86	73	72	84
EIF2S2	77	74.5	55	1	1	1	92	91	58	151	151	141
TUFM	78	75	92	120	62	1	84	84	107	43	44	66
LARP7	79	75.5	79	69	88	1	68	70	72	99	99	103
SRFBP1	80	78.5	65	1	67	1	93	89	72	87	85	97
XRN2	81	79	91	93	108	1	79	79	92	39	39	1
RBM39	82	80.5	66	76	74	1	85	87	67	112	113	112
HNRNPM	83	83	88	83	93	1	83	83	88	72	73	73
RBM25	84	83.5	73	60	67	1	94	96	68	137	137	134
U2AF1	85	84.5	69	69	1	1	91	91	78	127	126	129
HNRNPC	85	84.5	97	96	103	102	58	63	92	77	77	51
CELF1	87	86.5	107	91	123	124	81	82	101	46	45	36
AATF	87	86.5	64	85	1	1	89	88	61	113	112	119
BOP1	89	87.5	85	85	83	1	90	94	84	133	135	130
PTBP1	90	90	113	120	120	112	78	78	102	61	61	1
QKI	91	91	78	1	66	1	105	104	78	138	138	131
RBFOX2	92	92	51	69	1	1	115	115	53	144	145	135
PNPT1	93	92.5	74	60	79	1	106	106	76	125	124	120
EIF2S1	93	92.5	90	102	102	102	95	97	90	70	71	85
DDX1	95	95.5	68	80	1	1	111	112	75	148	148	139
DKC1	95	95.5	96	74	98	1	88	93	95	151	151	149
GRWD1	95	95.5	93	114	95	1	87	85	96	108	107	98
ILF2	98	96	95	97	117	120	97	99	94	71	70	65
PUM2	99	96.5	84	81	99	102	101	102	87	96	97	96
FAM120A	100	99	99	87	101	102	100	100	98	78	80	99
EIF3G	101	100.5	132	138	145	140	74	74	127	36	35	1
YBX3	102	102.5	101	89	93	1	104	105	100	128	128	128
SSB	103	105	104	101	124	128	114	114	106	102	100	87
DDX52	104	106	102	120	86	1	118	118	111	94	93	110
KHDRBS1	105	109	120	109	127	126	108	109	122	49	51	62
FKBP4	106	109.5	116	128	107	1	86	86	112	111	111	108
SF3A3	106	109.5	121	119	122	118	102	101	117	76	76	79
PUF60	108	110	103	92	109	115	110	110	97	131	132	138
CCAR1	109	111.5	89	107	81	1	116	116	89	122	122	124
EFTUD2	110	112.5	119	126	126	131	109	108	116	92	96	81
RPS19	111	113	140	133	132	123	103	103	136	89	90	69
SUPT6H	112	114.5	98	98	92	102	127	127	99	151	151	154
BUD13	113	115	136	150	156	145	96	90	134	83	84	75
HNRNPA0	113	115	109	125	111	115	113	113	115	121	121	125
SRSF1	115	115.5	133	153	125	124	107	107	129	69	69	64
TIAL1	115	115.5	126	142	112	112	119	120	124	105	108	104
FMR1	117	116.5	105	104	99	102	128	128	105	151	151	168
TFIP11	118	117	118	100	96	102	143	142	121	116	116	118
SRP68	119	117.5	100	108	86	1	126	126	109	132	131	132
HNRNPU	120	118	130	127	140	132	98	95	123	110	110	113
STIP1	120	118	125	132	115	1	121	121	138	90	89	109
DNAJC2	122	119	123	117	121	119	138	138	119	101	101	102
SUCLG1	123	120	122	111	133	137	123	124	118	95	94	94
PUM1	124	122.5	106	94	97	102	139	139	103	151	151	177
FUBP3	125	123	124	113	106	1	124	122	120	149	149	148
LSM11	126	123.5	108	110	105	117	130	131	108	151	151	162
CKAP4	127	126	137	154	160	156	120	119	132	115	115	111
METAP2	128	126.5	135	139	135	130	122	123	135	98	98	107
G3BP2	129	127	145	171	163	162	112	111	142	47	47	51
DDX47	130	127.5	166	179	172	171	99	98	156	48	49	1
FTO	131	128	112	123	119	121	133	133	110	151	151	191
EWSR1	132	128.5	111	123	104	102	135	134	113	151	151	163
ADAR	133	131.5	138	143	139	139	125	125	150	74	74	89
CNOT7	134	136.5	147	144	162	155	129	129	148	91	91	92
FXR1	135	137.5	148	157	153	152	134	135	140	106	104	86
GTF2F1	136	138	115	103	77	1	161	161	125	151	151	180
HNRNPA1	137	139	156	152	142	141	137	137	157	114	114	114
RECQL	138	139.5	127	134	114	112	145	146	128	151	151	160
EIF3D	138	139.5	165	163	171	170	117	117	162	50	50	37
RBM22	140	140.5	128	114	129	134	147	147	130	151	151	161
TBRG4	141	141	144	137	138	128	132	130	145	151	151	164
CPSF7	141	141	117	131	118	122	153	154	131	151	151	184
XRCC6	141	141	141	150	134	133	141	141	133	151	151	159
PCBP1	141	141	129	116	146	148	136	136	126	151	151	151
UTP3	145	143.5	134	145	144	150	146	145	139	142	142	143
MAGOH	145	143.5	157	169	147	144	142	143	152	119	117	123
DDX27	147	144	152	141	150	151	144	144	149	109	109	101
DDX19B	148	144.5	146	140	161	164	156	155	143	135	134	133
MTPAP	148	144.5	131	130	131	138	167	163	137	151	151	170
AARS	150	146.5	114	106	128	142	152	152	114	151	151	153
SMN1	151	147	149	135	141	136	159	159	151	147	147	146
DDX28	151	147	139	129	137	143	158	158	141	151	151	156
EIF4A3	151	147	163	162	168	167	131	132	163	104	105	95
LARP4	154	147.5	162	177	170	169	140	140	155	103	102	90
DNAJC21	155	148	150	155	165	163	148	148	147	143	143	144
HNRNPAB	156	148.5	142	118	143	146	162	162	146	151	151	181
TRA2A	157	149.5	143	172	148	146	149	150	144	151	151	155
DDX55	158	151	151	149	130	127	164	165	154	151	151	171
RPS3A	159	152	158	168	149	149	155	156	159	139	139	145
SART3	160	152.5	154	136	136	134	173	173	158	151	151	188
NPM1	161	153	155	112	113	102	170	170	173	151	151	175
PRPF6	162	155	160	156	158	157	154	153	161	107	106	100
SLTM	163	156.5	153	160	155	158	163	164	153	151	151	165
SFPQ	163	156.5	164	159	154	153	165	166	167	126	127	127
STAU1	165	158	172	177	181	183	150	149	166	134	133	136
ESF1	166	158.5	159	165	176	177	157	157	160	151	151	158
SF3B1	167	162	170	147	152	154	181	182	174	151	151	194
PABPC1	168	162.5	161	166	157	160	166	168	164	151	151	167
SND1	169	163.5	179	176	185	180	151	151	178	136	136	142
LIN28B	170	166	167	160	159	165	179	179	169	151	151	178
AKAP1	171	168.5	171	158	169	172	178	178	168	151	151	166
BCCIP	172	169.5	169	172	151	158	187	186	170	151	151	190
MATR3	172	169.5	184	179	190	189	160	160	184	79	78	80
DAZAP1	172	169.5	174	164	167	168	183	183	171	151	151	179
DHX30	175	170	173	175	173	173	168	167	172	150	150	152
SF1	175	170	177	146	166	166	188	188	183	151	151	174
