NGenes	Direction	p.value	p.adj	avg.logfc	avg.logfc.dir	direction	significance
AARS	190	Down	1.35002391101872e-06	0.000132977355235343	0.719105424318865	-0.787654084102071	-1	99.0586348155911
HNRNPC	196	Down	1.29817719102183e-06	0.000132977355235343	0.533809867299124	-0.525108675172547	-1	73.5308858817841
DDX3X	188	Down	2.57378521444859e-05	0.00169011895748791	0.589681191407855	-0.582592741128697	-1	58.08725976712
HSPD1	189	Down	4.23426580038972e-05	0.00180333349121209	0.699112709799628	-0.748752576172019	-1	68.1692843297098
ATP5C1	197	Down	4.57698855637587e-05	0.00180333349121209	0.725385883372699	-0.778135936482537	-1	70.7315457811714
DDX52	193	Up	0.000132815963448486	0.00436079079989197	1.19211033883248	0.87854243656788	1	100
SNRNP200	195	Down	0.00017503023346343	0.00492585085604225	1.04301179919059	-1.06607062720303	-1	85.5299079592774
PRPF8	189	Down	0.000341832102208061	0.0084176155168735	0.71961195359097	-0.789477688209027	-1	53.0550342205613
UTP3	187	Down	0.00054314816848247	0.0107000189191047	0.802164659447607	-0.838238432049365	-1	56.1720224151466
U2AF2	189	Down	0.000525341485574812	0.0107000189191047	0.560215548232239	-0.584999990470805	-1	39.2261179903469
EIF3D	185	Down	0.000744604102075271	0.0124700665500902	0.625997625635366	-0.639488889948522	-1	42.3542262012027
FXR1	189	Down	0.00075959796244204	0.0124700665500902	0.710028225736385	-0.713404538816607	-1	48.0410945962443
EIF4A3	188	Down	0.000844868218545849	0.0128030030041179	0.655927791463677	-0.664098614397633	-1	44.113014501944
DDX47	195	Down	0.00112056454471035	0.015767943950567	0.614193214741393	-0.636694320107253	-1	39.3307851748902
UPF1	186	Down	0.00146865177280803	0.0192882932828788	0.62695437465687	-0.63165612774856	-1	38.1980065372422
RAVER1	190	Down	0.00163603596476382	0.0201436928161545	0.810025334652765	-0.714363441931582	-1	48.8124708691256
EIF2S2	185	Down	0.0021372367894747	0.0247668027956774	1.0334332355707	-1.12466736649509	-1	58.9823124542982
BCLAF1	192	Down	0.00252833260490633	0.0262148170087656	0.647409424540932	-0.574616003166901	-1	36.3784512737515
ABCF1	198	Down	0.00247236137884817	0.0262148170087656	0.567345220455853	-0.593641114691565	-1	31.8782331554006
EFTUD2	196	Down	0.00267037776423266	0.0263032209776917	0.528139357555035	-0.523124223982207	-1	29.647119895333
MSI2	193	Down	0.00314355940760156	0.0294895811094051	0.833399580242479	-0.880821853952078	-1	45.3182631746995
XRCC6	190	Down	0.00337087518145012	0.0301846550338942	0.708907786604648	-0.739914375399851	-1	38.2921507901692
PNPT1	184	Down	0.00396213390991629	0.0325225158438962	0.761453503727258	-0.845884968874969	-1	40.2544541577586
SUPV3L1	193	Down	0.00395641417701197	0.0325225158438962	0.904550002758269	-0.890208724320615	-1	47.8213373754992
HNRNPA2B1	193	Down	0.00559759516670257	0.0441090499136162	0.550688972128149	-0.559162320940654	-1	26.5190255439045
UCHL5	197	Down	0.00632872061174319	0.0479522292505157	0.66580316105055	-0.694413938825089	-1	31.2062016199987
ESF1	187	Down	0.00699006704152973	0.0510016002659762	0.891728521101818	-0.991919236563781	-1	40.9504249277204
RPS19	184	Down	0.00782072074768677	0.0538648944775968	0.679291197695832	-0.655135543705008	-1	30.6194472294488
LIN28B	187	Up	0.00792934994847871	0.0538648944775968	0.898087993427051	0.87054817281606	1	40.4853480319984
TROVE2	195	Down	0.00901157114916377	0.0554774848870395	0.772755877647373	-0.691690781728917	-1	34.4820665533905
RECQL	195	Up	0.00891945668956128	0.0554774848870395	0.82132580079718	-0.990688340245956	-1	36.650047778687
RBM39	192	Down	0.00870406717169943	0.0554774848870395	1.16979764316236	-1.37766327690454	-1	52.2045383522468
PABPC1	180	Down	0.012611097889398	0.0659910189703777	0.696691458017561	-0.705172384348937	-1	29.2205963036542
ZC3H8	194	Down	0.0121183165987143	0.0659910189703777	0.505958788615223	-0.493419819833791	-1	21.2179155013134
CELF1	189	Down	0.0127563903463194	0.0659910189703777	0.622936419537238	-0.649642363205259	-1	26.1260135435434
PCBP2	197	Down	0.0119248599870689	0.0659910189703777	0.592377632094329	-0.609512177936784	-1	24.8438408440343
RTF1	191	Down	0.0130642118773844	0.0659910189703777	0.757979486749988	-0.699369677924724	-1	31.7920935331912
AKAP8L	194	Down	0.0114875150524149	0.0659910189703777	0.577035217145637	-0.517334979823333	-1	24.2001102762391
LARP4	189	Down	0.0112138446800926	0.0659910189703777	0.724765055287314	-0.763430715464838	-1	30.3984964432961
SRSF1	194	Down	0.0141737409304371	0.066916730567634	0.594255707262845	-0.635288291589886	-1	24.7948614925691
DNAJC21	190	Down	0.0142665110854854	0.066916730567634	0.783280857682454	-0.871897366631371	-1	32.6852541186668
PUF60	178	Down	0.0139285956534478	0.066916730567634	0.738454333386468	-0.767655367035463	-1	30.8140804892663
AKAP8	192	Down	0.0148789508537943	0.0681663562371507	0.93766156908568	-0.853094063078166	-1	38.8617116727797
BUD13	191	Down	0.0167827529419453	0.0751409620355277	0.958899186213008	-0.919642213646707	-1	38.300306927163
STAU1	194	Down	0.0183509364104031	0.0803363216188756	0.761553744237238	-0.661859918991529	-1	29.6298090551453
RBM15	194	Down	0.0187740460676158	0.0804018929417459	0.527886430742894	-0.545223404880521	-1	20.5285141294073
SRSF5	194	Down	0.0226909357840791	0.0931273822804915	0.518472123157184	-0.489957107043902	-1	18.9863415749234
RCC2	190	Down	0.0223107181795708	0.0931273822804915	0.832636342004226	-0.900980322704648	-1	30.4975686157524
KHDRBS1	192	Down	0.0243569884687403	0.0979250352722826	0.614388502107018	-0.604991787390786	-1	22.0244027336506
EIF3G	192	Down	0.037101279850895	0.146179042612526	0.614420637012945	-0.611147476175067	-1	18.2260035897771
SF3B4	189	Down	0.0385782368199469	0.149017895167246	0.454438817124086	-0.459532371381704	-1	13.3425928086045
SFPQ	188	Up	0.0433491229520819	0.164226485030003	0.827969838369208	0.845899820375036	1	23.0766548121284
PUM2	187	Down	0.048384398422404	0.179843896022898	0.863344266359774	-0.804997533021219	-1	22.8524629288744
HNRNPL	189	Down	0.054757168214505	0.199762261819583	0.71072426962387	-0.735633553579924	-1	17.6584106526923
PTBP1	194	Down	0.0559612402451056	0.200442987787015	0.770677483649215	-0.862960230360044	-1	19.1084378056228
EIF4G2	182	Down	0.05796114365018	0.203899023197955	0.643426786329601	-0.662484892763279	-1	15.7817607768613
HNRNPM	179	Down	0.0723900127297514	0.250190043995807	0.729054409147031	-0.64774701422806	-1	15.581060009298
SBDS	187	Up	0.0806539283132824	0.264813731295277	0.865865305703933	1.06343940755842	1	17.7477530249629
HNRNPA0	189	Down	0.079615226643456	0.264813731295277	1.1906464063574	-1.33836401969588	-1	24.4089178650358
PRPF6	193	Down	0.0804153232016255	0.264813731295277	0.786408397402761	-0.901379055771098	-1	16.1181152079478
NSUN2	196	Down	0.082367968426056	0.26600802917923	0.611427170082101	-0.636347829191973	-1	12.4868336332946
MAGOH	183	Down	0.085680287400082	0.272242203513164	0.665201331366306	-0.649670873229818	-1	13.3481314163446
U2AF1	182	Down	0.0932908971175996	0.285140580646483	0.6881252822121	-0.666785197167814	-1	13.3168288321702
BOP1	190	Down	0.0935913685507401	0.285140580646483	0.913165015438193	-1.0221641757913	-1	17.6754337268148
KIF1C	195	Down	0.0940819174721899	0.285140580646483	0.780114159501651	-0.869172790223768	-1	15.0984838539716
RBM22	194	Down	0.100510002333404	0.300007128176978	0.593246340645295	-0.608845456652627	-1	11.0137986790691
FUS	189	Down	0.104520574387647	0.307321688871141	0.609152329231353	-0.559183932644246	-1	11.0828921437561
FAM120A	197	Up	0.11292977454194	0.327164199775913	0.678156503450349	-0.690709930908445	-1	11.6846480166932
G3BP2	194	Down	0.114938558159116	0.328157912425302	0.665465407644814	-0.587693954579279	-1	11.4346245004421
DDX27	188	Down	0.11835793464684	0.333093044648965	0.681315168809433	-0.624755366109621	-1	11.5502496349073
KHSRP	195	Up	0.131013462444511	0.363516226782657	0.740206607599757	-0.613580174347819	-1	11.5509555852618
FMR1	187	Down	0.14276173209925	0.381093476080939	0.938079063678334	-0.970554238676054	-1	13.9579276169904
PUS1	193	Down	0.142129304941977	0.381093476080939	0.69679604168708	-0.570286272532666	-1	10.3650124922556
TFIP11	196	Down	0.143151864111622	0.381093476080939	1.0480582407991	-1.03881656037192	-1	15.595613707052
LSM11	184	Up	0.146962177142128	0.38602065195999	1.09749273921598	-1.30929277654273	-1	16.1141165785943
SLTM	186	Down	0.152691471845159	0.395792367809162	0.52821438092532	-0.547108032778392	-1	7.54612209325903
EIF4B	197	Down	0.162398332450131	0.415486642762023	0.943143200731921	-0.970316970107187	-1	12.7754444275637
DDX24	197	Down	0.16636023413563	0.417776178992927	0.633724525650102	-0.611733568830464	-1	8.52685376987161
SND1	195	Down	0.185145059529835	0.417776178992927	0.910121738603259	-0.966136896727576	-1	12.2505671574663
ASCC1	191	Down	0.170086791671531	0.417776178992927	0.755306549708032	-0.702866001743383	-1	10.1648464465637
CSTF2T	195	Down	0.181940812432241	0.417776178992927	0.587274690240567	-0.612702293371416	-1	7.90106643968109
CPSF6	196	Up	0.185396262327263	0.417776178992927	0.717268448134773	0.886080377355786	1	9.65238473772932
SF3A3	197	Down	0.185579429681704	0.417776178992927	0.628762966237098	-0.623684114226162	-1	8.46001002346711
EIF2S1	198	Down	0.170174040799821	0.417776178992927	0.587243710816827	-0.603775244083094	-1	7.90064907478191
PPIL4	193	Down	0.177852331043583	0.417776178992927	0.768966563382006	-0.691127775133901	-1	10.3488786053869
XRN2	193	Down	0.186620831225267	0.417776178992927	0.633692873543583	-0.683045298644787	-1	8.52642734237066
SRFBP1	195	Down	0.17202811318421	0.417776178992927	0.872651679321503	-0.826003367429074	-1	11.7457582996248
TRA2A	197	Up	0.181418933435379	0.417776178992927	0.718669871824166	-0.477427637944522	-1	9.67126517468499
STIP1	190	Down	0.197710999038317	0.428967573472579	1.52392535851605	-1.59781144959957	-1	19.8980958763459
DDX1	181	Down	0.200827500221806	0.428967573472579	0.757356736345003	-0.950388547116489	-1	9.88342976594099
KRR1	191	Down	0.200526970434425	0.428967573472579	0.634305727186746	-0.569434955586156	-1	8.27585708995771
SMNDC1	196	Down	0.202507534685025	0.428967573472579	0.705555709729192	-0.57799819588553	-1	9.20668671811793
CKAP4	195	Down	0.196231813803229	0.428967573472579	0.741850538908231	-0.749165434508082	-1	9.68085248129883
SUCLG1	192	Up	0.209861536426173	0.437118231757516	0.739059310600211	0.864069369299742	1	9.42966485965738
TARDBP	193	Down	0.212125056566724	0.437118231757516	0.704976246606748	-0.699028635838467	-1	8.99429651965571
RBFOX2	183	Up	0.213011930196556	0.437118231757516	1.22133365939183	1.15604767647657	1	15.59011401115
GTF2F1	184	Down	0.215681632350805	0.438033830650604	1.28153342744842	-1.44456743299906	-1	16.317699536952
NOL12	196	Down	0.221567980736061	0.440897901060647	0.993763724065491	-1.05099525656903	-1	12.5511281045216
UPF2	182	Down	0.219816325135453	0.440897901060647	1.37701646843563	-1.75948738593615	-1	17.3957684170407
GRSF1	192	Down	0.225498676939399	0.444232393570616	0.679097061348446	-0.74736712206942	-1	8.49449550795348
CIRBP	197	Down	0.244310614283644	0.467273699163864	0.649892199488789	-0.573605460757701	-1	7.62145320925744
HNRNPK	194	Down	0.242756014528611	0.467273699163864	0.811945961840594	-0.855404147681949	-1	9.52461481838487
BCCIP	181	Up	0.242704191639904	0.467273699163864	0.767522909701103	-1.04329935149748	-1	9.00290988438521
NUFIP2	182	Up	0.252072194239694	0.477482906396343	0.867143781888329	0.788045217501792	1	9.8835688913046
DDX55	192	Down	0.261408664985528	0.490452447639515	1.02642251067653	-0.919604289799976	-1	11.2763996185525
NAA15	194	Down	0.276443029201303	0.513766761817516	0.637594469681045	-0.652739454644122	-1	6.54350689334435
PA2G4	193	Up	0.285536649661833	0.525707663396086	1.10332734949034	-1.67042142065936	-1	10.9398953642438
PES1	194	Up	0.306802088216004	0.5596297349866	0.966015844741028	-0.837662905592635	-1	8.64465862778512
NELFE	193	Down	0.34029534970121	0.603947602622868	0.778783559274088	-0.74342313067036	-1	6.05090454082507
NONO	196	Down	0.33687832349779	0.603947602622868	0.709197226585713	-0.634656510575965	-1	5.50926748934273
LARP7	194	Up	0.339988496953276	0.603947602622868	0.75513799012883	-0.66912592179039	-1	5.86685523318569
SUPT6H	192	Down	0.34813066903563	0.612336980357313	0.839752192978637	-0.798591689368871	-1	6.3466485348375
AGO1	182	Down	0.356381733898268	0.621302668831494	0.743444759836603	-0.732362871369229	-1	5.45072746351632
NCBP2	188	Down	0.364851666037145	0.630489282537874	0.66823022623968	-0.69065154057893	-1	4.74677939519224
XPO5	191	Down	0.373219118876882	0.639340577554312	0.566558037196104	-0.594018126959409	-1	3.90097575826285
CNOT7	192	Down	0.380176661950154	0.645644848311899	0.557126264080193	-0.604288414264175	-1	3.75147155368451
CCAR2	178	Down	0.385392871766673	0.648909365282347	0.950422394270591	-1.13697532113143	-1	6.33347277181984
SART3	187	Up	0.392644962550774	0.655517437478835	0.889315733931031	-0.971490866594486	-1	5.78648594569744
SUGP2	189	Up	0.420426795301065	0.696000661128653	1.62985837381426	-2.23573276083265	-1	9.10642195554212
SF3B1	185	Down	0.440980573561935	0.723943108264177	1.08157595440881	-1.07494201757879	-1	5.38222669447721
SRP68	192	Down	0.446040428097875	0.726198052357698	0.867734617877848	-0.684793896171697	-1	4.27428403653501
UBE2L3	194	Down	0.450031269002122	0.726689836011623	1.31691711904713	-1.83869027827997	-1	6.47874150885199
IGF2BP2	193	Up	0.455433023536955	0.729433379160814	0.562703797277691	-0.517249391370347	-1	2.72932626206845
RBM34	191	Up	0.46683815762793	0.739594360004422	1.09648352713002	-1.06697803725	-1	5.09455400868756
PUM1	192	Up	0.469285761424126	0.739594360004422	0.627240557676114	0.65968748474252	1	2.90966613088843
HNRNPA1	183	Up	0.490622891107678	0.743482381140097	0.756896570297169	0.59851062238813	1	3.45211312283964
DDX6	187	Down	0.489847184832866	0.743482381140097	0.657582940771451	-0.665711831447253	-1	2.99772689231252
