NGenes	Direction	p.value	p.adj	avg.logfc	avg.logfc.dir	direction	significance
FAM120A	197	Down	8.15864703695545e-14	1.60725346628022e-11	0.821334264186462	-0.838013620095552	-1	96.9022183399196
NAA15	194	Down	2.49498126034513e-12	2.45755654143995e-10	0.952050821411649	-0.994878015993814	-1	100
HNRNPK	194	Down	6.37764557622648e-12	4.18798726172206e-10	0.751989180467165	-0.759525992483239	-1	77.075998830688
ESF1	187	Down	1.61450368224655e-11	7.95143063506426e-10	0.802898860279257	-0.746987621948583	-1	79.8518324186308
SUGP2	189	Down	1.04526354418798e-10	4.11833836410065e-09	0.949649923128461	-0.888067424979712	-1	87.0360915000521
LARP7	194	Down	7.11994302498921e-10	2.33771462653812e-08	0.802448692893645	-0.831654736763919	-1	66.9238050327318
SND1	195	Down	3.13612686751551e-08	8.8259570414365e-07	0.805847105332617	-0.77569121602181	-1	53.3124663425464
QKI	196	Up	1.22098953602526e-07	2.6726104288553e-06	0.506712230723259	0.520393282983779	1	30.8447199293676
METAP2	192	Up	1.20345317211869e-07	2.6726104288553e-06	0.676763424221749	0.710394857537616	1	41.2069452998277
XPO5	191	Down	5.92851476937193e-07	1.16791740956627e-05	0.729619636921497	-0.658964509032989	-1	39.3182802018683
PPIG	199	Up	7.44450785255292e-07	1.33324367904811e-05	0.633700229473323	0.625744549344214	1	33.7466715298531
NCBP2	188	Down	1.35009105662553e-06	2.21639948462692e-05	0.784348602577901	-0.793317106083223	-1	39.8838032221817
RBM25	192	Up	3.53810589517782e-06	5.36159124115407e-05	0.604618968014025	0.582024122280496	1	28.200988582037
DNAJC2	187	Down	4.3361065573585e-06	6.10152136999731e-05	1.08498901652501	-1.00700927170285	-1	49.9662561800548
TRA2A	197	Up	6.04228675708976e-06	7.93553660764455e-05	0.621164799440447	0.673218318438719	1	27.8170828567441
FIP1L1	188	Up	8.13375472473364e-06	0.000100146855048283	0.652643197051932	0.672452842424993	1	28.507215236615
LIN28B	187	Up	9.05080344563226e-06	0.000103526996019344	0.73978794770945	0.754924000134753	1	32.201361544924
AATF	193	Down	9.45931943323954e-06	0.000103526996019344	0.793491634515248	-0.757469053461733	-1	34.5413077680881
RPS10	187	Up	1.49183570714821e-05	0.00015467980753063	0.732705753092423	0.792670411471002	1	30.4957506727037
GRSF1	192	Up	1.92859466973283e-05	0.000189966574968684	0.731611471119305	0.784679850011465	1	29.7362587524024
RECQL	195	Up	2.67566845307201e-05	0.000251003183454851	0.594245779421125	0.64339604718622	1	23.3607818835684
FKBP4	197	Down	4.22099240869231e-05	0.000377970683869266	0.917257454816895	-0.907033790482904	-1	34.2934386137774
TRIM56	195	Up	5.71659398419219e-05	0.000489638702124287	0.890773331502122	0.907415729131355	1	32.2074310852526
SBDS	187	Up	6.89342276954647e-05	0.000565835119000273	0.877602640358365	0.888370132782925	1	31.1279987432554
AUH	191	Up	7.88647978090291e-05	0.000621454606735149	0.653277565939833	0.615050654778165	1	22.8722316205624
CPSF6	196	Up	0.000121090630742096	0.000917494394468956	0.632310600883274	0.68234030151674	1	20.9673568625337
TARDBP	193	Up	0.000184004883686659	0.0013425541513434	0.654701266932426	0.670784779713296	1	20.5274667786952
ILF2	190	Down	0.000202463840847169	0.00142447773738901	0.836938733458664	-0.784343923569875	-1	26.0149067710598
PSIP1	187	Up	0.000241289633822751	0.00163910544355455	0.507075808788598	0.462306593872298	1	15.4109948689311
PUM1	192	Down	0.000342820575732125	0.00225118844730762	0.850429093845616	-0.850910446933007	-1	24.5865994600059
HLTF	192	Up	0.000372352991296907	0.00236624320275776	0.831598592603618	0.959705364388849	1	23.8446455487452
PABPC4	195	Up	0.000391615932065317	0.0023859688408384	0.557894148265122	-0.570734478758795	-1	15.9640370706433
RBFOX2	183	Up	0.000404404978812959	0.0023859688408384	0.815866624179193	0.894192386567988	1	23.3607859404489
TIA1	196	Up	0.00042390309354997	0.0023859688408384	0.563216766304704	0.592313489256125	1	16.1166505183733
GPKOW	196	Up	0.000413496155785226	0.0023859688408384	0.784456908495583	0.813372272826343	1	22.460186842966
EIF2S1	198	Up	0.000499468785713077	0.00273320418848545	0.665680267340336	0.714894421648444	1	18.6250606209757
KHSRP	195	Down	0.00103215153013999	0.00535089082730469	0.650801139015313	-0.705043633326131	-1	16.1319550444025
LARP4	189	Down	0.00102408205304871	0.00535089082730469	0.748574262154923	-0.777219179993917	-1	18.5603853953061
KHDRBS1	192	Down	0.00107262995633819	0.00541815644611856	0.736978616808801	-0.68838121170505	-1	18.2286607147989
DDX28	189	Up	0.0012915059578186	0.0063606668422566	0.619043377259879	0.6942610112838	1	14.8350097758696
SUB1	195	Up	0.00144940683434837	0.00696422308211291	0.616252174922447	0.761627236027827	1	14.5026954698611
SUCLG1	192	Up	0.00160197498339715	0.00739971815174382	0.758688543797138	0.819968742027696	1	17.6436813197699
DDX55	192	Down	0.00161516690621819	0.00739971815174382	0.90615968421446	-0.863645743289484	-1	21.0794658939807
EWSR1	192	Up	0.00165434072334606	0.00740693460225394	0.561131358525428	0.583569089510002	1	13.0383940952654
G3BP2	194	Down	0.00170674591326221	0.00747175433139234	0.625815315790046	-0.667177136608029	-1	14.5192092194507
TROVE2	195	Up	0.00297977462395067	0.0122443525977361	0.805033307669311	0.89502132546566	1	16.7981908769113
CNOT7	192	Up	0.00296142317964257	0.0122443525977361	0.817035436905689	0.985670112747843	1	17.0491136364297
PTBP1	194	Up	0.0029833955568088	0.0122443525977361	0.710611325241911	0.682249747775928	1	14.8241557767
GEMIN5	193	Up	0.00318081695395942	0.0123373540801584	0.660550550586126	0.641193594816637	1	13.7538246992774
AARS	190	Down	0.00309257293002598	0.0123373540801584	0.781799002890979	-0.771156120845691	-1	16.2843513184495
DAZAP1	190	Down	0.00319393430501562	0.0123373540801584	0.887958105255625	-0.799346925282323	-1	18.4999543162158
CSTF2T	195	Up	0.00328453666228583	0.0124433408167367	0.638653791035224	0.720029896582347	1	13.2708846489396
BUD13	191	Down	0.003768008953392	0.0140056181852495	0.732207923457019	-0.660752309330618	-1	14.8083856680229
NUSAP1	195	Up	0.00403686434314104	0.0147270791777553	0.659914006360383	0.771089847079417	1	13.1857064482148
EXOSC9	193	Up	0.00503689413337546	0.0180412389868176	0.6425929034218	-0.556921357976312	-1	12.2194176772661
IGF2BP2	193	Up	0.00541027782135428	0.0190325844786927	0.650002296969381	0.758659537575767	1	12.1955765275965
U2AF1	182	Up	0.00552312681570587	0.0190887014507729	0.734142740236558	0.776280558900252	1	13.7681613207327
SRP68	192	Up	0.00589030764053353	0.020006734572157	0.814982191151838	0.889105134664725	1	15.1059981267398
PES1	194	Up	0.00599673432688079	0.0200229942778901	0.576389390886152	0.573911971161439	1	10.6719255555936
CCAR1	190	Up	0.00621085152397948	0.020392295837066	0.558383480513397	0.480789027097897	1	10.28907723691
EIF3G	192	Up	0.00653922789407431	0.0211184900841416	0.712632281550375	0.779809078119007	1	13.0218475399784
SRFBP1	195	Up	0.00729600396227194	0.0231824642027028	0.644825077428539	-0.701312177907519	-1	11.4942222273443
RCC2	190	Up	0.00854071010333244	0.0267066649262935	0.536046679138934	0.571282967699562	1	9.18954398246756
KIF1C	195	Down	0.0095054012903415	0.0292588133468324	0.75536565106553	-0.665319892619929	-1	12.6351956744265
BCLAF1	192	Up	0.0112629828350811	0.0337132298215251	0.621971547068315	-0.611467345153656	-1	9.97964593645744
SFPQ	188	Up	0.0112947876559424	0.0337132298215251	0.600687516051164	0.580376414658268	1	9.63703605686633
NONO	196	Up	0.0151766625514319	0.0446162161855327	0.586516257376395	-0.668542142944933	-1	8.62851095460288
SUPT6H	192	Down	0.015400521322925	0.0446162161855327	0.876527045987323	-0.748270568691705	-1	12.9109419234296
RBM15	194	Up	0.0157829929844287	0.0450615886656876	0.594024568675389	0.634374044131095	1	8.71136390376431
HNRNPU	195	Up	0.0160843011338404	0.0452658189052365	0.738330025943976	0.772459176102103	1	10.8195831486577
RPS3A	183	Down	0.0180075818428288	0.049964698916018	0.79957556401886	-0.733671428890513	-1	11.3447648365501
MATR3	192	Up	0.0211023476045663	0.0569474312068432	0.57604141449167	0.578050428100076	1	7.80631715649887
SRSF5	194	Up	0.0208529921215962	0.0569474312068432	0.734587338451023	-0.608534394722096	-1	9.96375503391125
SAFB2	187	Up	0.0220856360989643	0.0580116041532797	0.800844502508579	0.88030833828869	1	10.7949513037636
SSRP1	196	Down	0.0220080495505509	0.0580116041532797	0.809871653403579	0.753070031197957	1	10.9169959942889
DDX19B	193	Down	0.0284856314209748	0.0738377551306848	0.7586517332116	-0.702035900783042	-1	9.35549137221611
PUM2	187	Up	0.0303715734260865	0.0746236456030802	0.688606253193867	0.692110850806115	1	8.45411192865964
DDX47	195	Down	0.0297021945762718	0.0746236456030802	0.740415889106429	-0.744303855477513	-1	9.09261259078677
RBM34	191	Up	0.0306181490618524	0.0746236456030802	0.432370634211185	0.399140106506058	1	5.29627054453733
FASTKD2	190	Down	0.0296796803868164	0.0746236456030802	0.723246383675207	-0.695239015790424	-1	8.88101603363798
TIAL1	188	Up	0.030682818750505	0.0746236456030802	0.794658299403652	0.85452983066892	1	9.76109470381686
XRN2	193	Up	0.0311923477900659	0.0748512667022505	0.752206066914987	-0.657695475239108	-1	9.22703579906049
RBM22	194	Up	0.0315363204887655	0.0748512667022505	0.652702735832677	0.665268334356738	1	8.00219827557221
MTPAP	187	Up	0.0340029034260133	0.0797449044633883	0.801881928265238	0.788551345742964	1	9.59737424621899
CSTF2	183	Up	0.0393288248003047	0.0911503351254122	0.618022265916605	0.563543824293393	1	6.99713638070165
TUFM	194	Up	0.0413584027344694	0.0947395969615172	0.931722079280235	1.18907481792123	1	10.394283999522
TFIP11	196	Up	0.0446883041047637	0.101190757570557	0.734682672621956	-0.571744311272234	-1	7.95947353041834
FMR1	187	Down	0.0453562010406409	0.10153604096598	0.712944815350221	-0.832043198866554	-1	7.71148130217114
SF3B1	185	Down	0.0469573946076908	0.102784519307945	0.885709018566868	-0.829343829197501	-1	9.53658091683923
APOBEC3C	183	Up	0.046783400072362	0.102784519307945	0.732892667316732	0.77991820539301	1	7.88561602324884
SF3B4	189	Up	0.0491645732872879	0.106433197116437	0.624032490651399	0.620939465648299	1	6.60616853286315
DDX52	193	Up	0.0542609842772712	0.116189281550244	1.01107383503123	0.741180536114646	1	10.3024160708695
STIP1	190	Up	0.0576957701055866	0.119642807482111	0.773128816661379	0.899002857794941	1	7.76273429491287
FTO	192	Up	0.0570216066730281	0.119642807482111	0.806496922557061	-0.813693545072459	-1	8.0991646567285
RBM17	186	Up	0.0576894076226596	0.119642807482111	0.826352776538577	0.928527937589612	1	8.29935918260431
XRCC5	190	Up	0.0608511801856016	0.124871692672537	0.649932840314763	0.697203930151473	1	6.38860613974635
ILF3	194	Down	0.0658026443565663	0.132647814831083	0.733270370350078	-0.661699134879705	-1	7.00156980625273
BCCIP	181	Up	0.065987237834752	0.132647814831083	0.712604148930639	-0.650188350379846	-1	6.80333110207062
PHF6	190	Up	0.0739790941384262	0.147210924699697	0.687162968344926	0.711791407964619	1	6.21938132051571
DDX3X	188	Up	0.0763955180398648	0.149771984890204	0.735660696095787	0.773378332691829	1	6.60034960812442
STAU1	194	Down	0.0767866521518307	0.149771984890204	0.692787306379874	-0.549778077735516	-1	6.21380970315046
NSUN2	196	Up	0.0780496890990494	0.150743026985419	0.831861218612845	-0.602941772886225	-1	7.44215069847521
CIRBP	197	Down	0.0812960325486999	0.154564599673948	0.684388371127281	-0.732468132324547	-1	6.035721428187
ADAR	174	Up	0.0815975551578203	0.154564599673948	0.970491840089299	1.17651191576832	1	8.57239358860344
SMN1	179	Up	0.0873740840244369	0.163930424312515	0.542763842013645	-0.568678012055305	-1	4.62841354261619
SMNDC1	196	Up	0.0885866281235641	0.164637412644737	0.586409084847591	-0.459334449808077	-1	4.9912081509981
TBRG4	190	Up	0.0949340661824115	0.174785149887244	0.708189222484312	0.803235190900572	1	5.83329431748356
EFTUD2	196	Up	0.09629827388801	0.175655184777203	0.642562676898739	-0.600644482062316	-1	5.27459440281152
AKAP8	192	Up	0.0977107754934835	0.176596539194644	0.743959713611139	-0.640291483573802	-1	6.09313864797916
DDX6	187	Up	0.0988660390348157	0.177060088089624	0.695144879512131	0.691291143622815	1	5.68256834066325
AKAP1	195	Up	0.101561173599486	0.179308541713545	0.727881594931814	0.77327202484209	1	5.90808273204428
FUBP3	187	Down	0.101941912040188	0.179308541713545	0.707602113640744	-0.718361896040242	-1	5.74257922688568
SART3	187	Up	0.103005165706234	0.179575377381664	0.948400592937614	0.896617395418412	1	7.70107025744214
UCHL5	197	Up	0.110778864860539	0.19143365243444	0.58318963515369	-0.538846597105056	-1	4.54602691750773
EIF4G2	182	Up	0.1142688904492	0.195747577552108	0.714756977600263	-0.672511342794755	-1	5.50324934696499
IGF2BP3	191	Up	0.116540090565418	0.197882072702664	0.702721249437198	-0.566001968602435	-1	5.37384752262039
HNRNPM	179	Down	0.117523870589907	0.197882072702664	0.709061082132702	-0.640958853547925	-1	5.42262046298214
EIF4B	197	Up	0.124267438322861	0.207463435166132	0.57376731803243	-0.629111666745006	-1	4.25296399404527
AKAP8L	194	Up	0.132867239900902	0.219956691264519	0.568911835196554	-0.571528170336662	-1	4.05872746840186
AGO1	182	Up	0.139861163498864	0.229605410077301	0.892023519128829	0.838406463411976	1	6.20033635360331
SNRNP200	195	Down	0.143474306068777	0.233590399136769	0.736507689659532	-0.769141541710869	-1	5.05356446558356
RAVER1	190	Up	0.145669987083981	0.235221208652002	0.787911691295204	0.860849256828532	1	5.38249515994192
PCBP2	197	Down	0.147125986335398	0.23564080738271	0.675372953127849	-0.723387126392398	-1	4.60338166035789
LSM11	184	Up	0.154456035195881	0.24538579785152	0.718040077584897	-0.579321397959264	-1	4.75807088782237
PARN	187	Up	0.156495468376177	0.246636858160855	0.716800302164432	0.623541023009111	1	4.73249030941863
XRCC6	190	Up	0.172417186100166	0.269572902077243	0.846405832780314	0.839168137429238	1	5.23661283033714
HNRNPA0	189	Up	0.175764307063247	0.272642271586296	0.582326309739905	0.539443992938838	1	3.56141358780274
RPS19	184	Down	0.183090017023287	0.281786979324902	0.754935433986838	-0.718456272843548	-1	4.50835591876742
UPF2	182	Up	0.198070152291571	0.302479224817361	0.723605237261366	-0.710550402504788	-1	4.07643242068503
HNRNPA1	183	Up	0.202687607495616	0.307149682127972	0.799036303454242	0.839099579880328	1	4.44659756155859
KRR1	191	Down	0.210616521697521	0.316728662400089	0.847877335862246	-0.735703324475312	-1	4.59672102582136
HNRNPL	189	Up	0.243330157103195	0.363151825373708	0.701322725752387	-0.674844323839675	-1	3.34110634942425
ZRANB2	184	Up	0.249027190806381	0.36885982397637	0.81189644309879	0.993349138311465	1	3.81283876747925
SRSF1	194	Up	0.270508996276404	0.39768859900337	0.721499519036253	0.673353287182991	1	3.12690164337575
HNRNPA2B1	193	Up	0.294273784297558	0.429421744493474	0.661636977134824	-0.523151638917993	-1	2.62358824137988
EIF4A3	188	Down	0.303833364705267	0.440111565051012	0.73782576592445	-0.624100982666956	-1	2.84326405636543
RTF1	191	Down	0.316287037340097	0.454806907708022	0.807048327973926	-0.807524593125562	-1	2.98717242158811
RRP9	188	Up	0.328886187900659	0.469496949394419	0.648684624468087	0.673308300218254	1	2.29676284082784
EEF2	194	Up	0.349622037685804	0.49196815302931	0.6849210878021	-0.647012465275856	-1	2.27480824995944
U2AF2	189	Up	0.347907899457668	0.49196815302931	0.557412172996487	0.568952202765517	1	1.84531198036238
ATP5C1	197	Up	0.359860705058626	0.502784105649285	0.692721065849536	-0.660313749222541	-1	2.22954634393267
CPSF7	176	Down	0.368922867671329	0.511815527684872	1.0511773554668	-0.940950826854694	-1	3.31107310514806
UTP18	191	Up	0.372378931069228	0.512997548396069	0.70656515968803	-0.589587297457441	-1	2.207275292067
DDX1	181	Up	0.375076590845562	0.513125613865109	0.736112293562238	-0.731974214071377	-1	2.30005540894576
DHX30	197	Up	0.381427990858915	0.518215959994526	0.677890847953985	-0.631782070209371	-1	2.08380948352905
HNRNPUL1	184	Up	0.399474569242734	0.539017055759031	0.830717055782287	-0.80386200845551	-1	2.40561747673595
MSI2	193	Up	0.421668182461283	0.565092734318863	0.663376402121294	-0.596839601521803	-1	1.76571082656318
PCBP1	196	Down	0.433350605349163	0.576824792255305	0.820472923142364	-0.894562516520788	-1	2.11143390179392
ASCC1	191	Down	0.441609359597932	0.583872777454984	0.614804974091826	-0.560622705598072	-1	1.53862017083215
NUFIP2	182	Down	0.460646189249421	0.600975491934675	0.699082412248567	-0.677123468878066	-1	1.65811389678444
CKAP4	195	Up	0.460413689139038	0.600975491934675	0.886037469802887	-0.61826200581318	-1	2.11016775010623
SF3A3	197	Up	0.474122832304681	0.610471882117792	0.765425972371011	-0.682791820973022	-1	1.76154650528357
MAGOH	183	Up	0.472723705659074	0.610471882117792	0.670313697594297	-0.621986161196255	-1	1.53864776819025
DDX27	188	Up	0.479226229536893	0.613036150771221	0.773662198504939	-0.739166584536047	-1	1.7654490242994
CCAR2	178	Up	0.488159446108429	0.620434908924907	0.872312487752398	-0.786701162493702	-1	1.94498199635489
PRPF6	193	Up	0.502425625852413	0.634473386493111	0.661372684984993	-0.675222734074374	-1	1.39658369036195
