NGenes	Direction	p.value	p.adj	avg.logfc	avg.logfc.dir	direction	significance
EIF3G	192	Down	2.07833109108286e-15	4.09431224943324e-13	0.752814297749684	-0.773474699379891	-1	100
ABCF1	198	Down	1.12482505564775e-14	1.10795267981303e-12	0.768829980992814	-0.784621260666828	-1	98.561495338679
EIF4G2	182	Down	3.29304600434315e-11	2.162433542852e-09	0.905250048455408	-0.949363506401815	-1	84.0935777379724
RPS19	184	Down	9.92230214849075e-11	4.88673380813169e-09	0.942944692388752	-0.996554504405676	-1	84.0157704022396
FXR1	189	Down	3.0095379751136e-10	1.18575796219476e-08	0.800238217063558	-0.825204391526893	-1	67.9760079968234
HNRNPC	196	Down	1.13656900096845e-09	3.73173488651308e-08	0.689532607761847	-0.710009508150809	-1	54.8704678588046
XRN2	193	Down	1.69421868417081e-09	4.76801543973785e-08	0.692140606822637	-0.685412007780254	-1	54.287645660422
PNPT1	184	Down	6.42744346365738e-09	1.58275795292563e-07	0.915164121259711	-0.901670743074026	-1	66.6980759078103
DDX47	195	Down	8.25289926910795e-09	1.80646795112696e-07	0.781303794111118	-0.839186398641878	-1	56.4437831064728
MATR3	192	Down	1.42670099466359e-08	2.81060095948727e-07	0.825068695836772	-0.801385848731946	-1	57.9115936649809
XRCC5	190	Down	1.96325358091766e-08	3.51600868582527e-07	0.871400232157586	-0.925745958187406	-1	60.2603085058476
HNRNPM	179	Down	2.59469706062644e-08	4.25962767452841e-07	0.991990646277839	-1.0698190883455	-1	67.7281548927932
HSPD1	189	Down	4.60289615215851e-08	6.2373085798815e-07	0.835405230460568	-0.85236615808647	-1	55.5337208456613
CSTF2T	195	Down	4.74921973087424e-08	6.2373085798815e-07	0.762270947122849	-0.723869926813373	-1	50.6620273052183
EIF4A3	188	Down	4.74707658534093e-08	6.2373085798815e-07	0.944199192698265	-1.02431118506361	-1	62.7808123448028
RBM17	186	Down	7.29940715237484e-08	8.98739505636152e-07	1.01432795818631	-1.02983150529093	-1	65.7248760760225
PRPF8	189	Down	1.48413598488174e-07	1.71985170012767e-06	0.8483015956032	-0.93163128761559	-1	52.3812842237011
PABPC1	180	Down	3.35279775664708e-07	3.6426353547357e-06	0.802825181871053	-0.763246284812013	-1	46.7579933294963
EIF3D	185	Down	3.51320161116641e-07	3.6426353547357e-06	0.766268774613938	-0.816531014836277	-1	44.6236398681415
UPF1	186	Down	4.44894664258868e-07	4.38221244294985e-06	0.611455023988105	-0.649409511981139	-1	35.0578480656777
XRCC6	190	Down	7.2201137531134e-07	6.77315433030162e-06	0.803787706522145	-0.869681658406238	-1	44.4897627468262
CKAP4	195	Down	1.05588142799825e-06	9.45493824162072e-06	0.737051135280665	-0.702137025123893	-1	39.6400576339527
EEF2	194	Down	1.5608996010388e-06	1.33694444088975e-05	0.826650851627903	-0.857517166665397	-1	43.1377060798033
ATP5C1	197	Down	1.68305787937327e-06	1.38151000931889e-05	0.709999055872714	-0.743218804732777	-1	36.9255936880853
AKAP1	195	Down	2.38776863221956e-06	1.88156168218902e-05	0.751512467818199	-0.842472381312135	-1	38.008945355011
PTBP1	194	Down	3.43403010650814e-06	2.60193819608501e-05	0.604602047087742	-0.626586517987945	-1	29.6424702525474
HNRNPA1	183	Down	5.04035288926469e-06	3.67759081179683e-05	1.01861829140624	-1.10565046379107	-1	48.3765197612171
NELFE	193	Down	5.57312422330356e-06	3.8589529037713e-05	0.665755498366461	-0.68276448090982	-1	31.4289577857501
UTP3	187	Down	5.68069209184607e-06	3.8589529037713e-05	0.784875051568009	-0.774384831530669	-1	37.072946817519
APOBEC3C	183	Down	6.4044037244589e-06	4.20555844572801e-05	0.910770816685597	-0.946658578040178	-1	42.6727695523098
FIP1L1	188	Down	6.86093135282876e-06	4.36001121453957e-05	0.707811263421734	-0.717602841634825	-1	33.0187325213061
SFPQ	188	Down	8.5728507155726e-06	5.27766122177438e-05	0.841955774030183	-0.85237387695394	-1	38.5484703893843
METAP2	192	Down	1.55245960310904e-05	9.267713388257e-05	0.7004907631291	-0.75434462010655	-1	30.2133515301212
PRPF6	193	Down	1.64796824559107e-05	9.54852189357176e-05	0.697917880870808	-0.741728951675526	-1	30.0048277183022
HNRNPL	189	Down	1.93086657377786e-05	0.000108680204295497	0.699778150808752	-0.707788396879447	-1	29.6628081685812
RECQL	195	Down	3.79009649142981e-05	0.000207402502447687	0.636196891097495	-0.707655026221062	-1	25.0403320003906
EIF2S2	185	Down	3.97953237754101e-05	0.000211883210371778	0.674834450146919	-0.651740458145417	-1	26.5008266598146
G3BP2	194	Down	4.41868601591635e-05	0.000229073985561979	0.769517008503977	-0.871815407732062	-1	29.9552959117037
NONO	196	Down	7.34574555072037e-05	0.000371054326536388	0.640709018997311	-0.699699145558926	-1	23.4811361151309
PUM2	187	Down	9.00459423782352e-05	0.000443476266212808	0.718631815897242	-0.775503021392945	-1	25.7535269820203
RAVER1	190	Down	0.000103260279280753	0.000496153049227031	0.69875190269566	-0.745196916825327	-1	24.6722522081041
BCLAF1	192	Down	0.000118516515501737	0.000555898894139099	0.671408855962004	-0.624909028523149	-1	23.3463675713249
GRSF1	192	Down	0.000137105529778012	0.000628134636424847	0.801803869908994	-0.887324565280965	-1	27.446151943878
