NGenes	Direction	p.value	p.adj	avg.logfc	avg.logfc.dir	direction	significance
ADAR	174	Down	4.07403630905559e-09	8.02585152883951e-07	1.12849774344172	-1.1709535014642	-1	100
FAM120A	197	Up	8.89489419668115e-06	0.000584098052248729	0.880072356883865	0.895500967215205	1	41.2403410650426
TIA1	196	Down	6.3698226402848e-06	0.000584098052248729	0.906995089717884	-0.919664412713784	-1	42.5086950959614
MATR3	192	Down	2.46388732063892e-05	0.00121346450541467	0.777625974128978	-0.770269270123805	-1	32.8163613612212
RECQL	195	Down	3.36079880168876e-05	0.00124761098580419	0.955104807707612	-0.952963476470906	-1	40.1887423322696
LIN28B	187	Down	5.0664405514891e-05	0.00124761098580419	0.859573056540254	-0.875029400389091	-1	36.146902668082
RBM17	186	Down	4.04049177406673e-05	0.00124761098580419	1.01603193621256	-0.99671371727286	-1	42.7664997962248
TRA2A	197	Down	4.96063495012071e-05	0.00124761098580419	0.837117553339688	-0.782957566143353	-1	35.1968358849835
EIF2S1	198	Down	9.5247864921882e-05	0.00204112542230961	0.744100790810668	-0.782986143539511	-1	28.9436516927979
MTPAP	187	Down	0.000103610427528407	0.00204112542230961	0.951226214081705	-0.992300284639934	-1	37.0617311955537
XRN2	193	Down	0.000187003864803712	0.00306998011386093	0.877828083476473	-0.851805636032939	-1	31.9178080713028
NSUN2	196	Down	0.000174197070864893	0.00306998011386093	0.878614180824314	-0.982406325581631	-1	31.9465881491978
SUB1	195	Down	0.000236883726002412	0.00311107293483168	0.889984570567674	-0.883161272332398	-1	32.2879955343672
CPSF6	196	Down	0.000221130874282802	0.00311107293483168	0.947209540359813	-0.979545581865631	-1	34.3782638480181
XPO5	191	Up	0.000215159576757901	0.00311107293483168	0.882695103777477	0.977002017352582	1	32.0217316724499
GPKOW	196	Down	0.000256820263921535	0.0031620994995339	0.785454992003406	-0.818648657095238	-1	28.3889681063119
HNRNPA1	183	Down	0.000314525644708492	0.00364479717691606	1.12541931473847	-1.12367694494345	-1	39.760268380706
METAP2	192	Down	0.000360134730631269	0.00394147455190889	0.772008706031431	-0.767860325885209	-1	26.8229685965673
HNRNPC	196	Down	0.000404790226385158	0.00419703550515137	0.728152492322804	-0.734015747786345	-1	24.9972250378967
DDX28	189	Down	0.000461706800593958	0.00454781198585049	0.797084588209327	-0.815643525150289	-1	26.9796953429713
XRCC5	190	Down	0.000509178946180434	0.00455946601807025	0.966477802525881	-1.01916296693766	-1	32.7445535805509
SSB	189	Down	0.000489768722986572	0.00455946601807025	0.94682129403079	-0.973113366431741	-1	32.0740975165479
SFPQ	188	Down	0.000607227063360548	0.00520103180356643	1.07768009100977	-1.17308024234897	-1	35.6397766121904
RBM22	194	Down	0.000786980462935779	0.00645979796659785	0.752076528872798	-0.742728444089663	-1	23.7737123871086
CELF1	189	Down	0.000974827686698178	0.00768164217118164	0.994065471453626	-1.00852644106314	-1	30.4045274302439
CNOT7	192	Down	0.00126511631231606	0.00958568898177941	0.969299916937789	-1.02411998914261	-1	28.2834208771689
SUGP2	189	Up	0.00139783860488878	0.01019904463567	1.23785883237608	1.01697799479386	1	35.6951024369152
GEMIN5	193	Down	0.00150761101346422	0.0102413575742224	0.817361796036555	-0.864395049252709	-1	23.473212217335
LARP7	194	Up	0.00147745455763584	0.0102413575742224	0.812785117010044	-0.765541005990536	-1	23.3405424181213
SBDS	187	Down	0.00158534619417204	0.0104104400083964	0.895540866709268	-0.95943556578748	-1	25.6466956433162
TBRG4	190	Down	0.00169731065727245	0.0107168121272241	0.930472478604815	-1.00076247035065	-1	26.4849158352414
UCHL5	197	Down	0.00174080196990443	0.0107168121272241	0.689404134702443	-0.691726677509325	-1	19.5659924994579
BCCIP	181	Down	0.00198351344468081	0.0118409742000642	1.11277043025033	-1.07360341672361	-1	31.0147066105142
EWSR1	192	Down	0.00311128561242833	0.0180271548720112	0.932699243851078	-0.979348755356121	-1	23.4795885623905
HNRNPK	194	Up	0.00331976204163953	0.0186855177772282	0.831324214178693	0.894582770427324	1	20.714929795002
EFTUD2	196	Down	0.00362409675569616	0.0187880805492669	0.777318484694096	-0.761294803331177	-1	19.3279578414566
TARDBP	193	Down	0.00362189253296873	0.0187880805492669	0.807226788840289	-0.77063836941275	-1	20.0801152536542
RTF1	191	Up	0.0035868364146607	0.0187880805492669	0.909196975386857	0.994168331039416	1	22.6445412157307
AKAP1	195	Down	0.00403073070057087	0.0203603576413451	0.872420799321467	-0.86410796733651	-1	21.2760205872725
CCAR1	190	Down	0.00446936345299525	0.0214772119197553	0.62803031843074	-0.638376305138343	-1	15.0419611586632
HLTF	192	Down	0.00446987659243638	0.0214772119197553	0.873248455051939	-0.961818071635415	-1	21.0013395454303
EIF3D	185	Down	0.00467169222604063	0.0219124611554763	0.886482360496686	-0.832898326757829	-1	21.2104171432283
EXOSC9	193	Down	0.00515695494392091	0.0236260493942423	0.684587362761868	-0.70995260841783	-1	16.0033694702967
MAGOH	183	Down	0.00541044137330759	0.0242240216032181	0.891374507478984	-0.91300917646107	-1	20.7630395682386
FIP1L1	188	Down	0.00578866232127153	0.025341477273122	0.758203617514496	-0.730574040641869	-1	17.4117293556705
EIF4A3	188	Down	0.00645579208170795	0.0276476313064449	0.918511286150585	-0.988468367727053	-1	20.6335608985902
TROVE2	195	Down	0.0070570032062439	0.0288130461610597	0.911271785026774	-0.909611081091127	-1	20.2311224619582
PSIP1	187	Down	0.00716669676087272	0.0288130461610597	0.533640625272317	-0.545974600792923	-1	11.7559028989163
NUSAP1	195	Down	0.00702633472260568	0.0288130461610597	0.746964820803986	-0.84138653952685	-1	16.5435623611698
EIF4B	197	Down	0.00876198147920622	0.0345222070280725	0.77089164014406	-0.723970166720385	-1	16.1987722830599
SF3B4	189	Down	0.0124037366555007	0.0428949247285536	0.76460532548244	-0.756035930522276	-1	15.0142975645759
RBM25	192	Down	0.0123329786265344	0.0428949247285536	0.7004963708404	-0.64638323357028	-1	13.7369105867571
QKI	196	Down	0.0124620119466041	0.0428949247285536	0.679428467496549	-0.685574844022561	-1	13.3171273360139
CSTF2T	195	Down	0.0128467033450998	0.0428949247285536	1.04577346784748	-0.848328012341428	-1	20.616643221903
TRIM56	195	Down	0.0126792760353126	0.0428949247285536	0.772617795859379	-0.694160996689915	-1	15.1739480436207
RBFOX2	183	Down	0.0128419101652016	0.0428949247285536	0.890088064877892	-0.982697751538052	-1	17.5145725751385
U2AF1	182	Down	0.0121728379405613	0.0428949247285536	0.800574492757272	-0.746715238745155	-1	15.7309922312789
NONO	196	Down	0.0126667394341809	0.0428949247285536	0.826811221913911	-0.798889413545951	-1	16.2537656309137
U2AF2	189	Down	0.0113070391984705	0.0428949247285536	0.698629537872668	-0.85205780173342	-1	13.6997134723125
TIAL1	188	Down	0.0136802023497579	0.0449166643817051	0.864095339878983	-0.852113268403244	-1	16.7448511824964
IGF2BP3	191	Down	0.0147878828118511	0.0462414748243599	0.866619084859092	-0.934254113846927	-1	16.6350057644033
ZC3H8	194	Down	0.0147677425701315	0.0462414748243599	0.928584653535288	-1.20185564777706	-1	17.8402303271127
FTO	192	Down	0.0147575984020009	0.0462414748243599	0.841724757228608	-0.848888564788328	-1	16.150813401235
NAA15	194	Up	0.015103632113839	0.0464908676004106	0.861032955853943	0.955067147750618	1	16.4970515717035
AKAP8	192	Down	0.0161166257815019	0.0466908129258216	0.912088720631364	-1.03777213594839	-1	17.4635764833928
PHF6	190	Down	0.01589887399135	0.0466908129258216	1.12618745619935	-1.02441811735057	-1	21.6146766170559
GRSF1	192	Down	0.015783785316455	0.0466908129258216	0.974549036341285	-0.998501665677584	-1	18.6746019675193
CSTF2	183	Down	0.0158519108933437	0.0466908129258216	0.777492270919547	-0.818455149120189	-1	14.8539237971822
PNPT1	184	Down	0.0183845679766755	0.0524892737884794	1.10094085082772	-1.1980816432394	-1	20.3097060302103
RBM39	192	Down	0.0187214238311111	0.0526874356389841	0.878696764490822	-0.831670871775908	-1	16.1443442464329
AARS	190	Up	0.0191935857798752	0.0532554422343015	0.889317537692176	0.866153044720225	1	16.2818075979869
HNRNPU	195	Down	0.0195979726996527	0.0536222308587719	0.780965327068716	-0.76902617558163	-1	14.237271630491
AATF	193	Down	0.0210271821210646	0.0567445873678046	0.909622139865058	-0.865478106905519	-1	16.293333285408
RPS10	187	Down	0.0235423989180302	0.0626736836061073	0.886605811015768	-0.88212766918508	-1	15.3179492781279
UPF2	182	Down	0.0244403956090463	0.0636149691668019	0.946091041737307	-1.04215288578133	-1	16.2712442680784
SRSF5	194	Down	0.0245418155161266	0.0636149691668019	0.831211653717027	-0.810913901866744	-1	14.2687104557755
PUM2	187	Down	0.0263447761708192	0.0674015702032646	0.830979010474658	-0.865002939288715	-1	13.9606398864265
ATP5C1	197	Down	0.0275898164365723	0.069681972282112	0.926546310752789	-1.1040059382153	-1	15.3964975899808
PPIG	199	Down	0.0296865051587738	0.0740283736237776	0.775532004849211	-0.774001296191583	-1	12.5541996263211
UPF1	186	Down	0.0311938765552088	0.0768149210172016	0.747598480327433	-0.771745335970058	-1	11.9192770883121
NCBP2	188	Up	0.0317497476803607	0.0772185221361859	0.738352354381253	0.686231691155328	1	11.7446503006218
ZRANB2	184	Down	0.0395032369974229	0.0949041181523454	0.953040209844736	-1.08505526438819	-1	13.9801314903415
SRFBP1	195	Down	0.0417215415844694	0.0990258276161503	0.917582976686347	-0.725911761436137	-1	13.2049670643538
PABPC4	195	Down	0.0434377555237071	0.101677633520728	0.857965744078846	-0.880906412656003	-1	12.1892130717145
DDX47	195	Up	0.0438710601485373	0.101677633520728	0.916941046290965	0.897132156819132	1	13.0422491372664
SUCLG1	192	Down	0.045095751657554	0.103300733448118	0.922573872193675	-1.04962225053097	-1	13.031273680042
SUPV3L1	193	Down	0.0466751841141711	0.105689784718295	0.918424327228216	-0.881356446309462	-1	12.8388007568684
PARN	187	Down	0.047830694581313	0.107075532187712	1.0880213703054	-1.03408320922248	-1	15.1606929677581
SRP68	192	Down	0.0492495119371339	0.109012964624892	0.584653973978186	-0.623069324002839	-1	7.97825415115958
SUPT6H	192	Down	0.0526605821748229	0.11526816320489	0.930977303371572	-1.02352929355459	-1	12.5062570703024
HNRNPA0	189	Down	0.0548132292025757	0.117371806009863	0.757415959876334	-0.773255286222632	-1	10.0469139707975
RPS3A	183	Up	0.0543186349772155	0.117371806009863	1.0095465972489	0.946510090203984	1	13.4648096289764
