NGenes	Direction	p.value	p.adj	avg.logfc	avg.logfc.dir	direction	significance
XPO5	191	Down	2.49391699828784e-12	4.91301648662704e-10	0.971621820636825	-0.860549183877887	-1	97.8925706261824
LARP7	194	Down	2.1682751340704e-11	2.13575100705935e-09	1.01444159519485	-1.04429815721836	-1	95.1993899333502
FAM120A	197	Down	1.48932374284399e-10	9.77989257800885e-09	1.15350578104726	-1.21292562489489	-1	100
RECQL	195	Up	3.23243719586338e-10	1.59197531896272e-08	0.776139841041512	0.74849884723894	1	65.5072414955946
NAA15	194	Down	1.97146707736819e-09	7.76758028483068e-08	1.00965699586723	-1.12293731053209	-1	77.6944590628714
METAP2	192	Up	2.78543455964843e-09	9.14551013751236e-08	0.885699881518576	0.859568002745275	1	67.4757244525437
APOBEC3C	183	Up	2.35506688918299e-08	6.62783110241499e-07	1.13339872895897	1.16269824167631	1	75.7946674270828
ESF1	187	Down	7.32587026051345e-08	1.80399555165144e-06	1.07498521837423	-1.14191920769877	-1	66.8285233767012
BUD13	191	Down	1.19146758184482e-07	2.60799015137145e-06	0.884452553531038	-0.878501852337717	-1	53.451091314833
SAFB2	187	Up	3.94689493867694e-07	7.77538302919356e-06	0.927705100958431	0.954088579599877	1	51.3014254246158
EIF3G	192	Up	9.16447523461075e-07	1.50450135101526e-05	1.01910666392749	0.939713088194561	1	53.193910434681
UBE2L3	194	Down	8.74988106105916e-07	1.50450135101526e-05	0.962765886581294	-0.982287452030986	-1	50.2530340629245
EIF4G2	182	Up	1.55680192779477e-06	2.3591536905813e-05	0.964271954525192	1.00270240978051	1	48.2926567325514
NCBP2	188	Down	1.805263953066e-06	2.37091332502668e-05	1.13399061218462	-0.920872768146437	-1	56.7662511438372
HNRNPK	194	Down	1.72111845446451e-06	2.37091332502668e-05	0.98263919220115	-0.910980287389385	-1	49.1895845229355
RPS10	187	Up	2.44487033040835e-06	2.79592788631493e-05	0.945807825936421	1.00838039311924	1	46.6127245166047
SUGP2	189	Down	2.51495833503973e-06	2.79592788631493e-05	1.27053304585062	-1.18849453561787	-1	62.6168116601751
AGO1	182	Down	2.55465492150603e-06	2.79592788631493e-05	0.981159949067751	-0.991440095727494	-1	48.3550544146444
SND1	195	Down	3.26309911503568e-06	3.38331855611595e-05	1.18394652925469	-1.13026057328921	-1	57.2881304778493
KHDRBS1	192	Down	6.45501555335079e-06	6.35819032005053e-05	0.864141354462948	-0.856630698492751	-1	39.2505250332284
HNRNPL	189	Up	1.10886498620826e-05	0.000104022096325251	0.877928621618584	0.904771062806797	1	37.8452568983142
GRSF1	192	Up	1.33067065876662e-05	0.000119155508989557	1.04966653984173	1.0880201691545	1	44.5785393604614
EEF2	194	Up	2.39054148921879e-05	0.000204755075380914	0.878052721338751	0.873202287081214	1	35.0554829713964
FASTKD2	190	Down	2.80036302975125e-05	0.000229863132025415	0.989227820066148	-0.812463413783003	-1	38.9563688258832
CSTF2T	195	Up	4.56981353281294e-05	0.00036010130638566	1.04924091953909	0.994305313772122	1	39.1057816299235
DDX19B	193	Down	5.36041250930542e-05	0.000401684324768516	0.772026123631387	-0.76465331949913	-1	28.3768752487879
ZC3H8	194	Down	5.50531815672586e-05	0.000401684324768516	0.817376744688315	-0.792339756103816	-1	30.0438831765529
