NGenes	Direction	p.value	p.adj	avg.logfc	avg.logfc.dir	direction	significance
DDX3X	188	Down	1.68607671530093e-07	3.32157112914284e-05	0.900138736181632	-0.877744063980779	-1	100
BCLAF1	192	Down	6.53109556046829e-07	5.70226422592277e-05	0.628806707637473	-0.567611226391594	-1	66.1753269838256
DNAJC2	187	Up	8.68365110546615e-07	5.70226422592277e-05	0.851706848954707	0.895602749260883	1	89.6547131683097
PPIG	199	Down	5.02594412702826e-06	0.000247527748256142	0.635671377748354	-0.662337232081436	-1	56.8390513898484
AKAP8	192	Down	8.76696169291037e-06	0.000345418290700669	0.700081689092245	-0.591427083641299	-1	60.0897816572891
QKI	196	Down	1.30493784211519e-05	0.000367246792709561	0.531555068453706	-0.521207262167343	-1	45.2590202472878
FKBP4	197	Up	1.12211733677607e-05	0.000367246792709561	0.878982988080334	0.917760953129351	1	74.8802189879909
SUB1	195	Down	1.5766186922528e-05	0.000388242352967252	0.66424815380766	-0.579974794574804	-1	56.1741675880493
AUH	191	Down	2.24497214783199e-05	0.000450169587869173	0.66388360773938	-0.630136156785695	-1	55.0842272233721
AKAP8L	194	Down	2.28512481151865e-05	0.000450169587869173	0.660067631819926	-0.684519588821138	-1	54.7672570545915
TROVE2	195	Down	3.04039003054496e-05	0.000544506214561233	0.686039965782546	-0.560001680699891	-1	55.5176824572302
SUGP2	189	Up	5.32685885111521e-05	0.000874492661391413	1.04361050608136	1.16902200663989	1	79.156048299555
SRSF5	194	Down	7.46180967163634e-05	0.00113075115793258	0.715449454577561	-0.628781464292912	-1	52.2646047400512
DDX6	187	Down	0.000103452908458608	0.00142761308660591	0.772470721157567	-0.658006450577887	-1	54.4937873575654
EIF3G	192	Down	0.000108701504056288	0.00142761308660591	0.67029679130826	-0.661144548591233	-1	47.2779342575045
SF3B4	189	Down	0.000194795437763777	0.00229080961789519	0.6445511107416	-0.694818738851054	-1	42.174064882051
SUPV3L1	193	Down	0.000197684078701616	0.00229080961789519	0.675647747690711	-0.560288976446996	-1	44.2116934657975
PTBP1	194	Down	0.000226478547972722	0.0024786818861459	0.638612131526896	-0.616547004380108	-1	41.2423180253408
U2AF2	189	Down	0.000291478068547471	0.00302216734230799	0.684331623374772	-0.678349112081822	-1	42.7368810972571
UCHL5	197	Down	0.000460746059323147	0.0043222368422219	0.596343643582495	-0.54110270478965	-1	34.9342049706509
SRFBP1	195	Down	0.000445695184588305	0.0043222368422219	0.635737594331675	-0.603535992748826	-1	37.2459312575983
DAZAP1	190	Up	0.000506007191726941	0.00453106439864579	0.933607489451031	1.05667867813488	1	54.2507712430108
DDX47	195	Down	0.000574115319571559	0.00491734595577242	0.699042237925859	-0.691301730302086	-1	39.9887840165819
HNRNPC	196	Down	0.000599067527606793	0.00491734595577242	0.650861997659833	-0.603340015009618	-1	37.2284522141917
SRSF1	194	Down	0.000739948268267481	0.00520606460173906	0.618049259407811	-0.529064913882414	-1	34.9684422088893
EIF2S2	185	Down	0.000689837768946087	0.00520606460173906	0.751692383396878	-0.632124040052849	-1	42.5429023092124
MSI2	193	Down	0.000733654700199746	0.00520606460173906	0.749122943313956	-0.670672816847495	-1	42.3972747542186
IGF2BP2	193	Down	0.000702111869746215	0.00520606460173906	0.647214753159025	-0.628612315987307	-1	36.6214480810273
RBM15	194	Down	0.000815044276903255	0.00553668008792901	0.689773259748281	-0.58008437009058	-1	38.57573099203
RBM34	191	Down	0.000918117914297662	0.00602897430388798	0.662584961852685	-0.589469895801631	-1	36.4444454228791
TFIP11	196	Down	0.00108292918533193	0.00688184030678675	0.632862506474694	-0.509403435838976	-1	33.9043023160607
RCC2	190	Down	0.001233891887843	0.00759614693453349	0.632178133751134	-0.620691660935841	-1	33.1946135005732
TUFM	194	Down	0.0015943289414493	0.00951766065047009	0.848918812360549	-0.637278050143101	-1	42.5325113572723
PKM	186	Down	0.00222240008007841	0.0128768475228073	0.716670432202754	-0.675298542250598	-1	33.5619794690556
NONO	196	Down	0.0036037099704169	0.0197203017825591	0.628998686708594	-0.648004158907402	-1	26.5590381585607
KHSRP	195	Up	0.00358330095285497	0.0197203017825591	0.836160405419901	0.892478219935972	1	35.3262554619175
CIRBP	197	Down	0.00452226962832351	0.0237797845805673	0.753426246316763	-0.699922851557687	-1	30.3046705542993
UBE2L3	194	Down	0.00476885824305457	0.0237797845805673	0.64599971063773	-0.607525442132924	-1	25.9750697586414
NSUN2	196	Down	0.00481251401090838	0.0237797845805673	0.701821922218206	-0.571966181331056	-1	28.2248667026322
NUSAP1	195	Down	0.00482838265595275	0.0237797845805673	0.910386349398809	-0.89245142692685	-1	36.6306177040891
RBM17	186	Up	0.00506669255080394	0.0243448398172775	0.83057501034507	0.959512494404591	1	33.2037362185962
UPF1	186	Down	0.00536912918044802	0.0251837725844824	0.674746176792647	-0.64389982108771	-1	26.7164108815483
XRN2	193	Down	0.00568154429642761	0.026029400613866	0.720908136103756	-0.621679471785477	-1	28.2916800879623
HSPD1	189	Down	0.00585658062050826	0.0262215086872756	0.790316444065582	-0.692423740531868	-1	30.9587648201923
PABPC4	195	Down	0.00674409354852632	0.027995859477629	0.694677532696877	-0.632675367100225	-1	26.7147084431879
ILF2	190	Up	0.0064338130346729	0.027995859477629	0.889344985532598	1.00163605525751	1	34.2178723366693
SMNDC1	196	Down	0.0067643976719385	0.027995859477629	0.680210621695036	-0.605813889486717	-1	26.1571031388702
TIA1	196	Down	0.00682132616713803	0.027995859477629	0.608076397091267	-0.579031898530515	-1	23.3767980511572
PUM2	187	Down	0.00704629337498969	0.0283289754055708	0.767130808419437	-0.599588007266145	-1	29.4094993282042
DDX24	197	Down	0.00744919198749839	0.0285022292110942	0.690619218953443	-0.655314172857951	-1	26.4248411930521
EFTUD2	196	Down	0.00766811242735022	0.0285022292110942	0.7435823906749	-0.68782297464315	-1	28.455993042851
TARDBP	193	Down	0.00757630814267484	0.0285022292110942	0.740191502820404	-0.696842449761704	-1	28.325951583583
SSRP1	196	Up	0.00728489222990969	0.0285022292110942	0.851656470737301	0.994320764121516	1	32.6006630182167
CSTF2T	195	Down	0.00790218366202981	0.0288283366929606	0.657817019261789	-0.637758444688123	-1	25.0861994360454
TRIM56	195	Down	0.00847896034680526	0.0303700943331025	0.743619075477855	-0.700433470533024	-1	27.948595563444
PUM1	192	Up	0.00913838050334809	0.0321475171278495	0.873968675056347	0.949572221839683	1	32.3225258210074
UTP18	191	Down	0.0102977018267025	0.0338030996815531	0.804476915208798	-0.638915080419551	-1	29.3121824203165
SBDS	187	Down	0.0101508608121094	0.0338030996815531	0.74829014002154	-0.637526383322043	-1	27.2607109648001
SND1	195	Up	0.0104669496475875	0.0338030996815531	0.835283926336891	0.886661404137929	1	30.4369970007659
NPM1	188	Down	0.0102281891794859	0.0338030996815531	0.866524422201861	-0.75325275096708	-1	31.5776388210087
SF3A3	197	Down	0.010007483817291	0.0338030996815531	0.648794091052669	-0.594296298994212	-1	23.6279467829078
RPS19	184	Down	0.0116781944800625	0.035830781031808	0.777573845515969	-0.712796867024452	-1	27.8416330209011
PCBP1	196	Up	0.0117268894240385	0.035830781031808	0.77329195585593	0.846617167676653	1	27.6879829899962
EXOSC9	193	Down	0.0118223389191245	0.035830781031808	0.747480352471361	-0.591337013869618	-1	26.7617672365272
CKAP4	195	Down	0.0116172770917333	0.035830781031808	0.705352320531339	-0.643776190781473	-1	25.2500577055795
PES1	194	Down	0.0131211757090997	0.0391647214347368	0.717170127855088	-0.708802929746957	-1	24.9863415159238
EIF4G1	188	Up	0.0138551468240842	0.0407382675275312	0.786554858427455	0.815022753282938	1	27.0755995737485
FUS	189	Down	0.0144073876425544	0.0415809993866955	0.833421197189877	-0.77009830143568	-1	28.5085462082592
CCAR1	190	Down	0.0147749744013639	0.0415809993866955	0.65159502253567	-0.657823638555386	-1	22.2756630201565
UTP3	187	Down	0.0147647475259147	0.0415809993866955	0.678692779159039	-0.533668308203278	-1	23.2045565197547
EIF3D	185	Down	0.015495908001185	0.0423985260587979	0.853770055685548	-0.770840558524592	-1	29.0269061726878
RBM39	192	Down	0.0153220349194072	0.0423985260587979	0.738947605978589	-0.655969690969072	-1	25.1149656188758
BUD13	191	Down	0.0160581875251376	0.0433351088007137	0.733750378442405	-0.66704646495103	-1	24.765084098933
GPKOW	196	Down	0.0190150641902889	0.0506211843984718	0.735515043768585	-0.71357560302103	-1	23.5926715191286
AGO1	182	Down	0.019400946845444	0.0507297643313294	0.956426802696833	-0.925662687840354	-1	30.6748331414594
HLTF	192	Down	0.0195708735491423	0.0507297643313294	0.805516012568875	-0.66218784474209	-1	25.8252124913584
XPO5	191	Down	0.0250267526031492	0.0640294839327325	0.716336514575456	-0.644928658575866	-1	21.1615422006649
ZC3H8	194	Down	0.027066500004439	0.0683602628317242	0.750004786389529	-0.638980123150402	-1	21.6298800218288
NELFE	193	Down	0.0280667358985123	0.0691625820862281	0.614521247151995	-0.561536135175188	-1	17.6343439799852
G3BP2	194	Up	0.0280863277507525	0.0691625820862281	0.680762184388121	0.778385074683997	1	19.5417297640475
RTF1	191	Down	0.0295092183846506	0.0717693336021749	0.90336163129741	-0.75289634845479	-1	25.5911422658681
PABPC1	180	Down	0.0311648047332558	0.0748715430786755	0.686857962094181	-0.62120593434536	-1	19.13002818074
SRP68	192	Down	0.0347472994523541	0.0824725059290815	0.772216521601173	-0.598718973996972	-1	20.7100710303116
ATP5C1	197	Down	0.0378349727131695	0.0876881132293457	0.807086886378992	-0.642340166548892	-1	21.1145100692651
FIP1L1	188	Down	0.0375842385876452	0.0876881132293457	0.675025644518331	-0.585224011964767	-1	17.6496908314951
YBX3	188	Up	0.0392811210662207	0.0899811726749475	0.923347062206694	0.996971712292595	1	23.9078368393114
CPSF7	176	Up	0.0433524232591142	0.0970503111596079	1.01312169204319	1.13809193155439	1	25.4122998974071
FMR1	187	Down	0.0432501104101383	0.0970503111596079	0.601251464541154	-0.588010276352373	-1	15.0566579889758
EIF2S1	198	Down	0.0633224152731875	0.140163098975482	0.586423661737857	-0.563642395031141	-1	12.360302422162
ABCF1	198	Down	0.0665511755816713	0.144072325160321	0.655664885252151	-0.585469224858567	-1	13.6324630339104
EIF4B	197	Down	0.0659393513438824	0.144072325160321	0.54253584156951	-0.475698410970113	-1	11.2698504162365
