NGenes	Direction	p.value	p.adj	avg.logfc	avg.logfc.dir	direction	significance
AKAP8L	194	Down	2.63132716393733e-17	5.18371451295653e-15	0.684089452615348	-0.679245091499837	-1	100
HNRNPC	196	Down	1.59128884036225e-10	1.56741950775682e-08	0.528267437899915	-0.536733787306998	-1	42.1797398892631
DDX3X	188	Down	2.04795784568428e-09	1.34482565199934e-07	0.637630675406161	-0.543782845120939	-1	44.8238117244722
U2AF2	189	Down	2.53011528769514e-08	1.24608177918985e-06	0.579881183357852	-0.59101980974362	-1	35.0241695768567
CKAP4	195	Down	9.57934135420526e-08	3.77426049355687e-06	0.599688017035144	-0.541612208799839	-1	33.267152910854
SRSF5	194	Down	1.81032196935293e-07	5.94389046604212e-06	0.61111890481898	-0.512255948210394	-1	32.6679643476553
TROVE2	195	Down	3.01341321755321e-07	8.34646014339848e-06	0.600040789031032	-0.566228532115099	-1	31.1700302750667
SF3B4	189	Down	3.81310361881149e-07	8.34646014339848e-06	0.569170558732537	-0.547900845794945	-1	29.5654914180141
MSI2	193	Down	3.74892961657292e-07	8.34646014339848e-06	0.590344060457905	-0.552894346764941	-1	30.6660243887668
EIF3G	192	Down	4.38283212946445e-07	8.63417929504497e-06	0.761626983210742	-0.673654554122806	-1	39.4540467291424
EFTUD2	196	Down	7.68442197813279e-07	1.31868002122148e-05	0.568399315332482	-0.568995309659087	-1	28.3698538128256
BCLAF1	192	Down	8.03256865718668e-07	1.31868002122148e-05	0.595287946544994	-0.514778619564389	-1	29.7127771457639
SNRNP200	195	Down	2.24725418163262e-06	3.40545441370481e-05	0.659275621047908	-0.608686106563001	-1	30.1283660837516
RBM15	194	Down	3.44109560121365e-06	4.43530603996928e-05	0.521152481050794	-0.476768102616288	-1	23.2003802055988
UCHL5	197	Down	3.60227901723393e-06	4.43530603996928e-05	0.455326109128884	-0.450438417111075	-1	20.2676553439524
UTP3	187	Down	3.39751860763575e-06	4.43530603996928e-05	0.673250470917325	-0.608202590611962	-1	29.9767153318488
TARDBP	193	Down	3.84740973611952e-06	4.4584689295032e-05	0.609064889795016	-0.534106601601007	-1	27.1029903424506
SUPV3L1	193	Down	4.29997929866812e-06	4.70608845465344e-05	0.642229504428889	-0.528281640191064	-1	28.4254892281715
PTBP1	194	Down	5.45068533449922e-06	5.65150005734919e-05	0.583622491716948	-0.558799040224754	-1	25.3549504756741
EIF2S2	185	Down	8.38230362913557e-06	8.25656907469854e-05	0.709610692983572	-0.521081348356642	-1	29.6366358093939
EIF2S1	198	Down	1.00795116241687e-05	9.4555418569583e-05	0.50256056182735	-0.493090211566223	-1	20.6810548225361
ATP5C1	197	Down	1.19352115887034e-05	0.000106874394680663	0.519349911342678	-0.43419667036773	-1	21.0898575506447
FMR1	187	Down	1.31852444522888e-05	0.000112934485091343	0.494982287776799	-0.497005814393528	-1	19.9781319372232
CSTF2T	195	Down	1.45194848718733e-05	0.000119180771656627	0.754349319409468	-0.678446894448566	-1	30.2755731336884
SRSF1	194	Down	1.57349690114643e-05	0.000123991555810338	0.667123844990537	-0.557371766477375	-1	26.6553560087723
CNOT7	192	Down	1.80929498029104e-05	0.000137088888891283	0.611552729134884	-0.555156562067083	-1	24.1604998808395
SUB1	195	Down	2.0868767558371e-05	0.000146826686035681	0.670312561547308	-0.495825980852045	-1	26.2792050464758
QKI	196	Down	2.05259338417708e-05	0.000146826686035681	0.620826466055914	-0.534177995179961	-1	24.3377863237483
UPF1	186	Down	3.16662662982037e-05	0.000215112222784349	0.610726898365339	-0.541011898609754	-1	22.9048379547009
FIP1L1	188	Down	3.40531597601149e-05	0.000216402337830407	0.58389369239162	-0.540460702532045	-1	21.8821596896752
