NGenes	Direction	p.value	p.adj	avg.logfc	avg.logfc.dir	direction	significance
AUH	191	Down	1.41629293000877e-10	2.79009707211727e-08	0.47337850398189	-0.481066331453684	-1	100
CSTF2T	195	Down	4.15482840006391e-09	3.92970817492511e-07	0.40016099783733	-0.402580237983442	-1	71.6605059648322
PTBP1	194	Down	5.98432716993672e-09	3.92970817492511e-07	0.410920439842562	-0.452216069726565	-1	73.5890214019034
EIF3G	192	Down	1.28850798065604e-07	4.23060120315401e-06	0.464252297972958	-0.463232372075436	-1	69.7414794323645
RECQL	195	Down	1.20256462867809e-07	4.23060120315401e-06	0.355512720384191	-0.369662717357651	-1	53.3912567625569
METAP2	192	Down	1.01560259160959e-07	4.23060120315401e-06	0.306113612697763	-0.299536226536265	-1	45.9635434288025
APOBEC3C	183	Down	3.78617538334132e-07	1.06553792931177e-05	0.543574388957644	-0.53743871003784	-1	75.566694658672
PPIG	199	Down	4.67531218047104e-07	1.15129562444099e-05	0.363931766322035	-0.398498992563664	-1	50.2295882782372
NONO	196	Down	8.53937970183787e-07	1.86917533473562e-05	0.369295751305731	-0.392941749602447	-1	48.7960561255441
QKI	196	Down	1.29060659733341e-06	2.54249499674681e-05	0.303854147634201	-0.293843591138762	-1	39.0017288111056
XRCC5	190	Down	2.27963462393606e-06	4.08261837195821e-05	0.466711434203608	-0.468704385897552	-1	57.2538958197853
MATR3	192	Down	3.10796233406076e-06	5.10223816508307e-05	0.323519914043582	-0.306831845017168	-1	38.7917027243992
NELFE	193	Down	3.43596399068417e-06	5.20680697049831e-05	0.360643428466801	-0.383319035867176	-1	43.1614454541155
SUGP2	189	Up	4.69631433163316e-06	6.16782615554488e-05	0.582239387660131	0.593577314412842	1	68.5227655754618
RBM34	191	Down	4.46967077975539e-06	6.16782615554488e-05	0.325746669984085	-0.309115032509432	-1	38.3083381500596
FXR1	189	Down	9.79791590717158e-06	0.00012063683960705	0.36368283443166	-0.388116720604162	-1	39.81228838989
PRPF6	193	Down	1.66455734374625e-05	0.00019289282159883	0.390733344129795	-0.423892817136891	-1	40.5496677917066
DDX28	189	Down	2.1556975066604e-05	0.000235929116006721	0.388503954218568	-0.407281498365601	-1	39.367109466432
RCC2	190	Down	2.32631331597624e-05	0.000241201959603853	0.3379330709892	-0.367662245788393	-1	34.1436488521885
XRN2	193	Down	3.24688863692226e-05	0.000319818530736842	0.290143492433608	-0.300312843997811	-1	28.3113633873047
GRSF1	192	Down	3.47291101643164e-05	0.000325792128684302	0.466771641348784	-0.416962643445264	-1	45.4802744050149
TIA1	196	Down	4.33539645643623e-05	0.000388215046326335	0.263932801881183	-0.268324804763505	-1	25.1264042036874
XRCC6	190	Down	7.19387624824313e-05	0.000616171139523433	0.452959232208767	-0.4400602065975	-1	40.6247570886518
PES1	194	Down	9.32527828857723e-05	0.000765449926187381	0.373770034692474	-0.356797847235733	-1	32.5259094296567
HNRNPK	194	Up	0.000115480358278212	0.000909985223232311	0.372199486178234	0.420765625797299	1	31.6066425736454
DDX3X	188	Down	0.000138433649731338	0.00104890111527206	0.416658296744398	-0.41496809641618	-1	34.6703308705295
LARP7	194	Up	0.000152169406159238	0.00111027307456926	0.485385645916624	0.494390832958805	1	40.0643312017922
DDX47	195	Down	0.000195019581038065	0.00137210205230353	0.428246041284172	-0.425264104359759	-1	34.2384999754535
SUB1	195	Down	0.000209084040734043	0.00142032951808988	0.322131578623421	-0.357410253901355	-1	25.6034803072095
HSPD1	189	Down	0.000229237878690021	0.00150532873673114	0.43377356686787	-0.449072988152774	-1	34.1927776394632
HNRNPL	189	Down	0.000254662238888044	0.00161833745357886	0.369787152718038	-0.374492940854435	-1	28.8142167440753
SRFBP1	195	Down	0.000329797870053617	0.00203031813751758	0.343281860960647	-0.356884610575192	-1	25.7982040074292
ZRANB2	184	Up	0.000391188892722614	0.0023352791474653	0.393371435445629	0.448679985763199	1	28.9029165871532
NUFIP2	182	Down	0.000420843933192754	0.00243841925996978	0.477627320769938	-0.429328785004468	-1	34.8564848744515
TROVE2	195	Down	0.000580269437479279	0.00326608797666908	0.335256150218159	-0.327875128647577	-1	23.256730028412
FIP1L1	188	Down	0.000762863595925683	0.00417455912214887	0.375579774906937	-0.33989813173812	-1	24.9415820055148
RPS19	184	Down	0.000784670908455788	0.00417784240448082	0.435674428112425	-0.439069000275189	-1	28.9384533666744
SRP68	192	Down	0.00094697652964993	0.00478556293355776	0.320661227820022	-0.321210127535091	-1	20.7528924173811
DNAJC2	187	Up	0.000947395707658644	0.00478556293355776	0.536521086125506	0.596414633383433	1	34.7662844562739
PA2G4	193	Down	0.000992890965158928	0.004819016575478	0.403030060590767	-0.393765621241232	-1	26.0660708311995
NPM1	188	Down	0.00100294253601319	0.004819016575478	0.435326519505524	-0.449658482912484	-1	28.1599884848074
SRSF1	194	Down	0.00103444468239687	0.00485203815314721	0.343419005778286	-0.336528893039372	-1	22.1727316611002
SRSF5	194	Down	0.00123576616372562	0.00566153335474297	0.26920136516058	-0.275124830017974	-1	16.8622812620737
TFIP11	196	Down	0.00160512063518687	0.00718656284390484	0.343734022050704	-0.368783069174003	-1	20.5522946973013
