NGenes	Direction	p.value	p.adj	avg.logfc	avg.logfc.dir	direction	significance
ASCC1	191	Down	1.33350896623525e-13	2.62701266348344e-11	1.04020413172918	-0.919089406548665	-1	100
DDX3X	188	Down	1.25316550307395e-08	8.2291201368523e-07	1.17728204287427	-1.21931084478586	-1	65.0849520279381
SUPV3L1	193	Down	9.2268603492845e-09	8.2291201368523e-07	0.773183642489467	-0.735560889182884	-1	42.7434229075834
XRN2	193	Down	2.06728920048506e-07	1.01813993123889e-05	0.718537556195763	-0.706151325583953	-1	32.5896646260043
GPKOW	196	Down	2.99673427699323e-07	1.18071330513533e-05	0.81247745511729	-0.808414375239	-1	36.3758977382725
TARDBP	193	Down	1.31212386451815e-06	4.3081400218346e-05	0.774523005858008	-0.778343855594463	-1	30.7202817962598
PPIG	199	Down	3.0291638935646e-06	8.52493267188895e-05	0.938529651796526	-0.946993799068903	-1	34.698514525853
SUB1	195	Down	4.28562491338337e-06	0.000105533513492065	0.727975553028984	-0.700234064359554	-1	26.3000500209452
HNRNPC	196	Down	9.86378002058403e-06	0.000215907184895006	0.821899332778636	-0.818598086466164	-1	27.3721403713899
TIA1	196	Down	2.30903008532006e-05	0.000454878926808051	0.722277689906707	-0.674049018124551	-1	21.9299851612893
UPF1	186	Down	2.96124464194792e-05	0.000481130570928304	0.813977446705295	-0.802626870264367	-1	24.5344643987351
CSTF2T	195	Down	3.17497331069439e-05	0.000481130570928304	0.957621875103993	-1.02117734067044	-1	28.8647959734276
U2AF2	189	Down	2.90328992551391e-05	0.000481130570928304	0.935034845103277	-0.990055969256991	-1	28.1838831786817
NONO	196	Down	3.83161591707626e-05	0.000539163096902874	0.977305548162995	-1.04579761609744	-1	29.0189957480248
NUSAP1	195	Down	5.12588153513751e-05	0.000673199108281393	0.808819041298069	-0.896404600316995	-1	23.3068483919569
RCC2	190	Down	6.48878732696362e-05	0.000798931939632396	0.889128585701957	-0.916194997108407	-1	25.0206212032008
AKAP8L	194	Down	7.61390837560959e-05	0.00088231761764417	0.808310226710366	-0.86225659063412	-1	22.4293293354167
UBE2L3	194	Down	8.58358230638737e-05	0.000939425396865729	0.784769325429826	-0.769957516381404	-1	21.5817729851926
TROVE2	195	Down	0.00010010033215157	0.00103788239125575	0.696614156475948	-0.698054286673464	-1	18.8830178735379
SRSF5	194	Down	0.000106747014150284	0.00105145808938029	0.883198325895124	-0.894057812233362	-1	23.896466936436
PHF6	190	Down	0.000130204539811014	0.00122144258775094	0.788414784575598	-0.679213723563273	-1	20.8652903524969
QKI	196	Down	0.000150383081082985	0.00134661213515218	0.649595155438901	-0.647224984759586	-1	16.9406855440896
ATP5C1	197	Down	0.000268159091389183	0.00220113920848621	0.798075132998971	-0.761535547126064	-1	19.2662218695016
RBM34	191	Down	0.00026504467449664	0.00220113920848621	0.764066023885424	-0.655486714295647	-1	18.4450485592098
SF3B4	189	Down	0.000368291406750746	0.00276723345779359	0.911355575836089	-1.00799037181535	-1	21.1783473444295
BUD13	191	Down	0.000379265499291508	0.00276723345779359	0.791945841785608	-0.829509828517643	-1	18.4029645017954
PTBP1	194	Down	0.000365946371669889	0.00276723345779359	0.828536709065558	-0.891668015811348	-1	19.2534283777382
SRFBP1	195	Down	0.000407404148058994	0.00286637918455792	0.838181088083924	-0.766641057677201	-1	19.3611554710456
BCLAF1	192	Down	0.000453750551451059	0.00308237443571926	0.816539046850844	-0.832184421591344	-1	18.6270519577248
DDX47	195	Down	0.000519515506849515	0.00341148516164515	1.08199562252726	-1.12958620127487	-1	24.2507989981469
RBM39	192	Down	0.000629868621519895	0.00400271349804579	0.81889255758196	-0.833131142808303	-1	17.8364553257902
NSUN2	196	Down	0.000719680167756815	0.00443053103275289	0.75454219061458	-0.779021891880302	-1	16.1321645599456
SRP68	192	Down	0.000754038520473912	0.0045013814707079	0.668513121747103	-0.598310587060938	-1	14.2505655063647
MSI2	193	Down	0.000792573875873369	0.0045922662807957	0.843942861802299	-0.848417568312666	-1	17.9246069298005
DDX6	187	Down	0.000889502439058218	0.00500662801412768	0.855716594779279	-0.93423718307009	-1	17.8830065233293
UTP3	187	Down	0.00091531419045249	0.00500880265330946	0.782995803141147	-0.730306433252067	-1	16.3615979100391
SRSF1	194	Down	0.000971229004987861	0.00517113821574618	0.762762718189794	-0.787775548330595	-1	15.8426985983123
CKAP4	195	Down	0.00109322386366795	0.00562849234850166	0.902986864787654	-0.887014008581883	-1	18.4538955163028
PKM	186	Down	0.00111427005884043	0.00562849234850166	0.790391633217826	-0.782144285178773	-1	16.1523623661403
DHX30	197	Down	0.00137711372071205	0.00649639767136046	0.726472564351617	-0.670356181211934	-1	14.4346938069054
ZC3H8	194	Down	0.00138501879287888	0.00649639767136046	0.696053094567515	-0.752563647376433	-1	13.8301109385598
SNRNP200	195	Down	0.0013645510892137	0.00649639767136046	0.948909711228454	-0.92929735045358	-1	18.8556021672375
IGF2BP2	193	Down	0.0014512232254607	0.0066486273352502	0.860207671961223	-0.989168976898772	-1	17.0140352314132
RECQL	195	Down	0.00150336409430768	0.00673097105860486	0.777846269318463	-0.699311850152163	-1	15.3468589827369
EIF2S2	185	Down	0.00184827756647873	0.00792486476524351	0.836858712441907	-0.666535740722095	-1	15.9722313470862
AUH	191	Down	0.00185047603655432	0.00792486476524351	0.946425362179317	-0.953539930089677	-1	18.063917499067
EFTUD2	196	Down	0.00193535724190722	0.00811202929054726	0.796522198875507	-0.795677468138335	-1	15.1288144582073
METAP2	192	Down	0.00202442263412835	0.0083085678942351	0.814232858193107	-0.862879910044572	-1	15.3883701557
PABPC4	195	Down	0.00247995409542911	0.00997042768978644	0.862372590270314	-0.908248285154771	-1	15.6779002749641
CIRBP	197	Down	0.00281054423446996	0.0108564159645212	0.939857717216588	-0.915065235813408	-1	16.7711800126249
UCHL5	197	Down	0.00277921330326145	0.0108564159645212	0.624343154859724	-0.668290234155889	-1	11.139724995534
RBM15	194	Down	0.00306467232421377	0.0116103932282714	0.773443721878444	-0.736656219129043	-1	13.5960096135239
TFIP11	196	Down	0.00447700748067213	0.016640952333819	0.819409086020196	-0.802152932968245	-1	13.2402852431053
